percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.076513,0.0,0.0,0.0,0.1115119999999999,0.112095,0.0,0.0,0.1739,0.16335,0.1745499999999999,0.1768,0.176575,0.1739,0.17605,0.1739,0.1723,0.174325,0.16455,0.1745499999999999,0.188792,0.218096,0.193896,0.195148,0.197496,0.188792,0.206696,0.188792,0.209936,0.189192,0.218096,0.190148,0.2005,0.2582319999999999,0.207896,0.212698,0.2165959999999999,0.2005,0.230128,0.2005,0.2391319999999999,0.202898,0.2582319999999999,0.2046319999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.091278,0.0,0.0,0.0,0.1253,0.1384,0.1415259999999999,0.0,0.18245,0.16975,0.1829,0.1838,0.18525,0.1825,0.18355,0.18325,0.1793,0.18325,0.1710499999999999,0.1834,0.19788,0.2260879999999999,0.2011879999999999,0.204696,0.206788,0.19788,0.2124,0.19788,0.215096,0.198796,0.2260879999999999,0.1996,0.208132,0.2641,0.2168959999999999,0.223256,0.228632,0.208132,0.239032,0.208264,0.2469599999999999,0.208924,0.2641,0.2122959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.103395,0.1473,0.0,0.0,0.134968,0.149539,0.159139,0.150056,0.18705,0.176275,0.1881499999999999,0.189925,0.189325,0.1872,0.188325,0.1872,0.1857,0.1876,0.176525,0.1881499999999999,0.203544,0.231464,0.2072,0.2118519999999999,0.214332,0.203544,0.2158,0.203544,0.219576,0.2036,0.231464,0.205244,0.213996,0.267792,0.227874,0.2325,0.2364919999999999,0.213996,0.2454,0.214692,0.254398,0.216894,0.267792,0.22178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1138,0.16966,0.1707479999999999,0.0,0.1429,0.159508,0.175452,0.1733039999999999,0.1913,0.1804,0.1934,0.1942,0.1958,0.1917,0.1928,0.1918,0.1906,0.1927,0.1811,0.1927,0.208368,0.241592,0.213784,0.218384,0.220776,0.208368,0.223028,0.208368,0.228152,0.2084,0.242512,0.212152,0.22318,0.272756,0.237476,0.243628,0.246664,0.22318,0.2526279999999999,0.223964,0.262064,0.2249,0.272464,0.2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.11966,0.183,0.1768,0.179495,0.149,0.16373,0.1801,0.17973,0.19525,0.188475,0.197525,0.1996,0.2005,0.195375,0.199525,0.195825,0.19785,0.19655,0.18935,0.1965,0.2138,0.2463,0.21994,0.223,0.22728,0.2138,0.23348,0.21448,0.23986,0.21528,0.2463,0.21648,0.23218,0.2771,0.24463,0.24845,0.2528,0.23218,0.26034,0.23272,0.26579,0.23722,0.2771,0.24096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.126434,0.1865339999999999,0.189762,0.185456,0.153812,0.170278,0.1837,0.186478,0.2011,0.19455,0.20245,0.20465,0.20675,0.20135,0.2054,0.2017,0.20425,0.20295,0.19635,0.20305,0.221152,0.24934,0.222976,0.2266,0.2324,0.221152,0.24048,0.221152,0.244388,0.221576,0.24934,0.2218,0.2386,0.279496,0.250572,0.254592,0.2577959999999999,0.2386,0.265,0.238996,0.268996,0.243596,0.2795,0.246884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.131791,0.199091,0.206591,0.2069909999999999,0.159182,0.178419,0.187873,0.1912,0.205175,0.2005,0.208725,0.2095,0.2109,0.205175,0.2121,0.2060499999999999,0.2113249999999999,0.206725,0.202,0.207525,0.2255,0.253,0.2295,0.23268,0.237072,0.225536,0.2444,0.225816,0.247236,0.226472,0.253,0.227416,0.243262,0.281462,0.2561,0.259662,0.263696,0.243562,0.268386,0.2437,0.273662,0.248762,0.281462,0.252086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.136212,0.20462,0.216804,0.216216,0.163208,0.183004,0.1935,0.1986,0.2088,0.2052,0.2113,0.2132,0.2144,0.2088,0.2152,0.2093,0.2144,0.2101,0.2061,0.2101,0.2291679999999999,0.256568,0.237168,0.2397,0.241784,0.2291679999999999,0.247336,0.2298359999999999,0.2495679999999999,0.231284,0.256504,0.233484,0.2471,0.2834279999999999,0.2596279999999999,0.263756,0.266528,0.247484,0.272028,0.248268,0.276956,0.2525,0.2834279999999999,0.254828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.141251,0.2094,0.219434,0.2224,0.168451,0.187,0.198417,0.204034,0.212175,0.20935,0.214775,0.215975,0.216775,0.212175,0.217875,0.2124,0.216975,0.213425,0.209425,0.214075,0.232064,0.259664,0.241016,0.2432959999999999,0.245664,0.2323279999999999,0.2498,0.23316,0.2526319999999999,0.235432,0.259664,0.238064,0.2511879999999999,0.285094,0.262894,0.2671,0.269194,0.251294,0.2759,0.252494,0.279494,0.255094,0.285094,0.2592939999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1467,0.21479,0.2229,0.2254,0.17353,0.19073,0.20293,0.21043,0.2148,0.212,0.2182,0.21895,0.2198999999999999,0.2148,0.22005,0.2153,0.2195,0.21575,0.21215,0.21695,0.235,0.2618,0.2446,0.24688,0.248,0.2351599999999999,0.25232,0.23648,0.2552,0.23996,0.2618,0.2417,0.25338,0.2868,0.2674,0.26958,0.2728,0.2535,0.27822,0.2543,0.2812,0.25852,0.2868,0.26308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
