percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.040198,0.056726,0.059446,0.0,0.048542,0.050014,0.060304,0.058282,0.0953,0.092954,0.096777,0.094359,0.093377,0.0953,0.096198,0.095418,0.094818,0.0953,0.092954,0.097336,0.12084,0.11453,0.11972,0.12076,0.11909,0.12084,0.11991,0.12084,0.11785,0.12312,0.11453,0.12343,0.115656,0.1159279999999999,0.116613,0.119257,0.1194139999999999,0.116057,0.115657,0.116271,0.115657,0.116271,0.1159279999999999,0.119699,0.064156,0.0735,0.0724,0.0,0.068042,0.067614,0.073706,0.0739
1,0.04884,0.074352,0.070784,0.070854,0.055512,0.069956,0.0636,0.075028,0.112418,0.107818,0.112726,0.113454,0.112472,0.112418,0.118808,0.11117,0.11508,0.112518,0.107818,0.1125,0.14192,0.14518,0.14594,0.14654,0.14662,0.14282,0.15102,0.1442,0.14722,0.14948,0.14518,0.149,0.139314,0.137236,0.14279,0.143294,0.139884,0.139314,0.142328,0.141142,0.141814,0.145628,0.137236,0.146856,0.0756,0.080004,0.078188,0.0789,0.076584,0.078228,0.0779,0.078398
2,0.057142,0.1000559999999999,0.1169,0.12424,0.0728,0.081442,0.0927,0.100346,0.134339,0.123316,0.134231,0.1324779999999999,0.131677,0.1345,0.134431,0.1345,0.131631,0.1345,0.123316,0.135539,0.15616,0.16393,0.1635,0.16235,0.16263,0.15649,0.16402,0.15919,0.16402,0.15947,0.16393,0.16509,0.1531259999999999,0.1710519999999999,0.1724129999999999,0.1717969999999999,0.172513,0.154942,0.172097,0.157942,0.1702,0.166626,0.1710519999999999,0.173642,0.085642,0.122013,0.136882,0.1449,0.092426,0.091384,0.0911,0.111649
3,0.0659,0.1180519999999999,0.126584,0.1308,0.0809,0.090256,0.104208,0.110628,0.141736,0.141972,0.141736,0.142136,0.1438,0.141944,0.144872,0.141944,0.144372,0.1423,0.141972,0.142936,0.16314,0.1667,0.1701,0.16942,0.16824,0.1635,0.1667199999999999,0.16534,0.1667199999999999,0.1667199999999999,0.1667,0.16966,0.165812,0.177,0.178928,0.178128,0.178356,0.1662,0.177,0.168556,0.177,0.1759,0.177,0.180884,0.092556,0.138264,0.143788,0.155712,0.101112,0.107668,0.121836,0.131232
4,0.07147,0.1252,0.1297,0.134705,0.08757,0.09824,0.11,0.11861,0.147985,0.150085,0.1485,0.14769,0.149095,0.148095,0.151,0.148195,0.1507,0.1484,0.150085,0.1491,0.1679999999999999,0.1719,0.1748,0.174,0.1721,0.16885,0.17215,0.16985,0.17215,0.1716,0.1719,0.1739,0.1719699999999999,0.180385,0.183585,0.18341,0.1818,0.1729,0.180485,0.1742,0.180285,0.1794,0.180385,0.1842,0.09851,0.1426,0.151935,0.1602,0.10737,0.11707,0.126815,0.135915
5,0.0763679999999999,0.1309,0.133952,0.1455,0.093568,0.103384,0.112024,0.1232439999999999,0.152608,0.153954,0.152354,0.152008,0.152954,0.1527,0.1543,0.1525,0.1541539999999999,0.152608,0.153954,0.153108,0.17258,0.17558,0.1779,0.1764,0.17568,0.17288,0.1757,0.1733,0.1757,0.17578,0.17558,0.17898,0.177084,0.1855,0.186742,0.186642,0.185868,0.177442,0.1855419999999999,0.178984,0.1855,0.183642,0.1855,0.187542,0.104384,0.146978,0.156646,0.1617,0.115468,0.1203839999999999,0.130808,0.141396
6,0.0814,0.1338,0.1382,0.1474889999999999,0.099,0.107798,0.116414,0.128874,0.155013,0.157026,0.156,0.155526,0.156113,0.155613,0.157413,0.155613,0.157213,0.156013,0.157026,0.156552,0.1765,0.17812,0.18001,0.17801,0.17791,0.1765,0.1783,0.1765,0.1783,0.1785,0.17812,0.18201,0.180599,0.1884,0.189399,0.189898,0.1883,0.181099,0.1884,0.1821,0.1884,0.187099,0.1884,0.189999,0.1098,0.1513,0.160629,0.1639,0.119194,0.123198,0.135121,0.146
7,0.085,0.137004,0.145668,0.1515,0.102912,0.110412,0.1209,0.131812,0.159472,0.160572,0.158972,0.1587,0.159472,0.159572,0.160872,0.159772,0.160672,0.159572,0.160572,0.158772,0.17924,0.1811,0.183,0.18008,0.1798,0.17924,0.18114,0.1793799999999999,0.18114,0.18234,0.1811,0.18514,0.1838,0.1909,0.192356,0.1935,0.190956,0.184456,0.191012,0.185356,0.191012,0.189756,0.1909,0.194012,0.113512,0.154104,0.1626,0.1654,0.1225,0.126636,0.1389,0.148
8,0.0891,0.139467,0.148114,0.157086,0.1062,0.1127259999999999,0.123018,0.1347759999999999,0.163231,0.163762,0.1626,0.163031,0.163031,0.163431,0.1639,0.164,0.1639,0.163062,0.163762,0.163031,0.18247,0.18377,0.18467,0.1826,0.18217,0.1827,0.18397,0.18237,0.18397,0.1860699999999999,0.18377,0.1886,0.1870129999999999,0.194613,0.196213,0.1974,0.194726,0.1874,0.1947,0.189013,0.1947,0.193,0.194613,0.1982,0.117,0.157367,0.164146,0.168152,0.125752,0.1293,0.143927,0.151088
9,0.0919,0.14303,0.1503,0.159,0.1094,0.11634,0.12772,0.1371,0.1684,0.16689,0.16739,0.1674,0.16739,0.1686,0.167,0.1689,0.167,0.16729,0.16689,0.16738,0.1855,0.1858,0.1879,0.186,0.1855,0.1854,0.1861,0.1852,0.1861,0.189,0.1858,0.192,0.19037,0.19945,0.20161,0.20167,0.2,0.19077,0.19907,0.19167,0.19945,0.19587,0.19945,0.20187,0.1203,0.16296,0.1667,0.1702,0.1284,0.1324,0.14743,0.1531
