percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.034247,0.0,0.0,0.0,0.045429,0.053047,0.055285,0.0541,0.059856,0.0852,0.0737,0.079152,0.082152,0.0603,0.085,0.061268,0.085904,0.0613,0.0852,0.067456,0.068256,0.113904,0.092652,0.098656,0.104156,0.0694,0.110504,0.0712,0.1132,0.079452,0.113904,0.0856519999999999,0.069059,0.1293,0.104353,0.112612,0.119959,0.0714,0.128612,0.073653,0.129206,0.085553,0.1293,0.094706,0.035788,0.0,0.0,0.0,0.0401,0.0418469999999999,0.04214,0.0415
1,0.04,0.060388,0.061776,0.0,0.052294,0.0587,0.0625,0.0633,0.065904,0.088704,0.077512,0.082616,0.086004,0.066104,0.087804,0.0668,0.0887,0.067208,0.089,0.0718,0.0724,0.119204,0.097204,0.102208,0.107,0.073,0.113404,0.074504,0.116804,0.083104,0.119204,0.090904,0.0744119999999999,0.1346,0.110412,0.1182,0.125512,0.075806,0.132606,0.0789,0.134206,0.090006,0.1346,0.101212,0.039894,0.0447759999999999,0.045,0.0,0.043694,0.0454,0.0471,0.0452
2,0.043341,0.065832,0.064532,0.064532,0.0564,0.061,0.0652,0.0669,0.0689,0.090756,0.0817,0.0861,0.088,0.069468,0.089956,0.069556,0.091056,0.070756,0.090856,0.075756,0.075824,0.1211,0.1018,0.106536,0.1106,0.077356,0.116056,0.0801,0.1194,0.089,0.1211,0.096168,0.079,0.1389,0.1147,0.121759,0.128759,0.079777,0.135659,0.083159,0.138477,0.094659,0.1389,0.105359,0.042941,0.047864,0.0467,0.0473,0.045841,0.0481,0.048835,0.0496319999999999
3,0.046588,0.0697,0.069976,0.069,0.0589759999999999,0.0631,0.06736,0.069,0.0717,0.092708,0.084008,0.0883,0.0899,0.072408,0.091908,0.072508,0.092808,0.0748,0.092908,0.078508,0.079508,0.1227,0.104616,0.109208,0.1134,0.0806,0.1188,0.0836,0.120808,0.0937,0.1227,0.100008,0.082212,0.141212,0.117712,0.125412,0.131212,0.084,0.138324,0.0873,0.140812,0.099512,0.141212,0.1089239999999999,0.045,0.051,0.049876,0.048276,0.0478,0.05,0.0506,0.0512759999999999
4,0.049735,0.07222,0.0712,0.0716,0.0611,0.0655,0.07155,0.0714,0.07366,0.0942,0.0864,0.08996,0.0917,0.0743,0.09366,0.0754,0.0944,0.0777,0.0944,0.08186,0.0823,0.1246,0.1073,0.1118,0.1154,0.083,0.1204,0.08626,0.1219,0.09586,0.1246,0.10236,0.085265,0.1428299999999999,0.1208,0.1279,0.1332,0.0872,0.1401,0.089665,0.1425,0.1023,0.1428299999999999,0.112065,0.0466,0.0523,0.0519,0.052,0.0495,0.0512,0.0529,0.0526
5,0.0523,0.0744639999999999,0.073764,0.0735,0.063264,0.0676819999999999,0.0743699999999999,0.0738,0.0758,0.0959,0.088312,0.092124,0.0937,0.0762,0.095624,0.077524,0.096312,0.079812,0.095812,0.0853,0.084724,0.1259,0.1088,0.113112,0.1167,0.0862,0.121712,0.0887,0.1231,0.097812,0.1258,0.104,0.087718,0.1444,0.122718,0.1296,0.1347179999999999,0.0896,0.1417,0.0922,0.144,0.105118,0.1444,0.1141,0.0476,0.0541279999999999,0.0534,0.0532,0.0516,0.0524,0.0543,0.0538
6,0.0543,0.080708,0.0788,0.078008,0.064629,0.0694,0.0758,0.078432,0.077728,0.0975,0.090964,0.0941,0.0958,0.0783,0.0978,0.079664,0.098064,0.082,0.0976,0.0872,0.086928,0.126964,0.110392,0.114264,0.1182,0.088528,0.1229,0.090064,0.1246,0.0992,0.1267,0.1056,0.0893,0.1457,0.1242,0.1308,0.135871,0.091213,0.1429,0.094671,0.1451,0.106671,0.1457,0.1161,0.0487,0.059716,0.0618,0.061108,0.0526,0.0539,0.0556,0.056132
7,0.056676,0.084052,0.087252,0.0899,0.066176,0.071876,0.07892,0.0843,0.079716,0.098716,0.093316,0.095916,0.097916,0.080016,0.0993,0.0811,0.099216,0.084916,0.0989,0.089516,0.089,0.128,0.111648,0.116116,0.1198,0.0899,0.124,0.091816,0.1255,0.1008,0.127816,0.107,0.090824,0.147124,0.1255,0.1319239999999999,0.137148,0.0929,0.144124,0.0961,0.146524,0.1088,0.147124,0.1176,0.0498,0.0624,0.0643,0.067952,0.0539,0.0548759999999999,0.05726,0.0603
8,0.059,0.0874959999999999,0.092192,0.0957,0.0682,0.0744,0.0844,0.0866,0.0812,0.0999,0.095068,0.097668,0.0993,0.0819,0.1008,0.082768,0.1005,0.0871,0.1,0.091468,0.0904,0.1289,0.1132,0.117736,0.1206,0.0912,0.125,0.093268,0.1264,0.102,0.1286,0.1088,0.0929769999999999,0.148577,0.1267,0.1329,0.1384,0.095277,0.1449,0.0982,0.1476,0.1099,0.148577,0.1194,0.0507,0.063896,0.0674879999999999,0.0710959999999999,0.0552,0.0559,0.05921,0.063496
9,0.06117,0.09094,0.0945,0.0977,0.0705,0.0766,0.089,0.09094,0.0827,0.10092,0.0962,0.09892,0.1006,0.0834,0.1016,0.08442,0.1015,0.08842,0.1012,0.093,0.0919,0.12962,0.1147,0.1188,0.12162,0.09262,0.1258,0.09472,0.1274,0.1035,0.1294,0.10992,0.09483,0.14993,0.12783,0.1341,0.1393,0.09696,0.1458,0.1001,0.1487,0.1121,0.14993,0.12133,0.0521,0.066,0.0702,0.07194,0.0561,0.05754,0.064,0.06444
