percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.046806,0.1305,0.1319,0.136806,0.062515,0.0843,0.108439,0.130303,0.11857,0.101178,0.119046,0.11099,0.106156,0.119134,0.101178,0.119634,0.101178,0.116338,0.101178,0.123334,0.13328,0.124078,0.133786,0.129136,0.124768,0.1328119999999999,0.124078,0.131278,0.124078,0.130502,0.124078,0.137924,0.14349,0.143378,0.145536,0.143056,0.1433,0.145778,0.143378,0.143556,0.143378,0.142256,0.143378,0.148778,0.067727,0.122103,0.13183,0.135203,0.085645,0.096403,0.106612,0.124503
1,0.06536,0.13403,0.1398,0.1388,0.091606,0.101418,0.1244,0.134112,0.154992,0.12368,0.167192,0.147324,0.130912,0.159036,0.12368,0.164156,0.12368,0.170012,0.12368,0.175468,0.1632,0.14746,0.181068,0.17544,0.159268,0.164456,0.14746,0.166724,0.14746,0.173756,0.14746,0.177568,0.163656,0.182148,0.183412,0.185912,0.187312,0.165156,0.182148,0.168156,0.182148,0.175436,0.182148,0.178968,0.1045239999999999,0.142406,0.149806,0.1553,0.1199,0.1274,0.136812,0.1362
2,0.076618,0.1404,0.145,0.1457,0.102627,0.113609,0.131218,0.1373,0.172068,0.1922,0.185202,0.188234,0.189834,0.173234,0.1922,0.1759,0.1922,0.183834,0.1922,0.18507,0.174334,0.1953,0.1885,0.190234,0.1928,0.175668,0.1953,0.179802,0.1953,0.185234,0.1953,0.1879019999999999,0.173334,0.1984,0.191934,0.1939,0.1962,0.175734,0.1984,0.179134,0.1984,0.185868,0.1984,0.1895,0.1172359999999999,0.151918,0.156518,0.1585,0.1323,0.135109,0.145009,0.1482
3,0.084412,0.145112,0.1511,0.158512,0.112812,0.123712,0.138112,0.141012,0.1798239999999999,0.198112,0.1942,0.1959,0.197136,0.181436,0.198112,0.184324,0.198112,0.189836,0.198112,0.193436,0.1819,0.200736,0.19706,0.198812,0.199912,0.183612,0.200736,0.186812,0.200736,0.192848,0.200736,0.195924,0.1825,0.204636,0.199012,0.202,0.20316,0.184812,0.204636,0.1879,0.204636,0.194012,0.204636,0.197,0.125,0.158924,0.1611,0.165636,0.1375,0.1429,0.151036,0.151812
4,0.091715,0.1484,0.1561,0.1615,0.11983,0.12853,0.144115,0.143715,0.18518,0.20516,0.1996,0.2035,0.2051899999999999,0.1880899999999999,0.20516,0.19099,0.20516,0.198,0.20516,0.1973,0.1874,0.21072,0.20366,0.20628,0.20789,0.18989,0.21072,0.1926,0.21072,0.19929,0.21072,0.20189,0.1898,0.2137899999999999,0.2065,0.20909,0.21128,0.1915899999999999,0.2137899999999999,0.1941,0.2137899999999999,0.19946,0.2137899999999999,0.2034899999999999,0.1302,0.1648,0.16576,0.1708,0.1419,0.149815,0.155,0.161045
5,0.0983,0.154218,0.162,0.1635,0.1247,0.135354,0.1493,0.1477,0.1907,0.214968,0.207868,0.210968,0.2117,0.193804,0.214968,0.196468,0.214968,0.202368,0.214968,0.203768,0.1936,0.217268,0.2109359999999999,0.214268,0.215368,0.196168,0.217268,0.198268,0.217268,0.2041,0.217268,0.206868,0.194568,0.218468,0.2122,0.2149,0.216868,0.196736,0.218468,0.1986,0.218468,0.205168,0.218468,0.207768,0.134018,0.1672179999999999,0.1720179999999999,0.1727,0.1465,0.1539,0.1589,0.1657
6,0.1034,0.160721,0.167121,0.167121,0.130321,0.140642,0.151942,0.153,0.195,0.221046,0.213492,0.217346,0.2189,0.1986,0.221046,0.2022,0.221046,0.207646,0.221046,0.209046,0.1974,0.222146,0.214946,0.2188,0.221,0.2002,0.222146,0.2037,0.222146,0.209546,0.222146,0.2116,0.1984,0.223146,0.215746,0.2205,0.222646,0.201,0.223146,0.204092,0.223146,0.209392,0.223146,0.212446,0.137321,0.1697,0.174521,0.175121,0.150305,0.1572,0.162721,0.168121
7,0.1063,0.169,0.170324,0.174948,0.1347,0.144224,0.156924,0.16182,0.199124,0.224324,0.217924,0.2208,0.2224239999999999,0.2022,0.2243,0.205748,0.224324,0.212424,0.224324,0.214,0.2014,0.227748,0.2191,0.2224,0.225324,0.204624,0.227748,0.207624,0.227748,0.2138,0.227748,0.215924,0.2019,0.228524,0.221324,0.224224,0.2272,0.205824,0.228524,0.2085,0.228524,0.214,0.228524,0.218,0.140824,0.1732,0.178024,0.1802,0.154324,0.161,0.167524,0.1714
8,0.110881,0.174054,0.1763,0.1788539999999999,0.137927,0.1483,0.1615,0.167127,0.202602,0.227002,0.220802,0.2235,0.2258,0.206,0.226804,0.2091,0.227002,0.215702,0.227002,0.2181,0.205102,0.230602,0.2232,0.226402,0.228802,0.2087,0.230602,0.210804,0.230602,0.2177,0.230602,0.219902,0.2059,0.2326,0.2248,0.2284,0.230602,0.2091,0.2326,0.2119,0.2326,0.2181,0.2326,0.2212,0.144127,0.1783269999999999,0.1804,0.183354,0.157127,0.164027,0.171027,0.175827
9,0.1146,0.177,0.1803,0.18573,0.14193,0.1528,0.16573,0.1722,0.20568,0.2302,0.22438,0.2266,0.22858,0.20958,0.23018,0.21228,0.2302,0.21868,0.2302,0.22148,0.2084,0.23338,0.2266,0.2291,0.23148,0.2116,0.23338,0.21468,0.23338,0.22088,0.23338,0.2237,0.2085,0.2352,0.22776,0.23088,0.2337,0.21188,0.2352,0.21528,0.2352,0.22098,0.2352,0.22508,0.14723,0.18243,0.18373,0.18773,0.16003,0.166,0.174,0.1794
