percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.047882,0.1115,0.1155,0.118,0.067064,0.074282,0.09288,0.1036,0.110026,0.1158039999999999,0.1154,0.116326,0.1166,0.110152,0.1158039999999999,0.110456,0.1158039999999999,0.1117519999999999,0.1158039999999999,0.113326,0.129181,0.134881,0.132327,0.1337,0.134508,0.129427,0.134881,0.129181,0.134881,0.127454,0.134881,0.13,0.1302,0.14216,0.13766,0.14036,0.14192,0.13023,0.14216,0.13105,0.14216,0.13226,0.14216,0.1343,0.081746,0.114031,0.1161,0.1170939999999999,0.0922819999999999,0.0967,0.104371,0.111551
1,0.057364,0.113,0.1182,0.119586,0.0756,0.0849,0.0978,0.1091,0.118104,0.1206,0.122004,0.1219,0.1212,0.118752,0.1206,0.119104,0.1206,0.119952,0.1206,0.1205519999999999,0.1348,0.139,0.137254,0.138754,0.139,0.134854,0.139,0.1352,0.139,0.134354,0.139,0.135554,0.1356,0.1479,0.14266,0.14632,0.14742,0.13592,0.1479,0.13686,0.1479,0.13746,0.1479,0.1398,0.0877,0.1153,0.1174,0.1188,0.0968,0.100728,0.108742,0.1141
2,0.0636,0.1156,0.1199,0.1212,0.080646,0.090246,0.10241,0.11395,0.1226,0.124278,0.1264,0.1263,0.125278,0.122756,0.124278,0.1237559999999999,0.124278,0.125478,0.124278,0.1257,0.1388,0.142724,0.140481,0.1418,0.1424,0.139324,0.142724,0.1397,0.142724,0.139281,0.142724,0.139181,0.14009,0.15169,0.1473,0.1494899999999999,0.15069,0.1407,0.15169,0.14139,0.15169,0.14159,0.15169,0.1449899999999999,0.091446,0.1173,0.119,0.1218,0.0997,0.103546,0.1106,0.1151
3,0.0672,0.1187,0.1211,0.1226,0.084028,0.0932,0.1067,0.1156,0.127804,0.1277,0.129708,0.1301,0.128804,0.128004,0.1277,0.128508,0.1277,0.1301,0.1277,0.13,0.142608,0.1452,0.143808,0.1449,0.145208,0.14274,0.1452,0.1434,0.1452,0.142616,0.1452,0.143308,0.1436,0.1541199999999999,0.15062,0.1522,0.15342,0.14392,0.1541199999999999,0.14544,0.1541199999999999,0.1454,0.1541199999999999,0.1481,0.0945,0.1192,0.1205,0.1229,0.1018,0.1055,0.112584,0.1164
4,0.0705099999999999,0.1203,0.1225,0.1239,0.08771,0.0959,0.1102,0.1178,0.13113,0.13143,0.13263,0.13293,0.1322,0.1314,0.13143,0.1319,0.13143,0.13346,0.13143,0.1327,0.145135,0.148035,0.146835,0.1479,0.148035,0.1454,0.148035,0.146,0.148035,0.146,0.148035,0.1458,0.1473,0.1562,0.1535,0.15495,0.1555,0.1478,0.1562,0.1482,0.1562,0.1487,0.1562,0.1508,0.097,0.12,0.121865,0.1237,0.1040099999999999,0.10801,0.1145,0.1182
5,0.074192,0.1223,0.1237,0.1253,0.0913,0.098984,0.1124,0.119,0.1341,0.1339,0.134956,0.135,0.1346,0.1343,0.1339,0.135,0.1339,0.1357,0.1339,0.1349,0.1474,0.150362,0.1496,0.1499,0.1503,0.1481,0.150362,0.1483,0.150362,0.148462,0.150362,0.148362,0.1499,0.158,0.1554,0.15688,0.1579,0.1503,0.158,0.151,0.158,0.15178,0.158,0.15328,0.0990919999999999,0.1207,0.123578,0.1245,0.1057,0.1098,0.115926,0.1202
6,0.0772,0.1248,0.1253,0.126751,0.0944,0.1019,0.11499,0.12045,0.136164,0.1355,0.1368,0.137282,0.1364,0.1364,0.1355,0.137082,0.1355,0.138082,0.1355,0.1376,0.1499,0.1527,0.1511,0.1522,0.1527,0.15,0.1527,0.1502,0.1527,0.1506,0.1527,0.1506,0.1522,0.1595,0.15771,0.1587,0.1592,0.1526,0.1595,0.15341,0.1595,0.1538,0.1595,0.15541,0.1007,0.1223,0.1248,0.1252,0.107274,0.111774,0.117,0.121457
7,0.0798,0.1269,0.127896,0.1305,0.097212,0.105,0.1169,0.1223,0.138508,0.137,0.1391,0.1389159999999999,0.138016,0.1387,0.137,0.1395,0.137,0.140208,0.137,0.1401,0.1514,0.1542,0.1531,0.1537,0.1543,0.1516,0.1542,0.151916,0.1542,0.1525,0.1542,0.1523,0.1541,0.1614,0.15934,0.1608,0.1613,0.1546,0.1614,0.1551,0.1614,0.1554,0.1614,0.15704,0.1024,0.1245,0.125804,0.126352,0.1088,0.113,0.1185,0.1227
8,0.082138,0.1279,0.1295079999999999,0.1336,0.0995,0.1075,0.11853,0.12425,0.140634,0.1384,0.1413,0.1406,0.139734,0.1411,0.1384,0.1418,0.1384,0.1426,0.1384,0.1423,0.1528,0.1558,0.1548,0.155243,0.1558,0.153,0.1558,0.153843,0.1558,0.1539,0.1558,0.1541,0.1558,0.16307,0.1611,0.1621,0.1625,0.1562,0.16307,0.1569,0.16307,0.15724,0.16307,0.1592,0.103838,0.1259,0.1267,0.1285,0.1103,0.1141,0.119639,0.1233
9,0.0844,0.12891,0.1321,0.1353,0.10122,0.11,0.1201,0.1257,0.1427,0.13986,0.1426,0.142,0.14096,0.1428,0.13986,0.1436,0.13986,0.1443,0.13986,0.14366,0.1546,0.157,0.1559,0.1565,0.1567,0.1548,0.157,0.1553,0.157,0.1552,0.157,0.15554,0.1577,0.1644,0.1623,0.1636,0.1641,0.1583,0.1644,0.1589,0.1644,0.1592,0.1644,0.1604,0.105,0.1271,0.1273,0.1293,0.11202,0.1151,0.1208,0.1244
10,0.0863,0.1301,0.1345,0.1364,0.1032,0.111702,0.1211,0.1268,0.1444,0.1411,0.144186,0.1434,0.1422,0.1447,0.1411,0.1452,0.1411,0.146,0.1411,0.1451,0.1562,0.158097,0.156997,0.1576,0.1578,0.1564,0.158097,0.1567,0.158097,0.156497,0.158097,0.1567,0.1593,0.1658,0.1636,0.1652,0.1658,0.1597,0.1658,0.1602,0.1658,0.161,0.1658,0.1616,0.1064,0.128041,0.1289,0.1299,0.1133,0.1159,0.1219,0.1256
11,0.0885,0.131172,0.135544,0.1373,0.105,0.114,0.1228,0.128,0.1459,0.1425,0.145512,0.1446,0.1435,0.146312,0.1425,0.147012,0.1425,0.147612,0.1425,0.1465,0.1575,0.1592,0.157824,0.158924,0.159024,0.1576,0.1592,0.1578,0.1592,0.1578,0.1592,0.1578,0.16096,0.1675,0.16546,0.1666,0.1675,0.16126,0.1675,0.1616,0.1675,0.1622,0.1675,0.16326,0.108184,0.1291,0.130256,0.1304,0.1145,0.1170679999999999,0.1234519999999999,0.1268
12,0.0907,0.132703,0.136556,0.1379,0.1068,0.115466,0.1245,0.12945,0.1477,0.1439,0.1467,0.145838,0.1448,0.1481,0.1439,0.1489,0.1439,0.1491,0.1439,0.1477,0.158751,0.1602,0.1593,0.1598,0.1602,0.159,0.1602,0.1593,0.1602,0.159,0.1602,0.159,0.16229,0.1691,0.1668,0.1682,0.169,0.1626,0.1691,0.1628,0.1691,0.1635,0.1691,0.1649,0.1094,0.13,0.131,0.1313,0.1157,0.1183,0.1247,0.1279
13,0.092848,0.135334,0.137468,0.1387,0.1088,0.117048,0.1256,0.131,0.1493,0.1451,0.148064,0.1469,0.145964,0.1498,0.1451,0.1503,0.1451,0.1503,0.1451,0.1491,0.160178,0.161,0.160278,0.1608,0.1611,0.1602,0.161,0.160578,0.161,0.1604,0.161,0.159978,0.16352,0.1708,0.1681,0.17,0.17062,0.1641,0.1708,0.16442,0.1708,0.1651,0.1708,0.16652,0.1107,0.1306,0.1318,0.1321,0.1167,0.1197,0.126,0.1289
14,0.09523,0.1366649999999999,0.1389,0.1396,0.11093,0.1185,0.1266,0.1328,0.1508,0.14629,0.14919,0.148,0.1471,0.15119,0.14629,0.15169,0.14629,0.1517,0.14629,0.1502,0.1615,0.162,0.1612,0.1618,0.162,0.1619,0.162,0.1622,0.162,0.1618,0.162,0.1613,0.1655,0.17215,0.1696,0.1715,0.1721,0.1661,0.17215,0.1661,0.17215,0.1665,0.17215,0.1679,0.112,0.131465,0.1324,0.13321,0.1179,0.1214,0.126965,0.1302
15,0.097112,0.1376,0.1397,0.1404,0.112612,0.1205,0.1279,0.134,0.1525,0.1474,0.1504,0.1492,0.1481,0.1529,0.1474,0.1532,0.1474,0.1532,0.1474,0.1512,0.1628,0.163032,0.1622,0.1628,0.1629,0.1632,0.163032,0.1634,0.163032,0.163032,0.163032,0.1623,0.1669,0.1734,0.1707,0.1726,0.1734,0.1677,0.1734,0.1674,0.1734,0.1678,0.1734,0.1692,0.1133,0.1322,0.133,0.1346,0.119,0.1227,0.1278,0.1314
16,0.099,0.138527,0.140504,0.1416,0.1142,0.122,0.12949,0.13545,0.1537,0.1486,0.151642,0.1507,0.1494,0.1541,0.1486,0.1545,0.1486,0.154542,0.1486,0.1527,0.1641,0.1638,0.1633,0.1636,0.163759,0.1646,0.1638,0.1646,0.1638,0.1642,0.1638,0.163,0.1685,0.1748,0.1719,0.1739,0.1746,0.16901,0.1748,0.16881,0.1748,0.16901,0.1748,0.1703,0.1146,0.133,0.134121,0.1356,0.1201,0.1239,0.1288,0.1321
17,0.1007,0.1397,0.1414,0.1432,0.1157,0.123476,0.13146,0.1372,0.155168,0.15,0.1527,0.1519,0.1506,0.1555679999999999,0.15,0.155768,0.15,0.1557,0.15,0.1538,0.165386,0.1646,0.1643,0.1646,0.1646,0.1657,0.1646,0.1657,0.1646,0.1652,0.1646,0.164,0.1696399999999999,0.176,0.17304,0.1748,0.1758,0.17024,0.176,0.1702,0.176,0.1703,0.176,0.17144,0.115676,0.1339,0.1353339999999999,0.137,0.1213,0.1251,0.129778,0.1328
