percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.127396,0.275169,0.277548,0.299484,0.180236,0.222624,0.2425439999999999,0.26037,0.337824,0.32656,0.329484,0.328518,0.328536,0.337824,0.32656,0.339908,0.32656,0.340866,0.32656,0.331354,0.370706,0.387368,0.383946,0.384892,0.38736,0.371806,0.387368,0.3740739999999999,0.387368,0.38609,0.387368,0.385228,0.36429,0.3964519999999999,0.39209,0.398272,0.398654,0.364844,0.3964519999999999,0.369762,0.3964519999999999,0.394354,0.3964519999999999,0.394054,0.236588,0.30731,0.318149,0.325158,0.2598,0.2776,0.290648,0.307391
1,0.140416,0.2848,0.311292,0.307412,0.205284,0.236396,0.257444,0.27898,0.357624,0.349312,0.352332,0.350348,0.351524,0.357624,0.349312,0.36,0.349312,0.3597,0.349312,0.356372,0.384112,0.395968,0.39548,0.397752,0.39726,0.384392,0.395968,0.387384,0.395968,0.39662,0.395968,0.39616,0.3814079999999999,0.4056,0.405644,0.406072,0.406736,0.382424,0.405744,0.386572,0.405744,0.4024,0.4056,0.4073,0.249228,0.3246,0.327796,0.3314,0.27359,0.287528,0.308124,0.310746
2,0.153192,0.311914,0.319332,0.316152,0.224442,0.2506859999999999,0.267061,0.28864,0.367618,0.357118,0.3650899999999999,0.362418,0.359754,0.3677,0.357118,0.371118,0.357118,0.37549,0.357118,0.372436,0.395738,0.401038,0.408138,0.404938,0.4033,0.395538,0.401038,0.397314,0.401038,0.403876,0.401038,0.410338,0.3980019999999999,0.4117159999999999,0.411508,0.412054,0.4125,0.3980019999999999,0.411954,0.399308,0.411954,0.409462,0.4117159999999999,0.414408,0.2588959999999999,0.3293299999999999,0.336547,0.339887,0.28847,0.296996,0.317972,0.323784
3,0.171052,0.323428,0.327192,0.32466,0.237352,0.25672,0.2817,0.31236,0.376968,0.3646439999999999,0.374724,0.372672,0.369948,0.3775,0.3646439999999999,0.380072,0.3646439999999999,0.388096,0.3646439999999999,0.386224,0.404752,0.4074839999999999,0.414968,0.411068,0.4104,0.405304,0.4074839999999999,0.405684,0.4074839999999999,0.411,0.4074839999999999,0.417452,0.408672,0.418472,0.416872,0.416,0.417088,0.409132,0.4185,0.408176,0.4185,0.414616,0.418472,0.4194,0.271852,0.33634,0.34108,0.347,0.298656,0.307556,0.327148,0.3321
4,0.18118,0.330145,0.33574,0.33264,0.2482,0.26523,0.291765,0.32355,0.38581,0.37642,0.38356,0.3816,0.37828,0.38743,0.37642,0.39113,0.37642,0.39559,0.37642,0.39446,0.41585,0.4174299999999999,0.4204299999999999,0.41646,0.41509,0.41646,0.4174299999999999,0.4167,0.4174299999999999,0.41813,0.4174299999999999,0.422,0.41539,0.4224,0.421,0.42069,0.42239,0.41585,0.42249,0.4153,0.42249,0.41936,0.4224,0.42447,0.27974,0.3431,0.353175,0.3548,0.308675,0.31696,0.33456,0.3418549999999999
5,0.19182,0.340012,0.339576,0.3467719999999999,0.258384,0.274046,0.306664,0.33194,0.39548,0.388272,0.393136,0.389424,0.388388,0.396436,0.388272,0.398208,0.388272,0.402072,0.388272,0.401488,0.424176,0.422752,0.4238,0.422676,0.422952,0.4248,0.422752,0.424152,0.422752,0.425152,0.422752,0.427,0.423808,0.4279,0.4267,0.424816,0.4277,0.424016,0.42794,0.423308,0.42794,0.426608,0.4279,0.430316,0.289028,0.3532,0.363188,0.3610739999999999,0.3152,0.327092,0.340932,0.351546
6,0.205424,0.3466,0.349644,0.359124,0.266366,0.284951,0.313854,0.3391,0.403984,0.392426,0.402342,0.395984,0.396084,0.4046,0.392426,0.405268,0.392426,0.408284,0.392426,0.407984,0.433844,0.4284,0.430322,0.42941,0.429922,0.434644,0.4284,0.430708,0.4284,0.432142,0.4284,0.433066,0.430726,0.433978,0.4333,0.4324,0.4342,0.431326,0.434226,0.433052,0.434226,0.434826,0.433978,0.436052,0.296408,0.37046,0.366,0.372906,0.320719,0.3377,0.348284,0.364048
7,0.2164559999999999,0.353204,0.36,0.368892,0.275308,0.294796,0.3266759999999999,0.34412,0.409,0.397744,0.4084,0.4043,0.401844,0.4098,0.397744,0.4111,0.397744,0.4135,0.397744,0.413532,0.440344,0.435008,0.435536,0.436668,0.435736,0.441268,0.435008,0.438,0.435008,0.439272,0.435008,0.4398,0.437932,0.441232,0.440932,0.4408,0.44184,0.43942,0.441444,0.440444,0.441444,0.443952,0.441232,0.442688,0.303208,0.37752,0.378628,0.3787,0.3273359999999999,0.34248,0.353096,0.3743
8,0.225696,0.361278,0.369932,0.390056,0.282842,0.299979,0.3367,0.3489,0.4159859999999999,0.404954,0.413054,0.408654,0.4071079999999999,0.416554,0.405054,0.416554,0.405054,0.418854,0.404954,0.417908,0.450428,0.441456,0.448814,0.444656,0.4432839999999999,0.4514,0.441456,0.4498419999999999,0.441456,0.451714,0.441456,0.4544,0.445262,0.4512,0.4501099999999999,0.450872,0.451548,0.448662,0.451262,0.449324,0.4512,0.451548,0.4512,0.452862,0.3087,0.38103,0.383282,0.385561,0.3321,0.347688,0.359864,0.3787379999999999
9,0.22998,0.37714,0.3780799999999999,0.39776,0.29108,0.30382,0.34511,0.3568,0.423,0.4102,0.41614,0.4139,0.4116,0.42562,0.41026,0.42436,0.41026,0.4257,0.4102,0.42252,0.45684,0.449,0.46054,0.4562,0.45112,0.45764,0.449,0.45866,0.449,0.46618,0.449,0.46666,0.4517799999999999,0.4578,0.45976,0.45964,0.45756,0.4552799999999999,0.4578,0.45592,0.4578,0.46258,0.4578,0.46166,0.31348,0.3852,0.38918,0.3881,0.33749,0.35272,0.3685,0.38211
