percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0127,0.0,0.0,0.0,0.0187,0.0213,0.0244,0.0268,0.0189,0.0,0.0,0.0,0.0206,0.021744,0.023644,0.0255
1,0.0156,0.0292879999999999,0.0,0.0,0.0208,0.023044,0.0263,0.0295,0.0206,0.026244,0.0,0.0,0.0223,0.023644,0.0254439999999999,0.0263
2,0.017932,0.0311159999999999,0.0309,0.0,0.022916,0.024516,0.027532,0.0306159999999999,0.022116,0.027,0.0267,0.0,0.0239,0.0246,0.0264,0.026716
3,0.0188,0.031688,0.031688,0.0324,0.024,0.0254879999999999,0.029188,0.031988,0.0231,0.0272,0.0269,0.027,0.024488,0.0252,0.0268,0.027
4,0.0198,0.0324,0.0326,0.0331,0.02506,0.0274,0.03066,0.0326,0.02406,0.0276,0.02736,0.0273,0.0254,0.0258,0.0274,0.0275
5,0.0207,0.0333,0.033732,0.034432,0.026232,0.028,0.0312,0.033,0.024732,0.028832,0.0299,0.029732,0.0258,0.0264,0.0278,0.028
6,0.0215,0.0337,0.0347,0.035004,0.0273,0.0292,0.031904,0.0333,0.0254,0.030304,0.031,0.0317,0.0263,0.027304,0.0283,0.0295
7,0.022476,0.0342,0.035,0.0357,0.028176,0.03,0.0331,0.0336,0.0258,0.0315,0.0322,0.0333,0.0268,0.0279,0.0294519999999999,0.031728
8,0.0233,0.0351,0.035748,0.036448,0.0289479999999999,0.0306,0.0338479999999999,0.0341,0.0262,0.0324,0.033348,0.033948,0.0279,0.0286,0.0307,0.0328
9,0.02454,0.0359,0.0365,0.037,0.02972,0.0316,0.0346,0.03472,0.02654,0.0337,0.035,0.0348,0.0287,0.0292,0.0313,0.0332
10,0.026,0.0366,0.0373,0.038,0.0305,0.0325,0.0352,0.0355,0.0271919999999999,0.0342,0.0351,0.0349,0.0291,0.0297,0.0318,0.0339
11,0.0268,0.0369,0.0378,0.039,0.0312,0.0332,0.035564,0.036,0.0276,0.0349,0.0354,0.0351,0.0296,0.03,0.0322,0.0342
12,0.0278,0.0376,0.038436,0.0398,0.0319,0.0339,0.0358,0.0366,0.0281,0.0355,0.0356,0.0353,0.030236,0.031036,0.0327,0.0345
13,0.0283,0.0381,0.0393,0.0404,0.0323,0.0347,0.0361,0.0369,0.028508,0.0358,0.0357,0.035908,0.0306,0.031508,0.0331,0.035008
14,0.02888,0.0389,0.04048,0.04108,0.0328,0.0351,0.0365,0.0372,0.029,0.036,0.0359,0.0363,0.03098,0.032,0.0335,0.03588
15,0.029552,0.0394519999999999,0.0414,0.0417,0.0337,0.0355,0.0369,0.0377,0.0297,0.0362,0.0361,0.0367,0.031552,0.0324,0.0343,0.0364
16,0.030224,0.040672,0.042,0.0423,0.0343,0.0359,0.0373,0.0384,0.0303,0.0363,0.0363,0.0371,0.0319,0.033024,0.0352,0.0367
17,0.031,0.0413,0.0423,0.0428,0.0348959999999999,0.0362,0.0377,0.039,0.0308,0.0364959999999999,0.0365,0.0373,0.0323,0.0334,0.036,0.0369
