percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.064954,0.139755,0.1541519999999999,0.1578,0.091377,0.098408,0.12403,0.13455,0.154452,0.186004,0.181052,0.1846519999999999,0.185452,0.157504,0.1858,0.1615039999999999,0.186004,0.168352,0.186004,0.176,0.1626,0.187053,0.1823,0.185,0.1861529999999999,0.164053,0.187053,0.166553,0.187053,0.17,0.187053,0.176553,0.155752,0.185852,0.1802,0.1831,0.1854039999999999,0.160052,0.1858,0.163352,0.185852,0.167552,0.185852,0.175204,0.106654,0.147231,0.1512,0.1549,0.120277,0.127177,0.138671,0.146553
1,0.0771,0.1563719999999999,0.160352,0.162772,0.101986,0.117354,0.13938,0.1425,0.164804,0.19,0.1857,0.189104,0.189904,0.166504,0.19,0.1682,0.19,0.174904,0.19,0.181804,0.170506,0.191006,0.1854,0.1886,0.189506,0.171306,0.1906,0.1727179999999999,0.191006,0.177812,0.191006,0.183206,0.167804,0.19,0.184008,0.187204,0.1885,0.1691,0.19,0.171008,0.19,0.176608,0.19,0.181308,0.115754,0.153,0.154828,0.157388,0.125854,0.132254,0.145542,0.151202
2,0.085062,0.1613,0.1639,0.166079,0.1117,0.125231,0.1443,0.15245,0.1705,0.1931,0.1896,0.1919,0.1927,0.1717,0.1931,0.1733,0.1931,0.181856,0.1931,0.186056,0.177,0.194318,0.1892,0.192259,0.193518,0.178359,0.194159,0.179459,0.194318,0.184159,0.194318,0.187359,0.174668,0.193856,0.187712,0.1907,0.192756,0.176256,0.193756,0.177912,0.193856,0.182556,0.193856,0.185756,0.121,0.1569,0.158,0.1601,0.1309,0.137731,0.149113,0.1532
3,0.091408,0.1664,0.1664,0.1674,0.118116,0.130708,0.1471,0.1586,0.1761,0.196808,0.193508,0.1962,0.196516,0.177416,0.197,0.179408,0.197,0.186,0.196808,0.189708,0.1822,0.1995,0.194112,0.196412,0.197512,0.1828,0.1992239999999999,0.183312,0.1995,0.1878,0.1995,0.19,0.179108,0.1998,0.192216,0.195516,0.1972,0.180308,0.198908,0.181808,0.1998,0.1864,0.1998,0.1889,0.127,0.1595,0.1619,0.1624,0.1352,0.1433,0.1535,0.155704
4,0.096485,0.1685,0.1706,0.1688,0.122485,0.1346699999999999,0.15045,0.1624,0.1805,0.201,0.1973,0.19978,0.20036,0.18196,0.2015,0.1834,0.2016,0.19006,0.201,0.1933,0.1854,0.2032,0.198,0.2012,0.2023,0.186,0.203,0.1863,0.2032,0.191865,0.2032,0.193865,0.183,0.20386,0.19786,0.20136,0.20206,0.18426,0.20366,0.1855,0.20386,0.1894,0.20386,0.19216,0.131085,0.1613,0.16477,0.16487,0.139,0.146685,0.157755,0.1606
5,0.1016,0.171372,0.1736,0.1709,0.128424,0.1393,0.1547,0.1665,0.183912,0.2049,0.2007,0.203712,0.204412,0.185824,0.205,0.187712,0.205,0.1934,0.2049,0.196024,0.1887,0.206918,0.2016,0.2052179999999999,0.2058,0.189518,0.206418,0.190136,0.2067,0.194836,0.206918,0.1969,0.185812,0.2071,0.202012,0.204624,0.205724,0.1875,0.2071,0.189012,0.2071,0.193112,0.2071,0.196112,0.134462,0.163886,0.1666,0.169,0.143762,0.150124,0.1604,0.164
6,0.105217,0.175334,0.176191,0.1743,0.131939,0.143578,0.1588,0.1688,0.1874,0.2085,0.203964,0.206964,0.207664,0.189264,0.2085,0.191,0.208564,0.197164,0.2085,0.19962,0.191771,0.211,0.205571,0.207542,0.208471,0.192671,0.210184,0.193771,0.210571,0.197742,0.211,0.200442,0.189264,0.2112,0.2047,0.2077,0.208864,0.190664,0.2109,0.191864,0.2112,0.196164,0.2112,0.1996,0.1369,0.167,0.168698,0.1711,0.1467,0.154139,0.1618,0.1668
7,0.108932,0.1774,0.1785,0.1779,0.1351,0.147316,0.1626,0.172,0.1905,0.2117,0.2071,0.2093,0.2101,0.1926,0.211616,0.195016,0.211716,0.199916,0.2117,0.2032,0.1945,0.215724,0.208224,0.211,0.2126,0.195824,0.214648,0.1978,0.2154,0.2001,0.215724,0.204224,0.192316,0.214516,0.2073,0.2113,0.212916,0.193932,0.2142,0.195,0.214516,0.1987,0.214516,0.2032,0.1396,0.1703,0.172,0.1725519999999999,0.1496,0.157116,0.1635,0.1689
8,0.1136929999999999,0.179579,0.1803,0.185537,0.139,0.1507,0.1662,0.17565,0.1943679999999999,0.2159,0.2099,0.2122679999999999,0.2137,0.1961,0.2154,0.198736,0.2159,0.202368,0.2159,0.2065,0.1973539999999999,0.218177,0.2106,0.214177,0.2154,0.1986,0.2174,0.200754,0.217677,0.2027,0.218177,0.2077,0.1948679999999999,0.2180679999999999,0.2102679999999999,0.2142,0.2159,0.197,0.2177,0.199,0.218,0.201668,0.2180679999999999,0.205668,0.1427,0.1745,0.1767,0.1755,0.1533,0.16,0.1664,0.170959
9,0.11884,0.18322,0.18586,0.19453,0.1422,0.1540699999999999,0.1681,0.1783,0.19732,0.219,0.2124,0.21512,0.2169,0.19904,0.21824,0.2024,0.219,0.20572,0.219,0.20912,0.2006,0.2206,0.21346,0.21633,0.218,0.20143,0.2197,0.2036,0.2202,0.2058,0.2206,0.2102,0.19772,0.22022,0.2126,0.21612,0.2178,0.2001,0.2197,0.2019,0.22002,0.20452,0.22022,0.2081,0.14577,0.17661,0.179,0.1796,0.15677,0.162,0.1696,0.1729
10,0.122547,0.1865,0.187643,0.1982,0.145141,0.1568,0.1708,0.1811,0.200472,0.2221,0.215472,0.217872,0.2194,0.202972,0.221272,0.2054,0.2218,0.208472,0.2221,0.211472,0.2036,0.2224,0.2164,0.2187,0.2202,0.204583,0.221483,0.205683,0.222,0.2087,0.2224,0.212,0.201072,0.2225,0.2146,0.2181,0.219672,0.2031,0.2215,0.204372,0.2221,0.2074,0.2225,0.2104,0.1487,0.1797,0.180754,0.1819,0.158947,0.165,0.171681,0.175
11,0.125524,0.1893,0.191356,0.2007159999999999,0.1485,0.159724,0.1732,0.184,0.2037,0.2244,0.217924,0.220424,0.2218,0.205924,0.2238,0.2079,0.224,0.2112,0.2244,0.214324,0.205836,0.224772,0.218,0.2206,0.2222,0.2075,0.2237,0.208436,0.224236,0.211236,0.224772,0.2148,0.204124,0.2243,0.2168,0.22,0.221524,0.2060239999999999,0.2235,0.2080479999999999,0.224,0.21,0.2243,0.2133,0.151124,0.182,0.183268,0.1838,0.1622,0.167324,0.1740519999999999,0.1786
12,0.1294,0.1917,0.1983,0.203609,0.152401,0.162002,0.1753,0.18735,0.2061,0.2266,0.219876,0.223176,0.2244,0.207976,0.2257,0.2106,0.226276,0.2138,0.2266,0.216776,0.2092,0.226689,0.2196,0.2226,0.2241,0.2104,0.2258889999999999,0.2112,0.2264,0.2144,0.226689,0.216989,0.2075,0.225876,0.2186,0.2217,0.2235,0.209276,0.224976,0.210976,0.2256,0.2134,0.225876,0.2159,0.1536,0.1859,0.1855,0.1852,0.1649,0.1692,0.1765,0.1812
13,0.132878,0.1932,0.2015,0.206902,0.1559,0.165556,0.1787,0.1914,0.208428,0.2286,0.2218,0.225128,0.2263,0.2106,0.2277,0.2131,0.2283,0.2169,0.2286,0.219228,0.2119,0.228684,0.2216,0.224684,0.2262,0.2131,0.2276,0.2146,0.2282,0.217242,0.228684,0.2191,0.210428,0.228128,0.220828,0.2236,0.224828,0.212328,0.226828,0.2151,0.227528,0.2167,0.228128,0.2179,0.155878,0.1879,0.1875,0.1875,0.167,0.1708,0.178194,0.184828
14,0.137755,0.1955,0.2036,0.208795,0.158655,0.1683,0.1829,0.1937,0.2109,0.2307,0.22418,0.2272,0.2285,0.21308,0.2295,0.21578,0.2301,0.21968,0.2307,0.2211,0.2148,0.230995,0.2242,0.227,0.2286949999999999,0.2160949999999999,0.2296,0.2182,0.2304,0.2194,0.230995,0.2212,0.2136,0.2306,0.2229,0.22598,0.227,0.2149,0.2288599999999999,0.2181799999999999,0.2294,0.21946,0.2306,0.2204,0.1588,0.1897,0.1893,0.1915,0.1692,0.1728,0.1802649999999999,0.187
