percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0659,0.0,0.0,0.0,0.091623,0.106192,0.109623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.078406,0.0,0.0,0.0,0.099746,0.1107,0.115238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.086369,0.0,0.0,0.0,0.1079,0.1144,0.127069,0.12858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.091636,0.0,0.0,0.0,0.111984,0.118284,0.1318919999999999,0.1319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.095075,0.134825,0.0,0.0,0.1166,0.1217,0.1336,0.1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.098838,0.144,0.0,0.0,0.117876,0.124076,0.135,0.1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.102561,0.1453,0.143561,0.0,0.121361,0.1266,0.1369,0.1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1062,0.1464,0.145068,0.0,0.1244,0.1282,0.137984,0.1446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1118069999999999,0.1476,0.145907,0.144807,0.127014,0.1306,0.1397209999999999,0.146614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.11653,0.1485,0.14723,0.14948,0.13036,0.133,0.1411,0.14856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.120412,0.1499,0.149853,0.151853,0.1316,0.135106,0.142,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.122728,0.1509,0.1506,0.1532,0.132976,0.1372,0.143752,0.151276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.127199,0.151799,0.1521,0.1544,0.1351979999999999,0.139799,0.1454,0.1522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.129454,0.1528219999999999,0.1533219999999999,0.1557,0.137022,0.141844,0.1477,0.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.13349,0.1546,0.1544,0.1565,0.139735,0.1441,0.151035,0.1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.135568,0.1567,0.155836,0.1575679999999999,0.1419679999999999,0.1458,0.154868,0.1550679999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
