percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.06598,0.147054,0.153497,0.156779,0.09725,0.11322,0.1330059999999999,0.145474,0.179536,0.209668,0.187968,0.189536,0.191568,0.179736,0.196868,0.181668,0.202236,0.1864,0.21004,0.1867359999999999,0.17791,0.2081,0.184855,0.185665,0.186365,0.17921,0.191955,0.179655,0.19591,0.181475,0.2072,0.183465,0.1736,0.18531,0.1789099999999999,0.179565,0.180255,0.17426,0.1838,0.17642,0.18691,0.17671,0.185965,0.17821,0.117,0.1502,0.1562,0.1609,0.1282,0.1372,0.144459,0.149476
1,0.0841,0.157636,0.162286,0.169258,0.1117399999999999,0.12164,0.1506,0.151948,0.189736,0.220236,0.194608,0.197236,0.198436,0.190336,0.203972,0.191444,0.2112,0.195,0.220236,0.194336,0.18881,0.2155,0.18914,0.19011,0.19171,0.1889,0.19672,0.19055,0.20211,0.1915,0.2137,0.18892,0.18362,0.1901199999999999,0.18443,0.1844,0.18533,0.18511,0.1876,0.18613,0.19051,0.18711,0.19141,0.18511,0.12594,0.163636,0.1664,0.1718,0.13654,0.14264,0.1488,0.157076
2,0.09271,0.166154,0.1753,0.181311,0.12013,0.1321,0.156348,0.1658,0.195604,0.22572,0.205112,0.204504,0.204004,0.196704,0.209908,0.197104,0.215208,0.200804,0.224512,0.202904,0.195695,0.22193,0.2006649999999999,0.20093,0.2008,0.196195,0.20326,0.19643,0.20743,0.1978649999999999,0.22,0.1995299999999999,0.190995,0.19363,0.1917,0.1908649999999999,0.1908649999999999,0.192315,0.19329,0.1937,0.196195,0.193895,0.195,0.1932,0.1308,0.17,0.1748,0.1741,0.143,0.14781,0.1593,0.168642
3,0.10016,0.1806,0.1880959999999999,0.189216,0.1276,0.13966,0.161964,0.1694,0.201544,0.229572,0.209972,0.2097159999999999,0.209872,0.2025,0.2138,0.2032,0.219044,0.2063,0.228972,0.2088,0.2003,0.22512,0.2065,0.20622,0.2057,0.20102,0.2100199999999999,0.20114,0.21334,0.20544,0.2232,0.20662,0.19676,0.20286,0.19992,0.19932,0.19924,0.19854,0.2004,0.2,0.20212,0.2026,0.2055,0.19984,0.1346399999999999,0.1758,0.1772,0.1777,0.1471,0.15308,0.162636,0.1735
4,0.10765,0.1869,0.191695,0.19736,0.13285,0.1488499999999999,0.16529,0.175855,0.20538,0.23274,0.21384,0.21434,0.21484,0.2063,0.21924,0.20824,0.2219799999999999,0.2119,0.2319,0.2122399999999999,0.2066,0.2277,0.2115,0.2115,0.211475,0.2076,0.21595,0.209075,0.21865,0.2112,0.2256,0.2109,0.202875,0.21325,0.2069,0.205775,0.2041,0.204175,0.207875,0.20595,0.2114,0.2078,0.21655,0.2085,0.1375,0.1781,0.1796,0.1809,0.1499,0.15535,0.1667,0.1758
5,0.1136,0.1896159999999999,0.1968879999999999,0.210174,0.1372199999999999,0.1537,0.169096,0.182422,0.2087,0.235608,0.218608,0.2193159999999999,0.2198159999999999,0.2103,0.223308,0.2130159999999999,0.225608,0.2162,0.2344,0.21744,0.2106,0.22996,0.21623,0.21583,0.21586,0.2117,0.2215,0.21366,0.2237,0.21563,0.22783,0.2153,0.2077,0.22246,0.2118,0.2108,0.20996,0.20923,0.21303,0.21083,0.2161,0.2117,0.2226,0.213,0.14024,0.180216,0.1828,0.18238,0.15192,0.1576199999999999,0.1697,0.1773
6,0.11829,0.1959,0.2047,0.219506,0.14248,0.15836,0.173306,0.187618,0.212876,0.237552,0.223376,0.224576,0.2262,0.214476,0.227776,0.2168,0.2294,0.2211,0.237,0.2219,0.2146,0.2323,0.2205,0.2212,0.2222,0.2154,0.225185,0.217485,0.2268,0.2197,0.23,0.220085,0.2117,0.22577,0.21747,0.2161,0.215885,0.213485,0.2198,0.2154,0.221655,0.216785,0.226185,0.21674,0.14389,0.1828,0.1848,0.18486,0.1549,0.1604,0.171513,0.179
7,0.12422,0.200488,0.2074,0.2237,0.149,0.16186,0.176364,0.190596,0.2160439999999999,0.240244,0.227544,0.2289,0.2295,0.217688,0.231444,0.2193,0.233744,0.2249,0.239144,0.226,0.2179,0.23524,0.2245,0.2253,0.22604,0.219,0.22854,0.22084,0.2314,0.22338,0.233,0.22434,0.21614,0.22884,0.22222,0.22256,0.22314,0.21794,0.22454,0.2195,0.2262,0.222,0.22904,0.22274,0.14666,0.1848,0.1868,0.18784,0.15792,0.1622,0.174372,0.181604
8,0.1268,0.203762,0.2129,0.2264,0.15383,0.16526,0.18,0.194733,0.218612,0.242112,0.230624,0.231812,0.231824,0.22,0.235,0.2224,0.236624,0.2275,0.240924,0.228712,0.2207,0.2391899999999999,0.228395,0.228795,0.2297,0.221395,0.23199,0.223795,0.2343,0.227195,0.2381,0.2276,0.2204,0.2333,0.227095,0.227095,0.228,0.2217,0.228995,0.2233,0.23049,0.2260899999999999,0.233095,0.226195,0.1496,0.1868,0.1897,0.1929,0.1602,0.1651,0.178,0.1837
9,0.1302,0.20746,0.22107,0.2276,0.1577,0.1695,0.183,0.1969,0.22098,0.2435,0.23258,0.23368,0.2345,0.22228,0.23758,0.225,0.23928,0.2297,0.24268,0.2306,0.2229499999999999,0.242,0.2311,0.23225,0.23285,0.2244,0.2352,0.2264,0.2370999999999999,0.22985,0.2405,0.2306,0.22335,0.2357,0.23,0.2314,0.2319,0.2245,0.2341,0.2264,0.23435,0.22955,0.23535,0.22895,0.1517,0.18848,0.1911,0.1942,0.1627,0.1676,0.18089,0.1861
