percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.07,0.2499,0.265051,0.278039,0.094371,0.1496,0.1926,0.232458,0.330605,0.350288,0.3408609999999999,0.347422,0.352944,0.3320809999999999,0.352125,0.330605,0.352125,0.330049,0.350288,0.333281,0.338348,0.357487,0.343,0.351529,0.355574,0.337716,0.356406,0.337858,0.357487,0.337516,0.357487,0.3378,0.322596,0.352962,0.346586,0.350643,0.352962,0.322272,0.352962,0.321867,0.3534049999999999,0.326273,0.352962,0.338786,0.094703,0.244761,0.269602,0.28108,0.096059,0.168937,0.203606,0.23182
1,0.097416,0.261506,0.2725,0.28449,0.140802,0.178006,0.210702,0.250602,0.349022,0.3616879999999999,0.350966,0.3582539999999999,0.3616879999999999,0.349022,0.362666,0.349144,0.362666,0.346944,0.3616879999999999,0.349644,0.34958,0.367158,0.356564,0.3612,0.364758,0.35,0.366974,0.350432,0.367548,0.350058,0.367158,0.351534,0.343162,0.366048,0.3563,0.36071,0.363024,0.343162,0.366048,0.3454959999999999,0.366048,0.347234,0.366048,0.351324,0.171816,0.271902,0.280526,0.2903,0.1847,0.196708,0.22652,0.25181
2,0.114159,0.2687529999999999,0.285406,0.2886,0.166318,0.188913,0.224596,0.257759,0.357783,0.367883,0.362181,0.3656,0.367749,0.357783,0.368764,0.357783,0.3689,0.355415,0.367883,0.3586,0.358661,0.373,0.365787,0.3699829999999999,0.3712,0.359135,0.372987,0.359287,0.373,0.3592,0.373,0.361622,0.350929,0.371572,0.3647019999999999,0.369486,0.370543,0.351101,0.372015,0.3531289999999999,0.372015,0.354286,0.371572,0.358943,0.187648,0.2773,0.289659,0.2933,0.204854,0.213559,0.248306,0.267259
3,0.127816,0.2746,0.2892,0.2902,0.178172,0.1988,0.242116,0.269012,0.364488,0.373772,0.369564,0.371876,0.3737,0.364488,0.375044,0.364964,0.374944,0.363676,0.373772,0.3661,0.369216,0.3768,0.371032,0.373732,0.376,0.369216,0.376464,0.369316,0.3768,0.366864,0.3768,0.369064,0.3594,0.3771,0.3697479999999999,0.3735,0.375148,0.35964,0.3771,0.361024,0.3771,0.3615,0.3771,0.366424,0.203368,0.289016,0.293204,0.29436,0.224716,0.239372,0.2595,0.282404
4,0.13941,0.28112,0.291365,0.29209,0.191755,0.208155,0.251315,0.2748549999999999,0.373235,0.377805,0.37592,0.377405,0.37872,0.373235,0.3794,0.37391,0.3789,0.3709,0.377805,0.373235,0.378475,0.38067,0.375435,0.37798,0.37909,0.378475,0.38067,0.37898,0.381045,0.376,0.38067,0.375245,0.3685049999999999,0.3806,0.37391,0.3776049999999999,0.379405,0.3686,0.3806,0.3686,0.3806,0.369505,0.3806,0.37141,0.21741,0.29331,0.2957,0.296,0.23971,0.251965,0.264875,0.28821
5,0.1481,0.287324,0.2946,0.2942,0.198518,0.219012,0.257406,0.278306,0.3807,0.382698,0.382764,0.383566,0.384132,0.3807,0.383932,0.380832,0.383364,0.378496,0.382698,0.380198,0.386148,0.384,0.382044,0.3832219999999999,0.383974,0.386,0.384,0.385974,0.384,0.382348,0.384,0.381422,0.375072,0.383386,0.377472,0.381372,0.382586,0.376046,0.383386,0.376888,0.383386,0.377444,0.383386,0.3779,0.227818,0.2985,0.297506,0.30104,0.249612,0.257724,0.273736,0.296312
6,0.158557,0.294671,0.2969,0.298173,0.2054,0.225114,0.2597569999999999,0.2833,0.3885,0.3884,0.388127,0.388581,0.389354,0.3885,0.388762,0.388181,0.388527,0.385654,0.3884,0.386408,0.3907029999999999,0.388612,0.387009,0.388403,0.388303,0.390409,0.389,0.390012,0.389,0.3882029999999999,0.388612,0.385606,0.381002,0.387501,0.382067,0.384468,0.3858,0.381002,0.3876,0.3812,0.3876,0.382134,0.387501,0.381967,0.237,0.3029,0.3005569999999999,0.3050799999999999,0.254757,0.263557,0.280614,0.2990569999999999
7,0.166708,0.3003,0.299808,0.3017,0.211332,0.2303,0.2656,0.2868,0.392988,0.392876,0.3926,0.393376,0.393088,0.392988,0.3931759999999999,0.3926,0.392988,0.391352,0.392876,0.391976,0.3974,0.3914,0.3904,0.390832,0.391132,0.3965599999999999,0.391464,0.3962,0.391464,0.392164,0.3914,0.389832,0.38874,0.3901,0.386596,0.388348,0.389248,0.388292,0.390148,0.38874,0.390148,0.389396,0.3901,0.385648,0.241016,0.306508,0.303108,0.3076,0.2578,0.2694,0.286208,0.3039
8,0.172159,0.3027,0.301959,0.304251,0.217818,0.2373,0.2685,0.2936,0.3973,0.3963,0.396549,0.3964979999999999,0.397449,0.3973,0.396549,0.3972489999999999,0.3965,0.3950959999999999,0.3963,0.395649,0.403244,0.394461,0.394244,0.395522,0.394722,0.402805,0.394561,0.4015,0.394561,0.398061,0.394461,0.393722,0.395829,0.392829,0.390658,0.392287,0.392558,0.395587,0.392929,0.396045,0.392929,0.395829,0.392829,0.390229,0.2462359999999999,0.3091,0.3103769999999999,0.3107,0.262159,0.274118,0.293377,0.307459
9,0.17942,0.3045,0.30371,0.30988,0.22424,0.24601,0.2714,0.29692,0.40101,0.40001,0.39972,0.40101,0.40141,0.40101,0.40041,0.40083,0.4004,0.40003,0.40001,0.39872,0.4084,0.39699,0.39849,0.39869,0.3978899999999999,0.40839,0.39718,0.4073799999999999,0.39699,0.40337,0.39699,0.3984,0.40401,0.39501,0.39451,0.39541,0.3952,0.40373,0.39521,0.40373,0.3952,0.40292,0.39501,0.39581,0.2505,0.31312,0.3142399999999999,0.3145,0.26671,0.27901,0.2991,0.31062
