percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.086064,0.2094,0.2139,0.2162,0.132382,0.150546,0.18924,0.202396,0.205788,0.2134,0.220192,0.217396,0.214896,0.20728,0.213496,0.209588,0.213496,0.216976,0.2134,0.2227879999999999,0.227085,0.2393,0.2432939999999999,0.240482,0.239397,0.227397,0.2393,0.228594,0.2393,0.234685,0.2393,0.241694,0.216988,0.239788,0.232976,0.231536,0.231224,0.219992,0.235572,0.224656,0.239788,0.229296,0.239788,0.226672,0.1438,0.19163,0.1918,0.193492,0.1622,0.1717,0.182,0.1916
1,0.104564,0.21656,0.219,0.2209,0.144164,0.163464,0.19628,0.2084,0.215376,0.2221,0.228284,0.2258,0.224184,0.216892,0.222292,0.219368,0.222192,0.2248919999999999,0.2221,0.229084,0.233282,0.245094,0.2470939999999999,0.246594,0.2459879999999999,0.233594,0.245094,0.236594,0.245094,0.2444879999999999,0.245094,0.2483,0.233792,0.249892,0.248368,0.245692,0.246092,0.235884,0.247976,0.238692,0.2501759999999999,0.2452,0.249892,0.246476,0.153864,0.1948,0.195924,0.1978,0.1697,0.178,0.187484,0.1945
2,0.115046,0.2218,0.2241,0.2255,0.154046,0.178192,0.20351,0.2156,0.2225,0.226276,0.232876,0.231064,0.2292,0.223488,0.2264,0.224988,0.2263879999999999,0.230076,0.226276,0.234,0.239882,0.2498,0.2512,0.250864,0.250191,0.240982,0.2498,0.242973,0.2498,0.250591,0.2498,0.251891,0.242076,0.255288,0.2566759999999999,0.2551759999999999,0.253876,0.243388,0.2537,0.2452639999999999,0.2556,0.2521759999999999,0.255288,0.254888,0.160846,0.19809,0.200936,0.200876,0.175938,0.183446,0.1943,0.1976
3,0.124628,0.2253,0.228544,0.229428,0.165428,0.186068,0.2076,0.219396,0.2284,0.230184,0.2361,0.2346,0.232884,0.230284,0.230584,0.231384,0.230452,0.235884,0.230184,0.237584,0.2449879999999999,0.2531,0.253988,0.2531879999999999,0.253,0.246188,0.2531,0.2479,0.2531,0.2543,0.2531,0.2547,0.247684,0.26102,0.260768,0.260468,0.25902,0.2492,0.2581,0.252984,0.2603,0.259436,0.26102,0.2608,0.1657,0.20284,0.204448,0.204168,0.180928,0.187,0.1986,0.2003
4,0.13351,0.2285,0.2311,0.232555,0.17181,0.1908,0.2111,0.222245,0.23378,0.2337,0.23968,0.23758,0.23618,0.2349,0.23388,0.23698,0.23378,0.24108,0.2337,0.2418,0.2512,0.255485,0.25677,0.256285,0.255685,0.2513,0.255585,0.253355,0.255585,0.2573,0.255485,0.257185,0.25334,0.2656,0.2635,0.2644,0.26416,0.25588,0.26398,0.2592,0.26538,0.2647,0.2656,0.26442,0.1693,0.2058,0.20886,0.21156,0.18442,0.1913,0.202255,0.20245
5,0.1424839999999999,0.2313,0.233266,0.2354,0.179692,0.1948,0.21502,0.225494,0.237476,0.2369,0.2428,0.2401,0.238976,0.2396,0.237,0.241752,0.2369,0.245876,0.2369,0.245252,0.2571819999999999,0.257982,0.2597819999999999,0.2589,0.2586819999999999,0.257864,0.258,0.259,0.258,0.2606,0.257982,0.261446,0.259352,0.2705,0.2674,0.267876,0.268404,0.2616,0.268976,0.263976,0.269852,0.269052,0.2705,0.268076,0.173792,0.21058,0.213772,0.214152,0.1892,0.194684,0.2057,0.2058
6,0.148922,0.23281,0.2359,0.237974,0.185,0.198748,0.2181,0.228143,0.242416,0.239672,0.2456,0.243172,0.242144,0.244244,0.2398,0.2466,0.2397,0.2494,0.239672,0.2486,0.261,0.260979,0.2638,0.262679,0.2616,0.262158,0.261,0.262479,0.261,0.265995,0.260979,0.264558,0.2661,0.274172,0.270972,0.271472,0.2721,0.267744,0.273644,0.268572,0.274244,0.272072,0.274172,0.271972,0.1777,0.21411,0.2167,0.216444,0.1925,0.198874,0.208794,0.20895
7,0.154656,0.2354,0.2378,0.2399,0.1893,0.202356,0.22232,0.230492,0.2466,0.243536,0.249168,0.2470679999999999,0.2452,0.24894,0.2436,0.2508,0.243536,0.252568,0.243536,0.253168,0.2642759999999999,0.2641759999999999,0.2682,0.2667,0.265252,0.266252,0.264352,0.267252,0.264352,0.2693759999999999,0.2641759999999999,0.2713759999999999,0.270568,0.2781,0.275068,0.276568,0.2773,0.2713,0.278168,0.2729,0.278268,0.27604,0.2781,0.275368,0.1818,0.21702,0.2185,0.221,0.196,0.2024,0.211,0.2144
8,0.159514,0.23787,0.24,0.2426,0.1937,0.205538,0.2260199999999999,0.234041,0.251264,0.2467,0.253828,0.250464,0.2485639999999999,0.252592,0.2467,0.254864,0.2467,0.256,0.2467,0.256,0.2692,0.2693,0.2743,0.273165,0.271646,0.2702,0.269719,0.271546,0.269719,0.274646,0.2693,0.275973,0.2754,0.281664,0.278928,0.2803,0.280692,0.277,0.2818279999999999,0.278028,0.2817,0.280964,0.281664,0.2799,0.185838,0.21944,0.221,0.222728,0.199,0.205638,0.2138,0.2183
9,0.16442,0.2406,0.2432,0.24421,0.19862,0.20922,0.2293,0.2375,0.25556,0.24956,0.25752,0.25436,0.2522,0.25692,0.2497,0.25856,0.24956,0.25996,0.24956,0.25916,0.27404,0.27547,0.2794,0.278,0.27758,0.2741,0.27557,0.27607,0.27547,0.2784,0.27547,0.2815,0.2808,0.2859,0.2833,0.28402,0.2859,0.28276,0.2864,0.2842,0.28596,0.28696,0.2859,0.28476,0.18954,0.2229,0.2226,0.2252,0.20182,0.2091,0.2171,0.2216
10,0.169002,0.2429,0.2452,0.2457,0.202202,0.212902,0.23351,0.239778,0.2592,0.2526,0.2605,0.2575,0.255356,0.261456,0.252656,0.263,0.2526,0.263056,0.2526,0.2631,0.2776,0.284367,0.286534,0.287068,0.286167,0.2777,0.285334,0.2794,0.284668,0.281834,0.284367,0.2863,0.284412,0.29308,0.288912,0.2898,0.292512,0.287012,0.2935,0.288256,0.29308,0.2924,0.29308,0.290456,0.192104,0.2266,0.226132,0.226812,0.204804,0.212002,0.2201,0.2242
11,0.1743839999999999,0.24596,0.2470319999999999,0.2472,0.205284,0.2178,0.2365,0.241888,0.2637,0.2548,0.263252,0.2598,0.2574,0.2654,0.254852,0.266,0.2548,0.266252,0.2548,0.2657,0.280664,0.290956,0.291864,0.2925,0.293064,0.281628,0.29222,0.2825,0.291356,0.286664,0.290956,0.2896,0.289008,0.302356,0.296104,0.299508,0.302608,0.292,0.302752,0.2929,0.3026,0.296052,0.302356,0.297,0.1958839999999999,0.2297,0.23,0.2293,0.2075,0.2153,0.2229519999999999,0.2268
12,0.179666,0.2480899999999999,0.2486,0.2517,0.2089,0.2211,0.23961,0.2441,0.2673,0.2573,0.266,0.2625,0.260548,0.269244,0.2574,0.2693,0.2573,0.2692,0.2573,0.268548,0.2839609999999999,0.296261,0.2957,0.2965,0.2971,0.2852,0.2968,0.2864,0.296761,0.290161,0.296261,0.294522,0.2939,0.311396,0.305,0.306736,0.311048,0.2958,0.3116,0.297548,0.311396,0.301,0.311396,0.304944,0.1994,0.2323,0.2325,0.232896,0.210732,0.217932,0.2257,0.2291
