percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.092226,0.0,0.0,0.0,0.152052,0.182126,0.201912,0.0,0.22422,0.2597399999999999,0.25338,0.2574599999999999,0.25852,0.22512,0.2597399999999999,0.2291,0.2597399999999999,0.24034,0.2597399999999999,0.24686,0.2364,0.262436,0.254218,0.2594079999999999,0.261708,0.236544,0.262436,0.237636,0.262436,0.242508,0.262436,0.24979,0.233634,0.261818,0.252836,0.257118,0.2587359999999999,0.235336,0.261818,0.237636,0.261818,0.2444619999999999,0.261818,0.249954,0.154182,0.0,0.0,0.0,0.174526,0.1895,0.191052,0.0
1,0.105924,0.0,0.0,0.0,0.166456,0.1993039999999999,0.217052,0.217584,0.23664,0.26584,0.2604,0.26384,0.26542,0.23732,0.26584,0.24064,0.26584,0.24908,0.26584,0.25732,0.2448239999999999,0.2678,0.263044,0.2656,0.266936,0.245708,0.2678,0.2478719999999999,0.2678,0.252572,0.2678,0.2584,0.240972,0.266108,0.260436,0.262672,0.2644,0.242336,0.266108,0.245172,0.266108,0.250836,0.266108,0.256536,0.163808,0.0,0.0,0.0,0.1811,0.199152,0.203252,0.210204
2,0.123236,0.234278,0.0,0.0,0.1734,0.204678,0.221978,0.2352,0.2460999999999999,0.26966,0.2646,0.2682,0.26952,0.24838,0.26966,0.25018,0.26966,0.25662,0.26966,0.2614,0.251908,0.271216,0.2662,0.269308,0.2704,0.253724,0.271216,0.255016,0.271216,0.2584,0.271216,0.2629,0.246508,0.2697,0.265,0.268154,0.269408,0.2495859999999999,0.2697,0.252454,0.2697,0.256154,0.2697,0.261608,0.170056,0.217768,0.0,0.0,0.188812,0.2049,0.2152339999999999,0.215478
3,0.1361,0.2405,0.2375199999999999,0.0,0.183504,0.210808,0.230004,0.238904,0.25244,0.2719,0.2676,0.27018,0.2717,0.2535,0.2719,0.25554,0.2719,0.26132,0.2719,0.26488,0.257172,0.2732,0.2686,0.271344,0.272672,0.2582,0.2732,0.260104,0.2732,0.265172,0.2732,0.266144,0.25486,0.273572,0.2675,0.2706,0.272288,0.256016,0.273572,0.256644,0.273572,0.260844,0.273572,0.265444,0.175908,0.22142,0.222208,0.0,0.19334,0.208804,0.2201,0.220312
4,0.14332,0.24463,0.24286,0.24119,0.19033,0.2156,0.23619,0.24183,0.2564,0.2748,0.2699,0.273,0.2744,0.2569,0.2748,0.2588,0.2748,0.2655,0.2748,0.2676,0.26232,0.2768,0.2708899999999999,0.2739,0.2754,0.263,0.2768,0.264,0.2768,0.26929,0.2768,0.2691,0.25939,0.2758899999999999,0.26979,0.27319,0.275,0.25996,0.2758899999999999,0.26183,0.2758899999999999,0.26588,0.2758899999999999,0.2677799999999999,0.18063,0.22493,0.22636,0.22626,0.2016,0.21342,0.22303,0.22523
5,0.152524,0.248568,0.2455,0.246056,0.1967,0.221368,0.2423,0.244756,0.26062,0.27804,0.27292,0.27722,0.27786,0.2629,0.27804,0.26432,0.27804,0.2694,0.27804,0.27066,0.266908,0.2799,0.2736,0.276216,0.278224,0.267316,0.2799,0.268016,0.2799,0.272408,0.2799,0.272416,0.263016,0.278624,0.2719399999999999,0.275416,0.2772,0.2651,0.278624,0.26704,0.278624,0.269824,0.278624,0.270516,0.184456,0.226756,0.229256,0.229612,0.2058,0.217012,0.225456,0.2275
6,0.1606,0.2525,0.2486,0.248982,0.200582,0.2251,0.2452,0.2486,0.26548,0.28184,0.27684,0.2798,0.28134,0.26768,0.28184,0.26882,0.28184,0.2733,0.28184,0.27398,0.2715,0.2812,0.275826,0.2789,0.279826,0.271652,0.2812,0.272426,0.2812,0.275826,0.2812,0.275,0.2671,0.280826,0.274526,0.277526,0.279352,0.2692,0.280826,0.271026,0.280826,0.274078,0.280826,0.2731,0.1892,0.230028,0.2315,0.230564,0.2118,0.221464,0.228464,0.229182
7,0.165924,0.253808,0.252508,0.2502,0.2058,0.2286,0.2466,0.2534,0.2695,0.2845,0.2794,0.28244,0.28446,0.27288,0.2845,0.2732,0.2845,0.27736,0.2845,0.27736,0.275244,0.283688,0.2786,0.281644,0.28252,0.276288,0.283688,0.275544,0.283688,0.279444,0.283688,0.2774,0.272,0.285044,0.277432,0.280488,0.282644,0.273544,0.285044,0.2746,0.285044,0.277844,0.285044,0.2752,0.194008,0.233608,0.234708,0.233916,0.215124,0.223916,0.232708,0.2325
8,0.170002,0.256468,0.254734,0.25177,0.214802,0.231934,0.2488,0.256068,0.27426,0.28822,0.28308,0.2868,0.28724,0.2762799999999999,0.28822,0.27618,0.28822,0.28006,0.28822,0.28026,0.279086,0.289286,0.282324,0.285472,0.287686,0.28041,0.289286,0.281262,0.289286,0.2832,0.289286,0.2796,0.275772,0.288,0.281024,0.284262,0.286262,0.2778,0.288,0.278362,0.288,0.280662,0.288,0.278024,0.197634,0.237634,0.236334,0.234934,0.219234,0.2273,0.236234,0.2372
9,0.17476,0.2586,0.2563,0.25336,0.2186,0.23532,0.25192,0.25948,0.2775,0.2916,0.2874,0.2906,0.2911,0.2794,0.2916,0.2805,0.2916,0.284,0.2916,0.2827,0.2823799999999999,0.29316,0.2871,0.29056,0.29244,0.2838799999999999,0.29316,0.28406,0.29316,0.28628,0.29316,0.28212,0.2789,0.29066,0.2839,0.2887,0.28958,0.2809,0.29066,0.28208,0.29066,0.2836,0.29066,0.2814,0.20176,0.2402,0.23746,0.23672,0.22126,0.2311,0.23916,0.24236
