percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.083225,0.1581,0.1616,0.167485,0.114175,0.1302749999999999,0.149964,0.153743,0.123925,0.169848,0.170136,0.172672,0.141475,0.1500999999999999,0.160765,0.169544
1,0.09875,0.167492,0.1860699999999999,0.19276,0.1311999999999999,0.1434,0.1559,0.1657,0.1382,0.174936,0.1843479999999999,0.185688,0.15345,0.1582,0.16796,0.174388
2,0.106025,0.1882,0.2009,0.1992,0.140525,0.15245,0.164476,0.172229,0.148725,0.190172,0.19099,0.1896,0.1614999999999999,0.16535,0.173695,0.181664
3,0.117,0.2004,0.20782,0.20464,0.1492,0.16,0.1749,0.179516,0.156,0.194196,0.195424,0.193232,0.1684,0.1707,0.18028,0.1858
4,0.12225,0.20792,0.21195,0.2107,0.15605,0.164875,0.1800199999999999,0.192045,0.16335,0.1964199999999999,0.19736,0.1966,0.17225,0.17755,0.185325,0.192
5,0.13045,0.213344,0.21599,0.2133,0.1605,0.16805,0.186184,0.197516,0.1689999999999999,0.200544,0.200036,0.19788,0.1764,0.18205,0.18977,0.1979
6,0.1407,0.21924,0.219135,0.21799,0.164925,0.174125,0.192044,0.203205,0.173925,0.202568,0.201842,0.2007,0.18215,0.186425,0.197455,0.201124
7,0.149,0.2243,0.2206,0.22288,0.1712,0.1818,0.196,0.210144,0.1781,0.205592,0.2033,0.2053,0.1868,0.1907,0.2035199999999999,0.206152
8,0.152675,0.2273,0.225945,0.25333,0.17745,0.18855,0.201052,0.221148,0.181775,0.2071,0.205416,0.2095,0.1892,0.1959,0.2064,0.211096
9,0.1579499999999999,0.2308,0.25115,0.25875,0.1814,0.195,0.20574,0.2249,0.1844,0.2099,0.21126,0.2126,0.19285,0.2003,0.20875,0.2128
10,0.162125,0.235092,0.2611,0.260735,0.18595,0.1987749999999999,0.210704,0.2313,0.188125,0.2129,0.213366,0.2145,0.196725,0.204725,0.2103449999999999,0.2144
11,0.1665,0.249528,0.2667,0.26172,0.19,0.2024,0.217408,0.2365159999999999,0.1916,0.2153,0.216144,0.2158,0.1995,0.2081,0.2129599999999999,0.2157
12,0.171,0.2606,0.268495,0.263505,0.1932,0.206175,0.2223,0.2402,0.1942,0.2191,0.219378,0.216718,0.2034,0.2103,0.215445,0.2171
