percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.08238,0.176329,0.1868999999999999,0.1938899999999999,0.11392,0.12946,0.149421,0.160448,0.187244,0.213444,0.21176,0.213844,0.214272,0.188388,0.214216,0.192544,0.213972,0.2024,0.213788,0.207844,0.192944,0.220044,0.215944,0.218172,0.2193,0.193744,0.2201,0.1964,0.2199,0.204944,0.220044,0.211772,0.185044,0.182972,0.2121,0.211116,0.207372,0.1872,0.2045,0.190744,0.200372,0.19776,0.19546,0.209872,0.11966,0.1597,0.1658,0.1682,0.13138,0.1368,0.14897,0.1537
1,0.0972,0.1836,0.19444,0.19998,0.12458,0.13676,0.1596,0.173392,0.1965,0.2229,0.2199,0.2218439999999999,0.2227,0.198988,0.2232,0.2029,0.222944,0.211344,0.2229,0.2156,0.201,0.228244,0.221888,0.225944,0.227488,0.203,0.2289,0.2042,0.227844,0.2157,0.228244,0.217644,0.1951,0.195988,0.218044,0.2169,0.215744,0.1965,0.212088,0.1981,0.2078,0.203844,0.203844,0.214344,0.1286,0.1654,0.1705,0.177282,0.1406,0.1469,0.15574,0.1621
2,0.103,0.191487,0.1988,0.2034,0.13594,0.14604,0.1649,0.18032,0.2026,0.2298,0.224416,0.228132,0.229816,0.204216,0.23,0.208016,0.23,0.2173,0.229816,0.221616,0.2065479999999999,0.2342,0.2288,0.2314,0.233216,0.2079,0.234616,0.2118,0.2341,0.2207,0.2342,0.2244,0.201516,0.203816,0.2207,0.2207,0.220616,0.202548,0.217216,0.203216,0.215632,0.2087,0.2073,0.2184,0.1347,0.17006,0.1738,0.1803,0.1463,0.15322,0.1605,0.166547
3,0.10942,0.195916,0.20214,0.20686,0.14382,0.1539,0.171076,0.185376,0.206976,0.2348879999999999,0.229276,0.2329,0.2345,0.2084,0.235788,0.2122879999999999,0.2354,0.220776,0.2348879999999999,0.2257,0.2107,0.2391,0.2318,0.234788,0.2365,0.212464,0.2386,0.2155,0.2389,0.223,0.2391,0.2278,0.205388,0.2078,0.224176,0.224776,0.223488,0.207888,0.2213,0.2093,0.220164,0.2132,0.211588,0.2217879999999999,0.1393,0.1760199999999999,0.179988,0.184428,0.1511,0.1572,0.16528,0.1694
4,0.1171,0.1996,0.2042,0.21125,0.1501,0.162,0.1808,0.1902,0.21016,0.24016,0.23346,0.2367,0.2384,0.21216,0.24022,0.21576,0.24026,0.22476,0.24016,0.2293,0.21366,0.2432,0.23372,0.2366,0.2387,0.2154,0.242,0.2185,0.2429,0.2254,0.24326,0.22996,0.21052,0.21232,0.2272,0.2272,0.2268,0.2119,0.224,0.21316,0.22396,0.2167,0.21626,0.22456,0.1442,0.18005,0.184155,0.187855,0.1542,0.1605,0.1686,0.172745
5,0.1233,0.202174,0.2066,0.2138,0.15608,0.1678,0.186914,0.1960879999999999,0.212732,0.2452,0.2365,0.240032,0.2417,0.2153,0.244432,0.219032,0.244932,0.2277,0.2452,0.2321,0.216132,0.245932,0.236,0.238932,0.2408,0.217996,0.2444,0.2213,0.245732,0.2277,0.246032,0.2325,0.2137,0.2172,0.2297,0.23,0.229,0.2153,0.226132,0.216932,0.2262,0.22,0.222,0.2271,0.14816,0.1822,0.1865659999999999,0.1904,0.1586,0.163,0.1714,0.1767
6,0.12966,0.205003,0.2098,0.2173,0.1609,0.17252,0.1916,0.1998,0.2157,0.2491,0.2393,0.243104,0.244904,0.2185,0.248104,0.2222,0.2488,0.231504,0.2491,0.2351,0.218804,0.249212,0.238,0.2409,0.242904,0.220604,0.2462,0.2233,0.2483,0.2304,0.249212,0.2348,0.2169,0.2217,0.2319,0.2324,0.230904,0.217704,0.228304,0.219404,0.2285,0.223,0.2255,0.228404,0.15196,0.1837,0.1884,0.1922,0.16212,0.16636,0.1735,0.1791
7,0.13394,0.208332,0.2133,0.2191,0.1653,0.177,0.195552,0.2032,0.218976,0.2524,0.241576,0.2455,0.2476,0.2207,0.2500759999999999,0.224676,0.2516759999999999,0.2344,0.2524,0.2376,0.2212,0.2526,0.24,0.243576,0.244976,0.2228,0.247952,0.2256,0.250276,0.2334,0.2526,0.2371,0.2187,0.224976,0.2339,0.233876,0.232976,0.2202,0.2304,0.221976,0.230176,0.2246,0.2274,0.230676,0.15454,0.1855,0.190388,0.1945,0.1647,0.16954,0.17646,0.1819
8,0.1382,0.211661,0.2158,0.2211,0.1697,0.1820599999999999,0.1987,0.2064319999999999,0.221148,0.255948,0.2446,0.248,0.250048,0.2229,0.2528,0.226548,0.2544,0.2376,0.255948,0.2405,0.223348,0.2551,0.2424,0.2458,0.2468,0.2256,0.2496,0.2281,0.251848,0.236048,0.2551,0.2392,0.221348,0.227148,0.2357,0.2352,0.234348,0.222548,0.232448,0.2243,0.2318,0.226948,0.229348,0.232348,0.1577,0.18797,0.192799,0.1964,0.1673,0.17382,0.17893,0.1848
9,0.1423,0.21459,0.2185,0.2229,0.1739,0.187,0.2026899999999999,0.20978,0.22302,0.2589,0.24722,0.2506,0.2527,0.22502,0.25542,0.22912,0.2572,0.2399,0.2589,0.24284,0.22604,0.2573,0.245,0.2476,0.2487,0.22762,0.251,0.2307,0.2537,0.2382,0.25752,0.24132,0.22352,0.229,0.23672,0.2366,0.2355,0.2246,0.2338,0.2261,0.23342,0.2292,0.2312,0.2343,0.16,0.1899,0.195,0.1985,0.1702,0.1766,0.1818,0.1875
