percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.161624,0.372832,0.3922,0.380098,0.212764,0.247764,0.286886,0.321132,0.43195,0.489138,0.469126,0.471328,0.472526,0.434372,0.488508,0.442116,0.500204,0.456956,0.494078,0.466078,0.465112,0.529112,0.51286,0.519,0.524412,0.466912,0.5379,0.469616,0.5398799999999999,0.490072,0.531616,0.50412,0.48307,0.52652,0.517698,0.5143139999999999,0.515266,0.48307,0.529284,0.489124,0.529296,0.50777,0.52652,0.514954,0.27963,0.410166,0.418426,0.4149,0.3081319999999999,0.319298,0.361298,0.399598
1,0.1821839999999999,0.395568,0.396132,0.4136,0.236156,0.273564,0.307416,0.356648,0.452692,0.507968,0.4797,0.4827599999999999,0.483928,0.457116,0.5020199999999999,0.459652,0.514216,0.475268,0.50896,0.478704,0.491136,0.56044,0.525096,0.528936,0.533672,0.493688,0.549344,0.495848,0.567272,0.508248,0.56116,0.519624,0.500328,0.552828,0.542924,0.539004,0.541452,0.500656,0.554228,0.504444,0.560112,0.521856,0.552584,0.5349400000000001,0.291824,0.416632,0.424828,0.42982,0.320196,0.339932,0.379836,0.4109319999999999
2,0.204448,0.408598,0.4064979999999999,0.418688,0.257952,0.283094,0.325192,0.382598,0.469312,0.517478,0.498868,0.497828,0.495704,0.479856,0.51269,0.4884679999999999,0.5196,0.499368,0.519156,0.504712,0.508988,0.5764360000000001,0.5361360000000001,0.5371440000000001,0.541,0.5205719999999999,0.555032,0.528216,0.573844,0.534872,0.576924,0.538072,0.510404,0.569338,0.556042,0.558984,0.556026,0.519068,0.573972,0.5246879999999999,0.581452,0.53861,0.570036,0.550978,0.301996,0.426296,0.4306,0.436598,0.326096,0.349096,0.39459,0.415398
3,0.217464,0.4175,0.428764,0.427056,0.276256,0.291656,0.34662,0.404592,0.488408,0.523604,0.514128,0.516008,0.5158200000000001,0.494344,0.524108,0.500116,0.528912,0.516228,0.524316,0.522552,0.5254,0.590896,0.5475880000000001,0.54728,0.548548,0.5316960000000001,0.56484,0.542684,0.581228,0.5477,0.5924480000000001,0.550168,0.525,0.5825400000000001,0.568072,0.568356,0.565056,0.531412,0.585412,0.5395559999999999,0.595756,0.557476,0.5857559999999999,0.565132,0.31122,0.4347,0.4346,0.438764,0.336392,0.3569279999999999,0.405664,0.421492
4,0.22465,0.42233,0.43243,0.44074,0.28657,0.30432,0.36919,0.4128,0.49957,0.5276,0.53411,0.53216,0.5354300000000001,0.50602,0.53731,0.51412,0.54001,0.53086,0.52893,0.53639,0.53426,0.59512,0.5603199999999999,0.5571,0.5563199999999999,0.54018,0.57738,0.5499,0.5890599999999999,0.5614399999999999,0.59656,0.5646,0.5329,0.59777,0.5785899999999999,0.57956,0.57587,0.54128,0.59484,0.55217,0.60614,0.57569,0.60053,0.58575,0.32093,0.4391,0.43683,0.4427,0.34613,0.36552,0.41171,0.42879
5,0.235896,0.4315839999999999,0.4399,0.450392,0.2950919999999999,0.319592,0.3822959999999999,0.417788,0.508768,0.535,0.5485559999999999,0.5515559999999999,0.549104,0.51308,0.5533,0.52378,0.550468,0.540112,0.536,0.550468,0.5406719999999999,0.6015440000000001,0.57532,0.5748920000000001,0.569744,0.5479,0.587076,0.5575,0.5968479999999999,0.57456,0.604288,0.577744,0.54222,0.606584,0.5905,0.59092,0.587988,0.550936,0.6029519999999999,0.563052,0.612288,0.58404,0.609552,0.59434,0.329796,0.4412,0.444988,0.446884,0.354192,0.371096,0.416788,0.433492
6,0.245534,0.436262,0.4426,0.4554,0.304686,0.327962,0.386962,0.421362,0.5165860000000001,0.53921,0.561964,0.564148,0.5648400000000001,0.523146,0.56782,0.5323,0.562382,0.55101,0.5402,0.5587,0.5469,0.6054,0.5902,0.5899519999999999,0.588436,0.553684,0.5990399999999999,0.5640200000000001,0.605468,0.583568,0.6073,0.593452,0.551,0.620884,0.6012959999999999,0.6043,0.600196,0.559196,0.6118,0.570596,0.618992,0.5915,0.6233839999999999,0.601196,0.335862,0.443862,0.448362,0.452862,0.3603,0.377548,0.4211,0.4369
7,0.258252,0.439928,0.447412,0.4597,0.314656,0.334484,0.3963279999999999,0.4292,0.526532,0.5436,0.571416,0.5764560000000001,0.575408,0.529248,0.5767,0.538008,0.572016,0.5610160000000001,0.545816,0.570724,0.552744,0.610992,0.60558,0.5990759999999999,0.596992,0.560984,0.610496,0.569592,0.613464,0.593296,0.614088,0.601996,0.561096,0.633712,0.610368,0.6115240000000001,0.608612,0.5679,0.616612,0.576036,0.626912,0.6015240000000001,0.6338,0.6114,0.341468,0.446528,0.4513,0.4563279999999999,0.36754,0.3823,0.4253,0.440528
8,0.2667879999999999,0.44901,0.4531799999999999,0.461994,0.3231759999999999,0.338864,0.402788,0.436288,0.532234,0.5477339999999999,0.584274,0.585302,0.588602,0.536468,0.5859,0.5444,0.580202,0.570268,0.550002,0.579368,0.559924,0.6176,0.61424,0.61368,0.609332,0.565616,0.6151719999999999,0.572616,0.623308,0.598616,0.6196,0.610824,0.5667519999999999,0.6424519999999999,0.6184259999999999,0.6166780000000001,0.6146780000000001,0.573626,0.622352,0.583004,0.632552,0.611,0.639986,0.615826,0.3459879999999999,0.449088,0.4563939999999999,0.4607759999999999,0.3732,0.3882,0.4284,0.442888
9,0.2759,0.45434,0.4634,0.47506,0.33052,0.35218,0.41136,0.44212,0.5374599999999999,0.55462,0.5934,0.5992000000000001,0.5970599999999999,0.54222,0.59456,0.5497599999999999,0.58828,0.57884,0.5578599999999999,0.58794,0.56582,0.6224799999999999,0.62132,0.6236400000000001,0.6170599999999999,0.5704,0.6204,0.5774400000000001,0.62852,0.6059599999999999,0.6237,0.61772,0.57338,0.6464,0.62734,0.62328,0.61994,0.5787,0.62618,0.5886,0.63644,0.61672,0.6460400000000001,0.62346,0.35056,0.45198,0.45892,0.4645,0.378,0.39594,0.43046,0.4456
10,0.2828259999999999,0.463026,0.469126,0.488986,0.335256,0.36849,0.419126,0.4449,0.5423,0.56303,0.601958,0.607,0.601872,0.548658,0.59893,0.555272,0.5958,0.582472,0.566072,0.594872,0.571264,0.628132,0.6282639999999999,0.630328,0.625132,0.5752,0.6272639999999999,0.582892,0.632032,0.612264,0.6282639999999999,0.622864,0.578508,0.649954,0.634154,0.635154,0.627208,0.583654,0.632062,0.593916,0.640754,0.621678,0.6496,0.6276079999999999,0.356634,0.457378,0.461752,0.4675,0.3827259999999999,0.40609,0.4331259999999999,0.449
