percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.023312,0.191848,0.203636,0.202804,0.0207,0.0323439999999999,0.119724,0.162708,0.17224,0.160438,0.1740219999999999,0.1721,0.169114,0.173184,0.160438,0.173184,0.160438,0.176014,0.160438,0.176014,0.222226,0.179924,0.201648,0.19231,0.1871,0.223206,0.179924,0.223702,0.179924,0.222616,0.179924,0.215008,0.202845,0.185336,0.208717,0.198036,0.193171,0.205127,0.185336,0.206927,0.185336,0.21569,0.185336,0.213326,0.023324,0.190024,0.193736,0.201524,0.0266879999999999,0.0338039999999999,0.0709039999999999,0.178024
1,0.070324,0.2111,0.21482,0.2178479999999999,0.106472,0.119464,0.161772,0.198124,0.209168,0.184,0.207512,0.196564,0.189584,0.209656,0.184,0.212148,0.184,0.2177,0.184,0.214956,0.233808,0.1982199999999999,0.217604,0.208304,0.202004,0.234,0.1982199999999999,0.235104,0.1982199999999999,0.233004,0.1982199999999999,0.228308,0.224426,0.2004179999999999,0.221854,0.21019,0.203672,0.227916,0.2004179999999999,0.230472,0.2004179999999999,0.23498,0.2004179999999999,0.23109,0.134696,0.1983,0.206,0.214196,0.156572,0.16302,0.179524,0.192224
2,0.095772,0.2181,0.221772,0.225936,0.1238,0.144408,0.1855879999999999,0.205336,0.220162,0.203042,0.218184,0.2125,0.207026,0.221342,0.203042,0.226442,0.203042,0.230542,0.203042,0.228,0.240806,0.222312,0.230324,0.2264179999999999,0.224606,0.240806,0.222312,0.2416,0.222312,0.2413239999999999,0.222312,0.236318,0.236408,0.2263319999999999,0.232954,0.2298889999999999,0.225708,0.237954,0.2263319999999999,0.242254,0.2263319999999999,0.246127,0.2263319999999999,0.242227,0.154572,0.207672,0.2126,0.2174,0.173372,0.183336,0.193208,0.1995
3,0.107896,0.224148,0.2266,0.2307,0.137044,0.162596,0.2029,0.2115,0.23138,0.223236,0.231024,0.227856,0.22448,0.232756,0.223236,0.237156,0.223236,0.239412,0.223236,0.237212,0.2472,0.244232,0.240008,0.241748,0.243864,0.2472,0.244232,0.249408,0.244232,0.248832,0.244232,0.246224,0.2426,0.2469,0.242808,0.246344,0.2481,0.245472,0.2469,0.250108,0.2469,0.252872,0.2469,0.249736,0.165096,0.213848,0.2191,0.220748,0.18284,0.190048,0.205496,0.2085
4,0.11726,0.2337,0.2337,0.2376,0.14682,0.17468,0.21056,0.22148,0.23927,0.2422,0.24392,0.24517,0.24531,0.23997,0.2422,0.24474,0.2422,0.24747,0.2422,0.2468,0.25271,0.25402,0.2551,0.25332,0.25367,0.25292,0.25402,0.25461,0.25402,0.25571,0.25402,0.25391,0.248945,0.2555,0.25508,0.254945,0.256035,0.2521,0.2555,0.257345,0.2555,0.2589,0.2555,0.25588,0.17336,0.21946,0.22238,0.2263,0.1905,0.19842,0.21666,0.21932
5,0.124072,0.240072,0.241272,0.240672,0.158544,0.1824,0.213844,0.232172,0.244752,0.2512,0.253668,0.2534,0.2521359999999999,0.246468,0.2512,0.2495359999999999,0.2512,0.252984,0.2512,0.2545,0.256824,0.258512,0.262524,0.2619,0.2606,0.258024,0.258512,0.2598359999999999,0.258512,0.2627,0.258512,0.261912,0.2564,0.260308,0.261908,0.261808,0.262008,0.259708,0.260308,0.262454,0.260308,0.263754,0.260308,0.260908,0.180172,0.231,0.228844,0.236372,0.194872,0.203844,0.2216,0.2286199999999999
6,0.1322,0.243884,0.244952,0.245084,0.16804,0.1908,0.2189,0.243,0.2496,0.2563,0.2608,0.2595,0.258098,0.2513,0.2563,0.254196,0.2563,0.2585,0.2563,0.258996,0.261714,0.263,0.266114,0.265814,0.264414,0.262714,0.263,0.264114,0.263,0.265828,0.263,0.265514,0.2614,0.265452,0.266226,0.266126,0.2657,0.2636,0.265452,0.266363,0.265452,0.2666,0.265452,0.2654,0.186,0.236484,0.24242,0.2437,0.200068,0.209184,0.225584,0.238768
7,0.136996,0.248996,0.2487,0.2506919999999999,0.174392,0.195996,0.2252719999999999,0.248696,0.254112,0.259612,0.2633,0.263412,0.2612,0.255612,0.259612,0.2576,0.259612,0.2617,0.259612,0.2626,0.264648,0.266632,0.268716,0.2691,0.2677,0.266132,0.266632,0.2674,0.266632,0.2682,0.266632,0.2679,0.2652,0.269172,0.268872,0.2695,0.2695,0.2665,0.269172,0.268872,0.269172,0.2689,0.269172,0.268044,0.190596,0.2424799999999999,0.245996,0.2458,0.2041,0.214996,0.2311879999999999,0.2432919999999999
8,0.143708,0.2523,0.253716,0.258748,0.1805159999999999,0.203108,0.230708,0.250908,0.257426,0.263426,0.2659,0.2661,0.264526,0.2588,0.263426,0.2609,0.263426,0.264526,0.263426,0.265126,0.2677,0.2696,0.2707,0.270818,0.2702,0.2682,0.2696,0.2688359999999999,0.2696,0.2696,0.2696,0.270018,0.267281,0.271381,0.2707,0.271581,0.2717,0.2689,0.271381,0.271481,0.271381,0.271281,0.271381,0.270381,0.1956159999999999,0.246,0.2478,0.249408,0.2095,0.219908,0.2353,0.245508
9,0.14884,0.25574,0.2575,0.26868,0.18762,0.209,0.236,0.25472,0.26084,0.2655,0.2683,0.26838,0.26698,0.2622,0.2655,0.26334,0.2655,0.2663,0.2655,0.2675,0.26952,0.27192,0.2726,0.2727,0.2721,0.27002,0.27192,0.2708,0.27192,0.2715,0.27192,0.2719,0.2698899999999999,0.2735,0.2729,0.27359,0.27387,0.27118,0.2735,0.2734,0.2735,0.27279,0.2735,0.2723899999999999,0.19944,0.24752,0.24934,0.25152,0.21336,0.2245,0.2386,0.2474
