percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.049245,0.1066,0.106815,0.11032,0.069,0.078,0.095145,0.10347,0.125827,0.1366,0.135354,0.1359,0.136427,0.1263,0.1366,0.127027,0.1366,0.129627,0.1366,0.132354,0.1324,0.147827,0.142354,0.1451,0.146327,0.132427,0.147827,0.132981,0.147827,0.136,0.147827,0.1399,0.129708,0.148427,0.142127,0.145427,0.1477,0.13,0.1485,0.130835,0.1485,0.136027,0.1484,0.139,0.0813,0.1026,0.1042,0.1068,0.085245,0.08798,0.096245,0.100835
1,0.0584,0.1128,0.1179,0.1206,0.07638,0.08619,0.102,0.11189,0.131808,0.1415,0.139054,0.1408,0.141154,0.132554,0.1415,0.1335,0.1415,0.136054,0.1415,0.1384,0.1384,0.151008,0.1466,0.1489,0.149654,0.139008,0.151008,0.139754,0.151008,0.142754,0.151008,0.144254,0.137,0.1523,0.147054,0.1497,0.151054,0.1373,0.1525,0.1375,0.1525,0.140654,0.152254,0.143854,0.08795,0.10609,0.10929,0.1099,0.0948,0.10011,0.10368,0.10499
2,0.064535,0.1167,0.121,0.1229,0.0826,0.09297,0.107,0.1141,0.1359,0.144462,0.142281,0.1439,0.1443,0.136881,0.144462,0.1381,0.144462,0.140581,0.144462,0.141743,0.142881,0.152481,0.1492,0.1513,0.1522,0.143443,0.152481,0.144181,0.152481,0.1466,0.152481,0.148081,0.1408,0.1553,0.150281,0.153,0.154062,0.141181,0.155481,0.141681,0.155381,0.145281,0.155281,0.1477,0.0925,0.1119,0.112535,0.1138,0.100535,0.106235,0.10897,0.1081
3,0.06788,0.1203,0.1229,0.12468,0.08738,0.0976,0.1099,0.1166799999999999,0.140008,0.1466,0.1454,0.1464,0.146508,0.1409,0.146508,0.1413,0.1466,0.1439,0.1466,0.1452,0.147108,0.154408,0.151808,0.153308,0.1541,0.1473239999999999,0.154408,0.1479,0.154408,0.1498,0.154408,0.150408,0.144008,0.157808,0.1536,0.1566,0.157408,0.144508,0.158116,0.145916,0.157916,0.149408,0.1578,0.151008,0.0961,0.1139,0.11538,0.1193,0.1051,0.1096,0.1121,0.11258
4,0.0724,0.1223,0.1252,0.1268,0.0903,0.1005,0.1128,0.1195,0.143,0.1489,0.148335,0.148635,0.1488,0.14367,0.1489,0.144335,0.1489,0.14657,0.1489,0.1477,0.1506,0.156035,0.1539,0.1554,0.155635,0.150735,0.156035,0.151535,0.156035,0.1525,0.156035,0.152735,0.1479,0.160335,0.1558,0.1583,0.1602,0.148435,0.160635,0.14957,0.160535,0.152435,0.160235,0.1537,0.0988,0.1163,0.119825,0.122625,0.1078,0.1117,0.1141,0.115325
5,0.0753,0.124,0.1271,0.1285,0.0937399999999999,0.1033,0.11627,0.1216,0.1459,0.151962,0.1506,0.1514,0.1523,0.1466,0.151962,0.147762,0.151962,0.1494,0.151962,0.1501,0.1534,0.157762,0.1564,0.1572,0.1577,0.1536,0.157762,0.1542,0.157762,0.1549,0.157762,0.155,0.150962,0.163162,0.1581,0.160624,0.162562,0.1516,0.1635,0.152962,0.1634,0.154662,0.163162,0.156462,0.10087,0.1201,0.12337,0.1259,0.1103,0.1132,0.1156,0.11757
6,0.0785,0.1258,0.1291,0.1302,0.096315,0.106015,0.118615,0.12343,0.1486,0.1544,0.1535,0.154,0.155089,0.1493,0.1543,0.1505,0.1544,0.1522,0.1544,0.152689,0.156,0.1598,0.157889,0.1589,0.1596,0.156289,0.1598,0.156789,0.1598,0.1569,0.1598,0.156589,0.1537,0.1651,0.1604,0.162989,0.1649,0.1544,0.1657,0.1555,0.1656,0.1568,0.1652,0.1587,0.103,0.1229,0.1252,0.1277,0.111815,0.1148,0.1176,0.120415
7,0.0811,0.12746,0.1305,0.13186,0.0991,0.1083,0.1209,0.12526,0.150716,0.156816,0.155316,0.1566,0.1572,0.1514,0.1566,0.1525,0.156816,0.1539,0.156816,0.154716,0.1582,0.1616,0.1596,0.1606,0.161516,0.1586,0.1615,0.158832,0.1616,0.158416,0.161516,0.1586,0.156316,0.1669,0.1624,0.1647,0.1666,0.157316,0.1676,0.158316,0.167516,0.1595,0.167,0.1607,0.1049,0.1254,0.1277,0.1299,0.1136,0.1162,0.1203,0.1234
8,0.0838,0.1301,0.131405,0.1336,0.1013049999999999,0.1106,0.1231,0.1265,0.1527,0.1585,0.157943,0.159,0.159143,0.1535,0.158343,0.1542,0.1585,0.155643,0.1585,0.157,0.1599,0.163743,0.161243,0.1627,0.1634,0.1604,0.163643,0.1607,0.1637,0.1608,0.1637,0.1602,0.1589,0.168643,0.164643,0.1667,0.168443,0.159643,0.1693,0.1604,0.1693,0.1613,0.1687,0.1624,0.106805,0.1274,0.1294,0.131405,0.1149,0.1183,0.1235,0.1252
9,0.0860499999999999,0.13245,0.13325,0.135,0.10345,0.1127,0.1246,0.1274,0.1542,0.1602,0.1597,0.1608,0.1608,0.15497,0.16,0.15597,0.1602,0.1572,0.1602,0.1584,0.1617,0.1661699999999999,0.1631,0.16527,0.1659,0.162,0.166,0.162,0.16607,0.1621,0.16607,0.1616,0.1607,0.17027,0.16677,0.169,0.17034,0.1611,0.17097,0.1617,0.171,0.1628,0.1703,0.1644,0.1089,0.12935,0.1314,0.1333,0.1164,0.12,0.126,0.1271499999999999
