percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.057148,0.16737,0.1835,0.188891,0.075716,0.0967119999999999,0.12731,0.137145,0.228949,0.252,0.259291,0.261991,0.261685,0.230582,0.258,0.2344969999999999,0.256888,0.246297,0.252,0.25507,0.2348,0.2728,0.267476,0.2733759999999999,0.27367,0.235282,0.273182,0.236382,0.272594,0.247746,0.2728,0.257594,0.228236,0.289012,0.265908,0.274008,0.2793,0.229144,0.282708,0.231308,0.285104,0.2433,0.289012,0.254912,0.05659,0.182255,0.191612,0.195984,0.077896,0.149742,0.168313,0.1786
1,0.089212,0.19446,0.2028,0.210382,0.1258,0.1435,0.1592,0.185264,0.241888,0.2597759999999999,0.2722,0.2747819999999999,0.2747819999999999,0.245346,0.2748939999999999,0.2513,0.272582,0.2632879999999999,0.2598,0.269788,0.2458,0.280688,0.2775,0.2818879999999999,0.283188,0.246064,0.287276,0.2507,0.287352,0.264152,0.2807,0.272688,0.239916,0.297816,0.2784,0.2851,0.2885,0.242632,0.293108,0.245632,0.296108,0.259416,0.298008,0.2688319999999999,0.145456,0.1964,0.1989,0.200584,0.160612,0.170012,0.181142,0.1858
2,0.109268,0.2183,0.220199,0.2278379999999999,0.145934,0.1595359999999999,0.18661,0.2124,0.2532,0.283682,0.282082,0.2864819999999999,0.2873,0.256091,0.2893,0.2587,0.288491,0.272582,0.283682,0.277664,0.2537,0.296,0.283564,0.2897,0.292082,0.2556819999999999,0.2953,0.258964,0.295128,0.2724,0.296,0.281182,0.249924,0.3025,0.286024,0.291836,0.294312,0.251212,0.300824,0.256812,0.302224,0.2704,0.3025359999999999,0.28,0.158734,0.202893,0.2043,0.205376,0.172134,0.179168,0.186913,0.1972
3,0.125236,0.23328,0.235632,0.2361639999999999,0.159384,0.177724,0.2077,0.235196,0.259988,0.295776,0.291888,0.2934,0.2952,0.261988,0.2979,0.2656,0.297676,0.279852,0.2956,0.287564,0.2618,0.3056,0.293352,0.2965759999999999,0.297776,0.2638,0.303176,0.2652,0.304676,0.281176,0.305752,0.289276,0.2576,0.306316,0.29308,0.297332,0.2991,0.2598,0.3061,0.2627,0.307932,0.278948,0.3067,0.289648,0.168212,0.2075,0.212748,0.217268,0.1808,0.1875,0.1933679999999999,0.2051
4,0.13569,0.24375,0.24391,0.2438,0.17179,0.19258,0.2249,0.244,0.2654,0.30247,0.299085,0.299485,0.300195,0.2684,0.30227,0.273985,0.3032,0.2894,0.30247,0.29407,0.26848,0.31094,0.30204,0.3024,0.3032,0.27007,0.3084,0.27412,0.31047,0.29127,0.311,0.2971,0.2638,0.31146,0.29982,0.30294,0.30452,0.2672,0.3103,0.2724399999999999,0.31332,0.28872,0.31188,0.29624,0.17459,0.215,0.21976,0.223,0.19107,0.19516,0.205755,0.20915
5,0.1458,0.25098,0.252066,0.2507,0.181668,0.198968,0.23614,0.247694,0.2722819999999999,0.3086,0.3036,0.3042,0.304764,0.2757,0.306,0.282682,0.3078,0.297228,0.3083,0.3007,0.274364,0.315564,0.3054,0.306764,0.308164,0.277892,0.311664,0.284148,0.3143,0.2979,0.315464,0.302,0.272424,0.3188,0.305148,0.3069,0.309124,0.273972,0.314524,0.281624,0.318124,0.2963,0.318724,0.301724,0.183168,0.2207,0.224444,0.226352,0.198868,0.200968,0.2151,0.2148
6,0.155892,0.25751,0.261,0.261111,0.1914,0.209276,0.24459,0.252086,0.2783,0.314279,0.307258,0.308579,0.3082,0.2827,0.310358,0.2892,0.312179,0.302479,0.314037,0.306279,0.282416,0.318958,0.309558,0.310858,0.3111,0.2851,0.3143,0.291574,0.317258,0.303758,0.318758,0.3068,0.278,0.324184,0.31,0.310328,0.3121,0.282128,0.3181279999999999,0.288528,0.3221,0.304,0.324184,0.3065,0.190192,0.227017,0.228952,0.229744,0.206,0.211746,0.220894,0.2208
7,0.1656,0.2637,0.2657,0.2657,0.200548,0.217924,0.24916,0.259076,0.2848,0.3201759999999999,0.3107,0.3123,0.311976,0.288776,0.3146,0.295352,0.3175,0.3084,0.319876,0.309952,0.2885,0.3239,0.3132,0.3146,0.3141,0.2914,0.317352,0.2961,0.321452,0.3101,0.323752,0.311704,0.283832,0.331164,0.314232,0.3151319999999999,0.315532,0.2884,0.3213,0.2945,0.3272,0.311164,0.331164,0.311164,0.197324,0.233048,0.2374959999999999,0.237272,0.212048,0.219496,0.2243679999999999,0.2284
8,0.173102,0.26977,0.270197,0.2699379999999999,0.211602,0.2273,0.2548,0.265482,0.290446,0.3241,0.3143,0.315673,0.3161,0.293719,0.319573,0.299,0.3223,0.313419,0.3236,0.3145,0.293146,0.3279,0.3164,0.317146,0.317646,0.2961,0.320646,0.3007,0.325046,0.315438,0.327792,0.316946,0.2911,0.335372,0.3179,0.3196719999999999,0.3206719999999999,0.294136,0.3251,0.2992,0.3303,0.316136,0.335372,0.3159,0.2031,0.2390789999999999,0.241908,0.241,0.2157,0.224602,0.228878,0.23445
9,0.18088,0.2758,0.27461,0.27384,0.21816,0.23416,0.2603,0.26839,0.29527,0.3275,0.31837,0.3202,0.3207,0.2981,0.32384,0.30297,0.3265,0.31807,0.32737,0.3186,0.2972,0.3337799999999999,0.32,0.3211,0.3221,0.2993,0.32534,0.3048,0.32968,0.32044,0.33364,0.32034,0.2957,0.33954,0.3213,0.3239,0.3247,0.29864,0.32824,0.3051,0.3332,0.32104,0.3395,0.3187,0.2086,0.24291,0.2445,0.2431,0.22012,0.2287,0.2343,0.2415
10,0.1859,0.27923,0.277942,0.2775,0.224858,0.240516,0.2646,0.272839,0.2984,0.331767,0.322934,0.324134,0.325367,0.301767,0.328967,0.3066,0.331,0.322334,0.331467,0.321967,0.300334,0.338634,0.323334,0.3257,0.3268,0.3034,0.331034,0.308468,0.3341,0.325534,0.3386,0.3233,0.300188,0.343144,0.325632,0.3279,0.3282,0.3032,0.332732,0.3099,0.336844,0.325188,0.343144,0.323044,0.2126,0.2482,0.248032,0.246312,0.224158,0.233016,0.238,0.2455
11,0.192036,0.2834,0.2809,0.281084,0.2306,0.246636,0.26968,0.2779,0.3020279999999999,0.336,0.325864,0.328,0.329264,0.305228,0.3324,0.310164,0.335264,0.327564,0.336,0.3262,0.3050279999999999,0.342928,0.3273,0.3292279999999999,0.3308,0.3077,0.3358279999999999,0.3132,0.338456,0.329828,0.342928,0.3271,0.305,0.347048,0.328648,0.3316,0.332048,0.307648,0.336448,0.313748,0.3411,0.33,0.346948,0.327348,0.217236,0.2511,0.2502439999999999,0.249104,0.228336,0.236036,0.2428,0.2501
12,0.1992,0.2878,0.283643,0.286383,0.2359139999999999,0.251,0.27461,0.283537,0.3056,0.339761,0.3298,0.332061,0.3333,0.308361,0.335622,0.314,0.3384,0.3303,0.339761,0.3298,0.308844,0.345722,0.3318,0.3337,0.335022,0.3118,0.339,0.317922,0.3429,0.3335,0.345722,0.330922,0.3092519999999999,0.3495,0.3325,0.3355,0.3365039999999999,0.3125,0.34,0.3173,0.344252,0.332852,0.349452,0.3321,0.221414,0.2538,0.2515,0.252796,0.2329,0.2392,0.247223,0.25235
13,0.2053,0.29282,0.289716,0.2965,0.241592,0.255684,0.27796,0.289086,0.3082,0.342358,0.3347,0.3361,0.3368,0.312174,0.3393,0.3178,0.340958,0.3334,0.342258,0.333258,0.3123,0.3492,0.3355,0.3377,0.3391,0.315716,0.3429,0.321316,0.3458,0.3368,0.3492,0.3345,0.3125,0.3516,0.336656,0.339656,0.340256,0.315856,0.3448,0.3217,0.347556,0.3362,0.3516,0.335256,0.2249,0.2554,0.253768,0.2565,0.236076,0.2431,0.2511,0.2546
