percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.072726,0.1976129999999999,0.198213,0.2031,0.121913,0.136178,0.165339,0.186991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.091426,0.20113,0.206526,0.2088,0.132294,0.1451299999999999,0.180752,0.196356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1051,0.205917,0.2121,0.211439,0.142639,0.154117,0.188739,0.202839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.115104,0.208504,0.2143,0.2152,0.14716,0.1602,0.194852,0.207352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.12233,0.21253,0.21756,0.218605,0.152065,0.165955,0.199295,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.128178,0.218646,0.222478,0.235256,0.155956,0.17169,0.2033,0.214656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.133291,0.222082,0.228746,0.240891,0.160291,0.175982,0.2084,0.2195909999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.136604,0.226308,0.232356,0.2447119999999999,0.163,0.179716,0.21362,0.2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.139985,0.231636,0.2371,0.248417,0.1674,0.183185,0.217468,0.226817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1434,0.23566,0.24223,0.252,0.17143,0.18823,0.22059,0.23203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.148343,0.2384,0.2448,0.2538,0.176343,0.192586,0.224686,0.234043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.151912,0.241456,0.24698,0.2556,0.180424,0.197356,0.228612,0.236856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.156714,0.2438,0.252207,0.2578,0.183769,0.201538,0.231969,0.2398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.159682,0.2463,0.256264,0.260964,0.188464,0.207874,0.234182,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1635899999999999,0.2494,0.261395,0.264895,0.192565,0.2132949999999999,0.23629,0.2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.1662,0.251808,0.2637,0.267524,0.198508,0.216924,0.240508,0.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.168563,0.2538,0.2652,0.2723,0.201821,0.220263,0.2439,0.246305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.171668,0.256634,0.267768,0.274434,0.205334,0.223768,0.245168,0.2494019999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.173947,0.2592,0.270047,0.276941,0.2088,0.227347,0.247294,0.2531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.17664,0.26402,0.27518,0.2791,0.2117,0.2309,0.2494,0.2557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1805189999999999,0.268719,0.278446,0.284365,0.214373,0.233873,0.252146,0.258773,0.1135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.183516,0.2738859999999999,0.280786,0.2885,0.218986,0.238186,0.2544,0.262386,0.152016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.187399,0.278497,0.283099,0.292999,0.221997,0.2434,0.256898,0.267298,0.161699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.1921,0.280612,0.288084,0.2998,0.225,0.247724,0.258912,0.269724,0.1719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.195625,0.2828,0.29365,0.30185,0.227,0.250125,0.26065,0.2715,0.178725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.198338,0.285414,0.2992,0.3069759999999999,0.2295,0.2533,0.2627,0.273138,0.184752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.2019,0.289251,0.303153,0.311251,0.233304,0.255702,0.2645,0.275651,0.189204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.206156,0.29602,0.308064,0.313228,0.238584,0.258828,0.265828,0.278428,0.193892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.209831,0.299554,0.3114619999999999,0.3155,0.242477,0.2611,0.269377,0.283554,0.199777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.21469,0.3030899999999999,0.31439,0.3176,0.24605,0.2635,0.27229,0.28679,0.20459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.2173,0.307509,0.3164,0.3192,0.2493,0.2657,0.2749029999999999,0.2889,0.207806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.2208,0.312064,0.317896,0.3201,0.252616,0.2685,0.278416,0.2956319999999999,0.213832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.224087,0.316158,0.320974,0.321629,0.256458,0.2713,0.281629,0.301529,0.2178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.227568,0.318342,0.327626,0.3228,0.261142,0.273926,0.286152,0.304284,0.222842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.2310649999999999,0.320455,0.329155,0.3242549999999999,0.263955,0.2768,0.29331,0.3065,0.22691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.234736,0.323204,0.3306,0.325568,0.266368,0.2797,0.2958719999999999,0.311704,0.2301679999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.2368,0.325281,0.3322,0.327681,0.268281,0.283462,0.2983,0.314481,0.2337479999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.240594,0.3302,0.334082,0.3299,0.271382,0.286594,0.3009,0.318864,0.23717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.2429,0.3323069999999999,0.335707,0.331107,0.274707,0.289035,0.302707,0.321735,0.240907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.24652,0.3358,0.33702,0.3327,0.28152,0.29262,0.30542,0.3265,0.24482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.249433,0.338633,0.338233,0.3338,0.2857989999999999,0.2953,0.3074,0.3287,0.2486979999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.251846,0.3428839999999999,0.339546,0.3347,0.2900459999999999,0.298,0.312584,0.331192,0.252492,0.0,0.0,0.0,0.0737379999999876,0.0,0.0,0.0
42,0.255759,0.344559,0.3403,0.3353589999999999,0.294513,0.3005589999999999,0.315959,0.334018,0.257,0.0,0.0,0.0,0.179959,0.0,0.0,0.0
43,0.259216,0.3463,0.342072,0.3368,0.2988,0.303972,0.3194,0.336372,0.2611,0.0,0.0,0.0,0.187872,0.0,0.0,0.0
44,0.263685,0.3471,0.3429,0.3389,0.300885,0.30857,0.3249,0.339585,0.265285,0.0,0.0,0.0,0.195,0.0,0.0,0.0
45,0.2691,0.3488,0.3441,0.343898,0.303498,0.312296,0.327892,0.343096,0.2693919999999999,0.0,0.0,0.0,0.2006939999999999,0.0,0.0,0.0
46,0.2734109999999999,0.3503,0.3455329999999999,0.3455,0.3076109999999999,0.314411,0.330011,0.346611,0.2729109999999999,0.0,0.0,0.0,0.2097109999999999,0.0,0.0,0.0
47,0.278248,0.351524,0.3469,0.347024,0.311124,0.317524,0.332572,0.349324,0.276124,0.0,0.0,0.0,0.21472,0.0,0.0,0.0
48,0.281811,0.3534739999999999,0.348937,0.349,0.313537,0.322237,0.3364739999999999,0.352037,0.280437,0.0,0.0,0.0,0.223374,0.0,0.0,0.0
49,0.2857,0.35555,0.3508,0.3508,0.31615,0.3274,0.3389,0.35435,0.28295,0.0,0.0,0.0,0.2302,0.0,0.0,0.0
50,0.289363,0.3577,0.354563,0.3539629999999999,0.320189,0.3315,0.343189,0.3565629999999999,0.2872,0.0,0.0,0.0,0.234563,0.0,0.0,0.0
51,0.295852,0.359228,0.357676,0.3564,0.324352,0.3342,0.3459759999999999,0.3595759999999999,0.2914279999999999,0.0,0.0,0.0,0.2385,0.0,0.0,0.0
52,0.301412,0.3615,0.360467,0.358589,0.3286,0.337478,0.349578,0.363789,0.295178,0.0,0.0,0.0,0.242378,0.0,0.0,0.0
53,0.306302,0.3641,0.3625,0.361,0.334202,0.340906,0.352204,0.366804,0.299012,0.0,0.0,0.0,0.247904,0.0,0.0,0.0
54,0.31013,0.366615,0.3637,0.3654,0.338645,0.344115,0.356415,0.370045,0.303715,0.0,0.0,0.0,0.255115,0.0,0.0,0.0
55,0.3149400000000001,0.3683560000000001,0.365384,0.3672560000000001,0.342528,0.34854,0.3589,0.3736,0.307512,0.0,0.0,0.0,0.262412,0.0,0.0,0.0
56,0.319623,0.371764,0.369823,0.371346,0.346241,0.3533,0.362541,0.3768,0.312182,0.0,0.0,0.0,0.267546,0.0,0.0,0.0
57,0.324208,0.3752,0.374054,0.373,0.3488159999999999,0.358154,0.367154,0.378954,0.315,0.0,0.0,0.0,0.275454,0.0,0.0,0.0
