percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.06777,0.128945,0.1331,0.1369,0.095945,0.10278,0.1226,0.126845,0.127386,0.147729,0.146343,0.146586,0.148272,0.133572,0.152443,0.137086,0.154843,0.145143,0.151072,0.145643,0.132043,0.176343,0.1577,0.159043,0.1608,0.136343,0.164986,0.1394,0.1672,0.148343,0.1763,0.153943,0.1293429999999999,0.118343,0.147443,0.151543,0.154972,0.131343,0.1464,0.1351,0.140043,0.143529,0.122686,0.147043,0.096445,0.12429,0.1264,0.1273,0.1091,0.112845,0.120645,0.121745
1,0.07839,0.1332,0.1383,0.13929,0.10559,0.1152,0.12758,0.13197,0.136416,0.1632,0.1511,0.151672,0.153,0.1413,0.158586,0.143986,0.162486,0.149672,0.163986,0.1505,0.1393,0.180986,0.160686,0.162186,0.1651,0.1417,0.169972,0.145386,0.172086,0.152486,0.1809,0.158372,0.1368,0.138372,0.154886,0.1564,0.159286,0.139486,0.153,0.1429,0.1494,0.148972,0.142444,0.1532,0.10608,0.1270899999999999,0.1283899999999999,0.1287,0.11639,0.1188,0.1237,0.1254
2,0.0887,0.1388,0.14,0.1414,0.1116,0.1213,0.13187,0.135035,0.1412,0.1666,0.155,0.1552,0.156229,0.146229,0.1631,0.1489,0.1653,0.153129,0.1675,0.1547,0.144529,0.186958,0.1629,0.165658,0.168629,0.148,0.173429,0.1498,0.176829,0.1567,0.186429,0.160829,0.142029,0.150629,0.1598,0.161329,0.163,0.1444,0.1614,0.1468,0.161258,0.152929,0.1517,0.157658,0.11207,0.1293,0.1297,0.130935,0.1197,0.123,0.126735,0.1281
3,0.09582,0.14278,0.1423,0.1432,0.1183,0.12588,0.1358,0.1398,0.1468,0.1703,0.157272,0.1585,0.160472,0.1505,0.1677,0.151772,0.170544,0.156372,0.172172,0.157572,0.1489,0.191244,0.1655,0.168472,0.1706,0.151972,0.175572,0.153572,0.1796,0.159,0.190772,0.1631,0.1463,0.1602,0.1629,0.1649,0.165972,0.147672,0.166572,0.149872,0.1664,0.155872,0.164244,0.161772,0.11798,0.13138,0.1311,0.1323,0.1229,0.12648,0.1303,0.13018
4,0.1025249999999999,0.146025,0.145175,0.1464,0.1237,0.1317,0.1393,0.1445,0.1502,0.1738,0.16083,0.16253,0.1651,0.154215,0.1711,0.1557,0.173,0.1593,0.176015,0.161,0.1527,0.1957,0.1685,0.1707,0.1733,0.1557,0.177815,0.1571,0.182015,0.161415,0.1953,0.1657,0.149915,0.17313,0.165315,0.167215,0.1698,0.151515,0.171115,0.153315,0.17136,0.1591,0.1756,0.164115,0.1221,0.133525,0.1339,0.1333,0.1261,0.1289,0.132625,0.133425
5,0.10727,0.1487699999999999,0.14917,0.15,0.12904,0.135,0.14437,0.1466,0.155558,0.1766,0.1657,0.167958,0.1688,0.158,0.174,0.159558,0.176458,0.162558,0.1804,0.164458,0.157116,0.1984,0.1704,0.173258,0.1758,0.158258,0.179558,0.159958,0.1838,0.1641,0.1973,0.1678,0.153058,0.182758,0.1681,0.169958,0.1733,0.1548,0.1748,0.156858,0.176316,0.1622,0.183516,0.1665,0.12527,0.1357,0.135,0.1346,0.1295,0.1317,0.13457,0.13537
6,0.11306,0.151515,0.152615,0.1539,0.132615,0.1399,0.1481,0.1499,0.159701,0.1806,0.170101,0.172002,0.1739,0.161602,0.177,0.1632,0.179601,0.165901,0.1841,0.1685,0.1606,0.2001,0.1721,0.1756,0.1782,0.161601,0.1818,0.1631,0.186,0.1676,0.1992,0.1704,0.156701,0.187,0.1713,0.172801,0.176001,0.158601,0.179902,0.16,0.183201,0.165201,0.187,0.168601,0.1282,0.1373,0.1367,0.1361,0.1319,0.13483,0.1365,0.137415
7,0.11806,0.15566,0.1559,0.15828,0.1364,0.1435,0.1511,0.15438,0.1633,0.183144,0.175044,0.176844,0.1775,0.165188,0.181144,0.166288,0.183044,0.1695,0.1876,0.1726,0.1633,0.2021,0.174544,0.177844,0.180144,0.1643,0.1837,0.165744,0.1882,0.1701,0.201,0.1724,0.1601,0.194044,0.1743,0.176,0.179488,0.1612,0.183444,0.163,0.1867,0.1676,0.194288,0.1711,0.13116,0.13926,0.13986,0.14076,0.13516,0.1377,0.13872,0.1395
8,0.1213149999999999,0.1587,0.161905,0.1667099999999999,0.1393,0.1475,0.155605,0.1576,0.166587,0.1862,0.178687,0.1802,0.1818,0.168174,0.185887,0.169387,0.187887,0.1727,0.190087,0.1765,0.165887,0.204087,0.177487,0.1801,0.1828,0.167,0.1862,0.1685,0.1906,0.173187,0.202987,0.174987,0.163161,0.1992,0.177,0.1792,0.182987,0.1644,0.186387,0.165287,0.190187,0.17,0.1993,0.173587,0.133105,0.143305,0.1482,0.1518,0.137505,0.1399,0.141,0.143205
9,0.1254,0.1634499999999999,0.17165,0.172,0.143,0.151,0.1581,0.16355,0.1693,0.18873,0.1811,0.18373,0.18556,0.1714,0.1894,0.17213,0.19133,0.1763,0.1924,0.17993,0.1684,0.20633,0.1798,0.18243,0.18523,0.16973,0.1899,0.171,0.1939,0.1757,0.2046,0.178,0.1657,0.2014,0.1797,0.183,0.1868,0.1666,0.1897,0.16803,0.19283,0.17293,0.2014,0.1762,0.1354,0.14945,0.1525,0.15415,0.1405,0.14175,0.1443,0.14695
