percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.055382,0.14433,0.1464,0.1532639999999999,0.0856,0.100182,0.12454,0.144798,0.165567,0.189167,0.1823,0.186034,0.188167,0.1662,0.189034,0.167434,0.189167,0.1713,0.189167,0.177067,0.1708,0.1939,0.1854,0.1892,0.191736,0.1711,0.1939,0.1718,0.1939,0.174368,0.1939,0.180136,0.1672,0.189534,0.182568,0.1864,0.1891,0.167267,0.189534,0.168067,0.189534,0.1718,0.189534,0.177468,0.1038,0.14869,0.1517,0.154392,0.113728,0.1206,0.139,0.14595
1,0.068228,0.1475,0.1554,0.157582,0.0936559999999999,0.111492,0.13174,0.1478,0.1702,0.1945,0.186834,0.191034,0.193434,0.171234,0.194302,0.1719,0.1945,0.175934,0.1945,0.183134,0.174836,0.1973,0.1898,0.1934,0.1952,0.175872,0.1973,0.1766,0.1973,0.1790719999999999,0.1973,0.1852,0.171934,0.194934,0.187868,0.190834,0.193134,0.172134,0.194934,0.174734,0.194934,0.1773,0.194934,0.183034,0.1112,0.15256,0.1558,0.157684,0.122,0.132064,0.1436,0.1502
2,0.074846,0.1509,0.1594,0.1605,0.101246,0.115592,0.13741,0.1509,0.1735,0.1976,0.1908,0.1939,0.196301,0.174701,0.197401,0.175601,0.1975,0.1803,0.1976,0.185803,0.179008,0.1992,0.193404,0.197,0.1987,0.179408,0.1992,0.1804,0.1992,0.1832,0.1992,0.189504,0.177401,0.197402,0.191701,0.1947,0.196302,0.1777,0.1976,0.179,0.1976,0.181201,0.197402,0.187701,0.117,0.1554,0.1582,0.1606,0.127392,0.1369,0.1472,0.1542
3,0.080828,0.1549,0.161644,0.163264,0.107156,0.119756,0.1399,0.153,0.1772,0.199468,0.1933,0.197068,0.1986679999999999,0.177968,0.1993,0.1792679999999999,0.1994,0.184368,0.199468,0.189668,0.1823,0.202,0.197,0.1999,0.2012,0.182772,0.201944,0.184,0.202,0.187144,0.202,0.193072,0.1811,0.200468,0.195168,0.197568,0.199268,0.1823,0.200568,0.183268,0.200568,0.1855679999999999,0.200468,0.191268,0.12,0.15834,0.160748,0.1627,0.131328,0.1393,0.149684,0.1559
4,0.0856,0.16055,0.1637,0.1652,0.1117,0.1233,0.1455,0.1559,0.1809,0.202235,0.196735,0.19977,0.2015,0.1816,0.2019,0.1829,0.201935,0.187335,0.202235,0.1924,0.1854,0.20494,0.1997,0.2028,0.20424,0.186,0.2049,0.18708,0.20494,0.19074,0.20494,0.19554,0.184735,0.2037,0.198235,0.200535,0.2025,0.186135,0.203735,0.187,0.203735,0.18947,0.2037,0.19397,0.1232,0.1604,0.1638,0.16426,0.1342,0.1418,0.151755,0.1578
5,0.0901,0.1644,0.1663,0.1685,0.1147919999999999,0.1269,0.1480199999999999,0.1583,0.1839,0.2048,0.199,0.2022,0.2039,0.1844,0.2044,0.1859,0.2044,0.190102,0.2048,0.194802,0.1885,0.2074,0.2017,0.2051,0.206508,0.189108,0.207308,0.190008,0.2072,0.194,0.2074,0.1982159999999999,0.1878,0.206202,0.200502,0.203604,0.205102,0.1887,0.2063,0.1898,0.206202,0.1924,0.206202,0.196702,0.126192,0.163,0.1654,0.1668,0.137092,0.1439,0.154,0.1593
6,0.0938,0.1667,0.1687,0.1704,0.118274,0.129674,0.1511,0.1603,0.186769,0.207269,0.2011,0.2044689999999999,0.206,0.187469,0.207069,0.188569,0.206769,0.1924,0.207369,0.1971689999999999,0.1914,0.2093,0.203076,0.206876,0.2082,0.191776,0.209276,0.192976,0.209176,0.1962,0.2093,0.2002,0.190069,0.2089,0.2027,0.2063,0.2075,0.190838,0.208969,0.1922,0.2089,0.1955,0.2089,0.1997,0.1284,0.1651,0.1668,0.1684,0.1393,0.1455,0.1555,0.16135
7,0.098312,0.1684,0.1705,0.1722,0.121456,0.132256,0.1535,0.1625,0.189072,0.2099,0.2025,0.206336,0.208136,0.1898,0.209636,0.191036,0.2095,0.1949,0.2099,0.199136,0.1937,0.2114,0.205,0.208288,0.210144,0.194244,0.2114,0.195,0.2114,0.1989,0.2114,0.2021,0.192672,0.2115,0.204836,0.2083,0.210136,0.1934,0.2116,0.1945,0.2115,0.198236,0.2115,0.202,0.130912,0.1663,0.1688,0.1696,0.1413,0.1471,0.1568,0.1635
8,0.101338,0.17027,0.174198,0.1743,0.123538,0.1348,0.1564,0.1644,0.1911,0.2119,0.2044,0.208406,0.210003,0.1923,0.2117,0.1932,0.2117,0.197,0.212,0.2011,0.1957,0.2138,0.2066,0.2101,0.2124,0.196512,0.2138,0.1974,0.213712,0.2011,0.2138,0.203412,0.1947,0.2137,0.207203,0.2106,0.2123,0.1953,0.2137,0.1969,0.2137,0.2014,0.2137,0.203806,0.1332,0.1677,0.1699,0.1707,0.143238,0.1487,0.1585389999999999,0.1655
9,0.104,0.1723,0.1765,0.17601,0.12592,0.13732,0.1594,0.1668,0.1931,0.21447,0.2066,0.2102699999999999,0.212,0.19427,0.21424,0.1958,0.21424,0.1992,0.2145,0.2025,0.19836,0.2161,0.2083,0.2118,0.2142,0.19898,0.216,0.1994,0.216,0.20356,0.2161,0.2055,0.19687,0.21687,0.2091,0.21227,0.21497,0.1976,0.21717,0.1989,0.2168,0.2036,0.21687,0.2058,0.1354,0.1693,0.171,0.1716,0.14492,0.15062,0.16011,0.1665
