percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.07668,0.15402,0.161652,0.170709,0.10699,0.118192,0.14594,0.143948,0.137152,0.1260629999999999,0.143052,0.136967,0.132926,0.139204,0.1260629999999999,0.143189,0.1260629999999999,0.146326,0.1260629999999999,0.145941,0.182526,0.1930629999999999,0.1942,0.195163,0.193963,0.184626,0.1930629999999999,0.187963,0.1930629999999999,0.192352,0.1930629999999999,0.193663,0.17798,0.211,0.2111,0.2116,0.21181,0.18114,0.211,0.18509,0.211,0.19692,0.211,0.20627,0.143402,0.15222,0.167552,0.17432,0.160056,0.169474,0.1843,0.180644
1,0.087556,0.16288,0.172056,0.1765,0.117856,0.133592,0.1556999999999999,0.161576,0.1514,0.1385,0.153452,0.1496,0.144752,0.1514,0.1385,0.155104,0.1385,0.1569,0.1385,0.1564,0.1886,0.200426,0.200126,0.20063,0.200826,0.1906,0.200426,0.193226,0.200426,0.197026,0.200426,0.1989,0.1850399999999999,0.2207599999999999,0.21864,0.22024,0.22114,0.19004,0.2207599999999999,0.1934799999999999,0.2207599999999999,0.20482,0.2207599999999999,0.21254,0.1562,0.1984,0.1947759999999999,0.20092,0.167456,0.177496,0.1931199999999999,0.196896
2,0.096534,0.17034,0.175178,0.180554,0.123934,0.140338,0.16068,0.165432,0.1602,0.1459,0.1582,0.155,0.1507,0.161789,0.1459,0.163289,0.1459,0.1645889999999999,0.1459,0.161689,0.193989,0.2051,0.203,0.2047,0.2054889999999999,0.195178,0.2051,0.198378,0.2051,0.201089,0.2051,0.203,0.19151,0.23392,0.22375,0.2299199999999999,0.2345,0.1953,0.23392,0.19971,0.23392,0.2115,0.23392,0.2184,0.1614,0.2043,0.2039,0.205,0.1735,0.1823,0.19884,0.203244
3,0.104624,0.17746,0.183104,0.1904,0.132312,0.144592,0.16704,0.171284,0.168308,0.1507,0.1628,0.159252,0.155604,0.169052,0.1507,0.1693,0.1507,0.169552,0.1507,0.167152,0.197452,0.209452,0.2072,0.208552,0.2095,0.1993,0.209452,0.202,0.209452,0.204,0.209452,0.2057,0.19568,0.2432,0.22988,0.23596,0.24072,0.1998,0.2432,0.2048,0.2432,0.216,0.2432,0.22388,0.1678,0.20746,0.206104,0.20814,0.1787,0.1855,0.20248,0.207568
4,0.11,0.1821,0.1867,0.1938,0.13628,0.1496,0.1708,0.1807,0.17393,0.1553,0.1661149999999999,0.161615,0.159015,0.1747,0.1553,0.1752,0.1553,0.1735,0.1553,0.170715,0.20043,0.2124,0.21,0.2116,0.21213,0.202,0.2124,0.204515,0.2124,0.207,0.2124,0.20883,0.19965,0.2481499999999999,0.23745,0.24285,0.2466,0.2035,0.2481499999999999,0.2085,0.2481499999999999,0.2191,0.2481499999999999,0.2294,0.17218,0.2094,0.20846,0.21305,0.18309,0.18967,0.2053,0.20964
5,0.1147,0.18934,0.192256,0.198854,0.1418,0.1528,0.17422,0.185888,0.179356,0.158778,0.169578,0.1647,0.161478,0.1799,0.158778,0.1805,0.158778,0.177178,0.158778,0.173178,0.2035,0.215,0.211878,0.2139,0.215078,0.205778,0.215,0.207,0.215,0.209778,0.215,0.2116,0.20342,0.2522399999999999,0.24262,0.2473,0.25022,0.20682,0.2522399999999999,0.21126,0.2522399999999999,0.22202,0.2522399999999999,0.2344,0.174868,0.21194,0.216012,0.2179,0.186136,0.192488,0.2084,0.212
6,0.119646,0.1930599999999999,0.196,0.203063,0.1454,0.157311,0.17726,0.1887,0.183582,0.161441,0.172041,0.167741,0.163641,0.184441,0.161441,0.1843,0.161441,0.181641,0.161441,0.177141,0.2068,0.2173,0.215041,0.2160409999999999,0.2174,0.207941,0.2173,0.2096,0.2173,0.2117,0.2173,0.2134,0.207,0.2551,0.2470699999999999,0.2513,0.2541,0.2098,0.2551,0.2146,0.2551,0.2252,0.2551,0.23739,0.178146,0.215,0.2213,0.22124,0.190446,0.196618,0.21112,0.2144
7,0.124448,0.1965,0.2001,0.205272,0.1497,0.161084,0.1799,0.1903,0.1873,0.164408,0.174504,0.1705,0.167404,0.188,0.164304,0.1878,0.164408,0.1853,0.164408,0.179812,0.209608,0.220104,0.217204,0.2192,0.2198,0.210804,0.220104,0.212304,0.220104,0.214204,0.220104,0.215608,0.21022,0.25876,0.24996,0.25466,0.25686,0.21422,0.25876,0.21792,0.25876,0.22816,0.25876,0.2406,0.1813479999999999,0.21974,0.2246,0.22508,0.194024,0.1996,0.2133,0.2168
8,0.129902,0.19912,0.2027,0.2072,0.1533,0.164214,0.1828,0.1923,0.19,0.167367,0.177,0.1733,0.169867,0.190367,0.1673,0.190467,0.167367,0.188767,0.167367,0.182667,0.212467,0.2222,0.22,0.2214,0.222,0.2134,0.2222,0.214,0.2222,0.216367,0.2222,0.2182,0.21453,0.2618,0.2525,0.2567,0.2591299999999999,0.2172,0.2618,0.22116,0.2618,0.2306,0.2618,0.2438,0.1844,0.2248,0.2266,0.22929,0.1974,0.2031659999999999,0.2158,0.220032
9,0.13496,0.2013,0.205,0.2087,0.15628,0.16803,0.1846,0.19538,0.19223,0.1697,0.1795,0.1748,0.1718,0.19263,0.16963,0.19283,0.1697,0.19113,0.1697,0.185,0.2148,0.22426,0.22273,0.2231,0.22403,0.21553,0.22426,0.2166,0.22426,0.21893,0.22426,0.2208,0.2176,0.2645,0.2541,0.2591,0.2626,0.2207,0.2645,0.2238,0.2645,0.2329,0.2645,0.2462,0.1878,0.227,0.23,0.2335,0.2002,0.2063,0.2181,0.2227
