percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.177648,0.46066,0.493,0.4934679999999999,0.263596,0.292192,0.347664,0.4325319999999999,0.340144,0.4991,0.501312,0.51234,0.37538,0.4024,0.450832,0.483496
1,0.21122,0.484892,0.506,0.51596,0.280228,0.321088,0.375188,0.450332,0.3545919999999999,0.5155,0.522864,0.523532,0.4007199999999999,0.418028,0.467928,0.498732
2,0.232948,0.494284,0.5179239999999999,0.5282,0.292292,0.333048,0.395648,0.460396,0.375428,0.5303800000000001,0.5279,0.54198,0.415448,0.433848,0.481384,0.504396
3,0.246664,0.510756,0.533576,0.541428,0.309192,0.344884,0.416192,0.477028,0.3911,0.536064,0.538692,0.557492,0.43012,0.443428,0.4867,0.511976
4,0.2599,0.5283,0.5413,0.5487799999999999,0.3229,0.35682,0.42732,0.48126,0.40478,0.5393,0.55098,0.56554,0.43714,0.45148,0.49372,0.52504
5,0.2723839999999999,0.533884,0.546496,0.551692,0.335988,0.36688,0.442884,0.488796,0.414896,0.5421,0.5618719999999999,0.575192,0.4459,0.4598,0.499396,0.5332
6,0.282636,0.540812,0.553648,0.554212,0.3484,0.377012,0.453936,0.496436,0.425036,0.5463480000000001,0.568872,0.581312,0.451812,0.467124,0.5049480000000001,0.5389240000000001
7,0.295576,0.547228,0.563028,0.556596,0.363184,0.3866279999999999,0.461856,0.508252,0.432284,0.555628,0.575996,0.5835,0.459412,0.473784,0.513496,0.543856
8,0.306744,0.551,0.567,0.5610440000000001,0.372308,0.397888,0.468908,0.521096,0.4398,0.565484,0.587744,0.587744,0.4655,0.481844,0.520644,0.547844
9,0.31758,0.55506,0.57092,0.56988,0.37878,0.41262,0.47662,0.5344800000000001,0.44622,0.57726,0.59548,0.59176,0.47466,0.49002,0.52552,0.55206
10,0.324252,0.56006,0.575004,0.578176,0.385984,0.420676,0.483376,0.5425,0.4516759999999999,0.584576,0.598376,0.594776,0.4786,0.496632,0.530176,0.5563
11,0.3314,0.566384,0.5783,0.5879,0.3939,0.4284759999999999,0.489492,0.549984,0.45796,0.588792,0.602484,0.599192,0.4855599999999999,0.5036039999999999,0.535392,0.5606
12,0.339248,0.570908,0.583616,0.602316,0.400332,0.434908,0.494508,0.5568,0.467648,0.591508,0.606808,0.603624,0.493908,0.509924,0.540508,0.5636
13,0.347,0.575748,0.5881,0.6109,0.409848,0.441848,0.501424,0.5616,0.473696,0.5943,0.609272,0.6061,0.5007240000000001,0.5176160000000001,0.548772,0.566924
14,0.3538,0.58068,0.5907,0.6152799999999999,0.41888,0.44792,0.5077200000000001,0.5678,0.47994,0.5985400000000001,0.6115,0.60832,0.50834,0.52786,0.55796,0.5749
15,0.361812,0.584712,0.598568,0.619012,0.42668,0.455256,0.516268,0.570156,0.486308,0.601668,0.6133559999999999,0.612824,0.5132,0.536212,0.5651,0.580612
16,0.370544,0.586872,0.6073,0.6243,0.4353,0.4632,0.5235920000000001,0.5749719999999999,0.493144,0.608788,0.616072,0.6161719999999999,0.521172,0.542344,0.57286,0.5880719999999999
17,0.37834,0.589276,0.612988,0.6296,0.4435,0.469464,0.5305759999999999,0.578788,0.4986,0.616764,0.618588,0.620676,0.5275639999999999,0.5479,0.578876,0.5958
18,0.387804,0.592104,0.616908,0.6317,0.4512,0.47562,0.536832,0.581504,0.505632,0.621804,0.622304,0.626704,0.5359160000000001,0.551904,0.584404,0.599704
19,0.3929,0.595,0.62272,0.63322,0.45896,0.4807600000000001,0.5449200000000001,0.5846600000000001,0.5110600000000001,0.6249,0.6245200000000001,0.6332,0.54454,0.55864,0.5884,0.60394
