percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.174425,0.0,0.0,0.0,0.260775,0.2939,0.3555999999999999,0.0,0.281075,0.0,0.0,0.0,0.337675,0.363125,0.38415,0.0
1,0.2092999999999999,0.428,0.0,0.0,0.2835999999999999,0.3183,0.38875,0.44125,0.3077499999999999,0.4358999999999999,0.0,0.0,0.359,0.37685,0.39875,0.42925
2,0.228875,0.45085,0.4485,0.0,0.29795,0.3365249999999999,0.3986,0.45295,0.32895,0.4478499999999999,0.445025,0.0,0.368,0.38935,0.4075999999999999,0.43955
3,0.252,0.464,0.4547,0.4823,0.3188,0.365,0.4165,0.4609,0.3506,0.4554,0.4529,0.4471,0.3752,0.3975,0.4203,0.447
4,0.274625,0.472375,0.485325,0.488725,0.337225,0.380975,0.427075,0.465825,0.3598,0.45935,0.4568,0.46875,0.38515,0.4019,0.429825,0.454875
5,0.2919,0.48255,0.4972499999999999,0.49505,0.3576,0.39405,0.4399,0.47015,0.36675,0.46475,0.47215,0.48035,0.392,0.40695,0.4433,0.4619
6,0.301375,0.4948249999999999,0.5023249999999999,0.5033,0.37435,0.402125,0.448225,0.474225,0.372225,0.469325,0.479425,0.4821499999999999,0.3986,0.4114,0.448925,0.467925
7,0.3199,0.5034,0.5069,0.5084,0.3879,0.4115,0.4546,0.4775,0.3774,0.4747,0.4922,0.4846,0.4066,0.4203,0.453,0.4726
8,0.32965,0.510275,0.5132,0.511375,0.399525,0.419375,0.465825,0.480975,0.3854,0.48285,0.495175,0.4885,0.413125,0.425975,0.4583,0.475525
9,0.33735,0.5149,0.51875,0.51645,0.40895,0.42615,0.4764,0.4891999999999999,0.39295,0.4899,0.4973999999999999,0.49335,0.41845,0.43205,0.4626,0.47845
10,0.34975,0.5171250000000001,0.5245249999999999,0.52955,0.416025,0.433125,0.484,0.5030749999999999,0.3995249999999999,0.493225,0.4997,0.498,0.424225,0.441,0.4669,0.483025
11,0.358,0.5195,0.5304,0.5345,0.4221,0.4398,0.4911,0.5084,0.4084,0.4978,0.5023,0.5003,0.4328,0.4496,0.4734,0.4894
12,0.367825,0.5221,0.5359750000000001,0.53945,0.430825,0.4487,0.497,0.5168,0.417225,0.502675,0.5058750000000001,0.504,0.43805,0.455675,0.478375,0.49495
13,0.37365,0.52535,0.5391,0.5418000000000001,0.4371,0.4566,0.50255,0.5218,0.42205,0.50745,0.51185,0.51605,0.44515,0.46235,0.4875,0.5025
14,0.3786,0.53125,0.542825,0.5437,0.44445,0.4657,0.5086250000000001,0.5263,0.426425,0.513225,0.5182249999999999,0.52255,0.45215,0.4730749999999999,0.494425,0.511575
15,0.388,0.5388,0.5461,0.5468,0.4478,0.4741,0.5142,0.5306,0.4327,0.516,0.5264,0.5327,0.4585,0.4784,0.5022,0.5146
16,0.39385,0.54345,0.5507249999999999,0.5501750000000001,0.45295,0.4815,0.5243249999999999,0.5379750000000001,0.4377,0.51935,0.53145,0.538375,0.467525,0.486875,0.510475,0.518875
17,0.40005,0.5468500000000001,0.5553,0.55405,0.4587,0.48805,0.53085,0.5432,0.4448499999999999,0.5235000000000001,0.5372,0.5522,0.4762,0.4921999999999999,0.5159,0.52115
18,0.4063,0.5496,0.560225,0.5585,0.465025,0.498575,0.533325,0.54755,0.453625,0.5341,0.544525,0.560125,0.48095,0.499,0.5254,0.52445
19,0.4122,0.5522,0.5621,0.5648,0.471,0.5072,0.5383,0.5511,0.4615,0.5399,0.5502,0.5639,0.4854,0.5037,0.5328,0.5308
20,0.421,0.5555,0.565825,0.5723,0.479675,0.5140750000000001,0.545875,0.55325,0.467475,0.5457749999999999,0.5567249999999999,0.5675250000000001,0.489875,0.5098,0.536375,0.5343249999999999
21,0.4269,0.56385,0.56975,0.5781499999999999,0.48545,0.5189,0.54975,0.5572,0.47345,0.5525,0.56535,0.5720000000000001,0.498,0.51665,0.5422,0.54035
22,0.433625,0.5692,0.5761999999999999,0.586525,0.4905,0.5229250000000001,0.558025,0.55945,0.48235,0.5576,0.5736749999999999,0.578525,0.5078,0.524575,0.5465249999999999,0.544075
23,0.4406,0.5742,0.5851,0.5919,0.4973,0.5288,0.5667,0.5617,0.4881,0.561,0.5797,0.5851,0.517,0.5293,0.5497,0.5492
24,0.4472,0.5781,0.589275,0.598375,0.50405,0.534125,0.570375,0.56515,0.4978249999999999,0.565075,0.58365,0.593075,0.52645,0.535825,0.5546,0.5542750000000001
25,0.4545,0.5823,0.59505,0.6035,0.5118,0.5399499999999999,0.5763,0.5714,0.50595,0.5727,0.58735,0.59595,0.5338,0.5463,0.55795,0.5607
26,0.4609,0.585975,0.598625,0.609675,0.518025,0.547275,0.57925,0.5777,0.5121249999999999,0.5804750000000001,0.59055,0.6014,0.538675,0.5545249999999999,0.5647249999999999,0.5665250000000001
27,0.4656,0.5917,0.6013,0.6159,0.5236,0.5552,0.5819,0.587,0.5212,0.5862,0.595,0.6045,0.5432,0.5654,0.5684,0.5767
28,0.4731,0.601475,0.6100749999999999,0.647675,0.5277000000000001,0.56035,0.5842750000000001,0.59465,0.525225,0.59485,0.6005750000000001,0.6083,0.552875,0.57315,0.5725750000000001,0.5838
29,0.48085,0.6107,0.62025,0.66825,0.53695,0.5674,0.58795,0.6073999999999999,0.53265,0.599,0.6046,0.6107,0.55965,0.5798,0.5768,0.5902000000000001
30,0.487925,0.6201,0.6286999999999999,0.6855,0.544325,0.57355,0.5916250000000001,0.61085,0.537875,0.604725,0.607475,0.612625,0.5657,0.584225,0.5807249999999999,0.59375
31,0.4936,0.6254,0.6412,0.6894,0.5496,0.5806,0.5978,0.6148,0.5438,0.6097,0.6118,0.6144,0.5722,0.588,0.588,0.6005
32,0.4991,0.63085,0.66075,0.694175,0.557175,0.58755,0.6017,0.62025,0.5499750000000001,0.611775,0.618625,0.6166,0.57875,0.59225,0.59345,0.606875
33,0.5073,0.63405,0.68155,0.69725,0.56105,0.5919,0.60995,0.6261,0.55755,0.61415,0.6214999999999999,0.61905,0.58285,0.5954999999999999,0.5992500000000001,0.6108
34,0.5117750000000001,0.63785,0.6916,0.7003,0.5654250000000001,0.59605,0.614025,0.6299250000000001,0.563825,0.6177,0.625425,0.62545,0.5874250000000001,0.600025,0.610725,0.6163
35,0.5206,0.6513,0.698,0.7032,0.5712,0.6004,0.6182,0.6339,0.5699,0.6218,0.6297,0.6314,0.5939,0.6039,0.6157,0.6208
36,0.5250250000000001,0.66195,0.70245,0.7097,0.575,0.6078250000000001,0.6238,0.6364749999999999,0.5748,0.6240749999999999,0.6329750000000001,0.6345500000000001,0.5990500000000001,0.609175,0.62055,0.62625
37,0.53075,0.6861,0.7086,0.71365,0.57865,0.6119,0.6271,0.6427499999999999,0.58075,0.6294,0.6355999999999999,0.6383,0.6046,0.61275,0.62305,0.63205
38,0.535925,0.699225,0.716225,0.7158249999999999,0.583725,0.616225,0.6299,0.6539,0.586,0.633875,0.638125,0.642325,0.60815,0.61625,0.62605,0.6353249999999999
39,0.5427,0.7166,0.7224,0.7184,0.5896,0.6196,0.6341,0.6668,0.5904,0.6416,0.6407,0.6452,0.6128,0.6211,0.6294,0.6399
40,0.5484,0.7238,0.726475,0.7208749999999999,0.5957,0.6250249999999999,0.6383749999999999,0.67615,0.5960749999999999,0.6473,0.645575,0.64815,0.6180749999999999,0.6252,0.63225,0.6432
41,0.55525,0.7315499999999999,0.7311,0.7289000000000001,0.6004,0.63025,0.6436999999999999,0.6812,0.6033999999999999,0.6509,0.6516,0.6527499999999999,0.62235,0.62885,0.63565,0.64745
