percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.188222,0.458,0.466184,0.4714959999999999,0.290928,0.31555,0.397058,0.431992,0.316138,0.539946,0.535984,0.552684,0.38643,0.423784,0.477246,0.4995219999999999
1,0.214088,0.465992,0.484176,0.4875,0.306068,0.3342839999999999,0.4129,0.447968,0.346912,0.544192,0.5511280000000001,0.561992,0.410196,0.435392,0.493352,0.519084
2,0.239004,0.4689,0.490938,0.4949759999999999,0.319276,0.356838,0.440818,0.45269,0.364876,0.5483,0.56,0.568338,0.418228,0.442066,0.502238,0.526838
3,0.255192,0.473052,0.503184,0.513952,0.33132,0.366504,0.44892,0.4662199999999999,0.374644,0.551684,0.570284,0.577568,0.424368,0.448052,0.5108,0.534236
4,0.26522,0.48189,0.50851,0.51973,0.33843,0.37679,0.46119,0.47615,0.3842299999999999,0.5546599999999999,0.576,0.58976,0.43209,0.45266,0.5205299999999999,0.54823
5,0.276652,0.5059319999999999,0.513952,0.5227,0.346156,0.38778,0.4667,0.488204,0.39396,0.56008,0.580876,0.5944,0.4386279999999999,0.4578,0.5293680000000001,0.556956
6,0.288022,0.517336,0.519122,0.5259440000000001,0.353876,0.402722,0.476122,0.497122,0.402666,0.566644,0.585522,0.599744,0.443966,0.466166,0.536244,0.5633
7,0.2989,0.5243,0.53004,0.531768,0.360344,0.4136,0.4813,0.5038,0.410404,0.578604,0.590804,0.605768,0.450936,0.474108,0.541268,0.569704
8,0.3043,0.5274139999999999,0.534414,0.540228,0.367442,0.4261379999999999,0.4877,0.5086280000000001,0.4160419999999999,0.5867,0.597614,0.608498,0.4558,0.481298,0.546856,0.5739
9,0.31194,0.5327,0.53932,0.55642,0.38032,0.4329,0.49482,0.51182,0.42322,0.5921,0.6032,0.6121599999999999,0.45946,0.4912,0.5527200000000001,0.57602
10,0.322312,0.5387,0.546536,0.5689299999999999,0.3872,0.437054,0.499718,0.5181,0.4311,0.595712,0.606606,0.613606,0.4649419999999999,0.4957,0.558378,0.5786
11,0.3305,0.541152,0.5616479999999999,0.575252,0.393516,0.442952,0.504608,0.5223,0.435852,0.5988,0.610808,0.6160519999999999,0.471952,0.501968,0.562052,0.5807519999999999
12,0.341198,0.5453,0.57259,0.5902740000000001,0.401982,0.452896,0.5078980000000001,0.5296,0.442698,0.6017,0.6133,0.6184940000000001,0.4765,0.509178,0.5655,0.5833
13,0.351088,0.550332,0.58082,0.595032,0.409532,0.459984,0.509876,0.534644,0.447176,0.604044,0.615532,0.621044,0.483008,0.51602,0.568932,0.585588
14,0.35609,0.5568,0.5837,0.60188,0.4183,0.46775,0.51359,0.54045,0.45224,0.6079,0.6173,0.62309,0.4870899999999999,0.52594,0.57403,0.5909
15,0.364072,0.5636,0.585708,0.607844,0.426336,0.4738,0.516024,0.543336,0.4587,0.612108,0.6191,0.6245360000000001,0.492736,0.533372,0.578716,0.593844
16,0.36921,0.568628,0.591928,0.6115820000000001,0.433766,0.477182,0.5194,0.548464,0.464228,0.6144820000000001,0.621182,0.626382,0.497046,0.5389820000000001,0.583464,0.596946
17,0.37544,0.572384,0.596212,0.615728,0.440868,0.482328,0.521656,0.553528,0.466728,0.616512,0.623328,0.629,0.5026,0.5454,0.587028,0.599028
18,0.382474,0.581774,0.6016480000000001,0.62127,0.448222,0.489044,0.5258,0.5577219999999999,0.471474,0.6188,0.6258,0.6307,0.5095740000000001,0.5516,0.591248,0.601074
19,0.3905,0.588,0.608,0.63052,0.45612,0.4951,0.52852,0.56172,0.47508,0.6201,0.62854,0.6322,0.51602,0.55648,0.5944200000000001,0.60272
20,0.395366,0.5913,0.611866,0.638728,0.463432,0.501566,0.5315,0.566366,0.479098,0.621266,0.630266,0.6335,0.522366,0.560666,0.596966,0.604698
21,0.3999359999999999,0.5945,0.6145120000000001,0.647632,0.470348,0.5073,0.536224,0.570612,0.482172,0.624224,0.632112,0.635224,0.528,0.566624,0.599112,0.6073
22,0.405758,0.6033,0.620232,0.656406,0.474816,0.511458,0.540358,0.574658,0.487974,0.626158,0.6334,0.636758,0.5334,0.571258,0.601158,0.6102
23,0.4135599999999999,0.6065,0.6257,0.665516,0.478704,0.514608,0.5463,0.580812,0.492308,0.627804,0.634804,0.6384,0.5412,0.5757,0.604004,0.613904
24,0.4194,0.6087,0.62915,0.66775,0.48325,0.519,0.5524,0.58525,0.4957,0.6302,0.63595,0.64075,0.54535,0.58265,0.6068,0.61565
25,0.425388,0.610392,0.636368,0.669796,0.48888,0.521988,0.5564,0.587696,0.5003,0.6316,0.6372,0.6428,0.5507759999999999,0.587192,0.610792,0.6185
26,0.431936,0.613942,0.6477620000000001,0.671684,0.49861,0.5268,0.5617,0.592242,0.5049680000000001,0.6328,0.6389,0.6448,0.554884,0.590326,0.613584,0.6223
27,0.439776,0.618876,0.6623,0.675088,0.5042,0.5307520000000001,0.5663640000000001,0.5961879999999999,0.5129920000000001,0.6339640000000001,0.6408,0.6464,0.561388,0.595152,0.6156,0.625288
28,0.4453719999999999,0.627634,0.669068,0.6771,0.510034,0.533134,0.5714359999999999,0.598934,0.51867,0.6358,0.642234,0.6472,0.5678679999999999,0.601304,0.6172,0.6276
29,0.4523,0.6314599999999999,0.6744399999999999,0.6788799999999999,0.51574,0.5382399999999999,0.5785,0.6037399999999999,0.52638,0.6374799999999999,0.6445,0.6483599999999999,0.5728,0.6044,0.6186,0.6294799999999999
30,0.459352,0.637,0.681238,0.6819259999999999,0.520826,0.544126,0.583804,0.608726,0.531704,0.6391,0.647278,0.6504519999999999,0.5786519999999999,0.6082,0.621726,0.6311
31,0.465188,0.642772,0.687,0.687372,0.525116,0.5484,0.587472,0.613872,0.537716,0.641072,0.650072,0.652372,0.5829719999999999,0.613088,0.625244,0.633172
32,0.4719,0.649718,0.6935,0.691636,0.5325179999999999,0.5515,0.5957,0.6173179999999999,0.545408,0.6435179999999999,0.652,0.654336,0.5863900000000001,0.616918,0.627954,0.636618
33,0.477928,0.6534639999999999,0.6958639999999999,0.6993,0.538448,0.555428,0.605812,0.6193639999999999,0.552364,0.645064,0.654792,0.6574,0.5906,0.620864,0.6302,0.638864
34,0.4851499999999999,0.6578200000000001,0.7016999999999999,0.7029099999999999,0.5440200000000001,0.56192,0.61041,0.62491,0.55813,0.64611,0.6569,0.6586,0.59563,0.6254,0.63281,0.6407
35,0.4938,0.6666879999999998,0.706312,0.704656,0.549704,0.5667679999999999,0.613812,0.627856,0.563468,0.6472,0.6583559999999999,0.6601,0.60258,0.6301559999999999,0.635656,0.6429
36,0.501916,0.67321,0.710402,0.7069,0.556904,0.5737019999999999,0.61802,0.631716,0.569504,0.6486,0.6595,0.662,0.607602,0.633404,0.6399,0.6455
37,0.506196,0.68708,0.712848,0.711148,0.5621480000000001,0.579136,0.623192,0.63944,0.57664,0.6501480000000001,0.6607,0.665796,0.610948,0.636396,0.6428480000000001,0.649248
38,0.5115400000000001,0.6972520000000001,0.7161879999999999,0.714,0.5676,0.582388,0.629288,0.644846,0.58147,0.6517,0.6617940000000001,0.669494,0.6165700000000001,0.640094,0.6449940000000001,0.6522
39,0.5174000000000001,0.70728,0.71804,0.71804,0.57138,0.5862400000000001,0.63224,0.65008,0.5873400000000001,0.65314,0.6636799999999999,0.6714,0.62168,0.64254,0.64778,0.65534
40,0.5214719999999999,0.7134879999999999,0.720686,0.7224860000000001,0.5747439999999999,0.5919739999999999,0.634972,0.653386,0.5941299999999999,0.6553,0.6653,0.673886,0.6262719999999999,0.644686,0.651072,0.656958
41,0.5254279999999999,0.7189359999999998,0.7246279999999999,0.7274,0.5787,0.595032,0.639132,0.6580799999999999,0.6006279999999999,0.658296,0.667432,0.676864,0.6308320000000001,0.647664,0.655432,0.659
42,0.5324559999999999,0.7240559999999999,0.731212,0.731012,0.5829,0.600534,0.642912,0.6728719999999999,0.605778,0.661,0.6699780000000001,0.679278,0.6353559999999999,0.650778,0.6577,0.6607
43,0.539336,0.7280719999999999,0.739768,0.736248,0.587588,0.6061,0.647972,0.683496,0.610972,0.6640240000000001,0.6721,0.6811240000000001,0.639972,0.653224,0.660644,0.662448
