percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0313079999999999,0.0,0.0,0.0,0.0340599999999999,0.0367,0.0347349999999999,0.0,0.052021,0.035721,0.044284,0.039784,0.036984,0.052021,0.035721,0.052021,0.035721,0.0505,0.035721,0.048984,0.065969,0.058415,0.059,0.059184,0.058623,0.065969,0.058415,0.065969,0.058415,0.065669,0.058415,0.062046,0.073355,0.077735,0.06956,0.068715,0.07198,0.073355,0.077735,0.073355,0.077735,0.07262,0.077735,0.07026,0.037252,0.0,0.0,0.0,0.039378,0.039608,0.041716,0.0
1,0.044564,0.04685,0.0492,0.0,0.066652,0.068252,0.054,0.048488,0.104324,0.066948,0.081484,0.072226,0.066948,0.104324,0.066948,0.104004,0.066948,0.10388,0.066948,0.093228,0.133484,0.135684,0.139476,0.136538,0.13563,0.13393,0.135684,0.135582,0.135684,0.139446,0.135684,0.140592,0.13006,0.12997,0.1309,0.12788,0.12997,0.13032,0.12997,0.1308099999999999,0.12997,0.13039,0.12997,0.1308099999999999,0.067856,0.05165,0.049914,0.0,0.071208,0.0685519999999999,0.055964,0.05058
2,0.055968,0.122325,0.1266,0.1297,0.076534,0.086534,0.10779,0.117864,0.130426,0.139863,0.1349,0.1371629999999999,0.1381629999999999,0.130426,0.139863,0.1306,0.139863,0.1337,0.139863,0.134515,0.147945,0.1537069999999999,0.149,0.150538,0.1526,0.148569,0.1537069999999999,0.148569,0.1537069999999999,0.150338,0.1537069999999999,0.1489069999999999,0.1476,0.1565899999999999,0.1552849999999999,0.155895,0.156,0.1489849999999999,0.1565899999999999,0.151095,0.1565899999999999,0.1558,0.1565899999999999,0.154695,0.082678,0.1089,0.112513,0.1029529999999999,0.093278,0.099178,0.1075,0.1086
3,0.0632,0.1279,0.1298,0.132144,0.0827079999999999,0.0972079999999999,0.1124,0.123276,0.142884,0.1517,0.146568,0.148568,0.15,0.144136,0.1517,0.144736,0.1517,0.150552,0.1517,0.149184,0.1532919999999999,0.161192,0.1551,0.157484,0.1593919999999999,0.1542919999999999,0.161192,0.1552,0.161192,0.158692,0.161192,0.156884,0.1537,0.16414,0.16376,0.16376,0.16456,0.1552,0.16414,0.158,0.16414,0.16486,0.16414,0.1647,0.091004,0.117,0.1169,0.1173,0.098908,0.102404,0.1113,0.11236
4,0.06909,0.130975,0.13332,0.1349,0.08905,0.10153,0.1173,0.1281,0.1508,0.1582,0.1581,0.1578,0.157805,0.1524,0.1582,0.1543,0.1582,0.158905,0.1582,0.1602,0.1582,0.166675,0.167615,0.166415,0.1662,0.159115,0.166675,0.161415,0.166675,0.1677,0.166675,0.16836,0.158,0.17545,0.1728,0.1722,0.173625,0.1604249999999999,0.17545,0.1621,0.17545,0.17115,0.17545,0.174325,0.09503,0.1202,0.1192,0.118785,0.103,0.10546,0.1137,0.120975
5,0.075112,0.1336,0.1359,0.1381,0.0952,0.1049,0.12269,0.1313639999999999,0.1556,0.1662519999999999,0.167426,0.165026,0.1656,0.157226,0.1662519999999999,0.159,0.1662519999999999,0.1658,0.1662519999999999,0.168256,0.163038,0.175914,0.176614,0.175914,0.176376,0.164676,0.175914,0.1662,0.175914,0.1741,0.175914,0.1784379999999999,0.1617,0.1814899999999999,0.1792,0.17997,0.18088,0.1645,0.1814899999999999,0.16649,0.1814899999999999,0.17609,0.1814899999999999,0.1803,0.0987,0.1229,0.122326,0.1249219999999999,0.1051,0.1097,0.116796,0.1238
6,0.0802,0.1366,0.138184,0.1408,0.0992,0.108782,0.1272,0.133858,0.1592,0.172247,0.175494,0.174794,0.1738,0.161,0.172247,0.161947,0.172247,0.170547,0.172247,0.175547,0.1664,0.181961,0.182061,0.182061,0.182,0.1675,0.181961,0.1703,0.181961,0.178461,0.181961,0.182422,0.16551,0.187355,0.185055,0.18531,0.187,0.167955,0.187355,0.1708,0.187355,0.179955,0.187355,0.1863,0.102064,0.126,0.128098,0.131059,0.108164,0.113082,0.1219,0.1265
7,0.0842,0.1386,0.1401,0.1432,0.1033,0.112908,0.12952,0.135852,0.1621,0.1765,0.180536,0.1798,0.1784359999999999,0.1635,0.1765,0.1655,0.1765,0.1749,0.1765,0.180168,0.169484,0.185,0.187584,0.1872,0.186184,0.17172,0.185,0.173684,0.185,0.1821,0.185,0.188168,0.16884,0.19082,0.19084,0.1914,0.19122,0.1708,0.19082,0.1737199999999999,0.19082,0.1829,0.19082,0.1899,0.105308,0.1296,0.130656,0.1326,0.1109,0.116508,0.124756,0.1293
8,0.0878,0.1406,0.142504,0.145424,0.1066,0.1156679999999999,0.1319,0.1382,0.1650889999999999,0.179689,0.1842,0.182889,0.1815,0.1666,0.179689,0.1687,0.179689,0.1785,0.179689,0.1844,0.1728,0.187207,0.1906,0.189307,0.188607,0.174507,0.187207,0.175807,0.187207,0.1848,0.187207,0.1908,0.1718849999999999,0.193685,0.1937849999999999,0.1938849999999999,0.1934,0.1736849999999999,0.193685,0.176,0.193685,0.1853,0.193685,0.1925849999999999,0.1078,0.1324,0.132813,0.1335,0.113934,0.119,0.1274,0.1308
9,0.0904,0.1425,0.1443,0.14886,0.10896,0.1196,0.134,0.14054,0.1676,0.18271,0.1871,0.1849,0.18391,0.1692,0.18271,0.1716,0.18271,0.1813199999999999,0.18271,0.18641,0.1751,0.19,0.1923,0.1915,0.1905,0.1768,0.19,0.1782,0.19,0.1872,0.19,0.1922,0.1739,0.1955,0.19535,0.1952,0.1952,0.1758,0.1955,0.1786,0.1955,0.1878,0.1955,0.1946,0.10996,0.13395,0.13484,0.1348,0.11742,0.12106,0.1292,0.1324
