percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.092392,0.197097,0.210478,0.218918,0.12924,0.145144,0.1704,0.192016,0.209524,0.265864,0.2642,0.2655,0.266,0.210888,0.265864,0.21418,0.265864,0.2399,0.265864,0.2613959999999999,0.211466,0.267466,0.2671,0.267633,0.267766,0.211997,0.267466,0.214633,0.267466,0.2432,0.267466,0.265733,0.2072959999999999,0.266564,0.264924,0.26672,0.2662319999999999,0.208584,0.266564,0.2124599999999999,0.266564,0.240632,0.266564,0.262864,0.136448,0.178397,0.1838,0.18736,0.149796,0.152744,0.179352,0.1835
1,0.104388,0.210194,0.219792,0.2243,0.142196,0.154296,0.179274,0.197396,0.223132,0.270164,0.2709,0.2711,0.271364,0.2240639999999999,0.270164,0.2290559999999999,0.270164,0.254384,0.270164,0.269964,0.2255319999999999,0.2722,0.272666,0.2728,0.2727,0.226932,0.2722,0.2297239999999999,0.2722,0.258132,0.2722,0.271966,0.2201199999999999,0.272964,0.2722279999999999,0.272464,0.273264,0.221356,0.272964,0.224028,0.272964,0.255028,0.272964,0.270564,0.149088,0.192694,0.199216,0.2003599999999999,0.160196,0.1681919999999999,0.1839,0.188334
2,0.1121,0.219,0.226334,0.231254,0.151344,0.160688,0.187,0.204248,0.236196,0.2743,0.275396,0.275,0.274696,0.23828,0.2743,0.242592,0.2743,0.2638,0.2743,0.273696,0.2381,0.2763989999999999,0.276699,0.2764,0.2764,0.239897,0.2763989999999999,0.244399,0.2763989999999999,0.268598,0.2763989999999999,0.276099,0.2301959999999999,0.277,0.2773,0.2761,0.276496,0.233,0.277,0.2388,0.277,0.266084,0.277,0.276796,0.1598439999999999,0.2036,0.207637,0.21456,0.168188,0.178008,0.189228,0.195751
3,0.1204,0.227288,0.232312,0.2373,0.157492,0.16926,0.190896,0.213864,0.244484,0.2778,0.279456,0.2783,0.278528,0.246612,0.2778,0.2516279999999999,0.2778,0.271384,0.2778,0.2794,0.249532,0.2808,0.2818,0.280632,0.2813319999999999,0.251264,0.2808,0.255692,0.2808,0.2763,0.2808,0.2819959999999999,0.24204,0.280128,0.281456,0.2809,0.280728,0.2456,0.280128,0.249828,0.280128,0.2748,0.280128,0.282256,0.1649,0.211388,0.213716,0.2170399999999999,0.1748,0.184168,0.194656,0.2034679999999999
4,0.12678,0.231985,0.2394899999999999,0.241495,0.16194,0.17504,0.195285,0.2173,0.25248,0.28116,0.28286,0.2823,0.2816,0.2546,0.28116,0.25854,0.28116,0.276,0.28116,0.2837,0.2582649999999999,0.28443,0.286165,0.2858,0.2856,0.2597,0.28443,0.263095,0.28443,0.28296,0.28443,0.287565,0.25142,0.28456,0.28576,0.28626,0.2855,0.25526,0.28456,0.25974,0.28456,0.28096,0.28456,0.28686,0.16914,0.215,0.2175949999999999,0.2191,0.1823,0.1885,0.20039,0.20687
5,0.133488,0.2357,0.243272,0.2448,0.166288,0.178676,0.2009,0.2211,0.258692,0.2842,0.286092,0.2854919999999999,0.284684,0.2602919999999999,0.2842,0.264,0.2842,0.2815,0.2842,0.287092,0.264,0.287698,0.291194,0.2904,0.289,0.2656,0.287698,0.2693959999999999,0.287698,0.287798,0.287698,0.2926,0.26,0.2882,0.290092,0.2901,0.289092,0.262592,0.2882,0.267292,0.2882,0.285892,0.2882,0.291092,0.174,0.216882,0.2205,0.2220599999999999,0.187188,0.1922,0.203628,0.211404
6,0.1383,0.2387,0.247946,0.25,0.169836,0.1823,0.204859,0.231912,0.2635,0.286424,0.29,0.289,0.2877,0.264624,0.286424,0.268924,0.286424,0.285224,0.286424,0.2905,0.268662,0.2907,0.2951,0.293731,0.2919,0.270931,0.2907,0.275531,0.2907,0.291331,0.2907,0.296562,0.266772,0.291324,0.2935,0.2929,0.292324,0.268744,0.291324,0.273124,0.291324,0.2884,0.291324,0.2944,0.177436,0.2183,0.2228,0.224,0.190972,0.196344,0.2074659999999999,0.217895
7,0.1433,0.245276,0.251024,0.254172,0.174236,0.1863,0.2102,0.237828,0.2678,0.288756,0.293156,0.2915,0.2905,0.269456,0.288756,0.2737,0.288756,0.288168,0.288756,0.294356,0.2736,0.2935,0.298064,0.2961,0.294164,0.276864,0.2935,0.280864,0.2935,0.294464,0.2935,0.299164,0.271956,0.294456,0.296456,0.295856,0.295,0.274612,0.294456,0.278556,0.294456,0.291756,0.294456,0.2967,0.1808,0.220376,0.2246,0.2255,0.193984,0.2004,0.2113,0.221272
8,0.1490959999999999,0.249973,0.253802,0.2574,0.177432,0.19,0.2193,0.2416319999999999,0.2712,0.290888,0.296,0.2937,0.2922,0.2743879999999999,0.290888,0.277676,0.290888,0.291588,0.290888,0.2968,0.279597,0.295397,0.300697,0.2987,0.297097,0.282297,0.295397,0.285697,0.295397,0.297297,0.295397,0.301797,0.2768879999999999,0.2966,0.2991,0.298488,0.2974,0.2792,0.2966,0.2822,0.2966,0.2954,0.2966,0.2999,0.184,0.2237,0.2268,0.22844,0.1976,0.2031,0.214084,0.224
9,0.15396,0.25257,0.25736,0.26137,0.18058,0.19468,0.2243,0.2455,0.27542,0.2928,0.2974,0.29592,0.29422,0.2783,0.2928,0.28142,0.2928,0.29462,0.2928,0.2984,0.28463,0.2978,0.3028,0.30043,0.299,0.28723,0.2978,0.2902,0.2978,0.30013,0.2978,0.30383,0.2812,0.29832,0.3014,0.30052,0.2993,0.28368,0.29832,0.28742,0.29832,0.29802,0.29832,0.3021,0.1865,0.22664,0.2285,0.2308,0.19998,0.2053,0.21734,0.22607
