percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0802,0.0,0.0,0.0,0.104317,0.100403,0.097479,0.0,0.0888,0.0,0.0,0.0,0.094341,0.0984,0.1022479999999999,0.0
1,0.11445,0.1079,0.0,0.0,0.135724,0.133058,0.1108,0.107424,0.1156,0.1089,0.0,0.0,0.119726,0.126362,0.1136,0.109524
2,0.138,0.291686,0.3357809999999999,0.338693,0.182288,0.203272,0.2220399999999999,0.271876,0.170379,0.329065,0.3462059999999999,0.372879,0.2120269999999999,0.2486169999999999,0.267365,0.3266539999999999
3,0.150272,0.33722,0.366996,0.391472,0.209992,0.233992,0.276224,0.296348,0.218304,0.359168,0.375548,0.395104,0.25642,0.282112,0.340324,0.350124
4,0.166375,0.37482,0.394095,0.406465,0.225685,0.260515,0.303795,0.32471,0.246985,0.372465,0.40434,0.419105,0.27843,0.313755,0.357965,0.363
5,0.179144,0.385788,0.4082,0.417386,0.2422579999999999,0.279458,0.325372,0.361686,0.263358,0.395762,0.424344,0.4383,0.3037,0.3307159999999999,0.370844,0.3739599999999999
6,0.197,0.405734,0.4152,0.4298630000000001,0.256468,0.291051,0.342617,0.378085,0.2759,0.42527,0.436034,0.447651,0.3211,0.3449,0.379068,0.393702
7,0.206548,0.409396,0.42404,0.446648,0.268648,0.298276,0.358648,0.385792,0.2917,0.439548,0.443448,0.4632,0.335544,0.354592,0.386648,0.41614
8,0.2167319999999999,0.414979,0.440958,0.455437,0.2773,0.305137,0.3712,0.397916,0.3072109999999999,0.4506739999999999,0.4683219999999999,0.474179,0.345879,0.362716,0.3963,0.435316
9,0.22801,0.4221,0.4505,0.46239,0.28651,0.3164,0.37762,0.40641,0.31506,0.46351,0.47701,0.48002,0.35339,0.3704,0.40253,0.45185
10,0.241446,0.4352,0.454941,0.468664,0.296623,0.322623,0.3818,0.417964,0.328164,0.471223,0.4829819999999999,0.488564,0.363964,0.376341,0.416723,0.461341
11,0.2516,0.44302,0.462432,0.477844,0.30466,0.331588,0.387444,0.433048,0.337672,0.4805,0.487372,0.497704,0.371472,0.384472,0.429144,0.4692
12,0.26013,0.453603,0.4704029999999999,0.481003,0.315318,0.344312,0.398112,0.4429,0.344603,0.487106,0.4928,0.500703,0.378003,0.392718,0.440918,0.478409
13,0.270402,0.4674,0.479604,0.484234,0.324308,0.353002,0.405034,0.4483,0.351134,0.495334,0.49927,0.5045,0.386434,0.40414,0.450236,0.484134
14,0.2781949999999999,0.472065,0.4865,0.4885299999999999,0.3313299999999999,0.36113,0.41196,0.455765,0.357865,0.5004649999999999,0.504165,0.5071,0.39453,0.41523,0.46213,0.4945249999999999
15,0.285692,0.478896,0.489196,0.4913,0.338596,0.3694,0.4222,0.463376,0.366296,0.5057,0.5077,0.5096,0.402496,0.422492,0.472288,0.498096
16,0.291681,0.4844,0.492527,0.495335,0.3439,0.376654,0.428562,0.467227,0.374481,0.510227,0.511,0.513281,0.411435,0.4308620000000001,0.479827,0.500854
17,0.3001,0.490316,0.497258,0.499558,0.3543159999999999,0.38769,0.437422,0.471458,0.381416,0.513358,0.513616,0.5184,0.4213739999999999,0.438274,0.490458,0.506474
18,0.3068,0.4977,0.503178,0.503289,0.364778,0.394178,0.4432,0.477,0.388878,0.5158,0.5165,0.5234,0.427967,0.4441779999999999,0.496189,0.5094
19,0.31472,0.50254,0.5084,0.50662,0.37278,0.40214,0.44832,0.48186,0.39432,0.5180400000000001,0.5193,0.52612,0.43422,0.45194,0.49942,0.5133
20,0.3222,0.507753,0.5102,0.515151,0.3786509999999999,0.408553,0.4537509999999999,0.486653,0.4046039999999999,0.520951,0.5235019999999999,0.5288,0.4405,0.4591059999999999,0.5041,0.515551
21,0.3262819999999999,0.5134639999999999,0.5136,0.521582,0.3856819999999999,0.415764,0.461982,0.491328,0.414946,0.523,0.526682,0.531446,0.4461819999999999,0.465,0.5078,0.5181
22,0.3344649999999999,0.5158130000000001,0.518113,0.5318130000000001,0.392013,0.419713,0.4724129999999999,0.4951129999999999,0.422713,0.526139,0.5304,0.533613,0.4513,0.469852,0.5115259999999999,0.5207390000000001
23,0.341044,0.519544,0.5233,0.537232,0.3989319999999999,0.4261,0.4789,0.502288,0.4274,0.5283,0.534444,0.536644,0.4553759999999999,0.4786759999999999,0.5157,0.523144
24,0.346875,0.52335,0.5301,0.543,0.40525,0.43315,0.4859,0.5093749999999999,0.433675,0.53065,0.5409,0.5408,0.46295,0.48355,0.5214,0.5281750000000001
25,0.3538,0.528106,0.540906,0.547806,0.412106,0.439024,0.491706,0.5128,0.439918,0.534424,0.544306,0.543518,0.4714,0.490624,0.5266,0.5332
26,0.3592,0.532385,0.544948,0.5505369999999999,0.419111,0.442637,0.496774,0.5164,0.4471,0.537837,0.548,0.547337,0.4753,0.499437,0.5306,0.537674
27,0.365336,0.5376679999999999,0.5482,0.553068,0.4272,0.4489,0.502136,0.5199360000000001,0.4533,0.5406679999999999,0.5506,0.552936,0.479668,0.5045,0.534836,0.5415679999999999
28,0.372899,0.542299,0.552496,0.557998,0.432398,0.453,0.5053989999999999,0.522699,0.459497,0.542198,0.553,0.5552,0.485797,0.5092979999999999,0.5383,0.5461
