percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.024094,0.0469469999999999,0.0479,0.049,0.035888,0.04,0.0431,0.0454,0.034996,0.028912,0.03496,0.0336,0.030832,0.034996,0.028912,0.034996,0.028912,0.034996,0.028912,0.0355479999999999,0.074698,0.099366,0.096343,0.097583,0.099366,0.074698,0.099366,0.074698,0.099366,0.0826829999999999,0.099366,0.09,0.03,0.0398,0.0406,0.0411,0.0326469999999999,0.0333,0.0334939999999999,0.036141
1,0.029094,0.050276,0.0505,0.051294,0.0393,0.041688,0.046088,0.048494,0.0402,0.0365,0.0399,0.038528,0.038,0.0402,0.0365,0.0402,0.0365,0.0402,0.0365,0.0402,0.081196,0.10783,0.101832,0.107228,0.107228,0.081196,0.10783,0.081466,0.10783,0.0881,0.10783,0.095066,0.0315,0.0405,0.0413,0.041894,0.0338,0.0352,0.0375,0.0394
2,0.032341,0.051541,0.051941,0.060541,0.0419,0.044441,0.048341,0.0497,0.044648,0.039848,0.043448,0.043044,0.0418959999999999,0.044648,0.039848,0.0442879999999999,0.039848,0.044444,0.039848,0.043848,0.085349,0.1184,0.1043,0.1107,0.116598,0.085449,0.1184,0.085549,0.1184,0.091349,0.1184,0.098049,0.0325,0.0408,0.0415,0.042141,0.0349,0.036741,0.0389,0.0402
3,0.035088,0.053176,0.060088,0.0634,0.044488,0.0467,0.0515,0.0512,0.048164,0.0429,0.0466279999999999,0.04592,0.0439,0.048164,0.0429,0.048164,0.0429,0.0482,0.0429,0.0478279999999999,0.088532,0.120564,0.107064,0.1129,0.118632,0.088596,0.120564,0.088596,0.120564,0.0939,0.120564,0.101232,0.0335,0.041088,0.0419,0.0424,0.035988,0.0375,0.0395,0.0407
4,0.038035,0.05844,0.062235,0.0646,0.0462,0.0492,0.053035,0.054,0.05118,0.04518,0.05014,0.0486,0.04762,0.05118,0.04518,0.05118,0.04518,0.05056,0.04518,0.05076,0.09076,0.1226,0.109515,0.1151,0.1201,0.09076,0.1226,0.0913,0.1226,0.096375,0.1226,0.103615,0.0341,0.0415,0.0424,0.043,0.0366,0.0382,0.04,0.0412
5,0.0399,0.0622,0.0641,0.0657,0.0475,0.0517,0.0542,0.057164,0.0534879999999999,0.0476,0.0520959999999999,0.0508,0.049596,0.0534879999999999,0.0476,0.0534879999999999,0.0476,0.0529,0.0476,0.0528,0.092696,0.1245,0.1111,0.1184,0.122,0.0927979999999999,0.1245,0.092998,0.1245,0.099198,0.1245,0.1058979999999999,0.034782,0.0419,0.042682,0.0432,0.037182,0.0387,0.0405,0.0416
6,0.041429,0.0629,0.065129,0.066729,0.049029,0.052829,0.056287,0.0593,0.055112,0.0498,0.053612,0.052412,0.0513119999999999,0.055112,0.0498,0.055112,0.0498,0.054624,0.0498,0.0543,0.094181,0.127181,0.113662,0.1202,0.123681,0.094181,0.127181,0.0943,0.127181,0.100781,0.127181,0.108343,0.0353,0.0425,0.0429,0.0435,0.037729,0.039129,0.040929,0.042
7,0.042976,0.0639,0.0657,0.0675,0.0503,0.054176,0.0587,0.061976,0.056628,0.051128,0.0549,0.053628,0.052828,0.056628,0.051128,0.056628,0.051128,0.0561,0.051128,0.055828,0.0963,0.129264,0.1164,0.122464,0.1263,0.096164,0.129264,0.0963,0.129264,0.102728,0.129264,0.109964,0.035876,0.0428,0.0431,0.0438,0.0383,0.0396,0.0414,0.0423
8,0.0442,0.064523,0.0663,0.068323,0.0514229999999999,0.0557229999999999,0.0596,0.063223,0.057776,0.052844,0.0561,0.055044,0.054,0.057776,0.052844,0.057776,0.052844,0.0571,0.052844,0.0568,0.097841,0.1316,0.1184,0.124147,0.1278,0.0977,0.1316,0.098347,0.1316,0.104,0.1316,0.1118,0.0366,0.0431,0.0435,0.0441,0.0389,0.0399229999999999,0.0417229999999999,0.0426
9,0.0456,0.0651,0.0667,0.06897,0.05307,0.0569,0.0607,0.0641,0.05948,0.05386,0.057,0.05646,0.05536,0.05948,0.05386,0.05948,0.05386,0.0586,0.05386,0.058,0.10006,0.13313,0.11993,0.1264,0.12983,0.1,0.13313,0.10033,0.13313,0.10573,0.13313,0.1129,0.0371,0.04347,0.0437,0.0443,0.0393,0.0405,0.0423,0.04297
