percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.038772,0.0,0.0,0.0,0.0544,0.062244,0.062672,0.0,0.0583,0.0,0.0,0.0,0.063272,0.0651,0.0674,0.0
1,0.045344,0.0,0.0,0.0,0.059688,0.064944,0.0678,0.067688,0.0606,0.0,0.0,0.0,0.065244,0.067844,0.0702,0.069852
2,0.050916,0.0751479999999999,0.0,0.0,0.0627,0.0678,0.074,0.073916,0.062216,0.072716,0.0,0.0,0.0665,0.0692,0.0711,0.071716
3,0.0536,0.080052,0.0778,0.0667039999999996,0.064964,0.0696,0.076488,0.0786,0.0637,0.074,0.0737,0.072628,0.067388,0.0702,0.072588,0.0735
4,0.05542,0.08236,0.0824,0.08356,0.06706,0.0725,0.07956,0.08066,0.0654,0.0745,0.07416,0.0752,0.0687,0.07136,0.07356,0.0741
5,0.0575,0.083432,0.084632,0.0876,0.068632,0.075632,0.0824,0.0837639999999999,0.0667,0.0748,0.0749,0.0763,0.070132,0.0722,0.0743,0.074632
6,0.058808,0.0851,0.0868,0.089,0.071008,0.0783,0.0841,0.085608,0.0676,0.0751,0.075608,0.0767,0.0712,0.0729,0.0751,0.0755
7,0.0611,0.088328,0.089,0.091376,0.072376,0.0798,0.085,0.086852,0.0691,0.0755,0.0773,0.0774,0.0723,0.073676,0.0756,0.0759
8,0.062296,0.0897,0.0905,0.0918,0.0737,0.0814,0.086148,0.0878,0.0703,0.076648,0.0777,0.0777,0.0733,0.074448,0.076248,0.0765
9,0.06392,0.0905,0.0924,0.0923,0.0757,0.0832,0.08772,0.09052,0.07122,0.07762,0.0781,0.078,0.07412,0.0755,0.07682,0.07742
10,0.0655,0.0919,0.0935,0.0926,0.0775,0.084192,0.0899,0.0931,0.0721,0.0783,0.0784,0.0783,0.075,0.076192,0.0774,0.0781
11,0.0682639999999999,0.0936,0.0945,0.093,0.079092,0.085,0.0914,0.0941,0.0726639999999999,0.0791,0.0789,0.0785,0.0756,0.0768639999999999,0.0779639999999999,0.079164
12,0.070036,0.0951,0.0955,0.0935,0.0812,0.0859,0.0927,0.0951,0.0737,0.079736,0.0793,0.0788,0.076436,0.0779,0.0786,0.0799
13,0.071408,0.0965,0.0961,0.0942,0.0826,0.086508,0.093608,0.0966,0.0745,0.080208,0.0799,0.0791,0.0776,0.0787,0.079208,0.0805
14,0.07278,0.09748,0.0968,0.0948,0.084,0.0875,0.0949,0.09854,0.0751,0.0807,0.0804,0.0795,0.0783,0.0796,0.08,0.081
15,0.074,0.0983,0.0977,0.0986,0.085052,0.0882,0.096,0.0996519999999999,0.076052,0.0812,0.0809,0.0841519999999999,0.0792,0.0802,0.081352,0.0819
16,0.0755,0.0994,0.0983,0.1016,0.086224,0.0895,0.0971,0.1005,0.076724,0.082,0.082824,0.085824,0.08,0.081,0.082524,0.0827
17,0.076692,0.1005,0.0997,0.102796,0.0876,0.091,0.0985959999999999,0.1015,0.0772,0.0832,0.0851,0.0874959999999999,0.0804,0.0818,0.0836,0.0832
18,0.0781,0.1021,0.101636,0.1044,0.088968,0.0924,0.0994,0.1020679999999999,0.078,0.084436,0.086968,0.089868,0.0809,0.0824,0.0841,0.0838
19,0.0796,0.1035,0.1043,0.1058,0.0903,0.09474,0.1002,0.103,0.07868,0.0870799999999999,0.08894,0.09164,0.0815,0.0831,0.0847,0.0844
20,0.080924,0.1058,0.1059,0.1075,0.0915,0.0961,0.1013,0.1036,0.0796,0.0895,0.092112,0.093,0.082012,0.0836,0.0857,0.086112
21,0.082968,0.1067,0.1081,0.1088,0.092384,0.0971,0.1022,0.1043,0.0801,0.091184,0.0932,0.093884,0.0828,0.0841,0.0862,0.0876
22,0.084256,0.1083,0.1092,0.1102,0.0934,0.0981,0.1033,0.105,0.081056,0.0926,0.0936,0.0947,0.0835,0.0846,0.087,0.088656
23,0.085328,0.109128,0.1107,0.1114,0.094428,0.0992,0.104728,0.1064,0.082128,0.0931,0.094128,0.0952,0.0843,0.085,0.0875,0.0909
24,0.0869,0.1101,0.1116,0.1125,0.0952,0.1002,0.1058,0.1073,0.0826,0.0942,0.0949,0.0961,0.0848,0.0856,0.0881,0.0915
25,0.0878,0.1107,0.113172,0.113,0.0964,0.101344,0.1067,0.1083,0.0833,0.0952,0.0962,0.096672,0.085272,0.0863,0.088872,0.0934
26,0.088944,0.1123,0.1143,0.115,0.097344,0.102544,0.107488,0.1094,0.084,0.0957,0.0968,0.097,0.086,0.087044,0.0907,0.094544
27,0.0903,0.113516,0.1149,0.1163,0.0986,0.1038,0.1087,0.1103,0.0846,0.0962,0.0971,0.098016,0.0865,0.0883,0.0919,0.0953
28,0.0916,0.114788,0.1157,0.1175,0.100076,0.105,0.1096,0.1115,0.0851,0.0967,0.097588,0.098888,0.0871,0.0891,0.0932,0.0957
29,0.09306,0.1157,0.11656,0.1195,0.10176,0.10636,0.11076,0.1126,0.08586,0.0976,0.0981,0.09926,0.0879,0.09016,0.0943,0.0965
30,0.0947,0.116732,0.1176,0.1202,0.103032,0.1076,0.111732,0.1139,0.0864,0.098132,0.098832,0.1,0.0889,0.0912,0.095632,0.097064
31,0.095908,0.1173,0.1194,0.1207,0.1041039999999999,0.1094079999999999,0.1127,0.1149,0.0870039999999999,0.0987,0.0998039999999999,0.1008039999999999,0.0897,0.0921,0.0968,0.0979
32,0.0975,0.1179,0.120676,0.1214,0.1055,0.1106,0.1135,0.115576,0.087876,0.0991,0.1008,0.101776,0.0902,0.093276,0.0975,0.0983
33,0.0989,0.118348,0.1214,0.1225,0.106548,0.1123,0.1145,0.1165,0.088648,0.0998,0.1013,0.1026,0.091048,0.0947,0.0983,0.098748
34,0.1001,0.1187199999999999,0.1219,0.1239,0.1081,0.11362,0.1156,0.1174,0.0895,0.1004,0.10182,0.1031,0.0922,0.0957199999999999,0.0989,0.0992
35,0.1013,0.1192,0.1227,0.1248,0.1093919999999999,0.1152919999999999,0.1164,0.1184,0.0902,0.1011919999999999,0.1021,0.1035,0.0929919999999999,0.096992,0.0996,0.0999
36,0.1027,0.12,0.1234,0.1256,0.110564,0.1167,0.1173,0.119464,0.091,0.1017,0.102764,0.1041,0.0943,0.0982,0.1002,0.100364
37,0.103636,0.1207,0.1244,0.1263,0.1118,0.117436,0.118836,0.120136,0.091836,0.1023,0.1034,0.1048,0.095572,0.0991,0.1006,0.1011
38,0.1053,0.1212,0.125,0.1269,0.113208,0.1189,0.119708,0.1209,0.092608,0.1028,0.1044,0.1052,0.0966,0.0999,0.1011,0.102
39,0.1064,0.12218,0.1256,0.1273,0.1146,0.1199,0.1204,0.1215,0.0937799999999999,0.1034,0.1048,0.1059,0.09798,0.1008,0.1016799999999999,0.103
40,0.107852,0.123152,0.126252,0.1277,0.1162,0.1212,0.1219519999999999,0.1224,0.094752,0.1043,0.1055519999999999,0.1067,0.099052,0.1016,0.1024,0.103752
41,0.1091,0.1239,0.1268,0.1285,0.1183,0.1221,0.123348,0.1232,0.095424,0.105,0.1064,0.107724,0.1,0.1024,0.1031,0.1043
42,0.110896,0.1244,0.1275,0.1291,0.1196,0.1231,0.124,0.124,0.0964,0.105996,0.107,0.108496,0.1011,0.1032,0.103796,0.105
43,0.1125,0.125668,0.1283,0.129368,0.121568,0.1239,0.124668,0.1247,0.0973,0.106868,0.1078,0.109168,0.102,0.1042,0.1044,0.1056
44,0.11404,0.1266,0.12874,0.1297,0.12314,0.1248,0.1257,0.1257,0.09854,0.1075,0.1088,0.1095,0.1028,0.10504,0.1049,0.1065
45,0.115,0.127612,0.1303,0.1299,0.1243,0.125412,0.1265,0.1266,0.0994,0.1079,0.1094,0.110112,0.104,0.105912,0.1059,0.1072
46,0.1160839999999999,0.1294,0.1311,0.1301,0.1258,0.1266,0.127384,0.1276,0.1008,0.1083,0.110284,0.1116,0.105084,0.1069,0.107484,0.1078
47,0.1171,0.1306,0.131956,0.1305,0.1272,0.1275,0.1285,0.128656,0.102156,0.1089,0.1117,0.1125,0.106156,0.108056,0.1088119999999999,0.1084
48,0.118928,0.131728,0.1328,0.1309,0.1284,0.128428,0.1292,0.1298,0.103228,0.109828,0.1123,0.1133,0.1073,0.1092,0.1096,0.109
49,0.1208,0.1328,0.1334,0.1314,0.1293,0.1294,0.1302,0.1306,0.1045,0.111,0.1132,0.1138,0.1086,0.11,0.1106,0.1101
50,0.1221,0.1336,0.1339,0.132,0.131,0.130772,0.1312,0.1315,0.1057,0.112,0.113872,0.1146,0.1097,0.1111,0.111872,0.110972
51,0.124344,0.1348,0.1342,0.1324,0.1318,0.132144,0.132044,0.1322,0.106844,0.1136,0.1149,0.1154,0.110644,0.1121,0.1126,0.1121
52,0.1259,0.135332,0.1346,0.1329,0.1329,0.133516,0.133016,0.132916,0.1083,0.115,0.115716,0.1162,0.112,0.1131,0.1135,0.1132
53,0.127488,0.1363,0.1348,0.1341,0.134088,0.1344,0.134388,0.1346,0.1094,0.1167,0.1168,0.1179,0.1131,0.114288,0.114388,0.1143
54,0.12896,0.137,0.13526,0.1348,0.1353,0.13516,0.1351,0.1361,0.11086,0.11746,0.1177,0.11922,0.114,0.1148,0.1154,0.1149
55,0.1301,0.1378,0.135932,0.1361,0.136632,0.1359,0.1369,0.137732,0.1122,0.1184,0.119332,0.1204,0.1149,0.1156,0.117032,0.116632
56,0.1316,0.1391,0.1372,0.136604,0.138004,0.1371,0.1376,0.1392,0.113204,0.1201,0.1202,0.1209,0.116104,0.1166,0.118104,0.119008
57,0.133176,0.1403,0.138076,0.1372,0.139852,0.138452,0.138576,0.140276,0.114876,0.121276,0.1219,0.1212,0.1173,0.1176,0.1196,0.120576
58,0.135248,0.1411,0.139048,0.138,0.141248,0.1401,0.140796,0.1412,0.1163,0.1229,0.1234,0.1218,0.118648,0.1183,0.121096,0.1223
59,0.13672,0.1425,0.14,0.1389,0.1423,0.1412,0.14302,0.1423,0.117,0.12432,0.12442,0.1224,0.11954,0.1199,0.12272,0.12402
60,0.138492,0.143192,0.140892,0.140692,0.144384,0.1423,0.144884,0.1435,0.117984,0.1255,0.125992,0.123392,0.1209,0.1212,0.1239,0.1252
61,0.140464,0.144,0.1422,0.1426,0.1463,0.143764,0.1462,0.145264,0.1198,0.127064,0.127,0.1242,0.1223,0.1223,0.1254,0.1268
62,0.1419359999999999,0.144636,0.1434359999999999,0.1445,0.1483,0.1451,0.148,0.1469,0.1218,0.1289,0.1275,0.1260359999999999,0.1235,0.1238359999999999,0.1268,0.128072
63,0.1444079999999999,0.1475,0.144916,0.147,0.1495,0.1465079999999999,0.1492079999999999,0.1478079999999999,0.123,0.129816,0.1279,0.126708,0.124508,0.1252079999999999,0.127908,0.1299079999999999
64,0.1465,0.1484,0.1476,0.14798,0.1504,0.1483799999999999,0.1509599999999999,0.14968,0.12448,0.1309799999999999,0.1291,0.127,0.1255,0.1265,0.129,0.13128
65,0.149052,0.1504039999999999,0.1514,0.1493519999999999,0.1515,0.1504,0.1522,0.1515,0.1262,0.132752,0.131904,0.128104,0.1267,0.127852,0.130752,0.1335
66,0.1512,0.153548,0.1543,0.153424,0.1534,0.1525719999999999,0.1536479999999999,0.154724,0.127624,0.1349,0.133724,0.132596,0.1284239999999999,0.1291,0.1322,0.1353
67,0.152992,0.1563,0.1565,0.159152,0.155392,0.1545,0.155,0.1566,0.129796,0.1362,0.1347,0.1366959999999999,0.1301,0.1307,0.1333,0.136996
68,0.1554,0.1598,0.1582,0.1619,0.1572,0.1568679999999999,0.1574039999999999,0.1584,0.1313679999999999,0.1375,0.135568,0.1388359999999999,0.1316679999999999,0.1323679999999999,0.1346679999999999,0.137868
69,0.1575,0.1626399999999999,0.16104,0.1637,0.159,0.15824,0.1586,0.1609,0.1333,0.1411199999999999,0.1408,0.1430399999999999,0.1334799999999999,0.13454,0.1359,0.1397599999999999
70,0.1595239999999999,0.1673239999999999,0.1659319999999998,0.1659719999999999,0.1602,0.1599,0.159736,0.1634,0.1352,0.1437239999999999,0.142812,0.1454119999999999,0.1351119999999999,0.1361,0.137012,0.1418
71,0.1628839999999999,0.1701,0.1708839999999999,0.1709,0.1620839999999999,0.161484,0.1617839999999999,0.166,0.1371,0.1455,0.1458,0.1484839999999999,0.137068,0.1375,0.1391,0.1449839999999999
72,0.164556,0.1727,0.1731,0.173156,0.1648,0.1633,0.1632,0.1679,0.1384,0.147556,0.1488,0.149456,0.138556,0.1387,0.1411,0.146356
73,0.167328,0.175628,0.177128,0.175856,0.166528,0.165628,0.1667,0.170228,0.139628,0.149028,0.150528,0.1505,0.1401,0.1402,0.1437,0.147756
74,0.1703,0.1802,0.181,0.1798,0.169,0.1677,0.168,0.1736,0.1415,0.1509,0.1523,0.1513,0.1432,0.143,0.1454,0.1498
75,0.172372,0.1819,0.1823,0.182544,0.1713,0.169672,0.1696,0.177716,0.1428,0.152844,0.154072,0.152,0.144672,0.1445,0.147744,0.150972
76,0.1743,0.184188,0.1845439999999999,0.184644,0.1733,0.171844,0.1718,0.181688,0.144588,0.1539,0.155044,0.152644,0.1468,0.145944,0.149644,0.152644
77,0.176516,0.1867,0.1875,0.187016,0.176416,0.1747,0.1752,0.185616,0.146516,0.155016,0.1558,0.1538,0.1486,0.147732,0.151516,0.154632
78,0.179676,0.1883,0.1894,0.194188,0.178864,0.177276,0.178776,0.188588,0.148488,0.1584,0.1572,0.1561,0.150788,0.1494,0.1532,0.1559
79,0.18302,0.1907,0.19812,0.1958599999999999,0.18136,0.17972,0.1862999999999999,0.19346,0.1505,0.1599,0.1603599999999999,0.1570599999999999,0.1519,0.15106,0.15586,0.1571
80,0.1859,0.1952200000000001,0.2042,0.1976,0.183432,0.1821,0.193932,0.197296,0.153196,0.161232,0.1615,0.160732,0.153432,0.154232,0.158764,0.1583
81,0.189416,0.199904,0.2061,0.1995,0.1863079999999999,0.1858,0.198604,0.2001079999999999,0.156412,0.162804,0.163208,0.1641079999999999,0.1556079999999999,0.1580119999999999,0.1615,0.1595
82,0.1949279999999999,0.2101839999999998,0.208276,0.2016,0.1886759999999999,0.1885,0.2027759999999999,0.2026,0.1598759999999999,0.1652759999999999,0.1657519999999999,0.1673,0.1574759999999999,0.1612519999999999,0.1633759999999999,0.1609
83,0.200096,0.215848,0.211648,0.2055,0.1919,0.190248,0.2064,0.2054,0.1619,0.1669,0.168644,0.171544,0.159748,0.1636,0.166048,0.1637
84,0.2050199999999999,0.2205599999999999,0.2141,0.2104799999999999,0.1949,0.1934599999999999,0.20932,0.2088799999999999,0.1645,0.16912,0.1722399999999999,0.18392,0.16222,0.1664799999999999,0.1677199999999999,0.166
