percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.066964,0.151831,0.153012,0.0,0.095764,0.1092819999999999,0.1321,0.146894,0.1552,0.201661,0.206622,0.204844,0.202222,0.157766,0.203761,0.161622,0.2038829999999999,0.1874,0.201661,0.206683,0.159,0.213824,0.214462,0.2138,0.213948,0.160162,0.213824,0.165058,0.213824,0.191486,0.213824,0.212862,0.157728,0.218964,0.2182639999999999,0.218792,0.2193,0.160084,0.218964,0.163792,0.218964,0.191664,0.218964,0.215792,0.1074,0.1456549999999999,0.147526,0.0,0.118046,0.124682,0.140271,0.14685
1,0.078364,0.156462,0.161824,0.1617,0.103492,0.120364,0.1393,0.1535979999999999,0.169466,0.2113219999999999,0.2145439999999999,0.214022,0.212588,0.1726,0.213244,0.1774,0.2130439999999999,0.200776,0.2113219999999999,0.2141,0.1749,0.220324,0.219924,0.219724,0.220248,0.175744,0.220324,0.178724,0.220324,0.203424,0.220324,0.2193,0.1709,0.224,0.2237,0.223828,0.224,0.172556,0.224,0.1773,0.224,0.201928,0.224,0.221128,0.114,0.154462,0.1543,0.1568,0.124,0.132828,0.145142,0.1534
2,0.086892,0.1622,0.1659,0.1674,0.112384,0.126446,0.1438,0.1574,0.178,0.2175,0.219683,0.2192,0.218783,0.181983,0.219183,0.184483,0.2188,0.2088,0.2175,0.218883,0.182886,0.224272,0.2243,0.224372,0.2246,0.186,0.224272,0.188886,0.224272,0.211486,0.224272,0.223286,0.1799,0.2284,0.2266,0.226884,0.2277,0.183584,0.2284,0.18646,0.2284,0.2116,0.2284,0.2253,0.1189,0.156493,0.157439,0.1582,0.128992,0.137292,0.1486,0.15625
3,0.090828,0.1664,0.170448,0.1709,0.119228,0.1306,0.14758,0.1599,0.184744,0.221588,0.2234,0.222944,0.223044,0.1871,0.2238,0.192,0.223344,0.2127,0.221588,0.2223,0.1902,0.228448,0.2273,0.227748,0.2278,0.1918,0.228448,0.195444,0.228448,0.216848,0.228448,0.2261,0.187856,0.2309,0.228956,0.2296,0.2307,0.1913,0.2309,0.195112,0.2309,0.2163,0.2309,0.227856,0.1234,0.1585,0.158952,0.16,0.134,0.141984,0.151784,0.1578
4,0.0953099999999999,0.170755,0.1726,0.1742,0.1231,0.1348,0.15125,0.162945,0.1887,0.2247,0.225205,0.225605,0.225705,0.192305,0.2264,0.196905,0.225905,0.2171,0.2247,0.225305,0.1943,0.23131,0.2294,0.2299,0.2309,0.19671,0.23131,0.20066,0.23131,0.21991,0.23131,0.2288,0.1928,0.2341,0.2312,0.2325,0.23382,0.19582,0.2341,0.1998,0.2341,0.22114,0.2341,0.2304,0.12681,0.1598,0.160465,0.161865,0.13821,0.14501,0.154555,0.1594499999999999
5,0.099784,0.172486,0.174572,0.178452,0.127692,0.138092,0.156,0.1661,0.1932,0.2269,0.2274,0.2274,0.2278,0.1964,0.2278,0.200398,0.227566,0.219666,0.2269,0.2278659999999999,0.1982,0.233772,0.232,0.2319,0.2331,0.2016,0.233772,0.205644,0.233772,0.222872,0.233772,0.231,0.197368,0.2371,0.2338,0.234584,0.236284,0.2006519999999999,0.2371,0.204984,0.2371,0.2242,0.2371,0.2329,0.130292,0.161,0.1619,0.1636,0.1414,0.1475,0.157226,0.1608
6,0.105074,0.1754,0.1772,0.1868,0.131774,0.1414,0.1597,0.168843,0.1966,0.2282,0.229427,0.2293,0.229527,0.200054,0.2293,0.2047,0.229,0.222327,0.2282,0.2297,0.202134,0.2354,0.2339,0.234,0.2346,0.204668,0.2354,0.208734,0.2354,0.225,0.2354,0.2335,0.2012,0.239448,0.2362,0.236648,0.2382,0.204648,0.239448,0.208848,0.239448,0.2266,0.239448,0.2347,0.132974,0.1627,0.164773,0.169551,0.143774,0.1496,0.1588,0.1624
7,0.1089,0.1772,0.1811,0.192008,0.135056,0.143556,0.16282,0.1723,0.2002,0.2296879999999999,0.2313,0.2311,0.231,0.2027,0.230788,0.2074,0.2303,0.224676,0.2296879999999999,0.2315,0.204696,0.2369,0.2354959999999999,0.235796,0.2366,0.2078,0.2369,0.2113,0.2369,0.2275,0.2369,0.2359,0.204112,0.2417,0.238,0.238712,0.2403,0.2079,0.2417,0.2119,0.2417,0.2287,0.2417,0.237,0.135556,0.1649,0.1694,0.171644,0.1465,0.1511,0.1599,0.1637
8,0.112938,0.179079,0.1865079999999999,0.195828,0.1381,0.146338,0.16483,0.1765,0.202549,0.2309,0.232849,0.232649,0.2327,0.205849,0.2323,0.210198,0.2319,0.226549,0.2309,0.233449,0.2077,0.2386,0.2373579999999999,0.2376,0.238258,0.21,0.2386,0.2134,0.2386,0.2293,0.2386,0.2377,0.207476,0.2432,0.2398,0.2403,0.2419,0.2102,0.2432,0.215,0.2432,0.2307,0.2432,0.239176,0.1382,0.1693579999999999,0.1726,0.174,0.1483,0.1529,0.161039,0.1651
9,0.1159,0.18171,0.19042,0.19972,0.1411,0.14902,0.1669,0.17909,0.2053,0.23231,0.2345,0.2341,0.234,0.2085,0.2337,0.2129,0.2331,0.22841,0.23231,0.23481,0.20972,0.2399,0.23882,0.2391,0.2396,0.2118,0.2399,0.2156,0.2399,0.2312,0.2399,0.2392,0.2099,0.24444,0.2415,0.242,0.2433,0.21264,0.24444,0.2173,0.24444,0.2325,0.24444,0.2415,0.14052,0.1721,0.1742,0.1753,0.1504,0.1544,0.1625,0.1665
10,0.1191,0.1863,0.194732,0.2025,0.1443,0.1512,0.17051,0.182339,0.207971,0.2337,0.236,0.2355,0.2355,0.2106,0.2349,0.2152,0.2344,0.2307,0.2337,0.2369,0.2118,0.240982,0.2403,0.240382,0.2407,0.2139,0.241,0.2179,0.241,0.2332,0.240982,0.2403,0.212204,0.2457,0.2436,0.2438,0.2448,0.2149,0.2458,0.2194,0.2458,0.234504,0.2457,0.243,0.143404,0.1742,0.175986,0.1767,0.1526,0.1559,0.1639,0.1686
11,0.1226,0.1918,0.1986,0.2055,0.1467,0.1539,0.1747,0.1856,0.2101,0.2349,0.2374,0.236732,0.236832,0.213132,0.2362,0.2175,0.2358,0.2326,0.2349,0.2381,0.2139,0.242244,0.2417,0.2414,0.2419,0.215944,0.2423,0.2198439999999999,0.242244,0.2351,0.242244,0.2418,0.214568,0.246768,0.2451,0.2452679999999999,0.2459,0.2169,0.2468,0.2213,0.2468,0.2363,0.246768,0.2446,0.1457,0.1758,0.1772,0.179,0.1544,0.1575839999999999,0.1661,0.1711
12,0.1253,0.196,0.201656,0.2077,0.149,0.1567,0.17741,0.1893,0.2128,0.2362,0.2385,0.2378,0.2381,0.2151,0.237393,0.2191,0.237,0.2343,0.2362,0.239393,0.2158,0.2433,0.2428,0.2425,0.2428,0.2179,0.2433,0.2222,0.2433,0.237506,0.2433,0.243106,0.217032,0.2478,0.246232,0.2465,0.247,0.219,0.2478,0.223632,0.2478,0.238732,0.2478,0.2461,0.1479,0.1769,0.1782,0.1806,0.1557,0.159666,0.1682,0.1734
13,0.1276,0.199134,0.2046,0.2101,0.151348,0.1594,0.1796,0.193386,0.2151,0.237354,0.2397,0.2392,0.239,0.217354,0.238354,0.220954,0.238,0.2362,0.237354,0.2407,0.217968,0.244268,0.244,0.2435,0.2439,0.2199,0.2443,0.2243,0.244268,0.239568,0.244268,0.2442,0.218996,0.2487,0.2476,0.2478,0.2481,0.220996,0.2487,0.2255,0.2487,0.2412,0.2487,0.247796,0.149548,0.1783,0.1794,0.1817,0.1574,0.1618,0.1702,0.1756
14,0.13153,0.2013,0.20828,0.2119,0.15313,0.1619,0.1826,0.197335,0.2173,0.238315,0.2411,0.2402,0.2398,0.219015,0.2396,0.2229,0.2392149999999999,0.237815,0.238315,0.2423,0.2201,0.2455,0.2451,0.2445,0.2449,0.22193,0.2455,0.2262,0.2455,0.24123,0.2455,0.24573,0.2211,0.2497,0.2488,0.24896,0.2493,0.22266,0.24976,0.22746,0.2498,0.2433,0.2497,0.2493,0.15173,0.1799,0.1807,0.1828,0.1592,0.1638,0.1726,0.1780499999999999
15,0.134312,0.2046,0.2104,0.214372,0.155512,0.165512,0.1854,0.2003,0.219276,0.2396,0.2424,0.241176,0.241,0.220976,0.2408,0.2247,0.2403,0.2399,0.2396,0.243476,0.2228,0.2466,0.246392,0.245892,0.246092,0.223892,0.2466,0.228192,0.2466,0.2433,0.2466,0.2472,0.2229,0.251,0.2503,0.25,0.2505,0.2248,0.251,0.2294,0.251,0.245524,0.251,0.250724,0.1539,0.180996,0.1823,0.1837,0.1614,0.1657,0.1743,0.1798
16,0.1368,0.2072,0.212504,0.218828,0.1575,0.1682,0.1893,0.2027,0.2213,0.2408,0.243837,0.2423,0.2422,0.222837,0.2416,0.2266,0.2414,0.2416,0.2408,0.2452,0.2245,0.2476,0.2477,0.247054,0.247254,0.2257,0.2476,0.2303,0.2476,0.245154,0.2476,0.2486,0.225088,0.2524,0.2517,0.251488,0.2517,0.227,0.252488,0.2311,0.252488,0.2471,0.2524,0.252388,0.155894,0.182027,0.1841,0.185,0.163094,0.1681939999999999,0.1767,0.18115
