percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.073824,0.1823,0.192224,0.1987,0.1001239999999999,0.121736,0.153972,0.175648,0.19002,0.23038,0.22686,0.22924,0.23036,0.1916999999999999,0.23038,0.1968,0.23038,0.2103,0.23038,0.22034,0.20318,0.2416,0.235,0.2385199999999999,0.24124,0.2036599999999999,0.2416,0.20564,0.2416,0.21902,0.2416,0.22764,0.19552,0.2413199999999999,0.23432,0.23842,0.2402,0.19674,0.2413199999999999,0.19994,0.2413199999999999,0.21564,0.2413199999999999,0.2277,0.1227,0.175824,0.182948,0.186424,0.138572,0.1484,0.164048,0.1719
1,0.086784,0.190396,0.208196,0.210248,0.116836,0.133548,0.1662,0.183348,0.2006,0.2374,0.23344,0.23554,0.2371599999999999,0.2016,0.2374,0.20534,0.2374,0.2175,0.2374,0.2291,0.21048,0.24624,0.24076,0.243,0.24568,0.2112,0.24624,0.21308,0.24624,0.22464,0.24624,0.2341,0.20414,0.24684,0.23932,0.24268,0.24558,0.2062,0.24684,0.20954,0.24684,0.22268,0.24684,0.2326399999999999,0.13204,0.1787,0.1869,0.1925,0.1458,0.153648,0.168948,0.176696
2,0.0975,0.200188,0.211472,0.219144,0.128844,0.143144,0.1752,0.188544,0.2074,0.2412,0.2368,0.2389,0.2407,0.21,0.2412,0.21212,0.2412,0.22238,0.2412,0.2316,0.21664,0.2486,0.243,0.24552,0.2475,0.21736,0.2486,0.2186,0.2486,0.22852,0.2486,0.23786,0.2119,0.2496,0.24282,0.24646,0.2483,0.21322,0.2496,0.21612,0.2496,0.2287799999999999,0.2496,0.23746,0.1393,0.1827,0.188872,0.1947,0.151244,0.159472,0.1737,0.180272
3,0.104688,0.2084,0.2164,0.224196,0.137092,0.150788,0.1807959999999999,0.194884,0.21286,0.24388,0.24028,0.24178,0.243,0.21468,0.24388,0.21668,0.24388,0.22578,0.24388,0.2354,0.22048,0.2509,0.24498,0.24708,0.24948,0.2218,0.2509,0.22288,0.2509,0.23218,0.2509,0.2408,0.2167599999999999,0.2518,0.2465,0.2488,0.251,0.21936,0.2518,0.22146,0.2518,0.2329,0.2518,0.2416599999999999,0.145,0.1870959999999999,0.1918959999999999,0.1968,0.1557919999999999,0.164396,0.178196,0.1829
4,0.1115,0.2136,0.221,0.2276,0.1417199999999999,0.15614,0.18842,0.2018,0.2174,0.2462,0.2429,0.2443,0.2452,0.2189,0.2462,0.2207,0.2462,0.2302,0.2462,0.238,0.2238,0.2525,0.2467,0.2491,0.2513,0.2252,0.2525,0.2266,0.2525,0.2344,0.2525,0.2432,0.2217,0.2545,0.2486,0.2507,0.2529,0.2237,0.2545,0.2262,0.2545,0.236,0.2545,0.2442,0.1492,0.18972,0.1955,0.19862,0.16082,0.16862,0.1808,0.18706
5,0.117188,0.218744,0.224744,0.231144,0.147744,0.1617,0.192644,0.2084,0.22094,0.24804,0.2449,0.2464,0.24744,0.22302,0.24804,0.22552,0.24804,0.23362,0.24804,0.24094,0.228,0.2539,0.2496199999999999,0.251,0.2529,0.2289199999999999,0.2539,0.23054,0.2539,0.2370199999999999,0.2539,0.24504,0.22494,0.2568,0.25102,0.25272,0.25522,0.22752,0.2568,0.2316,0.2568,0.23904,0.2568,0.2467,0.152788,0.1933,0.198144,0.2011,0.165144,0.1719439999999999,0.1836,0.190444
6,0.1225,0.2229,0.2275,0.233336,0.152136,0.1673,0.1957,0.211536,0.225,0.24974,0.2474,0.24814,0.24944,0.2265,0.24974,0.2283,0.24974,0.23624,0.24974,0.24342,0.23094,0.2552,0.25124,0.2528,0.2543,0.23216,0.2552,0.23354,0.2552,0.2402,0.2552,0.2472,0.22914,0.25864,0.2531,0.25514,0.25744,0.23264,0.25864,0.2357,0.25864,0.2414,0.25864,0.24894,0.1555679999999999,0.1957,0.199968,0.203068,0.168536,0.1748,0.1856,0.1926
7,0.127492,0.2251,0.2298,0.2359,0.158,0.173292,0.2,0.217392,0.2273,0.2513,0.2491,0.2501,0.2512,0.2287,0.2513,0.2309,0.2513,0.23956,0.2513,0.24556,0.23366,0.2566,0.2529,0.2541,0.25596,0.23466,0.2566,0.23646,0.2566,0.24316,0.2566,0.24896,0.2328,0.26022,0.25506,0.25696,0.259,0.23586,0.26022,0.23826,0.26022,0.24396,0.26022,0.25046,0.1581,0.1979,0.2016,0.2046,0.171984,0.1774919999999999,0.1876,0.195292
8,0.131932,0.228,0.2339,0.238416,0.1634159999999999,0.1775,0.2024159999999999,0.2198159999999999,0.2303,0.253,0.25086,0.2517,0.2528,0.23128,0.253,0.2336,0.253,0.2419,0.253,0.2475,0.2359,0.2577,0.25438,0.2558,0.2571799999999999,0.23748,0.2577,0.23938,0.2577,0.24576,0.2577,0.2507,0.23618,0.2617,0.2564,0.25838,0.2602799999999999,0.23898,0.2617,0.2406,0.2617,0.24658,0.2617,0.2527,0.161316,0.2002,0.2034,0.2058,0.1747159999999999,0.18,0.1893,0.1974
9,0.13694,0.2299,0.236,0.2406,0.16844,0.18404,0.20628,0.2234,0.2328,0.2545,0.2525,0.2537,0.2543,0.2341,0.2545,0.2367,0.2545,0.2445,0.2545,0.2495,0.239,0.2594,0.2559,0.2576,0.2587,0.2405,0.2594,0.2415,0.2594,0.2483,0.2594,0.2525,0.2385,0.2635,0.2585,0.2601,0.2621,0.2409,0.2635,0.2434,0.2635,0.249,0.2635,0.2545,0.16414,0.2028,0.20488,0.2067,0.1764,0.18184,0.1914,0.19894
