percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.039402,0.0734,0.075702,0.0791,0.0505,0.055102,0.063602,0.068202,0.068,0.067498,0.067494,0.067892,0.0680979999999999,0.0681959999999999,0.067498,0.0685,0.067498,0.067486,0.067498,0.0661979999999999,0.0859,0.1043,0.098425,0.10155,0.10335,0.08585,0.1043,0.0859,0.1043,0.089775,0.1043,0.094275,0.0845,0.1066,0.097461,0.101144,0.1058,0.0846,0.1066,0.085487,0.1066,0.089787,0.1066,0.093687,0.0404,0.0502,0.052,0.0539,0.0427,0.043802,0.0471,0.049
1,0.0439,0.076404,0.0872,0.0915,0.0549,0.060908,0.0677,0.07172,0.0773,0.073,0.072192,0.071592,0.0724,0.0773,0.073,0.077084,0.073,0.076288,0.073,0.073192,0.08995,0.1073,0.1046499999999999,0.1058,0.10675,0.0901,0.1073,0.09025,0.1073,0.095,0.1073,0.10045,0.089248,0.1097,0.1032,0.105774,0.108622,0.0898,0.1097,0.091496,0.1097,0.096574,0.1097,0.101644,0.043004,0.0514,0.0537,0.0558,0.045904,0.0476,0.049612,0.0503
2,0.0481059999999999,0.0815,0.090506,0.0941,0.0604,0.0661,0.070706,0.074406,0.0816819999999999,0.076888,0.0796,0.0773,0.077152,0.0814,0.076888,0.081994,0.076888,0.081094,0.076888,0.080894,0.0933249999999999,0.1104499999999999,0.1078,0.1088,0.1093249999999999,0.093625,0.1104499999999999,0.094625,0.1104499999999999,0.0993,0.1104499999999999,0.1046,0.0929,0.1122,0.108522,0.109161,0.1111,0.0936,0.1122,0.094944,0.1122,0.1007,0.1122,0.106405,0.044906,0.054606,0.0562,0.0569,0.048806,0.0499,0.0517,0.052006
3,0.052908,0.0863,0.093632,0.095,0.063316,0.068208,0.0745,0.078008,0.0847,0.080992,0.0861,0.0848,0.082684,0.0848,0.080992,0.085184,0.080992,0.085,0.080992,0.086284,0.0958,0.1124,0.1098,0.1114,0.1118,0.0962,0.1124,0.097,0.1124,0.1018,0.1124,0.1064,0.0964,0.115696,0.111548,0.111996,0.113648,0.096748,0.115696,0.098148,0.115696,0.1044,0.115696,0.1091,0.0466,0.0559,0.057,0.0578,0.0502,0.0511,0.052608,0.053608
4,0.0569,0.09201,0.0964,0.0978,0.06661,0.0723,0.0775,0.08532,0.0871,0.08499,0.08969,0.08818,0.08658,0.08719,0.08499,0.0873,0.08499,0.08757,0.08499,0.08939,0.0977,0.1150249999999999,0.11155,0.1134,0.1142,0.098175,0.1150249999999999,0.0993,0.1150249999999999,0.104875,0.1150249999999999,0.1086,0.0986,0.119535,0.114535,0.1169,0.11887,0.099335,0.119535,0.1014,0.119535,0.1075,0.119535,0.112235,0.0474,0.0566,0.0578,0.05881,0.0512,0.0522,0.05391,0.0553
5,0.0598,0.096412,0.0985,0.1003,0.070712,0.074512,0.082624,0.0896,0.089,0.0891,0.0918,0.0917,0.090288,0.0893,0.0891,0.089488,0.0891,0.089588,0.0891,0.091776,0.10005,0.1168,0.11315,0.1152,0.1162,0.10075,0.1168,0.1018,0.1168,0.1065,0.1168,0.1101,0.1011,0.122688,0.11781,0.119822,0.1220219999999999,0.101822,0.122688,0.103422,0.122688,0.1103,0.122688,0.114522,0.048412,0.0573,0.0584,0.0598,0.0521,0.0531,0.0548,0.0562
6,0.0618,0.0986,0.0997,0.1028,0.0732,0.0771,0.087,0.0928,0.0913,0.0907,0.0953,0.094,0.092586,0.0915,0.0907,0.0915,0.0907,0.0922,0.0907,0.094,0.1018,0.1178,0.11425,0.1164,0.1176,0.1025249999999999,0.1178,0.10425,0.1178,0.108,0.1178,0.1116,0.1031,0.126509,0.120409,0.123009,0.124709,0.1035,0.126509,0.1052,0.126509,0.1123,0.126509,0.1163,0.049514,0.0579,0.059,0.060614,0.0529,0.053814,0.0553,0.056814
7,0.0642,0.101916,0.1016,0.1052,0.075416,0.080348,0.0904,0.096348,0.0936,0.0927,0.096984,0.096284,0.094684,0.0938,0.0927,0.0941,0.0927,0.0944,0.0927,0.0961,0.1038,0.1188,0.1154,0.1174,0.1184,0.1046,0.1188,0.1059,0.1188,0.1093,0.1188,0.1125,0.1045,0.1289,0.1219,0.125892,0.1274,0.1052,0.1289,0.107996,0.1289,0.1137,0.1289,0.1181,0.0507,0.0586,0.059716,0.0616,0.0534,0.0545,0.0559,0.057416
8,0.066518,0.102918,0.104618,0.107518,0.0779,0.082654,0.0931,0.1012,0.095382,0.0945,0.099282,0.0981819999999999,0.0963,0.095382,0.0945,0.0956819999999999,0.0945,0.096582,0.0945,0.098282,0.1054,0.1201,0.1164,0.1183,0.119775,0.106,0.1201,0.1068,0.1201,0.1108,0.1201,0.114075,0.106183,0.1316,0.1234,0.127683,0.1295,0.107483,0.1316,0.1094,0.1316,0.1151,0.1316,0.119683,0.051518,0.0592,0.060418,0.0624,0.0542,0.0552,0.0567,0.0584
9,0.0684,0.1043,0.10772,0.10962,0.0811,0.0853,0.09702,0.104,0.0974,0.0962,0.1007,0.0998,0.09788,0.0977799999999999,0.0962,0.0974,0.0962,0.0985,0.0962,0.1001,0.1066,0.1211,0.1174,0.1193,0.1206,0.107,0.1211,0.1083,0.1211,0.112,0.1211,0.1151,0.10827,0.1336,0.1249,0.12934,0.13127,0.10917,0.1336,0.11097,0.1336,0.1167,0.1336,0.1207,0.0524,0.0598,0.0614,0.0641,0.055,0.0562,0.0579,0.0588
