percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.12719,0.253069,0.2618,0.27994,0.17331,0.20274,0.23413,0.2458,0.283237,0.296711,0.340737,0.344611,0.346737,0.284122,0.340437,0.289637,0.3301,0.312048,0.298359,0.333237,0.288154,0.294872,0.342618,0.347172,0.349508,0.2885,0.34619,0.292472,0.3333,0.312436,0.295872,0.333572,0.276526,0.2780559999999999,0.339752,0.345478,0.3464259999999999,0.279626,0.339408,0.285152,0.323278,0.3043079999999999,0.280208,0.327752,0.1843,0.24691,0.2453,0.2498,0.20051,0.20395,0.22363,0.237591
1,0.14358,0.260552,0.276896,0.2974,0.18772,0.21508,0.24116,0.2523,0.290574,0.315048,0.348848,0.352348,0.355044,0.2923,0.352148,0.296996,0.344074,0.3198,0.315048,0.3393,0.294736,0.310752,0.349944,0.354708,0.355408,0.295936,0.3531439999999999,0.299436,0.345772,0.320136,0.315436,0.339136,0.2872,0.29472,0.347952,0.3535,0.354852,0.2881039999999999,0.347852,0.292956,0.334404,0.3148,0.298452,0.335552,0.19646,0.24952,0.250896,0.256416,0.20838,0.2142,0.23418,0.244238
2,0.15576,0.270449,0.2892,0.3045,0.19918,0.22306,0.2444,0.25897,0.2973,0.3257,0.356311,0.3580109999999999,0.359711,0.298244,0.356911,0.3031109999999999,0.351,0.326255,0.325977,0.344444,0.299908,0.3288,0.356354,0.359808,0.3618159999999999,0.301286,0.358454,0.304962,0.351108,0.325662,0.329216,0.3446079999999999,0.2933,0.321478,0.354678,0.3584,0.360834,0.2951,0.353856,0.299912,0.3422779999999999,0.3216,0.320916,0.341578,0.20359,0.25331,0.256694,0.2588,0.21429,0.22849,0.2402,0.251473
3,0.16402,0.2808,0.297184,0.3068,0.20884,0.2289,0.24674,0.26438,0.302892,0.336688,0.361248,0.363548,0.364944,0.30504,0.360496,0.30974,0.356396,0.330648,0.3389,0.349248,0.3052,0.340744,0.361544,0.3642,0.365772,0.3062,0.3627,0.309072,0.3558,0.330016,0.342848,0.348072,0.298608,0.335408,0.360504,0.363004,0.365608,0.3003,0.358504,0.3046,0.349908,0.326108,0.335616,0.3463,0.20942,0.2568,0.259996,0.2624,0.22124,0.23316,0.2473,0.255664
4,0.172,0.29029,0.3057,0.309,0.21505,0.23375,0.25115,0.26935,0.30807,0.3451,0.3651,0.36747,0.368225,0.3115,0.365085,0.3149,0.359685,0.3347,0.3464,0.352725,0.3091899999999999,0.34689,0.3662,0.367,0.3688,0.3109,0.3650899999999999,0.3129,0.3596,0.3337,0.34769,0.3524,0.3032,0.34259,0.364,0.3673,0.36833,0.30463,0.36293,0.30936,0.35566,0.3313299999999999,0.34473,0.34973,0.2155,0.2597,0.26529,0.2643,0.2272,0.2390499999999999,0.25215,0.2603
5,0.18128,0.295414,0.310164,0.313868,0.2216199999999999,0.23748,0.25596,0.2739,0.312344,0.350122,0.3702,0.3711,0.3712439999999999,0.314922,0.368022,0.319222,0.362822,0.338522,0.350844,0.358466,0.3125,0.3521,0.368808,0.370608,0.371908,0.313724,0.3673,0.317,0.362308,0.337808,0.352408,0.356108,0.307168,0.348356,0.3667,0.369812,0.3719,0.309412,0.365656,0.312712,0.3601,0.336,0.351368,0.354312,0.21968,0.26352,0.268294,0.266574,0.23252,0.2427,0.2559,0.2622
6,0.18704,0.303349,0.313208,0.320996,0.22741,0.24187,0.25927,0.27973,0.315559,0.354259,0.3731,0.3746589999999999,0.374318,0.319077,0.3714,0.3223,0.366,0.343659,0.355695,0.3618,0.3168,0.3556,0.372226,0.374,0.374626,0.317526,0.369352,0.321052,0.364752,0.3418,0.356126,0.361378,0.3110819999999999,0.354864,0.370482,0.372364,0.3736,0.313446,0.367982,0.3168,0.364,0.339864,0.356782,0.360146,0.22294,0.26689,0.271643,0.274603,0.2367,0.24517,0.2616,0.264237
7,0.1939,0.3062,0.317484,0.3268,0.2322,0.2461,0.2626,0.28894,0.319992,0.3585959999999999,0.3761,0.3777,0.3772,0.322696,0.373796,0.327,0.369396,0.3478759999999999,0.3595959999999999,0.366492,0.319976,0.359176,0.3757,0.376688,0.3772,0.322144,0.3723,0.326132,0.3673,0.3474,0.360444,0.365744,0.3153,0.358708,0.373508,0.376608,0.375908,0.317516,0.371116,0.321824,0.3668,0.344132,0.360608,0.3641,0.22724,0.27122,0.273,0.278564,0.24188,0.2479599999999999,0.26516,0.266856
8,0.20157,0.311863,0.321364,0.331408,0.23628,0.25009,0.26557,0.2958199999999999,0.3246,0.361833,0.379533,0.380832,0.3804,0.3276,0.3763,0.3308,0.3722,0.353133,0.363,0.37,0.324524,0.3626,0.379162,0.380062,0.3797,0.325862,0.375124,0.330662,0.3698,0.352324,0.3641,0.369,0.3192,0.363,0.3772,0.3793,0.3781,0.3215,0.3736,0.326534,0.369434,0.349834,0.364,0.3669,0.2318899999999999,0.2734,0.277882,0.2808,0.24628,0.2521299999999999,0.269,0.2708
9,0.2067,0.31629,0.325,0.3386,0.2405,0.2523,0.2706,0.3009,0.3292,0.36524,0.3825,0.3837,0.38287,0.33107,0.3785,0.3357,0.37497,0.35761,0.36644,0.37407,0.3281,0.3653,0.38188,0.38296,0.3836,0.32976,0.3772,0.3357799999999999,0.3730799999999999,0.35738,0.3668,0.3747,0.32412,0.3655,0.38042,0.38186,0.38056,0.32696,0.3764,0.33216,0.37336,0.3538,0.36676,0.37186,0.2357,0.2761,0.2817,0.28408,0.2491,0.2556,0.2716,0.27371
10,0.21274,0.324718,0.3328279999999999,0.341216,0.24581,0.25641,0.27471,0.3031,0.332914,0.368114,0.3857,0.386,0.3858,0.335821,0.3816,0.3406,0.377414,0.3610069999999999,0.369814,0.3777069999999999,0.332692,0.3681,0.384598,0.385798,0.385396,0.334996,0.3796,0.340396,0.376598,0.3616,0.369298,0.3781,0.328986,0.3691,0.382986,0.384586,0.3827859999999999,0.332258,0.3791,0.3377,0.376486,0.3598,0.370386,0.375386,0.23951,0.279,0.283039,0.2870189999999999,0.2532,0.2587399999999999,0.27351,0.277001
11,0.21984,0.328056,0.338076,0.345136,0.2502,0.25944,0.2819,0.31078,0.33702,0.3714,0.388244,0.388932,0.388232,0.340144,0.383544,0.344288,0.379644,0.3657,0.3724,0.3816,0.337464,0.3706319999999999,0.3873,0.3882,0.3873,0.340264,0.382816,0.344416,0.378816,0.365832,0.372816,0.381,0.3356,0.372112,0.3851,0.386812,0.385824,0.337324,0.380912,0.3419359999999999,0.3794,0.364324,0.3733,0.378936,0.2421,0.2814,0.2854759999999999,0.289348,0.25598,0.2632,0.27662,0.2807
12,0.22436,0.332,0.341624,0.349056,0.25483,0.2626,0.28836,0.32154,0.342062,0.373881,0.391724,0.3912,0.3901,0.344,0.3862,0.348143,0.382581,0.3697,0.3747,0.384281,0.343634,0.374034,0.3892,0.3899,0.3896,0.344134,0.385034,0.348768,0.3832339999999999,0.369334,0.3762,0.383534,0.338838,0.3754,0.387376,0.3887,0.3877,0.3412759999999999,0.3841759999999999,0.347138,0.381776,0.369538,0.376038,0.382876,0.2455,0.2834,0.2895,0.2919,0.2593,0.26736,0.2791,0.2834
13,0.22814,0.335466,0.348716,0.351876,0.2588,0.26578,0.29234,0.32566,0.345518,0.375618,0.393918,0.3939,0.3928,0.347818,0.3891,0.3548,0.3843,0.374818,0.3772,0.387454,0.346752,0.377204,0.391304,0.3919,0.391252,0.348404,0.387304,0.354,0.3857,0.37286,0.3782,0.386004,0.3431,0.377664,0.390264,0.390928,0.39,0.3456,0.387564,0.3522,0.385464,0.374328,0.378264,0.385328,0.24944,0.2885,0.292358,0.2936,0.26252,0.2703399999999999,0.2812,0.2847
