percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0602899999999999,0.1442,0.15208,0.157288,0.09246,0.1021,0.121564,0.138828,0.1604,0.170092,0.178064,0.176138,0.175166,0.1618099999999999,0.170092,0.164282,0.170092,0.170658,0.170092,0.1749639999999999,0.169382,0.1804639999999999,0.1865,0.1830659999999999,0.180682,0.170564,0.1804639999999999,0.172546,0.1804639999999999,0.180338,0.1804639999999999,0.185428,0.166064,0.179482,0.180792,0.181146,0.180174,0.167182,0.179482,0.168682,0.179482,0.177,0.179482,0.180128,0.1037,0.145348,0.146937,0.14951,0.11918,0.12489,0.1331,0.13854
1,0.0692,0.153696,0.155472,0.1627,0.10368,0.1114,0.128392,0.144384,0.167064,0.182284,0.1849,0.1857,0.186828,0.1683639999999999,0.182284,0.171,0.182284,0.177164,0.182284,0.182492,0.173564,0.190292,0.192192,0.192764,0.1929,0.1754,0.190292,0.1778,0.190292,0.183864,0.190292,0.1896,0.1701639999999999,0.18674,0.192528,0.194384,0.1922559999999999,0.1726,0.18674,0.1749,0.18674,0.181592,0.18674,0.188828,0.11186,0.1482919999999999,0.152574,0.160132,0.12256,0.12808,0.136892,0.143628
2,0.07527,0.1573,0.1619,0.169266,0.1089,0.1189,0.134592,0.15192,0.170692,0.187546,0.187646,0.189038,0.1898,0.172876,0.187546,0.175738,0.187546,0.180746,0.187546,0.1851,0.1774,0.194,0.1948,0.195546,0.1955,0.1788,0.194,0.181192,0.194,0.1866,0.194,0.192046,0.174746,0.1943679999999999,0.1964,0.1975,0.1976,0.1766839999999999,0.1943679999999999,0.179046,0.1943679999999999,0.185146,0.1943679999999999,0.1922,0.11604,0.1523,0.158744,0.1632,0.1265,0.1301,0.1404,0.145884
3,0.07996,0.161792,0.166388,0.173,0.1124,0.12446,0.142956,0.1558,0.174656,0.190128,0.1897,0.190928,0.191528,0.1763,0.190128,0.178756,0.190128,0.183956,0.190128,0.1871,0.180428,0.196584,0.1967,0.1972,0.1978,0.1816,0.196584,0.183256,0.196584,0.1884,0.196584,0.193656,0.17794,0.1982,0.1986,0.199528,0.199328,0.1797,0.1982,0.181528,0.1982,0.188428,0.1982,0.1946,0.11886,0.15686,0.1615,0.1643879999999999,0.1288,0.1323,0.142628,0.1498
4,0.0864,0.16454,0.16948,0.1747,0.11615,0.1288,0.14731,0.15852,0.17701,0.19211,0.1919,0.1926,0.1933,0.1787,0.19211,0.18071,0.19211,0.18561,0.19211,0.18911,0.1826,0.1988,0.1982199999999999,0.19862,0.19941,0.18402,0.1988,0.18521,0.1988,0.1911,0.1988,0.1953,0.1805,0.20001,0.2001,0.2011,0.2012,0.1824,0.20001,0.1841,0.20001,0.19081,0.20001,0.1964,0.12195,0.1595,0.163485,0.1655,0.13125,0.1345,0.14451,0.15194
5,0.09294,0.1661,0.1724,0.1757,0.11824,0.13572,0.1502,0.160084,0.179092,0.1936,0.1933,0.194092,0.1946,0.1802919999999999,0.1936,0.183,0.1936,0.187692,0.1936,0.1904,0.1848,0.200392,0.199492,0.2002,0.2006,0.1857919999999999,0.200392,0.187392,0.200392,0.1932,0.200392,0.196792,0.182992,0.201492,0.2011,0.202392,0.2027,0.1843,0.201492,0.1858,0.201492,0.1929,0.201492,0.1981,0.124,0.1605,0.1643,0.1664,0.1337,0.13734,0.1475,0.1545
6,0.09873,0.1681,0.174904,0.176954,0.12229,0.1392,0.1533,0.1624,0.181174,0.195174,0.194374,0.1953,0.1958,0.1823,0.195174,0.1847,0.195174,0.189674,0.195174,0.1919,0.1866,0.2016,0.2006,0.2013,0.201974,0.1874,0.2016,0.1894,0.2016,0.1946,0.2016,0.198174,0.1853,0.2032,0.202574,0.203574,0.2038,0.186148,0.2032,0.188148,0.2032,0.1949,0.2032,0.1999,0.126,0.161436,0.1652,0.1674,0.13573,0.1398,0.1493,0.1567
7,0.10324,0.169684,0.1762,0.1776,0.1256,0.1413,0.155556,0.1635,0.1838,0.1963,0.1955,0.196356,0.1969,0.1843,0.1963,0.186556,0.1963,0.191356,0.1963,0.193156,0.188456,0.202556,0.2017,0.202556,0.2028,0.1892,0.202556,0.191056,0.202556,0.196156,0.202556,0.1992,0.187456,0.204456,0.2033,0.2048,0.2052,0.188856,0.204456,0.190112,0.204456,0.196356,0.204456,0.201056,0.12774,0.1629,0.1658,0.1681,0.13794,0.1421,0.1506,0.1583
8,0.1072,0.170732,0.1774,0.1785,0.1287,0.1437,0.157638,0.166052,0.185438,0.1973379999999999,0.1965,0.1974,0.1976,0.186076,0.1973379999999999,0.188138,0.1973379999999999,0.193,0.1973379999999999,0.1942,0.19,0.2038,0.2028,0.2036,0.2038,0.1910379999999999,0.2038,0.192676,0.2038,0.1971379999999999,0.2038,0.200438,0.1896,0.205838,0.2048,0.2062,0.2064,0.1906,0.205838,0.1922,0.205838,0.1982,0.205838,0.2024,0.1293,0.163832,0.1665,0.1691,0.1399,0.14411,0.151338,0.16
9,0.1105,0.173,0.1784,0.1791,0.1326,0.146,0.1592,0.16864,0.18732,0.19832,0.19752,0.1986,0.1988,0.18802,0.19832,0.1901,0.19832,0.194,0.19832,0.1954199999999999,0.19202,0.20462,0.2037,0.2043,0.2051,0.1931,0.20462,0.19422,0.20462,0.19874,0.20462,0.2018,0.1914199999999999,0.20682,0.20614,0.2071,0.2075,0.1924,0.20682,0.19412,0.20682,0.1999,0.20682,0.2037,0.1319,0.165,0.16707,0.1702,0.1418,0.1452,0.1524,0.16144
