percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.081089,0.0,0.0,0.0,0.124301,0.137567,0.144896,0.0,0.177376,0.2577759999999999,0.2376039999999999,0.2474879999999999,0.250888,0.1905,0.256064,0.186708,0.256652,0.2165039999999999,0.2577759999999999,0.23974,0.1799639999999999,0.266376,0.240752,0.251952,0.2546879999999999,0.190988,0.261488,0.192908,0.262216,0.2190639999999999,0.266376,0.242188,0.178352,0.270464,0.242888,0.2532,0.256416,0.1873,0.2648,0.193152,0.265376,0.22128,0.270464,0.244164,0.131857,0.0,0.0,0.0,0.147956,0.160078,0.163045,0.0
1,0.089534,0.0,0.0,0.0,0.130278,0.14629,0.160856,0.1776,0.186076,0.264952,0.249052,0.253528,0.2577759999999999,0.200004,0.264528,0.201788,0.2626799999999999,0.228276,0.264952,0.249204,0.188352,0.271176,0.2522,0.2570759999999999,0.261312,0.2028,0.269,0.206752,0.269476,0.228728,0.271176,0.253376,0.188876,0.275976,0.255352,0.2597759999999999,0.262104,0.199704,0.2715,0.20668,0.272452,0.2296,0.275976,0.25638,0.139756,0.0,0.0,0.0,0.1539,0.163856,0.171212,0.1779339999999999
2,0.099834,0.1868,0.0,0.0,0.137267,0.150401,0.167867,0.183635,0.193192,0.269164,0.255756,0.257892,0.264128,0.205792,0.2689,0.209228,0.267964,0.235364,0.269164,0.256264,0.197256,0.274764,0.258792,0.2623,0.2674,0.208528,0.272992,0.2118,0.2736,0.2374639999999999,0.2747,0.259684,0.197764,0.28,0.261856,0.2654,0.2701199999999999,0.20662,0.275564,0.2123199999999999,0.277928,0.237564,0.279928,0.2614,0.1429669999999999,0.191201,0.0,0.0,0.157367,0.1671689999999999,0.174667,0.187134
3,0.107712,0.194156,0.195868,0.0,0.143156,0.154412,0.170812,0.186924,0.200156,0.272852,0.260204,0.263604,0.267352,0.2098,0.272152,0.215552,0.2705,0.2403,0.272752,0.2596,0.204252,0.280152,0.263156,0.266252,0.2726,0.213056,0.276352,0.2174,0.275552,0.241504,0.280152,0.262856,0.202452,0.283252,0.265752,0.268252,0.275152,0.2117,0.2793,0.217756,0.2803,0.2424,0.283252,0.264804,0.1464,0.1948,0.1937,0.0,0.160856,0.170768,0.179356,0.193456
4,0.112645,0.196145,0.200345,0.19798,0.148245,0.15929,0.173445,0.1915,0.2062,0.27594,0.2631,0.26708,0.27254,0.21418,0.27474,0.21988,0.2735,0.24414,0.2756,0.26284,0.20848,0.2828,0.26648,0.2699,0.2758,0.2158,0.2786,0.22084,0.27824,0.24628,0.2826,0.265,0.20634,0.2859,0.26834,0.2723399999999999,0.27774,0.2160399999999999,0.28164,0.22068,0.28234,0.24684,0.2858,0.26728,0.151345,0.195945,0.195045,0.197445,0.162745,0.17379,0.183145,0.196045
5,0.117504,0.1991,0.202434,0.2008,0.150702,0.163068,0.1781019999999999,0.1973,0.209628,0.2783,0.265628,0.270456,0.2749,0.217484,0.277128,0.222628,0.276856,0.2479,0.2782,0.2655,0.2114,0.284284,0.2686,0.2732279999999999,0.278256,0.2184,0.2804,0.223356,0.280628,0.249184,0.283728,0.2682279999999999,0.211028,0.287628,0.2713279999999999,0.2755,0.2801,0.218356,0.283156,0.222928,0.284128,0.250028,0.287528,0.2696,0.155168,0.196934,0.1964,0.200334,0.1654,0.1754,0.185468,0.197434
6,0.1216,0.203823,0.2048,0.209684,0.154023,0.166823,0.183623,0.1987229999999999,0.212616,0.280016,0.2695,0.274316,0.277916,0.220616,0.278732,0.2247,0.279216,0.2512,0.2798,0.268132,0.2134,0.2859,0.271516,0.2764,0.28,0.221116,0.2822,0.226,0.2832,0.252832,0.2854,0.27,0.213616,0.29,0.2738,0.2782,0.281732,0.2202,0.285016,0.2257,0.285816,0.2535,0.2899,0.2724,0.157723,0.1982,0.198,0.2012229999999999,0.1679,0.177123,0.1886229999999999,0.200023
7,0.126324,0.2057,0.208724,0.213124,0.157712,0.170224,0.1867,0.2007,0.215304,0.2814,0.272808,0.2769,0.280108,0.222404,0.2808,0.227,0.2811,0.254204,0.2816,0.2702,0.2158,0.2871,0.274604,0.2794,0.281204,0.2232,0.2834,0.2278,0.2847,0.2557,0.286404,0.272,0.215804,0.2914,0.276304,0.280204,0.283104,0.222304,0.2863,0.227404,0.2874,0.2565,0.291,0.2743,0.159812,0.1992,0.1987,0.2019,0.170012,0.179012,0.1918,0.202112
8,0.131402,0.2094,0.211501,0.218001,0.160801,0.172901,0.191104,0.202302,0.2175,0.2825,0.275792,0.2798,0.281692,0.2248919999999999,0.2827,0.2291,0.2829919999999999,0.2563,0.2827,0.2733919999999999,0.2177919999999999,0.2879839999999999,0.2771,0.281192,0.282792,0.2246,0.2854,0.2294,0.286192,0.259,0.2874,0.2748919999999999,0.217476,0.292892,0.279,0.2824,0.2844,0.2242,0.2877,0.2305,0.289,0.259984,0.292,0.276284,0.161601,0.2,0.199601,0.202401,0.1728,0.1812,0.194,0.203301
9,0.13507,0.21138,0.21389,0.22178,0.1632,0.1756,0.19468,0.20389,0.21958,0.2843799999999999,0.27808,0.2816,0.28318,0.2269,0.2844799999999999,0.23128,0.28478,0.2596799999999999,0.28428,0.27558,0.21928,0.28928,0.27978,0.2828799999999999,0.285,0.22638,0.2871,0.23178,0.2878799999999999,0.26176,0.2889,0.27718,0.219,0.29378,0.2809,0.2842,0.2856,0.226,0.28878,0.2325,0.291,0.26248,0.2932,0.279,0.1635,0.2007,0.2008,0.203,0.1749,0.18309,0.19678,0.20429
10,0.1383,0.214158,0.218416,0.223179,0.165458,0.178579,0.196637,0.208579,0.2218,0.286268,0.2806,0.2835,0.285068,0.228736,0.2859,0.233368,0.286568,0.262336,0.286268,0.277872,0.2216,0.290568,0.281968,0.284568,0.2861,0.228568,0.2878,0.234,0.2897,0.264368,0.290168,0.2794,0.2208,0.2948,0.283168,0.2862,0.2871,0.2284,0.29,0.2345,0.292,0.2656,0.2939,0.280268,0.166058,0.2015,0.202979,0.2043,0.178079,0.184737,0.199179,0.2046
11,0.1426,0.2160679999999999,0.221836,0.224468,0.168568,0.1816,0.2011679999999999,0.2109,0.223312,0.287512,0.282956,0.284956,0.2864,0.2301,0.287356,0.236056,0.2877,0.2652,0.287512,0.280512,0.223456,0.2917,0.284156,0.286312,0.2874,0.2298,0.289056,0.236168,0.291,0.2673,0.2915,0.281712,0.222956,0.2958,0.285156,0.287756,0.2882,0.229512,0.291156,0.236656,0.2933,0.2678,0.295056,0.282612,0.1681679999999999,0.2024,0.2044679999999999,0.2049,0.180404,0.186868,0.201568,0.2052
12,0.1459,0.218557,0.223757,0.2258,0.170757,0.1833,0.204457,0.213814,0.225044,0.29,0.284844,0.2867,0.287844,0.2323,0.2886,0.237932,0.289944,0.269,0.289944,0.282144,0.2254,0.2928,0.285688,0.288,0.288744,0.231688,0.2907,0.238688,0.2922,0.2694,0.292744,0.2838,0.2247,0.296544,0.286644,0.289344,0.2897,0.2317,0.292188,0.2386,0.294544,0.2699,0.2962,0.284744,0.170157,0.203257,0.205557,0.2057,0.182,0.1888,0.2037,0.2056
13,0.148392,0.2206,0.2263,0.2284,0.173092,0.1847,0.206592,0.216446,0.2265,0.291832,0.286664,0.2889,0.2895,0.234432,0.289632,0.2405,0.2917,0.272364,0.291832,0.284832,0.227,0.294332,0.2874319999999999,0.2898,0.29,0.234032,0.2914319999999999,0.2406,0.2933,0.272,0.2942,0.285832,0.226432,0.2973,0.288532,0.2903,0.290532,0.2336,0.2929,0.2403,0.2955319999999999,0.271932,0.2967,0.286264,0.172,0.204246,0.206246,0.2061,0.1839,0.190846,0.2047,0.206346
14,0.151335,0.223,0.227735,0.2307699999999999,0.175335,0.186435,0.2091,0.2185,0.2284,0.29314,0.2886,0.28992,0.2906,0.23682,0.2905,0.2423,0.2928,0.27432,0.29314,0.28606,0.2284,0.2955,0.2893,0.29082,0.2912,0.23632,0.2923,0.2424,0.29472,0.27502,0.29542,0.2871,0.2279199999999999,0.298,0.2897,0.29132,0.2922,0.2355199999999999,0.2937,0.2425199999999999,0.29642,0.27452,0.2975,0.2876,0.173835,0.2052,0.2068,0.2065,0.185435,0.1928,0.205735,0.2071
15,0.1541239999999999,0.225124,0.2289,0.233524,0.177324,0.188924,0.211224,0.220424,0.2301,0.2948,0.289808,0.2914,0.2913,0.2384,0.292,0.245216,0.294,0.276108,0.2948,0.2882,0.2299,0.296608,0.290508,0.2922,0.2923,0.2376,0.293108,0.2444,0.295508,0.277,0.296608,0.289,0.2294,0.298808,0.2912,0.292208,0.293008,0.236916,0.2946,0.244508,0.2969,0.276608,0.298308,0.2892,0.175724,0.2058,0.2082,0.206824,0.1868,0.195048,0.2067,0.208
16,0.156439,0.2277,0.229913,0.235213,0.180213,0.191713,0.213113,0.2221,0.231892,0.296196,0.2914,0.2926,0.2926,0.239396,0.293,0.2475959999999999,0.2952,0.2787,0.296196,0.2908,0.2316,0.2977,0.2922,0.293196,0.2932,0.239392,0.2946,0.2464,0.2966,0.278596,0.2977,0.291,0.2309,0.300196,0.2922,0.2932,0.2936,0.238592,0.295496,0.2467,0.297796,0.2787,0.2995,0.290896,0.1775,0.2065,0.2088,0.2074,0.188513,0.1965,0.2078,0.2084
17,0.159404,0.2289,0.231802,0.2374,0.182702,0.194102,0.2151,0.225802,0.2335,0.2973,0.292784,0.293784,0.293384,0.2414,0.2945,0.249868,0.2962,0.281184,0.2973,0.2923,0.2336,0.298684,0.293384,0.294184,0.2940839999999999,0.241,0.295784,0.248484,0.2976,0.280784,0.298784,0.292584,0.232184,0.3011,0.293284,0.2942,0.2944,0.240684,0.296284,0.248584,0.2984839999999999,0.2812,0.3009,0.292384,0.179,0.2074,0.210102,0.208002,0.190304,0.1978,0.209402,0.209
18,0.162491,0.2301,0.233791,0.2382,0.185191,0.196882,0.2161,0.229373,0.235216,0.2985,0.294372,0.2949,0.2945,0.243672,0.295572,0.251472,0.2973,0.283672,0.2985,0.2936,0.235572,0.2999,0.2944,0.2948,0.2949,0.242772,0.296572,0.250972,0.2986,0.282944,0.2999,0.294072,0.2346,0.3023,0.2947,0.295,0.295472,0.242572,0.297,0.250572,0.299472,0.282772,0.3019,0.293972,0.180391,0.208791,0.211,0.2088,0.1922,0.1993,0.212,0.2095
