percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.04897,0.082814,0.085842,0.088356,0.067752,0.071414,0.076342,0.0804,0.06862,0.0784,0.0753,0.076484,0.0778679999999999,0.069036,0.0784,0.0681679999999999,0.0784,0.067984,0.0784,0.072336,0.0951,0.118641,0.1152,0.120682,0.122482,0.095482,0.118641,0.096882,0.118641,0.099523,0.118641,0.109482,0.098461,0.122522,0.128887,0.135748,0.135222,0.099261,0.122522,0.101648,0.122522,0.111757,0.122522,0.121922,0.047614,0.0601,0.061214,0.062842,0.050898,0.0536,0.0551,0.058114
1,0.056212,0.0855,0.090656,0.0934,0.073328,0.077928,0.082252,0.0832,0.0760359999999999,0.083,0.0788,0.0794,0.081304,0.0760359999999999,0.083,0.076236,0.083,0.074904,0.083,0.078268,0.099482,0.123482,0.121364,0.124582,0.126482,0.1020819999999999,0.123482,0.104064,0.123482,0.107282,0.123482,0.117382,0.108374,0.137918,0.147048,0.144596,0.141974,0.110622,0.137918,0.11327,0.137918,0.125748,0.137918,0.138474,0.051,0.0611,0.062828,0.067,0.054428,0.0561,0.0584,0.0601
2,0.061142,0.091542,0.093342,0.097884,0.076842,0.081842,0.0862,0.086442,0.081304,0.085904,0.082604,0.0836519999999999,0.084952,0.081052,0.085904,0.080604,0.085904,0.081,0.085904,0.0831519999999999,0.1044,0.1289459999999999,0.128938,0.130723,0.130323,0.1054,0.1289459999999999,0.107646,0.1289459999999999,0.116646,0.1289459999999999,0.1251229999999999,0.112705,0.147944,0.152561,0.153861,0.154283,0.116561,0.147944,0.1209,0.147944,0.134461,0.147944,0.145483,0.0533,0.0621,0.065404,0.0681,0.057542,0.0579,0.060442,0.061442
3,0.064968,0.093812,0.097456,0.101056,0.079756,0.084356,0.0896,0.092112,0.083836,0.089972,0.086272,0.0869,0.0890359999999999,0.0835,0.089972,0.0832,0.089972,0.085044,0.089972,0.0857359999999999,0.107664,0.133464,0.133656,0.1352,0.1347,0.108856,0.133464,0.110664,0.133464,0.1203279999999999,0.133464,0.1282,0.118644,0.158396,0.156096,0.156748,0.15824,0.120988,0.158396,0.124448,0.158396,0.1383,0.158396,0.1502,0.055956,0.064024,0.0686,0.0706,0.058912,0.0598,0.0621,0.0634
4,0.06797,0.0977,0.10081,0.1041,0.08167,0.0863,0.09207,0.09667,0.0868,0.09232,0.08902,0.0908,0.0916,0.08622,0.09232,0.0868,0.09232,0.08892,0.09232,0.0887,0.110215,0.1376,0.1372,0.139805,0.1381,0.111805,0.1376,0.11351,0.1376,0.12461,0.1376,0.131605,0.1222,0.1631,0.159635,0.160935,0.1629,0.12427,0.1631,0.1271,0.1631,0.141,0.1631,0.1548,0.0577,0.06887,0.0711,0.07327,0.06,0.06144,0.0638,0.06507
5,0.071584,0.100836,0.1065,0.1111839999999999,0.084252,0.089568,0.096236,0.0996,0.0895,0.0947,0.091604,0.0928,0.094508,0.089112,0.0947,0.089104,0.0947,0.0911,0.0947,0.0916,0.113692,0.142846,0.140246,0.144646,0.1426,0.114346,0.142846,0.116692,0.142846,0.126746,0.142846,0.1347,0.124222,0.1662219999999999,0.1619439999999999,0.1644439999999999,0.1651,0.1258439999999999,0.1662219999999999,0.1296,0.1662219999999999,0.144322,0.1662219999999999,0.157522,0.0592839999999999,0.071168,0.072984,0.0759,0.0611839999999999,0.0625,0.0652679999999999,0.0665
6,0.0753979999999999,0.106886,0.112298,0.1150979999999999,0.0865,0.092196,0.1002,0.103,0.091576,0.096988,0.094888,0.096588,0.096688,0.090888,0.096988,0.091388,0.096988,0.0927,0.096988,0.0937,0.1163,0.148348,0.142787,0.1467,0.148,0.117287,0.148348,0.1189,0.148348,0.130274,0.148348,0.137287,0.126527,0.1687,0.1646,0.166709,0.167245,0.128327,0.1687,0.1326,0.1687,0.146809,0.1687,0.159609,0.060398,0.0723,0.074,0.0771,0.0628,0.0637,0.0669,0.069
7,0.078112,0.110948,0.1161119999999999,0.116,0.089512,0.094924,0.103536,0.105112,0.093616,0.099072,0.098172,0.098772,0.098772,0.093372,0.099072,0.093344,0.099072,0.0943,0.099072,0.096672,0.119184,0.152528,0.144928,0.148928,0.152084,0.120056,0.152528,0.121928,0.152528,0.132656,0.152528,0.139728,0.1289,0.170396,0.1668,0.169296,0.170196,0.1304,0.170396,0.1349,0.170396,0.1488,0.170396,0.1613959999999999,0.0615,0.0733,0.075112,0.0777,0.064,0.0652119999999999,0.068712,0.0730239999999999
8,0.0802259999999999,0.113052,0.118652,0.1177,0.091926,0.096826,0.106926,0.1088519999999999,0.0967,0.100512,0.100456,0.100524,0.101,0.096556,0.100512,0.096312,0.100512,0.097012,0.100512,0.0996,0.122,0.1544,0.147069,0.1508,0.153945,0.1228689999999999,0.1544,0.1242,0.1544,0.134407,0.1544,0.1416,0.131483,0.172583,0.1685,0.171083,0.1721659999999999,0.132883,0.172583,0.136583,0.172583,0.1513,0.172583,0.162583,0.063026,0.075126,0.0778519999999999,0.078726,0.065026,0.066526,0.07,0.0749259999999999
9,0.08218,0.11762,0.1199,0.1190399999999999,0.0943,0.09958,0.10954,0.11434,0.0986399999999999,0.10244,0.1028,0.10314,0.1024,0.0986,0.10244,0.0981,0.10244,0.0996,0.10244,0.1023,0.1236,0.1562,0.14842,0.1523,0.1552,0.12471,0.1562,0.12601,0.1562,0.13531,0.1562,0.14363,0.13337,0.1742,0.17017,0.17307,0.1739,0.1348,0.1742,0.1382,0.1742,0.15297,0.1742,0.16477,0.06464,0.076,0.07904,0.0818,0.0664,0.0677,0.07124,0.0763
