percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.133,0.2873759999999999,0.300265,0.30564,0.210436,0.229918,0.256417,0.280794,0.323682,0.345294,0.399942,0.399742,0.396868,0.3363,0.387226,0.3425519999999999,0.378304,0.383694,0.345294,0.407936,0.335242,0.4017259999999999,0.421052,0.419968,0.423084,0.3457,0.4273,0.350784,0.4168,0.393486,0.4017259999999999,0.418536,0.339494,0.417588,0.429258,0.4307,0.433135,0.353141,0.438488,0.355041,0.430991,0.401111,0.417588,0.422529,0.222096,0.305031,0.320168,0.3252359999999999,0.24366,0.25839,0.29638,0.300286
1,0.151996,0.301552,0.31165,0.34851,0.2235,0.248174,0.290202,0.301294,0.343552,0.369152,0.4154,0.408852,0.40794,0.351004,0.396184,0.357136,0.3882839999999999,0.401868,0.369152,0.4200839999999999,0.355988,0.418188,0.434568,0.435868,0.44,0.359388,0.4378,0.365184,0.428184,0.411884,0.418188,0.432036,0.353682,0.448594,0.443958,0.4436879999999999,0.45214,0.364794,0.450576,0.369358,0.4492,0.414182,0.448594,0.439858,0.23509,0.318594,0.3288,0.334372,0.25808,0.2748759999999999,0.301608,0.319884
2,0.164382,0.319984,0.3485149999999999,0.36421,0.2383,0.258822,0.3015,0.3181,0.356826,0.381252,0.4236,0.421626,0.414226,0.366156,0.4083,0.374752,0.396626,0.410452,0.382004,0.428752,0.366608,0.428512,0.444526,0.444504,0.451926,0.3706259999999999,0.448604,0.378452,0.4413559999999999,0.419452,0.42966,0.444478,0.370605,0.464246,0.4523,0.453664,0.4603,0.376023,0.461764,0.383541,0.464,0.4242,0.464246,0.450741,0.243923,0.329124,0.335436,0.341216,0.270105,0.287928,0.306962,0.325882
3,0.17958,0.333132,0.35946,0.37044,0.245976,0.2706,0.309808,0.325892,0.366168,0.390536,0.431004,0.4277,0.423476,0.376944,0.415312,0.38604,0.405404,0.416668,0.391308,0.433936,0.378736,0.435868,0.451168,0.453544,0.4577,0.386912,0.4556,0.395208,0.449768,0.428768,0.435868,0.452468,0.380976,0.472088,0.4588759999999999,0.463976,0.4663879999999999,0.389172,0.4718,0.399576,0.473088,0.4363,0.472088,0.4578759999999999,0.257156,0.336316,0.3401,0.3449,0.27788,0.3003,0.309872,0.332492
4,0.19363,0.34746,0.371175,0.37495,0.2522,0.27954,0.32217,0.3337,0.37683,0.39951,0.43682,0.4332,0.42896,0.38771,0.4236499999999999,0.39163,0.41124,0.42566,0.39963,0.4398,0.39021,0.44351,0.45731,0.46314,0.4628,0.3979399999999999,0.46021,0.4069,0.45411,0.43964,0.44351,0.45722,0.39105,0.4787,0.465135,0.4726,0.47677,0.40344,0.478305,0.41245,0.47977,0.44737,0.4787,0.4651,0.26485,0.338755,0.34616,0.3465,0.284675,0.30809,0.31765,0.33529
5,0.203376,0.357012,0.3741,0.3772,0.2597,0.289,0.329902,0.339164,0.386804,0.407952,0.441608,0.4384,0.436,0.3953,0.430804,0.401052,0.4204159999999999,0.435852,0.4080519999999999,0.445252,0.3995559999999999,0.450952,0.463408,0.4701559999999999,0.468704,0.4061599999999999,0.4638,0.417112,0.458852,0.452056,0.450952,0.4658,0.402928,0.4855819999999999,0.471964,0.480146,0.4803,0.415864,0.485064,0.423782,0.487184,0.462764,0.4855819999999999,0.470846,0.270794,0.343124,0.3513,0.3485,0.29247,0.313228,0.329608,0.338188
6,0.2120149999999999,0.366264,0.3779,0.379745,0.266508,0.2932,0.3349,0.342579,0.392282,0.4136,0.447694,0.443488,0.444276,0.404594,0.438594,0.4109939999999999,0.4286,0.4437,0.413788,0.450782,0.4106,0.457188,0.471182,0.476388,0.475194,0.41787,0.466976,0.429082,0.463588,0.464082,0.457188,0.472188,0.412116,0.4925,0.4812,0.486016,0.487658,0.422958,0.4905,0.436987,0.492829,0.471761,0.492529,0.479,0.275672,0.3514,0.3537,0.351404,0.3014,0.318396,0.336456,0.3444859999999999
7,0.2181,0.37464,0.3817399999999999,0.38256,0.272604,0.302792,0.338236,0.3489759999999999,0.400508,0.419108,0.4511,0.450172,0.450136,0.4112,0.442236,0.4222079999999999,0.434236,0.4518,0.419616,0.4553,0.419388,0.464272,0.481636,0.482272,0.479836,0.427516,0.470636,0.4381359999999999,0.467572,0.470072,0.464736,0.476872,0.421332,0.4961,0.4900759999999999,0.49378,0.496552,0.432752,0.496476,0.447028,0.497376,0.4804,0.496252,0.487176,0.281068,0.3543,0.355096,0.354176,0.30586,0.322904,0.346376,0.348068
8,0.2249,0.379084,0.386095,0.3865,0.2776,0.308465,0.3413529999999999,0.356673,0.408856,0.428878,0.456478,0.4567779999999999,0.455,0.419178,0.447934,0.430112,0.440112,0.457356,0.429,0.4603779999999999,0.4290339999999999,0.4693779999999999,0.4872,0.4876,0.4834779999999999,0.4370779999999999,0.4757,0.444712,0.471078,0.4769,0.4694,0.483778,0.4281689999999999,0.500423,0.499892,0.504692,0.5028,0.442323,0.503723,0.45543,0.501746,0.486323,0.500423,0.493269,0.2876229999999999,0.360493,0.356704,0.356948,0.313555,0.326942,0.350234,0.354882
9,0.23179,0.38186,0.38875,0.3884,0.2844399999999999,0.31447,0.34507,0.36627,0.41524,0.4362,0.46074,0.46464,0.4614399999999999,0.42542,0.45264,0.43762,0.44492,0.46132,0.43662,0.4638,0.4372,0.47724,0.49194,0.49128,0.48692,0.44304,0.47924,0.45264,0.47686,0.4805,0.47724,0.48904,0.43687,0.5043,0.5113099999999999,0.50951,0.50934,0.4511799999999999,0.50734,0.4635,0.50717,0.4898,0.505,0.5002,0.29239,0.3636,0.3585,0.36106,0.3198999999999999,0.33236,0.35578,0.35866
