percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.177605,0.28932,0.3112149999999999,0.3397,0.20319,0.2358,0.23476,0.26396,0.240585,0.3365,0.358265,0.367825,0.269105,0.2985299999999999,0.3176049999999999,0.321835
1,0.20413,0.31423,0.33793,0.35105,0.23968,0.26195,0.27566,0.29954,0.27152,0.3586499999999999,0.37132,0.37891,0.30161,0.31327,0.32313,0.33987
2,0.22943,0.3397,0.35063,0.358915,0.275145,0.28319,0.316835,0.324015,0.28935,0.368915,0.376115,0.3845,0.315545,0.32456,0.335545,0.3574299999999999
3,0.24466,0.3567,0.36022,0.37002,0.29154,0.2989,0.34328,0.33888,0.3039,0.37614,0.38242,0.38862,0.32916,0.3341,0.35774,0.3707
4,0.26075,0.370475,0.3707749999999999,0.386825,0.31335,0.3319499999999999,0.360325,0.376275,0.31425,0.3898,0.3941,0.392225,0.34385,0.3550999999999999,0.3792,0.385225
5,0.27281,0.38281,0.39003,0.3899,0.33106,0.361,0.37834,0.38843,0.32456,0.40375,0.3999,0.39658,0.35629,0.37026,0.39409,0.3988299999999999
6,0.285935,0.40843,0.411585,0.39827,0.345845,0.3744,0.41317,0.40911,0.34027,0.4107,0.407505,0.408825,0.3692,0.37967,0.4081,0.408505
7,0.2966999999999999,0.42684,0.41902,0.41624,0.3614,0.3842,0.42458,0.42144,0.34874,0.42176,0.4242999999999999,0.43184,0.38328,0.39104,0.41278,0.4174
8,0.308535,0.447145,0.446165,0.4474999999999999,0.373145,0.3966949999999999,0.430545,0.44118,0.36129,0.426445,0.44119,0.4490249999999999,0.3941249999999999,0.402935,0.417635,0.43137
9,0.31645,0.474,0.4704,0.4742499999999999,0.37825,0.4057,0.4448999999999999,0.46585,0.37185,0.43875,0.45275,0.4622,0.40205,0.4093,0.4257499999999999,0.4396
10,0.32682,0.484355,0.48591,0.512255,0.3863,0.415975,0.451455,0.47384,0.382365,0.454155,0.465755,0.4714549999999999,0.40931,0.416555,0.43291,0.445965
11,0.33756,0.4957999999999999,0.5153,0.52204,0.39392,0.42356,0.4612199999999999,0.4851199999999999,0.3871,0.4678,0.46902,0.47602,0.41456,0.42496,0.44044,0.45314
12,0.3441,0.504,0.5206,0.5266649999999999,0.40506,0.4351649999999999,0.472625,0.497065,0.39582,0.474165,0.47483,0.479165,0.4181,0.431495,0.4472649999999999,0.4573
13,0.35294,0.5119900000000001,0.52791,0.5302,0.4113,0.4434,0.48024,0.50647,0.40267,0.47727,0.4835,0.48456,0.42347,0.4358,0.4502,0.46502
14,0.360825,0.517925,0.5332,0.535,0.41765,0.4485,0.48685,0.5160750000000001,0.41025,0.4808,0.488175,0.493775,0.42845,0.44185,0.454675,0.471375
15,0.36846,0.52366,0.53608,0.5423,0.42368,0.45538,0.49122,0.5197200000000001,0.4148,0.4847,0.49334,0.50628,0.43276,0.44708,0.4597,0.47628
16,0.37578,0.53024,0.5430550000000001,0.5529850000000001,0.429,0.462325,0.496485,0.524625,0.4188,0.48797,0.498585,0.512385,0.438185,0.4516,0.4642,0.480585
17,0.3812,0.53669,0.5463,0.5578,0.43448,0.46839,0.50329,0.52919,0.4230899999999999,0.4946799999999999,0.5024,0.51828,0.4436799999999999,0.4564,0.46839,0.4844799999999999
18,0.38819,0.5417949999999999,0.553295,0.56,0.44299,0.47479,0.507895,0.53519,0.43037,0.4987,0.506595,0.52749,0.45047,0.459685,0.472395,0.488895
19,0.3936,0.5467,0.5569,0.5628,0.4506,0.482,0.5131,0.54,0.4344,0.503,0.5135,0.5345,0.4559,0.4658,0.4798,0.4978
20,0.4019049999999999,0.550605,0.559705,0.5664,0.4589049999999999,0.4899,0.5174,0.5448,0.43861,0.507205,0.518715,0.539615,0.4613049999999999,0.47041,0.48743,0.50361
21,0.40981,0.5547,0.5633,0.5704,0.4657,0.4964,0.5251,0.54834,0.4439,0.51481,0.53362,0.5441,0.46525,0.4749,0.49254,0.5092
22,0.413815,0.559515,0.5660149999999999,0.5741,0.472315,0.50113,0.53283,0.55216,0.4476,0.5191,0.54113,0.548615,0.471215,0.4789,0.49746,0.511115
23,0.41834,0.56282,0.5713,0.5848599999999999,0.47728,0.50742,0.5419200000000001,0.5547,0.4522,0.52322,0.54726,0.55782,0.4764,0.48394,0.5035599999999999,0.51332
24,0.42435,0.56925,0.573725,0.5918,0.4852,0.511825,0.5485249999999999,0.55805,0.45835,0.5311250000000001,0.550575,0.5614250000000001,0.48025,0.488825,0.511225,0.51925
25,0.42983,0.57276,0.5767,0.59373,0.49333,0.5166,0.55386,0.56176,0.46466,0.53623,0.554,0.5655,0.48513,0.49549,0.52052,0.5239
26,0.436905,0.57831,0.580735,0.5976,0.49697,0.519435,0.559535,0.566435,0.468435,0.543335,0.556535,0.569935,0.489135,0.499835,0.527635,0.530635
27,0.44426,0.58386,0.5860600000000001,0.59974,0.50168,0.52388,0.5633,0.57064,0.47266,0.55202,0.56322,0.57284,0.49354,0.50578,0.53174,0.5344
28,0.450045,0.58819,0.5968899999999999,0.61039,0.507825,0.529245,0.5675,0.5739,0.4766,0.55989,0.5698899999999999,0.5756,0.497845,0.510135,0.5353,0.5398
29,0.45835,0.5925,0.6039,0.6154999999999999,0.5128,0.5339499999999999,0.57025,0.5768,0.48275,0.56585,0.5756,0.57775,0.50335,0.5146,0.5391,0.54495
30,0.4628549999999999,0.5975,0.6106550000000001,0.620055,0.517765,0.539,0.573055,0.581855,0.4883949999999999,0.5699099999999999,0.5793,0.5802550000000001,0.5081,0.5197550000000001,0.542655,0.5479
31,0.46926,0.6011799999999999,0.6172599999999999,0.62472,0.5238,0.5438,0.57656,0.58634,0.49448,0.5721,0.58276,0.5833200000000001,0.5116,0.52296,0.54586,0.55152
32,0.47536,0.60503,0.620765,0.628965,0.5311800000000001,0.5492,0.579465,0.591465,0.4995,0.5753,0.5876,0.5859,0.515365,0.526365,0.5486,0.557165
33,0.48407,0.61177,0.62394,0.632,0.5379,0.5555100000000001,0.583,0.5951,0.50364,0.5804,0.59157,0.5895,0.5191,0.5306700000000001,0.5515,0.56347
34,0.490975,0.61765,0.6274,0.635875,0.5434749999999999,0.5606749999999999,0.5859,0.6011249999999999,0.5074749999999999,0.585075,0.5942,0.59295,0.5243,0.5343,0.5549,0.5749749999999999
35,0.4974,0.62098,0.6330399999999999,0.6405799999999999,0.54936,0.5658599999999999,0.5891,0.60886,0.51166,0.5891799999999999,0.59658,0.5962,0.52796,0.53886,0.55868,0.5836399999999999
36,0.5033549999999999,0.6251,0.6358,0.6453,0.5547549999999999,0.57197,0.591785,0.61377,0.516,0.59397,0.5985,0.599,0.5329,0.544485,0.5612,0.5912850000000001
37,0.51319,0.6318600000000001,0.63849,0.6503,0.5589,0.5789799999999999,0.5954900000000001,0.6181,0.52188,0.6006,0.6016,0.6016900000000001,0.5368900000000001,0.5471900000000001,0.5657,0.59648
38,0.5198,0.6366,0.644095,0.654995,0.562295,0.584385,0.59999,0.6252949999999999,0.5257900000000001,0.60719,0.6061,0.6055,0.541195,0.551495,0.5713,0.6
39,0.526,0.6395,0.6476,0.6639,0.5686,0.5895,0.6042,0.6304,0.5293,0.6116,0.6089,0.6087,0.5459,0.5543,0.5748,0.6028
40,0.53045,0.6431,0.6520050000000001,0.66911,0.57361,0.5949,0.608305,0.636215,0.535105,0.6147,0.613015,0.6130099999999999,0.5500050000000001,0.558935,0.5795,0.6068
41,0.5398,0.64662,0.6584,0.6726,0.5792200000000001,0.5985,0.614,0.6392,0.54091,0.61901,0.6176,0.619,0.55552,0.5629099999999999,0.5859,0.6096
42,0.54676,0.64963,0.664115,0.6739,0.585015,0.6027,0.617315,0.64243,0.545015,0.622515,0.6211450000000001,0.6226450000000001,0.559415,0.566815,0.59133,0.6134
43,0.5530200000000001,0.65302,0.6707,0.67672,0.59014,0.6077400000000001,0.62212,0.64702,0.5490600000000001,0.6249,0.6256200000000001,0.6268600000000001,0.5642,0.5725,0.59752,0.61842
44,0.561375,0.6581,0.68,0.6816,0.5954,0.6126,0.627075,0.6511,0.554025,0.6272249999999999,0.6297,0.63,0.568575,0.5759,0.6048,0.6231
45,0.56878,0.66413,0.6929,0.68679,0.60175,0.6198899999999999,0.63393,0.6541,0.55973,0.63013,0.63283,0.63349,0.57183,0.58145,0.6131599999999999,0.62615
46,0.5785049999999999,0.669735,0.6974,0.689235,0.60734,0.6239049999999999,0.641705,0.658435,0.56487,0.6339,0.6356,0.63927,0.5772,0.586735,0.617705,0.62907
47,0.58334,0.6774,0.7004,0.6925,0.61464,0.6283,0.6487599999999999,0.66598,0.57024,0.6369,0.64184,0.6432,0.58214,0.5925799999999999,0.6239199999999999,0.6324399999999999
48,0.590845,0.682445,0.70219,0.6951,0.6201150000000001,0.634045,0.656045,0.6729900000000001,0.574445,0.642,0.6447,0.645345,0.5859449999999999,0.5991,0.62809,0.635745
49,0.59665,0.69065,0.7056,0.7005,0.62425,0.6394,0.6619999999999999,0.6789,0.5793,0.6464,0.64625,0.64935,0.5892,0.6052,0.633,0.6388
50,0.605465,0.69834,0.707955,0.705655,0.629855,0.6437,0.66762,0.682855,0.584755,0.6497,0.649655,0.65231,0.59551,0.61071,0.63881,0.6424
51,0.6119,0.71082,0.7117,0.7111000000000001,0.6360800000000001,0.6480600000000001,0.6729200000000001,0.6865,0.59086,0.65236,0.65312,0.655,0.60012,0.61714,0.64326,0.64666
52,0.6179950000000001,0.7176950000000001,0.715565,0.71496,0.641665,0.652065,0.67952,0.69043,0.5956,0.6559950000000001,0.65593,0.6581950000000001,0.606565,0.62383,0.6482600000000001,0.649965
53,0.62431,0.72314,0.7171,0.71947,0.64817,0.6575,0.68457,0.69557,0.6007100000000001,0.6584,0.65907,0.6614,0.6117,0.6285,0.65134,0.6518
54,0.63085,0.7284250000000001,0.7189,0.725275,0.65265,0.6627000000000001,0.6931000000000002,0.6986,0.6068,0.660375,0.661525,0.66355,0.6188750000000002,0.6329000000000001,0.6548,0.6545
55,0.63944,0.7346400000000001,0.72196,0.7314600000000002,0.6576799999999999,0.668,0.7001,0.70648,0.61226,0.66248,0.6643,0.66608,0.6266600000000001,0.6397600000000001,0.65866,0.65678
56,0.645385,0.738,0.7255,0.7366100000000001,0.6640250000000001,0.67327,0.706885,0.710925,0.617285,0.66517,0.6667,0.6683,0.6326700000000001,0.645885,0.661985,0.661685
57,0.6525,0.741,0.7347,0.7416,0.6707599999999999,0.6808699999999999,0.7117699999999999,0.71866,0.62249,0.6672899999999999,0.6695,0.6697899999999999,0.639,0.6519,0.665,0.66509
58,0.660095,0.7433,0.739,0.7455,0.6781,0.6868949999999999,0.718595,0.724495,0.628995,0.6705949999999999,0.6717,0.6708,0.6454,0.6575,0.669495,0.6716799999999999
59,0.666,0.7477,0.745,0.7505,0.685,0.6935,0.7231,0.7285,0.6332,0.6735,0.6744,0.6728,0.6504,0.6644,0.6718,0.6761
60,0.6721050000000001,0.752305,0.751105,0.755,0.690615,0.700105,0.7265,0.736525,0.637715,0.6768,0.678,0.6761050000000001,0.65752,0.670515,0.6749,0.68072
