percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.139616,0.0,0.0,0.0,0.2041,0.222608,0.242905,0.244976,0.3319919999999999,0.333336,0.333048,0.342408,0.339632,0.3319919999999999,0.335636,0.3319919999999999,0.333336,0.33358,0.333336,0.333592,0.343617,0.35022,0.352344,0.352675,0.3500209999999999,0.343507,0.35022,0.342744,0.35022,0.341721,0.35022,0.350155,0.328202,0.337512,0.335344,0.337512,0.337512,0.328202,0.337512,0.328202,0.337512,0.328224,0.337512,0.333732,0.195604,0.0,0.0,0.0,0.212606,0.22181,0.239506,0.233458
1,0.167608,0.263744,0.0,0.0,0.223912,0.239204,0.260014,0.267976,0.3598,0.3663,0.359656,0.364364,0.368612,0.359864,0.366364,0.359864,0.3663,0.359864,0.3663,0.359864,0.369922,0.368766,0.369922,0.369922,0.370044,0.369922,0.368766,0.369822,0.368766,0.369644,0.368766,0.369366,0.357052,0.359816,0.360216,0.3602,0.359912,0.357052,0.359816,0.356712,0.359816,0.353828,0.359816,0.359416,0.218804,0.251876,0.2175359999999988,0.0,0.232932,0.239428,0.25,0.25448
2,0.188612,0.2773819999999999,0.266464,0.26291,0.235836,0.2496239999999999,0.278024,0.2848819999999999,0.380376,0.377292,0.3812919999999999,0.381892,0.3811,0.380384,0.3776839999999999,0.3810719999999999,0.377292,0.3810719999999999,0.377292,0.380896,0.378333,0.376765,0.377266,0.377932,0.378133,0.378333,0.376765,0.377632,0.376765,0.377566,0.376765,0.377733,0.374718,0.3747359999999999,0.376078,0.378818,0.378424,0.374042,0.3747359999999999,0.372442,0.3747359999999999,0.372118,0.3747359999999999,0.375024,0.2334,0.266984,0.260528,0.2542,0.250512,0.2522299999999999,0.256006,0.265982
3,0.200216,0.298652,0.293328,0.273864,0.246208,0.26244,0.29362,0.295,0.390428,0.3871279999999999,0.389268,0.389784,0.389828,0.390428,0.3872,0.3905,0.3871279999999999,0.3905,0.3871279999999999,0.390212,0.3973,0.386344,0.393444,0.39292,0.389844,0.3973,0.386344,0.39642,0.386344,0.393288,0.386344,0.39362,0.386412,0.384708,0.391016,0.390508,0.386988,0.38642,0.384708,0.384932,0.384708,0.38642,0.384708,0.38804,0.243416,0.2717759999999999,0.2651,0.263952,0.260108,0.265508,0.276308,0.275652
4,0.21031,0.31074,0.30997,0.29177,0.2551,0.27212,0.30281,0.30274,0.39812,0.3959,0.39776,0.39618,0.39666,0.39812,0.39688,0.39868,0.3959,0.39906,0.3959,0.39906,0.407565,0.399565,0.403865,0.40221,0.4018,0.40682,0.399565,0.40621,0.399565,0.40621,0.399565,0.40621,0.4035399999999999,0.39664,0.4039399999999999,0.40401,0.40131,0.40304,0.39664,0.40291,0.39664,0.40427,0.39664,0.40515,0.25383,0.27721,0.27408,0.2699,0.26821,0.27491,0.28741,0.2828
5,0.222224,0.320164,0.3217,0.316064,0.264912,0.282824,0.310406,0.313064,0.405292,0.4038839999999999,0.404944,0.405092,0.405476,0.405292,0.404928,0.405484,0.4038839999999999,0.405484,0.4038839999999999,0.405092,0.4171,0.405732,0.412198,0.411098,0.409428,0.416366,0.405732,0.416366,0.405732,0.41563,0.405732,0.415028,0.4144359999999999,0.404824,0.4128,0.412024,0.409524,0.41476,0.40506,0.4144359999999999,0.40506,0.414,0.404824,0.4144,0.260412,0.293464,0.287364,0.2808,0.275236,0.283412,0.2941,0.294
6,0.231356,0.327516,0.328432,0.329758,0.2744,0.2925,0.318207,0.326358,0.410924,0.4085,0.412648,0.41172,0.411424,0.410924,0.4086,0.411,0.4085,0.4120959999999999,0.4085,0.4120479999999999,0.423477,0.412854,0.418554,0.417654,0.416431,0.4227,0.412854,0.422677,0.412854,0.422354,0.412854,0.421854,0.42037,0.41147,0.419714,0.41777,0.415242,0.42037,0.4121,0.42037,0.411928,0.4203,0.41147,0.420128,0.267414,0.298574,0.2904,0.286158,0.282742,0.293714,0.300514,0.303632
7,0.2407,0.3332,0.337752,0.3363,0.281064,0.299016,0.321824,0.3311,0.4158,0.413556,0.4174,0.417656,0.417056,0.4158,0.413812,0.415856,0.413556,0.416612,0.413556,0.4163,0.428888,0.418452,0.4245279999999999,0.4240879999999999,0.421876,0.4288,0.418452,0.428488,0.418452,0.4265759999999999,0.418452,0.4264,0.425116,0.4168,0.425016,0.422064,0.420516,0.425216,0.4174,0.425116,0.416896,0.425116,0.4168,0.425016,0.273916,0.3093079999999999,0.3068559999999999,0.301352,0.290616,0.301516,0.307316,0.310052
8,0.2486179999999999,0.3436,0.342546,0.3401,0.291118,0.305918,0.3338089999999999,0.336546,0.4204,0.417576,0.4208,0.421,0.4210879999999999,0.4204,0.417888,0.420488,0.417576,0.4209759999999999,0.417576,0.4208,0.4331969999999999,0.422298,0.429898,0.427199,0.425696,0.4329,0.4223989999999999,0.4332,0.422298,0.4309989999999999,0.422298,0.4309,0.432518,0.4206359999999999,0.431272,0.427218,0.424354,0.432518,0.4208,0.432672,0.4208,0.43149,0.4206359999999999,0.431918,0.279518,0.317446,0.313046,0.310292,0.298054,0.308118,0.314036,0.316346
9,0.25602,0.34812,0.34624,0.344,0.29684,0.31496,0.34041,0.34234,0.42384,0.42182,0.42472,0.42494,0.42554,0.42384,0.4224,0.42402,0.42182,0.4245,0.42182,0.4252,0.43931,0.42736,0.43262,0.43051,0.42922,0.43933,0.42736,0.43933,0.42736,0.43684,0.42736,0.43412,0.43762,0.42422,0.43612,0.43154,0.42772,0.43762,0.42432,0.43728,0.42432,0.43634,0.42422,0.4372999999999999,0.28522,0.32354,0.3193,0.31644,0.30252,0.31268,0.32264,0.32256
10,0.262688,0.352,0.349034,0.347268,0.304022,0.3234,0.3461,0.3514339999999999,0.428904,0.4247,0.430404,0.428708,0.4296,0.429052,0.426,0.429052,0.4247,0.429052,0.4247,0.431052,0.4432,0.430721,0.436363,0.433821,0.432384,0.443221,0.430721,0.443,0.430721,0.441463,0.430721,0.439142,0.441622,0.4296439999999999,0.4393,0.4362439999999999,0.432144,0.441622,0.429844,0.4414,0.429844,0.440988,0.4296439999999999,0.441622,0.291122,0.328334,0.3252339999999999,0.3222339999999999,0.3075,0.317766,0.326744,0.3302
