percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.018455,0.027955,0.138255,0.1381,0.0223,0.02191,0.0234,0.0233,0.046,0.035255,0.042,0.0401,0.036766,0.046,0.035255,0.0457329999999999,0.035255,0.044966,0.035255,0.042877,0.050711,0.0450109999999999,0.0484,0.046511,0.0452329999999999,0.0506109999999999,0.0450109999999999,0.050511,0.0450109999999999,0.0501,0.0450109999999999,0.049233,0.0515,0.046968,0.0494,0.048384,0.047384,0.0515,0.046968,0.0515,0.046968,0.0514,0.046968,0.050142,0.0228,0.0305,0.0428349999999999,0.0948599999999999,0.023655,0.0244099999999999,0.02831,0.0281
1,0.02581,0.15361,0.16051,0.1683,0.025,0.02573,0.0281299999999999,0.033,0.0544879999999999,0.049322,0.050444,0.049722,0.0494,0.0544879999999999,0.049322,0.0544879999999999,0.049322,0.053622,0.049322,0.051854,0.062088,0.0512,0.055444,0.05321,0.0513659999999999,0.062,0.0512,0.06141,0.0512,0.0576659999999999,0.0512,0.056266,0.059084,0.0515,0.054,0.053,0.051584,0.059084,0.0515,0.057884,0.0515,0.056984,0.0515,0.055668,0.02741,0.0924999999999999,0.15543,0.16141,0.02841,0.03052,0.03041,0.03282
2,0.0343,0.158465,0.1652,0.174065,0.0359,0.040265,0.13273,0.1459649999999999,0.127431,0.168265,0.156833,0.161294,0.165897,0.127431,0.168265,0.127431,0.168265,0.1369989999999999,0.168265,0.146332,0.155061,0.1814619999999999,0.170927,0.174496,0.178366,0.155061,0.1814619999999999,0.1595,0.1814619999999999,0.161333,0.1814619999999999,0.168165,0.0821559999999999,0.0588259999999999,0.0733159999999999,0.065652,0.05943,0.0821559999999999,0.0588259999999999,0.0821559999999999,0.0588259999999999,0.076334,0.0588259999999999,0.0744099999999999,0.0356,0.152665,0.162565,0.1694,0.0394299999999999,0.03703,0.1071099999999999,0.144365
3,0.06204,0.16282,0.1672199999999999,0.1780999999999999,0.0992199999999999,0.1183599999999999,0.13982,0.15722,0.156684,0.1881,0.176132,0.182408,0.184888,0.157852,0.1881,0.161008,0.1881,0.164444,0.1881,0.169776,0.179944,0.195,0.18342,0.188632,0.191352,0.179844,0.195,0.180808,0.195,0.18022,0.195,0.181176,0.157536,0.177168,0.166608,0.171608,0.175872,0.158348,0.177168,0.158836,0.177168,0.16154,0.177168,0.165572,0.0995799999999999,0.1623,0.16734,0.17492,0.1155199999999999,0.1240599999999999,0.13892,0.1541
4,0.0802,0.165275,0.171575,0.183775,0.1135,0.12635,0.14355,0.164,0.17714,0.197755,0.18772,0.19282,0.1957,0.17827,0.197755,0.180685,0.197755,0.18536,0.197755,0.185765,0.189655,0.20191,0.193655,0.197755,0.20001,0.18992,0.20191,0.19032,0.20191,0.19202,0.20191,0.1906,0.17731,0.19402,0.1843199999999999,0.18905,0.19213,0.17825,0.19402,0.17891,0.19402,0.1815,0.19402,0.18162,0.1155249999999999,0.165175,0.170875,0.177975,0.1249749999999999,0.1296,0.148525,0.157325
5,0.0904,0.1669,0.176,0.18706,0.122,0.13349,0.15023,0.16696,0.188366,0.2034,0.19723,0.200966,0.203,0.189532,0.2034,0.192298,0.2034,0.196598,0.2034,0.1946,0.1952,0.2068,0.201098,0.2042,0.206598,0.195466,0.2068,0.196766,0.2068,0.1983319999999999,0.2068,0.198498,0.1859,0.2005,0.19326,0.198256,0.1996,0.1867079999999999,0.2005,0.189152,0.2005,0.190404,0.2005,0.1919159999999999,0.12343,0.1683,0.1746,0.17933,0.1325,0.14013,0.15463,0.1622
6,0.0972,0.169385,0.1816,0.188955,0.1269,0.138155,0.160185,0.1698,0.1935,0.207977,0.205477,0.207931,0.2089,0.194477,0.207977,0.1976,0.207977,0.201554,0.207977,0.2019,0.199308,0.210477,0.2072,0.209785,0.211777,0.199777,0.210477,0.200954,0.210477,0.2027,0.210477,0.203577,0.1932,0.206976,0.200894,0.2047,0.206682,0.194494,0.206976,0.195688,0.206976,0.197688,0.206976,0.198282,0.127885,0.1724699999999999,0.176285,0.1811,0.139625,0.146185,0.158755,0.16607
7,0.10324,0.1732999999999999,0.18834,0.19288,0.13004,0.14292,0.16538,0.1719,0.197488,0.2147879999999999,0.210576,0.2134,0.214664,0.1983879999999999,0.2147879999999999,0.200976,0.2147879999999999,0.2047,0.2147879999999999,0.2079,0.203,0.2151,0.2098,0.213976,0.2147879999999999,0.2036879999999999,0.2151,0.2046879999999999,0.2151,0.2056,0.2151,0.2071,0.197536,0.2112,0.207336,0.209736,0.211072,0.198072,0.2112,0.200236,0.2112,0.202036,0.2112,0.203936,0.13278,0.17514,0.178,0.18244,0.14414,0.1513,0.1626,0.17018
8,0.108495,0.177785,0.191495,0.195195,0.1338849999999999,0.146695,0.1699,0.174695,0.201098,0.219899,0.213799,0.217398,0.218799,0.2018,0.219899,0.2037,0.219899,0.209196,0.219899,0.210799,0.205298,0.2185,0.2127,0.2155,0.217,0.206198,0.2185,0.207,0.2185,0.2107939999999999,0.2185,0.2096,0.2005,0.213778,0.210278,0.2127,0.2131,0.2018,0.213778,0.204178,0.213778,0.2071559999999999,0.213778,0.2078,0.1372,0.1764949999999999,0.1822,0.184195,0.14969,0.1562,0.166895,0.1731
9,0.1152499999999999,0.1861499999999999,0.19325,0.19705,0.13715,0.1493499999999999,0.1739,0.178,0.20351,0.2222,0.2164,0.22,0.22141,0.20482,0.2222,0.2065,0.2222,0.21303,0.2222,0.21472,0.20791,0.22061,0.21581,0.21822,0.2198,0.2091,0.22061,0.2098,0.22061,0.21381,0.22061,0.2142,0.20398,0.2166,0.21292,0.21502,0.21564,0.2059,0.2166,0.20694,0.2166,0.21074,0.2166,0.21142,0.1416,0.17905,0.18395,0.1853,0.15395,0.15975,0.16845,0.1763
