percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.073796,0.19511,0.199631,0.211998,0.104708,0.145331,0.150593,0.164317,0.234645,0.232778,0.235267,0.235656,0.235567,0.235267,0.232778,0.235978,0.232778,0.2381889999999999,0.232778,0.2369,0.254462,0.253931,0.250231,0.2516,0.253462,0.254462,0.253931,0.2548,0.253931,0.252462,0.253931,0.2504409999999999,0.2415,0.259102,0.251905,0.2563009999999999,0.258904,0.241606,0.259102,0.242902,0.259102,0.253502,0.259102,0.253401,0.1417479999999999,0.2302,0.238331,0.245479,0.175082,0.194531,0.217396,0.230531
1,0.088486,0.205086,0.213124,0.228286,0.135934,0.164962,0.1877,0.196524,0.240356,0.240178,0.24199,0.2419,0.2413,0.240878,0.240178,0.241178,0.240178,0.244856,0.240178,0.244856,0.2591,0.257,0.257,0.2572,0.257862,0.2591,0.257,0.259286,0.257,0.260248,0.257,0.258886,0.252,0.264906,0.262302,0.2639,0.263506,0.254302,0.264906,0.255306,0.264906,0.260306,0.264906,0.263208,0.164126,0.242924,0.2530099999999999,0.260158,0.193072,0.206386,0.226886,0.23481
2,0.1030929999999999,0.2152,0.220693,0.2572,0.1534,0.172986,0.1926,0.209693,0.248635,0.244568,0.251,0.2488,0.2486,0.249367,0.244568,0.2497339999999999,0.244568,0.2514,0.244568,0.252534,0.265372,0.2617,0.265093,0.2626,0.2619,0.265958,0.2617,0.264793,0.2617,0.266986,0.2617,0.2668,0.259003,0.269006,0.268218,0.2677,0.2699,0.260306,0.269006,0.261403,0.269006,0.2678,0.269006,0.270406,0.179916,0.261772,0.2654,0.2790569999999999,0.201793,0.2135,0.2379369999999999,0.257793
3,0.110548,0.21922,0.251764,0.2628439999999999,0.165272,0.177972,0.200324,0.22312,0.253956,0.252712,0.256768,0.255256,0.254268,0.254168,0.252712,0.25508,0.252712,0.256956,0.252712,0.261012,0.269648,0.266324,0.270024,0.268548,0.266824,0.2698,0.266324,0.269524,0.266324,0.272124,0.266324,0.2724479999999999,0.264804,0.2737,0.273328,0.272804,0.274804,0.265008,0.2737,0.266708,0.2737,0.272408,0.2737,0.275004,0.189324,0.266924,0.2709479999999999,0.286824,0.2082,0.217272,0.244648,0.2658
4,0.11921,0.24691,0.260865,0.2755,0.17011,0.184955,0.20671,0.2309,0.25799,0.257135,0.266145,0.26279,0.259245,0.258525,0.257135,0.260735,0.257135,0.26479,0.257135,0.266445,0.2738,0.27121,0.278675,0.27571,0.274,0.2739,0.27121,0.273,0.27121,0.2766,0.27121,0.27822,0.2688,0.28112,0.2778049999999999,0.280105,0.280005,0.2696,0.28112,0.271,0.28112,0.2761,0.28112,0.278215,0.195565,0.2734,0.27492,0.28881,0.212665,0.22111,0.24931,0.269055
5,0.124844,0.255218,0.2657159999999999,0.2789,0.1764,0.189444,0.2175019999999999,0.2377,0.2653,0.261602,0.2705,0.2682,0.267034,0.265836,0.261602,0.267,0.261602,0.268202,0.261602,0.2716,0.277,0.276958,0.284,0.282086,0.278802,0.277,0.276958,0.276572,0.276958,0.28,0.276958,0.2842,0.272706,0.285718,0.284606,0.2848,0.285306,0.272806,0.285718,0.274806,0.285718,0.2783299999999999,0.285718,0.2836,0.200286,0.2766,0.2831,0.2902,0.216,0.223886,0.253572,0.272286
6,0.132936,0.263,0.2719169999999999,0.282051,0.181217,0.194319,0.223851,0.2504,0.268546,0.267615,0.276415,0.273769,0.2714,0.2692,0.267615,0.269992,0.267615,0.273315,0.267615,0.2768,0.279951,0.2865,0.287834,0.287,0.286551,0.280234,0.2865,0.2796,0.2865,0.282951,0.2865,0.288117,0.275714,0.2907,0.2895069999999999,0.2894,0.289307,0.2761,0.2907,0.2772,0.2907,0.282,0.2907,0.2879069999999999,0.2047,0.279117,0.2871019999999999,0.2915,0.219217,0.228117,0.2571,0.276951
7,0.142196,0.2714,0.2752,0.285548,0.187148,0.1998,0.2293,0.2545,0.2727,0.271656,0.280212,0.27856,0.2758359999999999,0.2729,0.271656,0.274212,0.271656,0.2769359999999999,0.271656,0.280348,0.284092,0.290096,0.2907,0.290648,0.2905,0.2843,0.290096,0.2833,0.290096,0.285848,0.290096,0.290548,0.279524,0.2938,0.292008,0.293,0.293108,0.2798,0.2938,0.281008,0.2938,0.284008,0.2938,0.290708,0.207948,0.282096,0.2901,0.2929,0.223292,0.231,0.263548,0.280896
8,0.1488789999999999,0.2754,0.281379,0.289358,0.190479,0.2031,0.2350789999999999,0.259079,0.276402,0.2768009999999999,0.2838,0.2829,0.2795,0.276902,0.2768009999999999,0.2784009999999999,0.2768009999999999,0.2813,0.2768009999999999,0.2838,0.286479,0.292979,0.293279,0.292679,0.2929,0.286479,0.292979,0.2856,0.292979,0.288579,0.292979,0.292779,0.282309,0.296418,0.294918,0.2951,0.2956089999999999,0.282418,0.296418,0.2839,0.296418,0.287209,0.296418,0.293309,0.212579,0.2863,0.292679,0.293979,0.2267,0.235279,0.267316,0.284458
9,0.1541199999999999,0.27831,0.28432,0.29181,0.19343,0.20541,0.23991,0.26474,0.2803,0.27979,0.28732,0.2861,0.28289,0.28097,0.27979,0.28209,0.27979,0.2834899999999999,0.27979,0.28658,0.2894,0.29562,0.29551,0.2955,0.29593,0.289,0.29562,0.28851,0.29562,0.29041,0.29562,0.2948,0.28531,0.3004,0.29801,0.29883,0.2991,0.28587,0.3004,0.28821,0.3004,0.2902,0.3004,0.2951,0.21631,0.2895,0.2941,0.2956,0.2293,0.23912,0.27031,0.2862
