percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0081,0.018281,0.019,0.0192,0.011762,0.0137,0.0163,0.0175,0.045133,0.0667,0.0609,0.063766,0.066233,0.0452329999999999,0.0667,0.045433,0.0667,0.050233,0.0667,0.055933,0.015,0.0176,0.017881,0.018281,0.0164,0.0171,0.0171,0.0172
1,0.0097,0.019,0.0195,0.0196,0.0136,0.0148,0.0171,0.018,0.0492,0.0725,0.0652,0.068866,0.071266,0.0492,0.0725,0.0495,0.0725,0.053432,0.0725,0.060266,0.016,0.0184,0.0189,0.018862,0.017462,0.017662,0.017662,0.018
2,0.010686,0.0193,0.0197,0.0199,0.0148,0.0163,0.017586,0.0183,0.052,0.0787979999999999,0.0675949999999999,0.074999,0.077698,0.052,0.0787979999999999,0.052896,0.0787979999999999,0.056799,0.0787979999999999,0.063099,0.0166,0.0194,0.0192,0.019743,0.0181,0.0184,0.0191,0.0193
3,0.0118,0.019524,0.019924,0.020224,0.0154,0.0169,0.0181,0.0186,0.0544,0.082632,0.0716,0.078296,0.0822,0.054632,0.082632,0.0548,0.082632,0.0585,0.082632,0.065232,0.017524,0.0197,0.0202,0.022224,0.0185,0.019,0.019624,0.0198
4,0.012405,0.0198,0.0201,0.021005,0.016,0.0176,0.0183,0.019,0.0557,0.085865,0.074365,0.0803649999999999,0.0848,0.0559,0.085865,0.0561,0.085865,0.0602,0.085865,0.0676649999999999,0.0184,0.0212,0.0236,0.024105,0.019,0.0196,0.0204,0.020405
5,0.0132,0.0201,0.0205,0.0216,0.0166,0.017986,0.0187,0.0193,0.056798,0.0885,0.075998,0.082,0.086298,0.0574,0.0885,0.058,0.0885,0.0616,0.0885,0.0688,0.019,0.0232,0.024086,0.0251,0.0194,0.0201,0.020686,0.0213
6,0.0139,0.0204,0.0209,0.023,0.0172,0.0183,0.0191,0.0196,0.0582,0.0901,0.078,0.083531,0.087631,0.0587,0.0901,0.059231,0.0901,0.0629,0.0901,0.0707,0.0196,0.0241,0.0248,0.025567,0.0199,0.020467,0.021,0.0224
7,0.0146,0.0208,0.0217,0.0232,0.0178,0.0187,0.0195,0.0201,0.0593,0.0913,0.079164,0.0846,0.089228,0.059864,0.0913,0.0605,0.0913,0.0645,0.0913,0.072,0.0201,0.0245,0.0254,0.0263,0.0203,0.021,0.021748,0.0228
8,0.0153,0.0212,0.023,0.0233,0.0184,0.0192,0.0198,0.020429,0.0608,0.0921,0.0801969999999999,0.0854,0.0901,0.060897,0.0921,0.061994,0.0921,0.0657,0.0921,0.073097,0.0205,0.0248,0.0257,0.0267,0.0209,0.0213289999999999,0.0222,0.0235
9,0.0157,0.0216,0.0235,0.02351,0.0187,0.0196,0.0201,0.0208,0.062,0.0928,0.0813,0.08633,0.091,0.0623,0.0928,0.0631,0.0928,0.06683,0.0928,0.07453,0.02091,0.0251,0.026,0.0269,0.0215,0.0219,0.0225,0.024
