percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.06792,0.1316,0.14266,0.0,0.10053,0.10998,0.12316,0.12279,0.166028,0.168266,0.17498,0.175352,0.173052,0.1658379999999999,0.168266,0.166408,0.168266,0.169328,0.168266,0.172218,0.1844,0.2006339999999999,0.202282,0.203446,0.2034699999999999,0.1844,0.2006339999999999,0.186576,0.2006339999999999,0.196594,0.2006339999999999,0.198482,0.184096,0.203099,0.202632,0.203833,0.203333,0.184096,0.203099,0.186466,0.203099,0.197066,0.203099,0.199794,0.12116,0.15449,0.17083,0.0,0.13017,0.13633,0.14603,0.1484
1,0.08512,0.14486,0.15972,0.168,0.11266,0.12532,0.13286,0.14076,0.176752,0.176752,0.1824,0.182452,0.180576,0.176952,0.176752,0.1775,0.176752,0.179108,0.176752,0.181876,0.1978,0.208176,0.207588,0.209276,0.2094,0.1978,0.208176,0.198416,0.208176,0.203576,0.208176,0.206388,0.193764,0.2136,0.2099319999999999,0.2124,0.213732,0.193764,0.2136,0.196466,0.2136,0.204566,0.2136,0.208866,0.1282,0.1745,0.1737,0.17996,0.13868,0.1454,0.15426,0.15684
2,0.0942,0.154,0.1665,0.1729,0.12049,0.1329,0.14059,0.14588,0.1825419999999999,0.182614,0.1875,0.1870419999999999,0.18464,0.1828,0.182614,0.1831,0.182614,0.184556,0.182614,0.187328,0.206948,0.212182,0.2108,0.212382,0.213482,0.206702,0.212182,0.205256,0.212182,0.207764,0.212182,0.209646,0.203399,0.220097,0.215698,0.217796,0.219098,0.203399,0.220097,0.2035,0.220097,0.209599,0.220097,0.2147,0.13607,0.1772,0.18118,0.1860899999999999,0.1449,0.1517899999999999,0.16344,0.17497
3,0.10116,0.16462,0.17092,0.18072,0.1271,0.1377199999999999,0.1458,0.15298,0.188,0.188,0.190552,0.189404,0.1894,0.188,0.188,0.188856,0.188,0.190604,0.188,0.1912039999999999,0.209952,0.2142,0.213952,0.2144,0.215376,0.209776,0.2142,0.209776,0.2142,0.211352,0.2142,0.212676,0.208732,0.223664,0.221196,0.223032,0.2234,0.2088,0.223664,0.2088,0.223664,0.214632,0.223664,0.218732,0.1421,0.18184,0.186,0.18952,0.15128,0.15754,0.1722199999999999,0.17892
4,0.1061,0.16725,0.1742,0.1824,0.1331,0.141,0.1519,0.16555,0.19217,0.1904,0.19369,0.19199,0.19199,0.19217,0.1904,0.1925,0.1904,0.19328,0.1904,0.1938,0.21394,0.217,0.21557,0.2168,0.21687,0.21394,0.217,0.21407,0.217,0.21407,0.217,0.21554,0.2125,0.22723,0.2248649999999999,0.2268,0.227765,0.2127,0.22723,0.2127,0.22723,0.2189299999999999,0.22723,0.223665,0.14675,0.1846,0.1891,0.1923,0.1554,0.1628,0.17545,0.1812
5,0.1113799999999999,0.17208,0.17904,0.18538,0.1367,0.14434,0.1557,0.16976,0.1954,0.194028,0.196528,0.1954,0.195656,0.1954,0.194028,0.195728,0.194028,0.1967,0.194028,0.197012,0.2165639999999999,0.2185639999999999,0.2177279999999999,0.218364,0.219164,0.2165639999999999,0.2185639999999999,0.2162,0.2185639999999999,0.2166,0.2185639999999999,0.217328,0.216794,0.2298,0.228498,0.229596,0.23,0.2170979999999999,0.2298,0.216996,0.2298,0.222998,0.2298,0.226898,0.15078,0.1865,0.1922,0.1952,0.1587,0.16802,0.1799,0.18438
6,0.11601,0.17761,0.1833,0.18793,0.1409,0.14831,0.16304,0.17203,0.199464,0.1959,0.1997,0.198966,0.198466,0.199464,0.1959,0.200098,0.1959,0.2005,0.1959,0.2007,0.219458,0.22,0.219558,0.220058,0.220258,0.219316,0.22,0.219116,0.22,0.219116,0.22,0.2194,0.2214,0.2329,0.230431,0.232193,0.2328,0.2215,0.2329,0.2214,0.2329,0.2254,0.2329,0.229462,0.1537,0.19106,0.19381,0.19753,0.16202,0.17211,0.1838,0.18661
7,0.1207,0.1814,0.1866,0.1916,0.14594,0.15204,0.1689,0.1758,0.2028,0.197904,0.202004,0.201104,0.200204,0.2028,0.197904,0.202804,0.197904,0.202704,0.197904,0.2029,0.2219,0.221504,0.2214,0.222104,0.2217039999999999,0.222,0.221504,0.221852,0.221504,0.221504,0.221504,0.2217039999999999,0.2238639999999999,0.2346639999999999,0.2326639999999999,0.2341,0.2349639999999999,0.2238639999999999,0.2346639999999999,0.2238639999999999,0.2346639999999999,0.2281,0.2346639999999999,0.231964,0.1571,0.19424,0.19594,0.2007,0.1663,0.1759,0.18692,0.19044
8,0.1243399999999999,0.18477,0.19027,0.19507,0.14897,0.15607,0.17317,0.1798,0.2054,0.199642,0.2038,0.203,0.202,0.2054,0.199642,0.2054419999999999,0.199642,0.205242,0.199642,0.2049419999999999,0.2236,0.2232,0.223,0.223446,0.223746,0.223792,0.2232,0.223646,0.2232,0.2232,0.2232,0.2235,0.226694,0.2371,0.2346,0.2359969999999999,0.2373,0.226597,0.2371,0.2267,0.2371,0.231094,0.2371,0.2344,0.1608399999999999,0.1965,0.19997,0.20307,0.17027,0.17957,0.1890399999999999,0.19367
9,0.1276,0.1909,0.194,0.1974,0.1521,0.1596,0.1774,0.1839,0.20748,0.20188,0.20558,0.20448,0.2032,0.20748,0.20188,0.2079,0.20188,0.20758,0.20188,0.2072,0.22534,0.2246,0.22454,0.2246,0.22484,0.22534,0.2246,0.2252,0.2246,0.22514,0.2246,0.2254799999999999,0.23006,0.2388,0.23683,0.23816,0.23943,0.22986,0.2388,0.2302,0.2388,0.23333,0.2388,0.2367,0.1639,0.1983,0.2046,0.2067,0.1734,0.1829,0.1914,0.1955
