percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.103283,0.2681,0.2713,0.277959,0.152576,0.1895069999999999,0.2278379999999999,0.260869,0.285552,0.316216,0.3123,0.3156,0.315952,0.287532,0.316216,0.2884879999999999,0.316216,0.3023679999999999,0.316216,0.311752,0.3058,0.328643,0.326801,0.328143,0.328372,0.3058,0.328643,0.3058,0.328643,0.316043,0.328643,0.325443,0.288665,0.319125,0.31841,0.31841,0.3203499999999999,0.29002,0.319125,0.291365,0.319125,0.3040549999999999,0.319125,0.3173,0.180069,0.2672,0.273738,0.277469,0.204838,0.219176,0.2432969999999999,0.261069
1,0.116,0.2724,0.281028,0.289438,0.174838,0.2068,0.240714,0.266638,0.2980279999999999,0.3264,0.32248,0.325452,0.326128,0.2990759999999999,0.3264,0.303,0.3264,0.3130759999999999,0.3264,0.3212759999999999,0.3162,0.334272,0.3333859999999999,0.334686,0.334986,0.316286,0.334272,0.316172,0.334272,0.3222,0.334272,0.330772,0.29981,0.33092,0.32921,0.33092,0.33181,0.2999,0.33092,0.30144,0.33092,0.31511,0.33092,0.32592,0.192766,0.2708379999999999,0.277538,0.282,0.218076,0.230614,0.2523,0.270538
2,0.1309419999999999,0.278007,0.286707,0.294907,0.1864,0.214307,0.2495139999999999,0.271514,0.308464,0.3331,0.330564,0.332964,0.333464,0.308992,0.3331,0.310564,0.3331,0.318928,0.3331,0.3280559999999999,0.322487,0.3396,0.339529,0.339058,0.339758,0.322274,0.3396,0.322787,0.3396,0.328129,0.3396,0.336129,0.30843,0.3373649999999999,0.3341,0.3364,0.337665,0.30873,0.3373649999999999,0.3126649999999999,0.3373649999999999,0.3234,0.3373649999999999,0.333095,0.2022,0.276507,0.2824,0.286,0.2248,0.237707,0.2617,0.2744
3,0.142452,0.283276,0.294552,0.3011,0.195376,0.2227,0.2569,0.2752759999999999,0.315652,0.338252,0.336152,0.337652,0.338252,0.315652,0.338252,0.317552,0.338252,0.324352,0.338252,0.333,0.327572,0.343572,0.343316,0.3432,0.343572,0.328,0.343572,0.328772,0.343572,0.3351,0.343572,0.341672,0.3169,0.3419,0.33922,0.34084,0.3421,0.31702,0.3419,0.3191,0.3419,0.3288399999999999,0.3419,0.33742,0.210376,0.2794,0.2874,0.2886,0.23148,0.245,0.2683,0.277576
4,0.15179,0.28999,0.3017,0.309045,0.2038,0.2271,0.26149,0.28119,0.32054,0.34244,0.34064,0.34224,0.34244,0.3214,0.34244,0.323,0.34244,0.32892,0.34244,0.33716,0.3344,0.3474,0.346815,0.347215,0.3474,0.3346,0.3474,0.334615,0.3474,0.3399149999999999,0.3474,0.3459,0.3222,0.34565,0.3432,0.344675,0.345675,0.322675,0.34565,0.324475,0.34565,0.334275,0.34565,0.3408,0.217945,0.283945,0.2896,0.29339,0.237945,0.2517,0.2723,0.280245
5,0.161014,0.298414,0.306,0.3161,0.212514,0.232314,0.2663,0.2862,0.325828,0.3453279999999999,0.344028,0.3458279999999999,0.346228,0.3262279999999999,0.3453279999999999,0.3273,0.3453279999999999,0.333428,0.3453279999999999,0.342356,0.338958,0.350316,0.350058,0.350558,0.3508,0.339574,0.350316,0.340116,0.350316,0.3445,0.350316,0.349158,0.32616,0.348,0.34803,0.3485,0.3489299999999999,0.3271,0.348,0.32963,0.348,0.3393,0.348,0.34586,0.223328,0.287514,0.292214,0.2973,0.241914,0.257014,0.2784,0.2853
6,0.1679,0.303083,0.310366,0.322083,0.2177,0.2369,0.273066,0.292283,0.329716,0.3486,0.3476,0.3485,0.3492,0.330616,0.3486,0.331816,0.3486,0.338132,0.3486,0.346116,0.344101,0.3536,0.353303,0.3542,0.3536,0.344601,0.3536,0.345601,0.3536,0.3488,0.3536,0.353602,0.332185,0.3513,0.352085,0.351685,0.352085,0.332685,0.3513,0.334,0.3513,0.342985,0.3513,0.349685,0.2281,0.2922,0.2961,0.3041,0.246483,0.263749,0.2826,0.2881
7,0.1746,0.307456,0.319004,0.3266,0.2239,0.244652,0.277252,0.297552,0.333908,0.3512,0.350604,0.351204,0.351504,0.334904,0.3512,0.336704,0.3512,0.3436,0.3512,0.3504,0.348544,0.356888,0.3568,0.357144,0.357144,0.3489,0.356888,0.3495,0.356888,0.352044,0.356888,0.357444,0.3364,0.3543,0.3558,0.35574,0.3549,0.33672,0.3543,0.33958,0.3543,0.34714,0.3543,0.35354,0.232052,0.2966,0.301152,0.3072,0.2525,0.268852,0.285452,0.2912
8,0.180942,0.3139,0.323521,0.329421,0.2301,0.250421,0.2815,0.302,0.339976,0.3538,0.3531,0.354092,0.3544,0.340568,0.3538,0.3419,0.3538,0.347,0.3538,0.353292,0.3516,0.36,0.359,0.3604,0.3601,0.3516,0.36,0.3525,0.36,0.355587,0.36,0.359987,0.340795,0.357195,0.358595,0.359595,0.3585,0.341295,0.357195,0.3435,0.357195,0.3503,0.357195,0.356595,0.2356,0.3002,0.306021,0.3102209999999999,0.2575,0.273721,0.2884,0.293521
9,0.1865699999999999,0.3182,0.3278,0.33159,0.23517,0.25538,0.2871,0.3067,0.34468,0.3564799999999999,0.3563,0.3571,0.3575,0.34508,0.3564799999999999,0.34678,0.3564799999999999,0.35086,0.3564799999999999,0.3563,0.35503,0.36273,0.3614,0.3634,0.3634,0.35533,0.36273,0.35583,0.36273,0.35873,0.36273,0.3621,0.3443,0.36035,0.3609,0.3614,0.36075,0.3449,0.36035,0.34755,0.36035,0.35485,0.36035,0.3603,0.2386,0.3045899999999999,0.3107,0.31399,0.2625,0.27908,0.29169,0.29808
