percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.11148,0.2653,0.28868,0.2865,0.15234,0.17346,0.21468,0.23028,0.272188,0.3076,0.304322,0.303022,0.300777,0.274222,0.304199,0.2814109999999999,0.306488,0.292911,0.3076,0.301711,0.284233,0.3198109999999999,0.314822,0.314554,0.315511,0.288788,0.318911,0.293344,0.319533,0.3011109999999999,0.3198109999999999,0.308722,0.283166,0.322111,0.313033,0.316922,0.320766,0.287722,0.3207,0.289255,0.321922,0.298033,0.322111,0.307766,0.17368,0.25366,0.25574,0.25898,0.19372,0.2165,0.2442399999999999,0.24848
1,0.12112,0.27898,0.29362,0.299,0.16872,0.1941,0.22506,0.24772,0.28681,0.317866,0.313666,0.31271,0.313522,0.288666,0.317388,0.292922,0.3177,0.303322,0.317866,0.30841,0.300022,0.327722,0.321722,0.323244,0.32421,0.3026,0.326088,0.304222,0.326966,0.311622,0.327722,0.317388,0.297444,0.327944,0.321222,0.323444,0.3263,0.298922,0.3277,0.301266,0.327944,0.3077,0.327944,0.315166,0.19094,0.26002,0.26154,0.2617,0.21448,0.22886,0.25052,0.25972
2,0.13322,0.28558,0.29678,0.30438,0.17902,0.20224,0.2326399999999999,0.2619599999999999,0.296433,0.3268,0.317699,0.319966,0.321733,0.298398,0.326333,0.3007,0.326099,0.308632,0.3268,0.316233,0.308933,0.333533,0.3258,0.327166,0.329199,0.309466,0.332,0.310433,0.3329,0.317,0.333533,0.322833,0.3054,0.335433,0.327599,0.330499,0.332532,0.306766,0.334666,0.309399,0.335099,0.316666,0.335433,0.321699,0.19584,0.26558,0.2688,0.27222,0.2231,0.23704,0.25628,0.269
3,0.143,0.29052,0.30084,0.30994,0.18734,0.2088,0.2417,0.2688,0.30424,0.331644,0.322144,0.324044,0.3276,0.305344,0.331244,0.308076,0.3315,0.315588,0.331644,0.320744,0.3157,0.3374,0.3291,0.330832,0.333444,0.316088,0.336,0.317132,0.337344,0.323176,0.3374,0.326944,0.311444,0.3402,0.3338,0.333944,0.337344,0.313044,0.339176,0.315032,0.3398,0.322788,0.3402,0.328944,0.2047199999999999,0.27556,0.28634,0.29088,0.2287,0.24298,0.26036,0.27748
4,0.1505,0.295,0.3045,0.3138,0.1953,0.2138,0.2489,0.2742,0.31191,0.33641,0.325555,0.33022,0.33211,0.3133,0.334955,0.31501,0.3361,0.32111,0.33641,0.3244,0.3209,0.34331,0.333555,0.3353,0.337555,0.321355,0.34171,0.32331,0.34301,0.3282,0.34331,0.330155,0.31751,0.3438549999999999,0.3376,0.339655,0.3408,0.3194,0.34331,0.3212549999999999,0.3444,0.328855,0.3438549999999999,0.3339,0.2111,0.287,0.2936,0.2974,0.2325,0.2475,0.2656,0.2806
5,0.1562,0.3005799999999999,0.3072,0.3156799999999999,0.20088,0.21958,0.25578,0.2829,0.318666,0.340532,0.329666,0.335,0.3365,0.319166,0.338666,0.320166,0.339966,0.325032,0.340532,0.3277,0.325566,0.347032,0.337866,0.341432,0.343566,0.326632,0.346132,0.327566,0.346866,0.3318,0.347032,0.333066,0.323366,0.347866,0.341266,0.3438,0.344266,0.3256,0.347666,0.326966,0.348366,0.333,0.347866,0.336766,0.21616,0.29206,0.296,0.3006,0.2364,0.2509,0.2699,0.2828
6,0.1624,0.30496,0.3097,0.3191,0.20466,0.22386,0.25896,0.28836,0.322177,0.343577,0.3329,0.337677,0.340277,0.323585,0.342354,0.324677,0.3428,0.3293,0.343577,0.3307,0.330177,0.3499,0.3405,0.3456,0.346,0.331277,0.3489,0.332608,0.3495,0.3345,0.3499,0.336954,0.3289,0.351377,0.3444,0.347,0.3478,0.330385,0.351077,0.3326,0.351277,0.3373,0.351377,0.3403,0.2204,0.29466,0.29926,0.3044,0.24026,0.25466,0.27296,0.28436
7,0.16806,0.3076,0.3125,0.32244,0.2087,0.2277,0.2626,0.2915,0.3266759999999999,0.3459879999999999,0.336,0.3403879999999999,0.342788,0.327,0.3447,0.327588,0.3458,0.3322,0.3459879999999999,0.3338,0.3346,0.3523,0.343,0.347676,0.3491,0.3354,0.3513759999999999,0.3368,0.3521,0.3379,0.3523,0.340188,0.3349,0.3551,0.3479,0.3504,0.350864,0.335188,0.353788,0.337264,0.355188,0.341676,0.3551,0.343852,0.2231,0.29784,0.30398,0.3066,0.2428,0.2576,0.27604,0.28698
8,0.17486,0.3107,0.31592,0.3244,0.21412,0.2322,0.2654,0.29586,0.329898,0.3481,0.339399,0.342497,0.3457,0.331199,0.347399,0.3315,0.348099,0.335199,0.3481,0.3365,0.338,0.3549,0.345599,0.350099,0.351,0.3395,0.354,0.339999,0.3546,0.3405,0.3549,0.342499,0.338898,0.3575,0.350499,0.3534,0.353899,0.339899,0.356499,0.342199,0.3575,0.345,0.3575,0.3472,0.2278,0.3006,0.30742,0.3092,0.24614,0.25962,0.2786,0.28972
9,0.1805,0.3128,0.3198,0.326,0.2183,0.2358,0.2686,0.3009,0.3335,0.3503,0.34231,0.3451,0.3478,0.33491,0.3497,0.33541,0.35011,0.33871,0.3503,0.3397,0.341,0.3572,0.348,0.35242,0.3542,0.34263,0.3561,0.3429,0.35692,0.34372,0.3572,0.3454,0.3424,0.3603,0.35281,0.35602,0.35651,0.3439,0.3591,0.34481,0.3601,0.3476,0.3603,0.34992,0.2309,0.303,0.3111,0.3112,0.25,0.2619,0.282,0.2924
10,0.18548,0.3152,0.3229,0.3275,0.22228,0.24,0.2744,0.3056,0.3368,0.352221,0.3453,0.3481,0.349821,0.338521,0.351421,0.3391,0.351742,0.341142,0.352221,0.3427,0.3452,0.359542,0.3508,0.354521,0.356,0.346121,0.3582,0.345921,0.359242,0.347,0.359542,0.348221,0.3460209999999999,0.361942,0.355221,0.358221,0.3595,0.347142,0.361221,0.348221,0.3619,0.350721,0.361942,0.3521,0.23346,0.3049,0.3130799999999999,0.3135,0.25356,0.2647799999999999,0.2845,0.29584
11,0.1906,0.31686,0.32502,0.32976,0.2263,0.2447,0.2785,0.3105,0.340032,0.3547,0.3478,0.3504,0.351732,0.3414,0.353632,0.342032,0.3543,0.3438,0.3547,0.345232,0.3486,0.362,0.3537,0.3562,0.358432,0.349532,0.3603,0.3494,0.3616,0.3499319999999999,0.362,0.3514,0.349132,0.3641,0.3576,0.3606,0.3615,0.3502,0.3636,0.3513,0.364132,0.353032,0.3641,0.3556,0.23726,0.3072,0.31416,0.3168,0.25636,0.2678,0.28746,0.29916
12,0.1938,0.3187,0.3271,0.3318,0.22994,0.24864,0.2829,0.31434,0.343143,0.356843,0.350243,0.352743,0.354443,0.344643,0.355943,0.344743,0.3566,0.3476,0.356843,0.347643,0.3522,0.3637,0.356043,0.3584,0.3603,0.353143,0.3624,0.3532,0.363543,0.353743,0.3637,0.3541,0.3519,0.365943,0.360343,0.362943,0.363943,0.353043,0.365343,0.353743,0.366343,0.356243,0.365943,0.3585,0.2412,0.3087,0.3152,0.31944,0.25834,0.2713399999999999,0.2898,0.3017
13,0.19742,0.32092,0.32998,0.33452,0.23302,0.25252,0.28654,0.3167,0.3459,0.358854,0.352408,0.3552,0.3564,0.347908,0.358054,0.347908,0.3588,0.3495,0.358854,0.3499,0.3549,0.365354,0.3584,0.3606,0.3623,0.3554,0.364354,0.355754,0.365254,0.3568,0.365354,0.356654,0.355054,0.368554,0.3627,0.364654,0.366554,0.3562,0.3677,0.357754,0.368654,0.358554,0.368554,0.3609,0.24392,0.31022,0.31642,0.32132,0.26092,0.27424,0.2917,0.3038
14,0.2014,0.3224,0.3317,0.3388,0.2366,0.2556,0.2915,0.3189,0.349065,0.3616,0.355195,0.3577,0.35963,0.3503,0.3604,0.3507,0.361465,0.3531,0.3616,0.3525,0.3575299999999999,0.3674,0.360665,0.362665,0.3644,0.358365,0.366,0.3590649999999999,0.367165,0.359665,0.3674,0.3595,0.357865,0.37073,0.3652,0.366865,0.368565,0.3596,0.37,0.3606,0.3708,0.361695,0.37073,0.3630649999999999,0.2465,0.3127,0.3182,0.3234,0.2637,0.2762,0.2936,0.306
15,0.2048,0.32408,0.3332,0.34228,0.2411,0.25858,0.29568,0.3212,0.3521,0.363376,0.357352,0.3602,0.3616,0.353276,0.3624,0.354576,0.363176,0.355776,0.363376,0.3553,0.3605,0.3694,0.364328,0.3659759999999999,0.3661,0.361328,0.368,0.362,0.3693,0.363,0.3694,0.362876,0.360876,0.3731,0.3676,0.369,0.3703,0.3618,0.3720759999999999,0.363652,0.373,0.3640759999999999,0.3731,0.3653,0.24888,0.3149,0.3204,0.3252,0.26628,0.27888,0.2959,0.30778
16,0.20796,0.32552,0.33456,0.34546,0.24496,0.2621,0.2998,0.32306,0.355,0.3649,0.36,0.362987,0.363787,0.3564,0.3643,0.357,0.3649,0.3585,0.3649,0.3577,0.3634,0.371587,0.3677,0.3687,0.368574,0.364674,0.370287,0.3648,0.3714,0.366187,0.371587,0.366287,0.3633,0.374887,0.3696,0.371287,0.372674,0.364587,0.3743,0.3656,0.374987,0.3668,0.374887,0.3682,0.25096,0.3168,0.3219,0.32676,0.2691,0.28246,0.29882,0.31
17,0.2117399999999999,0.3297,0.33734,0.3479399999999999,0.248,0.26504,0.30268,0.3245,0.3575959999999999,0.3667,0.362798,0.3649,0.365498,0.3585,0.3662,0.359796,0.3667,0.360994,0.3667,0.360996,0.3664,0.373798,0.370998,0.3712,0.3709,0.368,0.3722,0.367398,0.373698,0.3691,0.373798,0.369,0.365898,0.3773,0.372498,0.3737,0.3748,0.3674,0.3769,0.3685,0.377398,0.369296,0.3773,0.370598,0.25364,0.3181,0.3237399999999999,0.3277,0.2717,0.28474,0.3014,0.3124
18,0.2146,0.33182,0.33952,0.34972,0.2519,0.2679,0.3054,0.3265,0.3595,0.3684,0.3655,0.3673,0.3678,0.3610089999999999,0.3681,0.362227,0.368409,0.364,0.3684,0.3638,0.3692,0.3759,0.3736,0.3736,0.3742,0.370509,0.374509,0.370509,0.3759,0.3719,0.3759,0.3722,0.368509,0.379909,0.3742089999999999,0.3766,0.377818,0.3703,0.3793,0.3706,0.3803,0.371909,0.379909,0.3727089999999999,0.25612,0.3194,0.3254,0.32872,0.2741,0.28742,0.3029,0.3147
19,0.2182,0.334,0.3407,0.352,0.2544,0.2709,0.3085,0.3275,0.3626,0.37022,0.3686,0.3696,0.3698,0.3641,0.3698,0.36512,0.37022,0.3659,0.37022,0.36674,0.372,0.3776,0.37602,0.37592,0.3761,0.37292,0.37642,0.37304,0.37762,0.37442,0.3776,0.374,0.37142,0.3816,0.37692,0.379,0.38012,0.37332,0.381,0.37332,0.3817,0.37392,0.3816,0.3749,0.2588,0.3206,0.3265,0.33,0.2767,0.2891,0.305,0.3162
