percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0505,0.0,0.0,0.0,0.0726,0.0789,0.078195,0.0,0.127238,0.1343379999999999,0.133966,0.133876,0.138828,0.12768,0.1343379999999999,0.128376,0.1343379999999999,0.13389,0.1343379999999999,0.13389,0.1380799999999999,0.1535379999999999,0.152038,0.1536759999999999,0.1542899999999999,0.1380799999999999,0.1535379999999999,0.138976,0.1535379999999999,0.1439379999999999,0.1535379999999999,0.148638,0.11897,0.122,0.128278,0.126054,0.122954,0.11897,0.122,0.119834,0.122,0.124662,0.122,0.129054,0.0915,0.0,0.0,0.0,0.1021,0.1069,0.10457,0.0
1,0.0607,0.0,0.0,0.0,0.0813,0.085,0.08777,0.086076,0.137504,0.147252,0.147376,0.1456,0.147376,0.138128,0.147252,0.138352,0.147252,0.1433,0.147252,0.146176,0.143804,0.1591,0.156576,0.158828,0.159476,0.144376,0.1591,0.14498,0.1591,0.1504,0.1591,0.156704,0.128432,0.1248079999999999,0.134208,0.132,0.128308,0.128432,0.1248079999999999,0.1288159999999999,0.1248079999999999,0.132608,0.1248079999999999,0.134532,0.0989,0.0,0.0,0.0,0.1068,0.1105,0.11448,0.111476
2,0.0675,0.0933,0.0945,0.0,0.0868,0.0919,0.0919,0.09641,0.14537,0.155314,0.153214,0.1556,0.155854,0.146,0.155314,0.146684,0.155314,0.148428,0.155314,0.1515,0.153528,0.1618,0.160514,0.161728,0.161728,0.1541,0.1618,0.1541,0.1618,0.157814,0.1618,0.160328,0.133224,0.127862,0.1387,0.135062,0.1322,0.1335,0.127862,0.1335,0.127862,0.135562,0.127862,0.140262,0.1024,0.114064,0.114,0.0,0.1101,0.1136,0.11677,0.114064
3,0.0763,0.0962,0.09842,0.1009,0.0907,0.0947,0.10108,0.1004,0.1503519999999999,0.160056,0.158052,0.160904,0.160604,0.150504,0.160056,0.151356,0.160056,0.153604,0.160056,0.155804,0.158604,0.1638,0.163856,0.1647,0.164152,0.158956,0.1638,0.1594,0.1638,0.160752,0.1638,0.16296,0.137216,0.1306,0.141732,0.137716,0.134016,0.137316,0.1306,0.137316,0.1306,0.140232,0.1306,0.142316,0.105,0.1228,0.1199,0.121364,0.1119,0.117,0.12004,0.1223
4,0.0798,0.10884,0.1118,0.11888,0.0931,0.0976,0.105025,0.10367,0.1548,0.16367,0.16138,0.16426,0.16499,0.1548,0.16367,0.15567,0.16367,0.1586,0.16367,0.16099,0.1620899999999999,0.166,0.1666,0.1663899999999999,0.16638,0.16199,0.166,0.1623899999999999,0.166,0.1635,0.166,0.166,0.14057,0.1337,0.14467,0.14047,0.13644,0.14057,0.1337,0.14085,0.1337,0.142,0.1337,0.14547,0.1074,0.12537,0.1287,0.129,0.1141,0.1196,0.123175,0.1251
5,0.0826,0.1140679999999999,0.11832,0.123274,0.0956,0.1005,0.1083,0.1109,0.159028,0.166156,0.165228,0.1664,0.167628,0.159656,0.166156,0.160128,0.166156,0.163,0.166156,0.1651,0.164256,0.1687,0.1687,0.168828,0.169284,0.164428,0.1687,0.164728,0.1687,0.166,0.1687,0.1685,0.142672,0.135024,0.146824,0.142424,0.1399,0.142672,0.135024,0.1429959999999999,0.135024,0.1450479999999999,0.135024,0.1481,0.1094,0.1280639999999999,0.1298,0.1299,0.1171,0.1224,0.1259,0.1270639999999999
6,0.0851,0.121374,0.1244,0.126253,0.0975,0.1028,0.1109,0.115506,0.161766,0.1693,0.168332,0.1688,0.1697,0.162232,0.1693,0.163066,0.1693,0.166632,0.1693,0.16843,0.166066,0.1707,0.170532,0.1706659999999999,0.171366,0.1661,0.1707,0.1663659999999999,0.1707,0.1682,0.1707,0.170932,0.145878,0.137278,0.1489,0.1452,0.1417,0.145878,0.137278,0.146256,0.137278,0.147678,0.137278,0.1506,0.1119,0.130558,0.1311,0.1308,0.1196,0.1248,0.1285649999999999,0.128958
7,0.0879,0.129104,0.13218,0.134964,0.0999,0.1072,0.1146,0.1238519999999999,0.1643,0.1713,0.170308,0.1709,0.171508,0.1643,0.1713,0.165504,0.1713,0.169104,0.1713,0.170804,0.1686,0.172104,0.1723,0.1722,0.1729,0.168504,0.172104,0.1694,0.172104,0.170008,0.172104,0.1723,0.148432,0.140332,0.150432,0.147332,0.1436,0.148432,0.140332,0.1486279999999999,0.140332,0.150532,0.140332,0.1522,0.1143,0.1326,0.1326,0.134292,0.1221,0.1261,0.12996,0.1327
8,0.0899,0.134192,0.1363299999999999,0.136111,0.1019,0.1102,0.117,0.127692,0.1666419999999999,0.173184,0.172626,0.1728,0.173284,0.1667,0.173184,0.167942,0.173184,0.170942,0.173184,0.1731,0.1708,0.1737,0.1739,0.174,0.174242,0.1708,0.1737,0.170842,0.1737,0.1719,0.1737,0.173342,0.1516,0.142386,0.1523,0.149386,0.145786,0.1514,0.142386,0.151986,0.142386,0.152472,0.142386,0.153672,0.1161,0.133846,0.135974,0.139411,0.1235,0.1272,0.1314,0.134546
9,0.0913,0.13672,0.1387499999999999,0.1393,0.1044,0.1148,0.1208,0.13184,0.1686,0.1748,0.1751,0.17536,0.175,0.1688,0.1748,0.16938,0.1748,0.17248,0.1748,0.1747,0.17278,0.1749,0.175,0.1752,0.1753,0.1728,0.1749,0.1727,0.1749,0.1736,0.1749,0.1746599999999999,0.15344,0.14524,0.1543,0.15104,0.14814,0.15344,0.14524,0.15382,0.14524,0.1545,0.14524,0.15544,0.1174,0.1357,0.13806,0.14119,0.1252,0.1286,0.1338,0.1356
10,0.0934,0.139134,0.141235,0.1406069999999999,0.1075,0.1173,0.125,0.1343,0.170554,0.177818,0.177318,0.1769,0.1774,0.1708,0.177818,0.171018,0.177818,0.174418,0.177818,0.1768,0.174418,0.1759,0.1761,0.1764,0.1766,0.1742179999999999,0.1759,0.1741,0.1759,0.1751,0.1759,0.1759,0.156294,0.1472939999999999,0.156182,0.152694,0.1501,0.1562,0.1472939999999999,0.1566,0.1472939999999999,0.1570879999999999,0.1472939999999999,0.157894,0.1189,0.1396,0.139938,0.142869,0.1267,0.1295,0.13579,0.1377
11,0.0953,0.1421,0.14264,0.1437,0.1094,0.1196,0.12864,0.136228,0.172256,0.1793,0.179,0.178512,0.178612,0.1723,0.1793,0.1728,0.1793,0.176256,0.1793,0.177956,0.175356,0.177,0.1775,0.177456,0.1777,0.1753,0.177,0.1752,0.177,0.176856,0.177,0.176956,0.1599479999999999,0.149748,0.1578959999999999,0.1545,0.1521,0.159848,0.149748,0.1594479999999999,0.149748,0.1602,0.149748,0.1609479999999999,0.1203,0.141028,0.1438,0.144948,0.1282,0.1312,0.1371,0.1399
12,0.097,0.1435,0.1453,0.1468,0.1117,0.121,0.131435,0.1381,0.173594,0.1816,0.1804,0.1809,0.181194,0.173788,0.1816,0.1744939999999999,0.1816,0.1779,0.1816,0.179694,0.176594,0.1781,0.1783,0.1783,0.1784,0.1764,0.1781,0.1764939999999999,0.1781,0.177694,0.1781,0.178194,0.1624,0.1519,0.159902,0.156204,0.153902,0.162104,0.1519,0.1625,0.1519,0.1625,0.1519,0.163504,0.1214,0.143722,0.1450179999999999,0.147127,0.1299,0.1323,0.1383,0.140822
