percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.1143,0.217744,0.219592,0.256024,0.162865,0.167112,0.192658,0.191765,0.23332,0.33916,0.29656,0.30172,0.30632,0.25066,0.3144,0.25374,0.32236,0.27218,0.33916,0.287,0.2357199999999999,0.3384,0.29472,0.29988,0.30376,0.24928,0.3106399999999999,0.2532,0.31948,0.27024,0.3384,0.2858,0.23446,0.33392,0.29324,0.2978,0.30168,0.24854,0.30802,0.25254,0.31544,0.2688,0.33382,0.28452,0.15852,0.2227,0.22712,0.2453159999999999,0.174814,0.187321,0.2154609999999999,0.222864
1,0.14008,0.229988,0.275484,0.2729,0.17669,0.19166,0.213536,0.2267,0.24464,0.3441999999999999,0.3052999999999999,0.3083,0.3115,0.2591199999999999,0.32282,0.26654,0.32984,0.28786,0.3444399999999999,0.30008,0.2470399999999999,0.3429,0.30186,0.3061,0.31034,0.25848,0.32172,0.26578,0.32934,0.28602,0.34294,0.29794,0.24678,0.33734,0.30012,0.3043,0.3085,0.2574999999999999,0.3192399999999999,0.26456,0.32576,0.28346,0.33748,0.2955,0.17618,0.2442599999999999,0.253296,0.257216,0.188524,0.201328,0.220848,0.227812
2,0.15232,0.282632,0.28599,0.278,0.188878,0.2163179999999999,0.236016,0.252095,0.25608,0.3473799999999999,0.31362,0.31682,0.3188,0.27262,0.32712,0.27936,0.33386,0.2977599999999999,0.34716,0.3103,0.25832,0.3458,0.3128,0.31436,0.31666,0.27192,0.3255599999999999,0.27824,0.33296,0.29612,0.3456,0.30792,0.25766,0.34062,0.31,0.3131,0.31482,0.27064,0.32358,0.2762,0.33036,0.2939799999999999,0.341,0.30532,0.18512,0.2500799999999999,0.2581,0.2598,0.200268,0.2178419999999999,0.228861,0.2437899999999999
3,0.16194,0.294,0.295268,0.285112,0.2103,0.228524,0.252152,0.27206,0.2643,0.3494,0.32308,0.32448,0.32516,0.28048,0.3316,0.28678,0.33754,0.3041,0.3494,0.31648,0.2661199999999999,0.3482,0.3204,0.3214,0.32236,0.28086,0.3292799999999999,0.2853199999999999,0.33498,0.3010799999999999,0.34816,0.31378,0.26566,0.34376,0.31688,0.3172,0.31942,0.27998,0.3264,0.28256,0.33306,0.2993,0.3434,0.31188,0.19418,0.2562,0.262,0.2616,0.208756,0.2239,0.236148,0.2519
4,0.1725,0.2983,0.299315,0.297595,0.218555,0.2397,0.26062,0.29035,0.2735,0.3511,0.3283,0.3296,0.3312,0.2877,0.3362,0.2925,0.3402,0.3107,0.3513,0.3231,0.275,0.3506,0.3265,0.3268,0.328,0.2873,0.333,0.2916,0.338,0.3097,0.3506,0.3212,0.2744,0.3471,0.3227,0.3227,0.3241,0.2864,0.3305,0.2897,0.3359,0.3069,0.3471,0.3184,0.1983,0.260825,0.2641,0.26392,0.21944,0.2268,0.2422,0.2541
5,0.18096,0.302864,0.307452,0.310618,0.225856,0.255,0.272432,0.29489,0.28006,0.3529,0.33292,0.33422,0.33424,0.29192,0.3394,0.30046,0.3443,0.31672,0.3530399999999999,0.32752,0.28152,0.35272,0.33092,0.3326,0.333,0.29262,0.3375,0.29904,0.3418,0.31588,0.35272,0.32592,0.27946,0.3496,0.328,0.3292,0.32912,0.29184,0.3342,0.29662,0.33822,0.31414,0.3496,0.3241,0.20404,0.26444,0.2668,0.267196,0.2258,0.2309,0.2477,0.256096
6,0.18848,0.306116,0.3112,0.314921,0.231982,0.261652,0.282522,0.3009,0.2852,0.3553,0.3369,0.3376,0.3378,0.29664,0.3433,0.30384,0.34734,0.32334,0.3555,0.33092,0.2859399999999999,0.35448,0.33382,0.3356,0.3362,0.29724,0.3414,0.30274,0.34514,0.3216799999999999,0.3544,0.32894,0.2850999999999999,0.3515,0.3304,0.3332,0.33414,0.29716,0.3382,0.30204,0.34214,0.32004,0.35174,0.32644,0.209,0.2669,0.270168,0.271756,0.2311,0.2377,0.253427,0.258986
7,0.19646,0.3097519999999999,0.3137,0.319048,0.240008,0.265844,0.2905,0.30652,0.29036,0.3574,0.33934,0.3411,0.3407,0.30246,0.34586,0.30834,0.34996,0.32716,0.3574,0.3339,0.2916,0.3566,0.3363,0.3387,0.3389,0.30246,0.3436,0.3084,0.3479,0.32578,0.3565,0.33136,0.29182,0.3537,0.3327,0.33596,0.33646,0.30096,0.3403,0.3065799999999999,0.34464,0.32386,0.3537,0.3294,0.21426,0.26836,0.272492,0.274132,0.235148,0.242556,0.257,0.262156
8,0.20518,0.311896,0.315907,0.325427,0.2471,0.272554,0.299874,0.309485,0.2949,0.3591,0.34108,0.3434,0.34348,0.30568,0.3478799999999999,0.3147,0.3526,0.33048,0.35926,0.33658,0.29664,0.3586,0.33858,0.3409,0.34136,0.30584,0.3462,0.31356,0.3506,0.3287799999999999,0.3586,0.3349,0.29628,0.3555,0.33608,0.33768,0.339,0.30468,0.3433799999999999,0.3123,0.3468799999999999,0.32688,0.3555,0.3321,0.21828,0.2699049999999999,0.2742,0.2757,0.238756,0.245963,0.2596,0.2646
9,0.2112,0.31414,0.3187,0.32793,0.2544,0.2779,0.30272,0.311,0.3001,0.3616,0.343,0.3456,0.3463,0.3087,0.3511,0.318,0.3551,0.333,0.3615,0.3393,0.3018,0.3608,0.3401,0.3426,0.3437,0.3087,0.3488,0.318,0.3536,0.3321,0.3606,0.3378,0.3008,0.3575,0.3374,0.3393,0.3414,0.3081,0.3455,0.3164,0.3493,0.3305,0.3574,0.3351,0.2238,0.2722,0.27604,0.27734,0.24184,0.25007,0.26374,0.26786
