percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.075306,0.167205,0.178346,0.187362,0.103506,0.114406,0.145082,0.16122,0.169132,0.2073,0.198776,0.202888,0.205444,0.1723879999999999,0.2073,0.175832,0.2073,0.184732,0.2073,0.192464,0.172944,0.207744,0.199388,0.2037,0.205744,0.175,0.207744,0.1776,0.207744,0.18382,0.207744,0.191476,0.1719439999999999,0.206444,0.198088,0.202,0.20442,0.174844,0.206444,0.1780759999999999,0.206444,0.183676,0.206444,0.191144,0.114953,0.1632,0.164083,0.166226,0.1238,0.129053,0.145894,0.1581
1,0.090018,0.179606,0.183628,0.196124,0.1161,0.125806,0.1554,0.16894,0.175476,0.2108,0.2052,0.2086,0.2099879999999999,0.1793,0.2108,0.183588,0.2108,0.193976,0.2108,0.200376,0.178752,0.212188,0.2046,0.2093,0.2114879999999999,0.183076,0.212188,0.1871,0.212188,0.1965879999999999,0.212188,0.201652,0.1787,0.211664,0.203852,0.207788,0.209776,0.182388,0.211664,0.1869,0.211664,0.1967,0.211664,0.201288,0.122006,0.1658,0.1675,0.174152,0.129106,0.136206,0.1534,0.1641
2,0.0977,0.1844,0.1891,0.198,0.1218,0.134018,0.1597,0.17456,0.180432,0.213132,0.2085,0.211432,0.213,0.1854,0.213132,0.1902,0.213132,0.198232,0.213132,0.203832,0.1843959999999999,0.214532,0.209,0.212332,0.214,0.1888,0.214532,0.1925,0.214532,0.200464,0.214532,0.206096,0.182964,0.215832,0.209032,0.212932,0.2152,0.1877279999999999,0.215832,0.192632,0.215832,0.201,0.215832,0.2061,0.127859,0.167403,0.169749,0.176878,0.1362,0.141559,0.1584,0.166563
3,0.103736,0.186804,0.1924,0.1993,0.127712,0.141412,0.1642,0.1802,0.185576,0.2155,0.210776,0.213776,0.215276,0.190476,0.2155,0.1941,0.2155,0.2019,0.2155,0.2065,0.189176,0.217552,0.2124,0.215176,0.217176,0.193276,0.217552,0.196152,0.217552,0.203452,0.217552,0.2082,0.187076,0.219876,0.2136,0.216928,0.219176,0.192476,0.219876,0.1961,0.219876,0.204552,0.219876,0.209076,0.131012,0.169304,0.1746,0.1801,0.141,0.1474,0.1622,0.168484
4,0.10813,0.1892,0.1974,0.2006,0.131765,0.147565,0.168,0.1842,0.19024,0.21802,0.21302,0.21602,0.2176199999999999,0.19362,0.21802,0.19782,0.21802,0.2049,0.21802,0.20882,0.1924,0.2211199999999999,0.2157,0.2187,0.2204,0.19554,0.2211199999999999,0.19952,0.2211199999999999,0.20622,0.2211199999999999,0.21022,0.1918,0.2229,0.2171199999999999,0.22032,0.2221,0.1951,0.2229,0.1986,0.2229,0.207,0.2229,0.2114,0.133465,0.1711,0.177915,0.1813,0.1447,0.151465,0.16411,0.1703
5,0.113418,0.191306,0.2017,0.2019,0.135618,0.152218,0.1708,0.1871199999999999,0.1932,0.2202,0.215228,0.2185639999999999,0.2200639999999999,0.196764,0.2202,0.201064,0.2202,0.2079639999999999,0.2202,0.2108,0.1954,0.2242,0.2178,0.2218,0.223,0.198728,0.2242,0.202364,0.2242,0.2088,0.2242,0.2124,0.1947,0.227,0.2191,0.2230639999999999,0.225264,0.1977,0.227,0.2018,0.227,0.2089639999999999,0.227,0.2134,0.136518,0.172906,0.1802,0.1824,0.1476,0.1551179999999999,0.1657,0.171326
6,0.116671,0.193928,0.203274,0.2034,0.1403,0.155471,0.174587,0.18924,0.196108,0.2224,0.217608,0.220708,0.221808,0.199308,0.2224,0.203408,0.2224,0.2105,0.2224,0.2135,0.198608,0.226408,0.22,0.223808,0.2254,0.2012,0.226408,0.2051,0.226408,0.212,0.226408,0.214708,0.1969,0.228908,0.2213,0.225808,0.227708,0.200708,0.228908,0.204908,0.228908,0.2115,0.228908,0.215408,0.139,0.1754,0.1814,0.183041,0.150542,0.157971,0.1675,0.1724
7,0.1204,0.196408,0.204756,0.2051839999999999,0.1441,0.158824,0.1766,0.19246,0.1986,0.2243,0.2197,0.222752,0.223752,0.2017,0.2243,0.205352,0.2243,0.2126,0.2243,0.216,0.200852,0.2288,0.222352,0.226652,0.2282,0.2032,0.2288,0.2068,0.2288,0.214152,0.2288,0.2172,0.1997519999999999,0.230852,0.2234,0.228152,0.2298,0.2033039999999999,0.230852,0.2071,0.230852,0.213604,0.230852,0.2179,0.142624,0.177608,0.183,0.183804,0.1534,0.1603,0.1693,0.173868
8,0.1246,0.1998,0.2054,0.2072,0.1477,0.1625,0.1789,0.1942,0.2008,0.2258959999999999,0.2212,0.2243,0.2255,0.2039,0.2258959999999999,0.207296,0.2258959999999999,0.2146,0.2258959999999999,0.2176,0.2028,0.230796,0.224,0.228096,0.23,0.2055,0.230796,0.2088,0.230796,0.216,0.230796,0.2196,0.202096,0.232696,0.2253,0.23,0.2316,0.2055,0.232696,0.2089,0.232696,0.215896,0.232696,0.219996,0.1453,0.181509,0.184,0.1848,0.1557,0.1624,0.171078,0.1755
9,0.12833,0.2016,0.2062,0.20922,0.1512,0.1649,0.18171,0.1956,0.2034,0.2273,0.2228,0.2259,0.2271,0.2056,0.2273,0.2092,0.2273,0.21624,0.2273,0.2191,0.2052,0.23228,0.2257,0.22954,0.2313,0.20754,0.23228,0.2106,0.23228,0.2176,0.23228,0.22134,0.205,0.2347,0.2269,0.2313,0.23344,0.20784,0.2347,0.21074,0.2347,0.21784,0.2347,0.2217,0.1472,0.1836,0.185,0.186,0.15816,0.164,0.1734,0.17681
10,0.131183,0.205011,0.207,0.211282,0.155615,0.166583,0.1848,0.197,0.2051,0.2287,0.224,0.227,0.228384,0.2075,0.2287,0.2109,0.2287,0.2175,0.2287,0.2207,0.207684,0.2336,0.227384,0.2309,0.2327,0.209584,0.2336,0.2126,0.2336,0.2189,0.2336,0.223484,0.2071,0.236184,0.228584,0.2326,0.235084,0.209684,0.236184,0.2127,0.236184,0.2197,0.236184,0.2237,0.1494,0.185311,0.1864,0.1871,0.1604,0.1658,0.1749,0.1786
11,0.134036,0.2069,0.2085,0.2122,0.159,0.1693,0.1876,0.19944,0.207328,0.2298,0.2253,0.2282,0.2294,0.2097,0.2298,0.212428,0.2298,0.2189,0.2298,0.2221,0.2101,0.2354,0.2289,0.232,0.234,0.211928,0.2354,0.2145,0.2354,0.220528,0.2354,0.2247,0.2095,0.237728,0.2302,0.234228,0.236128,0.2117,0.237728,0.214928,0.237728,0.2211,0.237728,0.2261,0.1515,0.1865,0.1874,0.1881,0.1623,0.1673,0.1767,0.1809
12,0.137378,0.2093,0.210566,0.2133,0.1615,0.1711889999999999,0.1907,0.2009,0.2093,0.2313,0.2263,0.2291,0.230572,0.2113,0.2313,0.2144,0.2313,0.2202,0.2313,0.2235,0.2123,0.2366,0.230344,0.2333,0.2354,0.213472,0.2366,0.2165,0.2366,0.2222,0.2366,0.225872,0.211772,0.2394,0.2318,0.2357,0.2379,0.213544,0.2394,0.216872,0.2394,0.222844,0.2394,0.2274,0.1536,0.187613,0.188658,0.189119,0.163689,0.1688,0.178,0.1835
13,0.1419,0.211614,0.2122,0.2151,0.165342,0.1733,0.193474,0.2031,0.2111,0.2325,0.2275,0.2303,0.231716,0.213132,0.2325,0.216016,0.2325,0.2224,0.2325,0.224516,0.2135,0.2379,0.231416,0.2348,0.2366,0.2149,0.2379,0.2179,0.2379,0.223616,0.2379,0.2273,0.2135,0.241132,0.2331,0.2369,0.2392,0.2153,0.241132,0.2187,0.241132,0.2246,0.241132,0.228616,0.1559,0.189,0.1896,0.191,0.165342,0.1703,0.1794,0.1862
14,0.144695,0.2133,0.2149,0.21816,0.1684,0.17659,0.1964,0.2058,0.21296,0.23386,0.2292,0.2316,0.2332,0.2147,0.23386,0.21756,0.23386,0.2237,0.23386,0.22576,0.2151,0.2392,0.2324,0.2358,0.23766,0.2166,0.2392,0.2192,0.2392,0.2252,0.2392,0.22836,0.2153,0.24246,0.2349,0.23846,0.24056,0.2169,0.24246,0.2201,0.24246,0.2259,0.24246,0.2302,0.157995,0.1902,0.1902,0.1918,0.166995,0.1716,0.1819,0.1873
15,0.1479,0.2146,0.2164,0.2208,0.1706,0.179396,0.199556,0.2084,0.2148,0.235204,0.2303,0.233,0.2344,0.2161,0.235204,0.219104,0.235204,0.2251,0.235204,0.227604,0.2167,0.2404,0.2334,0.236904,0.2388,0.218,0.2404,0.2209,0.2404,0.2266,0.2404,0.2298,0.217104,0.2437,0.2361,0.2399,0.2422,0.218404,0.2437,0.2216,0.2437,0.2274,0.2437,0.2316,0.1597,0.1907,0.1911,0.193,0.1684,0.1735,0.183472,0.1888
16,0.1507,0.215817,0.218494,0.224008,0.1732,0.182901,0.201397,0.2105,0.216148,0.236548,0.2317,0.2345,0.2354,0.217648,0.236548,0.220896,0.236548,0.2267,0.236548,0.228748,0.2182,0.2413,0.2346,0.238,0.2401,0.2196,0.2413,0.2222,0.2413,0.2284,0.2413,0.231048,0.2187,0.2447,0.2374,0.241248,0.2434,0.2201,0.2447,0.2234,0.2447,0.2289,0.2447,0.2327,0.1611,0.1921,0.1923,0.1938,0.170001,0.1751,0.1852,0.1901
17,0.1535,0.217518,0.2208,0.226,0.1753,0.1857,0.2038,0.212,0.2176,0.2375,0.2328,0.2355,0.2368,0.219,0.2375,0.2223,0.2375,0.2281919999999999,0.2375,0.2301,0.2197,0.242392,0.235792,0.239,0.241,0.2210919999999999,0.242392,0.223792,0.242392,0.2298919999999999,0.242392,0.2326,0.2205,0.2459,0.238592,0.242392,0.2441,0.222,0.2459,0.2247,0.2459,0.2305,0.2459,0.2341,0.1629,0.1931,0.1938939999999999,0.1949,0.1713,0.176254,0.1864,0.1912
18,0.155807,0.2189,0.2238,0.2287,0.177907,0.187907,0.2063,0.21398,0.2189,0.2389,0.234136,0.2369,0.2382,0.2204,0.2389,0.223736,0.2389,0.229736,0.2389,0.2315,0.2213,0.243536,0.2372,0.2406,0.2423,0.2226,0.243536,0.225336,0.243536,0.2314,0.243536,0.234136,0.2221,0.2467,0.2398,0.2437,0.245236,0.2236,0.2467,0.2264,0.2467,0.232,0.2467,0.2353,0.1654,0.1942,0.195,0.196597,0.173007,0.177507,0.1873,0.1922
19,0.1577,0.22012,0.2261,0.23074,0.18036,0.1903,0.20892,0.215,0.2206,0.24,0.23528,0.238,0.2393,0.2222,0.24,0.225,0.24,0.2311,0.24,0.23258,0.22288,0.2446,0.2382,0.2416,0.24338,0.2244,0.2446,0.2266,0.2446,0.2326,0.2446,0.23508,0.2238,0.2477,0.2409,0.2446,0.2464,0.22508,0.2477,0.2279,0.2477,0.2338,0.2477,0.2369,0.16706,0.1953,0.1958,0.1983,0.1746,0.17956,0.1888,0.19302
20,0.1605,0.2218,0.229,0.233802,0.182726,0.1924,0.2107,0.2181199999999999,0.2223,0.2409,0.2366,0.2394,0.240424,0.2234479999999999,0.2409,0.2266,0.2409,0.2323,0.2409,0.233724,0.2246,0.2456,0.2391,0.2428,0.2442,0.2259,0.2456,0.2282,0.2456,0.2341,0.2456,0.2362,0.2253,0.2486,0.2419,0.2455,0.2474,0.2268,0.2486,0.2297,0.2486,0.2350239999999999,0.2486,0.2380239999999999,0.1689,0.1961,0.1966,0.1993,0.1766,0.1812129999999999,0.1914,0.193941
21,0.1628659999999999,0.2239219999999999,0.2311,0.236528,0.1852,0.1946,0.2128,0.2212,0.223968,0.2418,0.2379,0.2403,0.2414,0.2252,0.2418,0.2278,0.2418,0.233768,0.2418,0.2351,0.226,0.2462,0.240268,0.2436,0.2452679999999999,0.2276,0.2462,0.23,0.2462,0.2351,0.2462,0.2372,0.2271,0.2496,0.2431,0.2465,0.2483,0.2283,0.2496,0.2314,0.2496,0.236568,0.2496,0.2394,0.1701,0.1971,0.1976,0.2004,0.1781,0.182966,0.1928,0.1949
22,0.165238,0.2269,0.2328,0.238526,0.188019,0.196519,0.2143,0.22296,0.2252,0.2429,0.238712,0.2414,0.2422,0.2265,0.2429,0.2299,0.2429,0.2353,0.2429,0.2361,0.227712,0.247,0.2414,0.244412,0.246,0.229312,0.247,0.2319,0.247,0.2363,0.247,0.238212,0.228712,0.250712,0.2442,0.2474,0.2493,0.2301,0.250712,0.233,0.250712,0.238212,0.250712,0.2406,0.172119,0.199023,0.199009,0.201149,0.179919,0.1849,0.193966,0.1958
23,0.1681,0.229024,0.234668,0.240888,0.190172,0.199372,0.216,0.2244799999999999,0.2264,0.243856,0.2397,0.2424,0.2432,0.227756,0.243856,0.2314,0.243856,0.2364,0.243856,0.237256,0.2294,0.2478,0.242556,0.2452,0.246756,0.231,0.2478,0.2334,0.2478,0.238,0.2478,0.2396,0.230056,0.2517,0.245,0.2484,0.2502,0.2318,0.2517,0.2352,0.2517,0.2395,0.2517,0.241656,0.174644,0.2001,0.200492,0.202,0.1817,0.1868,0.195,0.197004
24,0.171225,0.232,0.2372,0.2432,0.1922,0.2012,0.21775,0.2264,0.2279,0.245,0.2405,0.2434,0.2443,0.2295,0.245,0.2331,0.245,0.2375,0.245,0.2384,0.2312,0.2487,0.2436,0.2462,0.2476,0.2328,0.2487,0.235,0.2487,0.2396,0.2487,0.2406,0.2317,0.2527,0.2459,0.2491,0.2513,0.2338,0.2527,0.2369,0.2527,0.2411,0.2527,0.2427,0.1767,0.2009,0.2022,0.203975,0.1833,0.1888,0.1961,0.198125
25,0.174778,0.2346,0.2397,0.2444,0.1949,0.2035,0.220466,0.2287,0.2294,0.2461,0.2416,0.2443,0.2453,0.2311,0.2461,0.2349,0.2461,0.239444,0.2461,0.2395,0.2329,0.2498,0.2444,0.247,0.2487,0.2341,0.2498,0.2368,0.2498,0.241144,0.2498,0.241744,0.2335,0.2537,0.246744,0.2501,0.2523,0.235844,0.2537,0.2385,0.2537,0.2428,0.2537,0.2438,0.1782,0.2019,0.2034,0.2052,0.1849,0.1905,0.1972,0.1997
26,0.177362,0.2368,0.2418,0.2459,0.1976,0.206,0.222407,0.2311,0.231,0.2471,0.2429,0.245,0.2463,0.2329,0.2471,0.2362,0.2471,0.241,0.2471,0.2405,0.234388,0.2508,0.2452,0.247888,0.2496,0.235788,0.2508,0.2385,0.2508,0.2428,0.2508,0.2426,0.235288,0.2547,0.2477,0.251,0.2534,0.2375,0.2547,0.240488,0.2547,0.2443,0.2547,0.2451,0.1799,0.2027,0.2048,0.2064,0.1869,0.1918,0.1985,0.2011
