percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.29909,0.5269,0.5787,0.58258,0.418366,0.447264,0.428515,0.467242,0.510902,0.56207,0.602768,0.6002339999999999,0.598768,0.54057,0.597637,0.549467,0.597137,0.584734,0.563769,0.597234,0.529803,0.6529670000000001,0.632969,0.634567,0.634068,0.5564049999999999,0.641068,0.5698099999999999,0.654334,0.610202,0.654601,0.625501,0.5267350000000001,0.705469,0.647639,0.6561670000000001,0.657338,0.560134,0.6704,0.581204,0.691667,0.622271,0.710801,0.641503,0.321174,0.388812,0.450121,0.477983,0.33796,0.338468,0.342016,0.362613
1,0.342496,0.560382,0.58756,0.59092,0.450714,0.47958,0.500918,0.5461320000000001,0.529974,0.582368,0.609734,0.6114,0.612368,0.557438,0.610842,0.571668,0.6110760000000001,0.598036,0.587434,0.6085039999999999,0.543834,0.666134,0.6414,0.646336,0.649068,0.576002,0.6530779999999999,0.594402,0.6628,0.622114,0.668468,0.635034,0.546168,0.719168,0.6615019999999999,0.6688,0.6754,0.579404,0.687034,0.600468,0.702768,0.636002,0.719768,0.6526339999999999,0.353096,0.469804,0.478872,0.486098,0.3738599999999999,0.400958,0.410664,0.44476
2,0.364,0.584406,0.5915400000000001,0.596,0.471914,0.496558,0.528545,0.5562320000000001,0.546607,0.593004,0.618608,0.6202099999999999,0.6216010000000001,0.572009,0.6194059999999999,0.5843010000000001,0.6187,0.604603,0.599201,0.6151019999999999,0.561002,0.675504,0.649003,0.6536059999999999,0.6578,0.593702,0.6624,0.608808,0.6684,0.6298,0.676804,0.644001,0.568805,0.725901,0.6704,0.6773,0.682703,0.5972019999999999,0.6940029999999999,0.615906,0.7089,0.646501,0.7265,0.6608,0.3717879999999999,0.474406,0.483443,0.4918,0.40611,0.426667,0.451364,0.4642
3,0.389768,0.5913080000000001,0.5961,0.6109,0.488056,0.510596,0.548288,0.569052,0.55824,0.6010679999999999,0.625636,0.627868,0.628636,0.582568,0.62824,0.597272,0.6284,0.6115,0.609468,0.6209,0.575552,0.6808,0.656872,0.6604,0.6627679999999999,0.603736,0.668236,0.619872,0.673736,0.6369360000000001,0.682876,0.648968,0.578668,0.7315360000000001,0.677704,0.685536,0.689268,0.610164,0.7031,0.6292719999999999,0.716236,0.6521,0.7320679999999999,0.665168,0.3907879999999999,0.478308,0.4871479999999999,0.4932,0.41928,0.4388039999999999,0.458752,0.470792
4,0.41192,0.5993,0.6031,0.6163,0.503745,0.52296,0.561415,0.58294,0.56794,0.614735,0.63127,0.6340749999999999,0.63597,0.59461,0.6358050000000001,0.605535,0.635035,0.61827,0.6176499999999999,0.627335,0.585605,0.685835,0.6606,0.665435,0.6682,0.613135,0.6750700000000001,0.625335,0.6809,0.6422,0.6866,0.653335,0.5905400000000001,0.7364700000000001,0.6820350000000001,0.689505,0.693935,0.620215,0.708205,0.6365,0.720735,0.6588350000000001,0.737075,0.671835,0.40457,0.48151,0.48951,0.4952049999999999,0.43285,0.447545,0.46332,0.4737
5,0.430776,0.6044,0.61154,0.62768,0.515556,0.537032,0.569832,0.593024,0.5800179999999999,0.622004,0.637204,0.6397,0.642702,0.6024,0.6423,0.613,0.640908,0.6222019999999999,0.624906,0.632704,0.595604,0.6896019999999999,0.664202,0.6696,0.6722,0.6193059999999999,0.6797,0.630404,0.6858,0.647216,0.689812,0.657204,0.603304,0.74142,0.686102,0.6939019999999999,0.6988059999999999,0.627104,0.712206,0.642008,0.7235,0.665304,0.7438,0.6787019999999999,0.412132,0.486436,0.491802,0.4971319999999999,0.44012,0.45319,0.467392,0.47729
6,0.443718,0.6082069999999999,0.6229,0.63656,0.525466,0.5470020000000001,0.575106,0.5987,0.5889,0.6304,0.6413,0.6457,0.646669,0.609869,0.647,0.618869,0.646738,0.630238,0.6321,0.637545,0.603676,0.6926,0.668869,0.673038,0.675969,0.625507,0.683545,0.636338,0.689469,0.653169,0.693169,0.662476,0.611338,0.7465,0.692538,0.697369,0.701769,0.634783,0.716569,0.6474,0.727438,0.6694,0.7472,0.682938,0.4216359999999999,0.490014,0.4942,0.4992,0.44665,0.4573,0.471524,0.4799609999999999
7,0.453468,0.6146240000000001,0.63218,0.64188,0.5354519999999999,0.556792,0.5842,0.605652,0.5957,0.6342,0.647136,0.6498360000000001,0.6508,0.6155360000000001,0.6511,0.626208,0.6501,0.636272,0.6357,0.6428360000000001,0.6124360000000001,0.6948719999999999,0.6731,0.6762,0.68038,0.6317440000000001,0.687436,0.6414,0.6931360000000001,0.657636,0.695944,0.667072,0.618072,0.751508,0.695736,0.700272,0.706,0.642672,0.7199,0.6539360000000001,0.7300719999999999,0.675336,0.752,0.687536,0.428092,0.493548,0.4959,0.501,0.45238,0.462204,0.4757599999999999,0.4832
8,0.4659,0.6206090000000001,0.63686,0.6463,0.5442,0.5653959999999999,0.594074,0.612596,0.605806,0.6377120000000001,0.652512,0.6543,0.6546059999999999,0.6242059999999999,0.655003,0.631803,0.654803,0.641003,0.639509,0.6496,0.6202059999999999,0.699,0.6778059999999999,0.6808059999999999,0.6850090000000001,0.640012,0.690303,0.647803,0.695709,0.662012,0.6988,0.671224,0.627109,0.7553,0.699403,0.703803,0.7094090000000001,0.648303,0.7231059999999999,0.660803,0.733503,0.6797,0.756003,0.691603,0.434932,0.4958,0.4983,0.502049,0.45716,0.4648,0.4792,0.487307
9,0.47656,0.6326900000000001,0.642,0.6489,0.5559900000000001,0.57482,0.6072299999999999,0.61712,0.61347,0.64204,0.65707,0.65864,0.65877,0.63278,0.65807,0.6372099999999999,0.6578,0.6473,0.644,0.6550400000000001,0.6276700000000001,0.70117,0.68187,0.68497,0.6884,0.64417,0.6939099999999999,0.65237,0.6986,0.6666,0.70207,0.67567,0.6353,0.75901,0.7026,0.7074400000000001,0.71347,0.65574,0.72577,0.6665099999999999,0.73644,0.6849,0.7595,0.6959,0.44242,0.4987,0.5008,0.5036,0.4612,0.46859,0.4832,0.49193
