percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0738399999999999,0.1474899999999999,0.16668,0.17488,0.10689,0.11221,0.13753,0.14577,0.11486,0.1719899999999999,0.18,0.17958,0.13195,0.1498,0.16036,0.1667799999999999
1,0.08766,0.17032,0.1742,0.18004,0.11408,0.1277,0.14592,0.15738,0.13046,0.18292,0.1849,0.18556,0.15152,0.16072,0.17214,0.1776599999999999
2,0.09909,0.17762,0.18098,0.1832,0.11989,0.13927,0.1512,0.17479,0.14262,0.1885,0.18985,0.19377,0.15947,0.16534,0.1764399999999999,0.18627
3,0.11002,0.18608,0.18556,0.18536,0.12992,0.1486,0.16026,0.1876799999999999,0.15216,0.19322,0.19642,0.19746,0.16988,0.1726,0.1835,0.19266
4,0.11775,0.1955,0.1904,0.1891,0.1412,0.15465,0.17435,0.1948,0.16025,0.20035,0.1993,0.20055,0.1743,0.17515,0.1878,0.1972499999999999
5,0.12404,0.19988,0.1912599999999999,0.1915,0.15314,0.16044,0.18338,0.20188,0.16604,0.2058,0.20234,0.2094,0.17834,0.1788799999999999,0.1908399999999999,0.20228
6,0.13103,0.2026,0.1938,0.19446,0.16053,0.16565,0.1894,0.20662,0.17373,0.20879,0.2037,0.2113,0.18166,0.18379,0.1938,0.21324
7,0.1366,0.2050199999999999,0.19854,0.19952,0.1664199999999999,0.17742,0.19652,0.2117,0.17998,0.21092,0.2076,0.2123,0.18606,0.19026,0.19942,0.21828
8,0.1427,0.2074,0.2007,0.2056,0.17351,0.18322,0.2024,0.2153,0.18891,0.21343,0.2141,0.2138199999999999,0.1904,0.19381,0.20492,0.22001
9,0.1485,0.2092,0.203,0.2147,0.1795,0.1915,0.2162,0.217,0.1976,0.2159,0.2183,0.2179,0.1943,0.1985,0.2111,0.2216
10,0.1552899999999999,0.21078,0.207,0.2162599999999999,0.18598,0.2022,0.2244,0.2188,0.2019,0.2209499999999999,0.22099,0.22416,0.2021899999999999,0.21056,0.22163,0.22379
11,0.15992,0.21268,0.21528,0.22056,0.18972,0.20708,0.23338,0.22208,0.20692,0.22478,0.22426,0.22618,0.21364,0.2164599999999999,0.23178,0.22686
12,0.16464,0.21407,0.2228099999999999,0.2221,0.19646,0.2126,0.2374399999999999,0.22411,0.2102,0.22677,0.22894,0.22801,0.2194,0.2257799999999999,0.2398199999999999,0.23065
13,0.16914,0.217,0.22846,0.2242,0.20496,0.21806,0.23916,0.2265,0.21422,0.22832,0.23302,0.2303,0.22618,0.23248,0.24366,0.23376
14,0.17545,0.22225,0.23065,0.22515,0.2087999999999999,0.2225,0.2427,0.2285,0.2182,0.2312,0.2382,0.2319,0.2332,0.2383,0.24705,0.2363
15,0.1816,0.22948,0.23438,0.22654,0.21388,0.2297,0.2485,0.2296,0.22234,0.23552,0.23924,0.233,0.23872,0.24578,0.25226,0.23864
16,0.18743,0.2427,0.2366,0.2276,0.22161,0.23476,0.25343,0.23291,0.22733,0.24666,0.2412,0.23763,0.24796,0.2526,0.25693,0.24239
17,0.19402,0.24836,0.23792,0.2291,0.22614,0.2415199999999999,0.2573,0.2370199999999999,0.23478,0.25284,0.244,0.24118,0.2521,0.2596,0.26166,0.2485
18,0.20034,0.25791,0.24112,0.23501,0.23151,0.24753,0.26161,0.26122,0.24142,0.26033,0.2505,0.24621,0.2563,0.26773,0.26783,0.25602
19,0.2062,0.2793,0.2889,0.297,0.2354,0.2515,0.2665,0.2717,0.2481,0.2725,0.2772,0.2821,0.2626,0.275,0.2715,0.2678
20,0.21028,0.29686,0.29699,0.30826,0.23954,0.25589,0.2766699999999999,0.28157,0.25299,0.28169,0.2859299999999999,0.28858,0.26739,0.27967,0.27549,0.2768
21,0.2163199999999999,0.30278,0.3083,0.31648,0.2446399999999999,0.2636799999999999,0.2859799999999999,0.2904199999999999,0.2586,0.2943,0.29308,0.29886,0.27144,0.2835,0.2826,0.28768
22,0.22197,0.3067,0.31447,0.31897,0.24911,0.2728,0.29057,0.29996,0.2624,0.29761,0.30151,0.30387,0.2754,0.28737,0.29081,0.29837
23,0.22792,0.31128,0.31806,0.32086,0.2534,0.27946,0.2951,0.3066,0.26622,0.3023,0.30806,0.30696,0.27966,0.29076,0.29542,0.30116
24,0.2364,0.31605,0.32105,0.3236,0.25815,0.28385,0.2989,0.3123,0.26885,0.3095,0.31235,0.3174,0.28415,0.29405,0.29885,0.30475
25,0.2422,0.32028,0.3243999999999999,0.3267,0.26424,0.2897,0.3039,0.3182,0.27244,0.31254,0.3208999999999999,0.3211,0.28858,0.29814,0.3027,0.30774
26,0.2464,0.32566,0.32883,0.32913,0.27,0.29506,0.30834,0.32009,0.2751,0.31856,0.32556,0.32396,0.29143,0.30106,0.30543,0.31219
27,0.25012,0.3288,0.3323,0.3333,0.2754,0.3003,0.3111,0.3221,0.27824,0.3239,0.3296,0.32822,0.29472,0.30472,0.30844,0.31846
28,0.2543,0.3303,0.3339,0.3355,0.2784,0.3036199999999999,0.31321,0.32381,0.2807199999999999,0.32821,0.3335,0.32992,0.29761,0.307,0.31191,0.3221499999999999
29,0.2583,0.3315,0.3364,0.3393,0.2844,0.3084,0.3173,0.3255,0.2833,0.3314,0.3347,0.331,0.3003,0.309,0.3166,0.3265
30,0.2623,0.3331,0.33948,0.3431,0.28839,0.3111899999999999,0.32196,0.32748,0.2856,0.3343799999999999,0.3362,0.33259,0.3027,0.3112,0.32019,0.32839
31,0.2669,0.33588,0.3417,0.3467,0.2938,0.315,0.32506,0.3311,0.28804,0.33716,0.3374,0.33636,0.3062,0.31308,0.3237,0.33218
32,0.27147,0.33758,0.34497,0.35077,0.29957,0.3189,0.3281,0.33507,0.2909,0.3408,0.3394,0.3387,0.30977,0.31677,0.32664,0.33617
33,0.27586,0.34256,0.3496,0.3564,0.30448,0.32226,0.33082,0.33756,0.29586,0.3425,0.34286,0.34,0.31196,0.3192,0.33014,0.33736
34,0.27835,0.346,0.3575,0.36025,0.31055,0.324,0.33285,0.34145,0.29915,0.34345,0.34575,0.3414,0.31735,0.3215,0.33215,0.3407
35,0.2827199999999999,0.3498,0.36414,0.3637,0.31672,0.32744,0.3367,0.3447,0.30444,0.3456,0.3469399999999999,0.3424,0.3203999999999999,0.32424,0.33436,0.34414
36,0.29006,0.35173,0.36713,0.3660299999999999,0.3207,0.33096,0.33996,0.3471,0.3080799999999999,0.3482,0.3483,0.34413,0.32413,0.32706,0.33753,0.34823
37,0.29462,0.3544,0.37026,0.36712,0.32486,0.33474,0.3428,0.3495,0.3123,0.35272,0.3495,0.34724,0.32664,0.3297,0.34072,0.35144
38,0.29921,0.3672,0.3724,0.3693,0.3299,0.3383,0.34642,0.35192,0.31531,0.35481,0.35031,0.35031,0.32961,0.33291,0.34692,0.35411
39,0.3054,0.376,0.3738,0.3762,0.3354,0.3407,0.3498,0.3545,0.3196,0.3584,0.3519,0.3566,0.3325,0.336,0.3538,0.3564
40,0.30959,0.38048,0.37556,0.37789,0.3397699999999999,0.3448799999999999,0.3537,0.35917,0.32446,0.36128,0.35339,0.36769,0.3368,0.33976,0.35939,0.35929
41,0.31378,0.38358,0.3783,0.37996,0.345,0.3488999999999999,0.35696,0.36286,0.32858,0.3630799999999999,0.36566,0.3775199999999999,0.33908,0.3422,0.36388,0.36288
42,0.3204,0.3852,0.38177,0.3823,0.34878,0.3511,0.3593,0.3674,0.33217,0.36604,0.37666,0.38351,0.3422,0.34607,0.3672,0.3654
43,0.3257599999999999,0.38746,0.38488,0.38486,0.3523799999999999,0.3541,0.36228,0.37506,0.33702,0.37096,0.38576,0.38696,0.34556,0.34962,0.3695,0.36916
44,0.33175,0.3891,0.3873499999999999,0.39405,0.35675,0.3571499999999999,0.36515,0.3831,0.3403,0.37475,0.3899,0.38965,0.3491,0.35275,0.37245,0.3732999999999999
45,0.33564,0.3911,0.3937000000000001,0.39706,0.36072,0.3601,0.3699,0.3906,0.3452,0.3846,0.3933,0.39354,0.35236,0.35764,0.3755,0.37624
46,0.34256,0.39336,0.40036,0.4009899999999999,0.36489,0.364,0.37481,0.3953299999999999,0.34836,0.38932,0.39503,0.39613,0.3570899999999999,0.3610299999999999,0.37876,0.37953
47,0.34952,0.3945,0.40282,0.4116,0.37092,0.36704,0.37912,0.39846,0.35258,0.3947,0.3967,0.3981,0.361,0.36606,0.3821,0.3831
48,0.35551,0.3974299999999999,0.4063,0.41544,0.3744,0.3714,0.3833599999999999,0.40061,0.35701,0.3972,0.39881,0.40061,0.36626,0.3719,0.38471,0.38701
49,0.3608,0.4035,0.4109,0.4225,0.3782,0.3753,0.3889,0.4033,0.3614,0.3988,0.4,0.4026,0.3703,0.3761,0.3876,0.3903
50,0.36569,0.40926,0.4119,0.42794,0.38209,0.37889,0.39444,0.40718,0.3657500000000001,0.40129,0.40288,0.40419,0.37517,0.3808200000000001,0.3903,0.39429
51,0.37176,0.41496,0.4161,0.4294,0.38504,0.3827799999999999,0.39908,0.4095,0.37048,0.4048799999999999,0.40568,0.4049,0.37898,0.3876,0.39188,0.39948
52,0.37941,0.418,0.42371,0.43397,0.38947,0.38677,0.40474,0.41167,0.3755,0.40707,0.4071,0.4066,0.38267,0.39218,0.3974,0.40424
53,0.3861800000000002,0.42236,0.4319,0.43606,0.3944000000000001,0.3917400000000001,0.4085,0.4138,0.38026,0.40936,0.409,0.4084,0.3860200000000001,0.39872,0.4022,0.4092
54,0.3927,0.4241,0.4367999999999999,0.4385,0.39795,0.3963,0.4125,0.41655,0.38515,0.41105,0.41085,0.4102,0.3925499999999999,0.4057,0.40535,0.41265
55,0.3964,0.42794,0.4414,0.4417,0.40244,0.39988,0.41554,0.42344,0.38938,0.4143,0.4138,0.4113,0.39794,0.41028,0.4089,0.4170600000000001
56,0.40539,0.42963,0.44613,0.44263,0.4059,0.40609,0.41862,0.42816,0.3937500000000001,0.4169,0.41706,0.41233,0.40353,0.41459,0.41153,0.4225
57,0.41162,0.4340199999999999,0.45146,0.4478,0.4094,0.4122,0.4269199999999999,0.4308599999999998,0.39914,0.41822,0.4194,0.4155,0.4089399999999999,0.41794,0.4176599999999997,0.4264
58,0.4181,0.44131,0.45491,0.45343,0.4155299999999999,0.4195,0.43091,0.43661,0.40691,0.42111,0.4222,0.4172,0.4185399999999999,0.4225199999999999,0.42693,0.4297499999999999
59,0.4255,0.4462,0.4573,0.4577,0.4276,0.4259,0.4348,0.4408,0.4137,0.4269,0.4238,0.4217,0.4272,0.4286,0.4333,0.4351
60,0.4316899999999999,0.4501799999999999,0.461,0.4625599999999998,0.4338,0.4324599999999999,0.43829,0.4457,0.4219499999999999,0.4316499999999999,0.42579,0.4260899999999999,0.4333,0.43288,0.4400199999999999,0.4399499999999999
61,0.4395,0.45904,0.46546,0.47326,0.4423,0.4384999999999999,0.44492,0.4487399999999999,0.43316,0.4341799999999999,0.4280799999999999,0.44858,0.4426799999999999,0.43776,0.44438,0.4421
62,0.44862,0.46654,0.4716,0.4854300000000001,0.44881,0.4488400000000001,0.45327,0.45268,0.44152,0.43837,0.43067,0.45997,0.44847,0.444,0.44817,0.44377
63,0.4571000000000002,0.47184,0.47966,0.4935,0.4549600000000001,0.45904,0.45752,0.46066,0.45044,0.4429800000000001,0.4576600000000005,0.5069800000000003,0.4552,0.44856,0.45716,0.4467
