percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.120956,0.22109,0.221311,0.2268099999999999,0.174482,0.1908099999999999,0.2111,0.218349,0.235291,0.288081,0.285362,0.287043,0.287981,0.239629,0.291243,0.245281,0.296,0.264281,0.2976,0.282148,0.236524,0.307562,0.286886,0.289167,0.291529,0.2417,0.297105,0.2477,0.3013429999999999,0.266962,0.309281,0.2828,0.236143,0.300162,0.288981,0.2914049999999999,0.293981,0.241881,0.300862,0.248081,0.304962,0.268143,0.305362,0.2827,0.17761,0.2263399999999999,0.233708,0.235292,0.195082,0.2073,0.2192,0.22605
1,0.140084,0.22806,0.2486219999999999,0.2507,0.187428,0.206864,0.2167599999999999,0.227788,0.2456,0.298386,0.293262,0.294962,0.2954,0.2503,0.298224,0.256062,0.300962,0.277658,0.304662,0.289662,0.247862,0.314362,0.2946,0.297962,0.299362,0.252,0.304,0.2581099999999999,0.3104,0.280686,0.3142,0.291162,0.24582,0.307262,0.296162,0.2991,0.302,0.251662,0.308262,0.258886,0.3124,0.281862,0.3111,0.292,0.189364,0.23716,0.240648,0.244072,0.2048,0.216228,0.2281,0.2317
2,0.1534,0.2592799999999999,0.260199,0.259273,0.1976,0.215392,0.22703,0.235994,0.253015,0.3033,0.301086,0.302886,0.305915,0.257843,0.307401,0.264229,0.308643,0.2847,0.308543,0.298043,0.254315,0.318886,0.301743,0.303643,0.3062,0.260643,0.312,0.266086,0.315243,0.2882,0.3196,0.2994,0.2534,0.3131,0.301715,0.304143,0.307143,0.2612,0.313243,0.268143,0.317643,0.290058,0.314643,0.299643,0.196,0.24439,0.248936,0.2534,0.211,0.2209,0.2322,0.2387
3,0.163656,0.26616,0.2694,0.274364,0.206928,0.224412,0.2367,0.256,0.258724,0.307324,0.307624,0.309624,0.311524,0.265424,0.314772,0.271972,0.315724,0.292672,0.311324,0.3041,0.261624,0.3234,0.3079,0.3099,0.311524,0.2682,0.317824,0.275,0.3226,0.2956959999999999,0.3243,0.305024,0.261224,0.316324,0.307524,0.309872,0.312324,0.2682,0.3176,0.275348,0.3223,0.297348,0.3183,0.3048,0.2014,0.24942,0.2527,0.2565,0.216128,0.2254,0.2378,0.2431
4,0.1714,0.2711,0.278155,0.2813,0.2123,0.23221,0.2447,0.265345,0.2656,0.3104,0.312,0.314305,0.3162149999999999,0.271705,0.319605,0.27811,0.319905,0.2984,0.3149,0.3089,0.2678049999999999,0.3261,0.3142,0.3167049999999999,0.319405,0.2754,0.32241,0.281105,0.32561,0.3006049999999999,0.32741,0.310405,0.267505,0.3193,0.314405,0.3168,0.3175,0.27471,0.3217,0.2829,0.3252,0.3016,0.3209,0.3108,0.20661,0.2516,0.2549,0.2593,0.22021,0.22921,0.240655,0.2481499999999999
5,0.176792,0.2754,0.2856,0.2855,0.216992,0.2362,0.25102,0.2723,0.2708859999999999,0.3126859999999999,0.316586,0.3181,0.319972,0.276486,0.3227859999999999,0.283286,0.3234,0.303386,0.3179,0.313386,0.274086,0.3289,0.3196,0.3222859999999999,0.323886,0.2802,0.3271,0.286886,0.329,0.304858,0.330486,0.3156859999999999,0.2733859999999999,0.3222,0.3198,0.3212,0.322472,0.2807,0.324986,0.287186,0.3273,0.305386,0.3233,0.3164,0.2111839999999999,0.2531,0.257,0.2605,0.224,0.233484,0.243026,0.2506
6,0.182722,0.28101,0.2888,0.2888,0.222848,0.239774,0.2585,0.276,0.274967,0.315567,0.319867,0.3216,0.3227,0.2802,0.3248,0.2874,0.325667,0.307267,0.3209,0.3171339999999999,0.279,0.3321,0.323067,0.325,0.3266,0.284734,0.3302,0.291734,0.3315,0.308834,0.3333,0.3194,0.2788,0.325534,0.323,0.324567,0.3257,0.285267,0.327934,0.2923,0.329467,0.309067,0.3277339999999999,0.320467,0.215,0.25472,0.2586839999999999,0.2623,0.229174,0.2374,0.2452,0.2528
7,0.188256,0.28604,0.2912,0.2932,0.227756,0.243,0.26336,0.278892,0.279248,0.318148,0.3234,0.3243,0.3256,0.284848,0.3269,0.2912,0.3284,0.3105,0.3236,0.320548,0.283,0.3345,0.3259,0.3274,0.329,0.289148,0.3326,0.295748,0.3341,0.3124,0.336448,0.3228,0.2831,0.330348,0.326348,0.327,0.328448,0.289148,0.3305,0.2971,0.3317,0.3129,0.331544,0.323348,0.219256,0.2572,0.260896,0.264636,0.232512,0.2402,0.247768,0.2543
8,0.1939,0.2913,0.293799,0.2952,0.2329,0.2461,0.26793,0.2817,0.2826,0.3209,0.3254,0.326829,0.3279,0.288929,0.329029,0.2956,0.330329,0.313758,0.3257,0.323729,0.2874,0.337,0.3284,0.329729,0.3318,0.292929,0.3345,0.2988,0.336229,0.315929,0.3392,0.3256,0.286929,0.3336,0.3289,0.33,0.3311,0.294629,0.3322,0.3005,0.333529,0.3168,0.3345,0.3261,0.2228379999999999,0.2592,0.2632,0.2662279999999999,0.2355,0.243338,0.2506,0.2555
9,0.19822,0.2943,0.2958,0.29711,0.23702,0.2489,0.2731,0.284,0.28621,0.324,0.328,0.3292,0.33031,0.2922,0.33181,0.2985,0.3322,0.31721,0.3275,0.32661,0.29011,0.33911,0.33021,0.33211,0.3338,0.2967,0.3363,0.30251,0.338,0.3192,0.3412,0.3283,0.2908,0.33651,0.3314,0.3327,0.33301,0.29731,0.3347,0.30372,0.3364,0.3202,0.33771,0.32871,0.22654,0.2616,0.2649,0.268,0.23922,0.2462,0.2536,0.2574
