percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.044218,0.0,0.0,0.0,0.068438,0.072096,0.0,0.0,0.116932,0.094232,0.116932,0.116932,0.116932,0.116932,0.1175399999999999,0.116932,0.1175,0.116932,0.09794,0.116932,0.145814,0.167307,0.1467,0.146728,0.149342,0.145814,0.160807,0.145814,0.165607,0.145814,0.1692,0.145814,0.160264,0.2193,0.161332,0.1624799999999999,0.170612,0.160264,0.1931,0.160264,0.202416,0.160264,0.2193,0.1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0554599999999999,0.0,0.0,0.0,0.075876,0.085728,0.094476,0.0,0.123032,0.099532,0.123032,0.123032,0.1230639999999999,0.123032,0.124332,0.123032,0.123416,0.123032,0.103448,0.123032,0.150228,0.1718,0.150714,0.151028,0.153914,0.150228,0.163414,0.150228,0.168828,0.150228,0.1724139999999999,0.150428,0.166632,0.224232,0.167332,0.1696,0.175564,0.166632,0.195964,0.166632,0.205332,0.166632,0.224232,0.166732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.061814,0.0,0.0,0.0,0.079512,0.091514,0.102314,0.104322,0.1278,0.1055239999999999,0.1278,0.1278,0.128324,0.1278,0.1286,0.1278,0.1278,0.1278,0.108124,0.1278,0.153121,0.176321,0.1533209999999999,0.154221,0.157,0.153121,0.1659209999999999,0.153121,0.170321,0.153121,0.1765209999999999,0.153221,0.1709,0.2266,0.171396,0.1738,0.179148,0.1709,0.198848,0.1709,0.206896,0.1709,0.2265,0.170588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.066104,0.1093,0.1084519999999999,0.0,0.085352,0.095452,0.105652,0.110052,0.130064,0.1094,0.130128,0.130332,0.130464,0.130064,0.1304,0.130064,0.129732,0.130064,0.110832,0.130064,0.154928,0.178,0.1552,0.156228,0.1594,0.154928,0.1676,0.154928,0.1722,0.154928,0.1783,0.154928,0.1732,0.228464,0.1735,0.1766,0.1831,0.1732,0.2006,0.1732,0.2088,0.1732,0.2281,0.1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.07158,0.1109,0.11179,0.1123,0.08913,0.0973,0.1079,0.1126,0.1326,0.11218,0.13264,0.1325,0.1325,0.1326,0.1315,0.1326,0.1309,0.1326,0.11522,0.1326,0.156335,0.1792,0.1564,0.1585,0.1611,0.156335,0.1688,0.156335,0.17327,0.156335,0.1794,0.156335,0.1753,0.2298,0.17578,0.1792,0.18606,0.1753,0.20218,0.1753,0.21008,0.1753,0.2294,0.17528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0745,0.113584,0.1127,0.1139,0.0922,0.0995,0.110128,0.114,0.134748,0.1151,0.1347,0.134548,0.134448,0.134748,0.133148,0.134748,0.132048,0.134748,0.1194,0.134748,0.1582,0.1804,0.158284,0.1599,0.1627,0.1582,0.17,0.1582,0.1745,0.1582,0.180442,0.1582,0.177,0.231,0.178496,0.1812959999999999,0.1883,0.177,0.203396,0.177,0.211396,0.177,0.2303,0.177288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.077066,0.115066,0.114332,0.114866,0.0945,0.1017,0.112666,0.1155,0.1362,0.117956,0.136256,0.135756,0.135956,0.1362,0.134356,0.1362,0.1333,0.1362,0.122056,0.1362,0.16,0.182,0.160147,0.161749,0.1638,0.16,0.171347,0.16,0.1756,0.16,0.181949,0.16,0.179624,0.232412,0.181,0.18446,0.1912,0.179624,0.204712,0.179624,0.2121,0.1796,0.2313,0.179624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.080008,0.1161,0.117004,0.1171079999999999,0.097404,0.104216,0.114204,0.1166,0.137564,0.121464,0.1376,0.1375,0.1376,0.137564,0.1356639999999999,0.137564,0.134164,0.137564,0.124364,0.137564,0.1619,0.1832,0.1622,0.163,0.165,0.1619,0.1729,0.1619,0.177056,0.1619,0.1832,0.161856,0.182628,0.2339,0.183484,0.187124,0.193328,0.182628,0.206028,0.182628,0.213128,0.182456,0.232628,0.182456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0834,0.117584,0.120542,0.1202,0.1,0.106642,0.1162,0.119,0.138972,0.124572,0.1389,0.1389,0.1388,0.138972,0.1372,0.138972,0.1349,0.138972,0.125872,0.138972,0.163,0.1844,0.1634,0.1644,0.1662,0.163,0.1744,0.163,0.1781,0.163,0.1844,0.163,0.185144,0.2351,0.186344,0.190532,0.1949,0.185144,0.2071,0.185144,0.214644,0.185144,0.2342,0.185144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0864,0.1195,0.1229,0.1229,0.1023,0.1085,0.11948,0.1209,0.1402,0.1266,0.1401,0.1401,0.14008,0.1402,0.1383,0.1402,0.1359,0.1402,0.1281,0.1402,0.1648,0.18597,0.1648,0.1656699999999999,0.1675,0.1648,0.175,0.1648,0.1791,0.1648,0.18597,0.1648,0.18888,0.23652,0.18982,0.19286,0.19606,0.18888,0.2082,0.18888,0.21596,0.18888,0.23546,0.18906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.089,0.123908,0.1247,0.128472,0.104036,0.1109,0.121354,0.123818,0.1416879999999999,0.1284,0.141588,0.141476,0.141588,0.1416879999999999,0.139488,0.1416879999999999,0.1372,0.1416879999999999,0.129376,0.1416879999999999,0.166,0.187,0.166477,0.1672,0.1692,0.166,0.1758,0.166,0.1801,0.166,0.187,0.166,0.1919,0.2377,0.1929,0.194476,0.197376,0.1919,0.209176,0.1919,0.217376,0.1919,0.2365,0.1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0909,0.1264,0.1278,0.133712,0.1068,0.112712,0.1227,0.1264,0.143,0.129996,0.142896,0.142796,0.1428,0.143,0.140696,0.143,0.1383,0.143,0.130796,0.143,0.167884,0.188,0.1682,0.169,0.170568,0.167884,0.1768,0.167884,0.1808,0.167736,0.1878,0.167736,0.1937,0.2384,0.1944,0.196,0.198792,0.1937,0.2102919999999999,0.1937,0.2184,0.1937,0.2372,0.1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0935,0.1285939999999999,0.1336,0.135894,0.1088,0.114394,0.1248939999999999,0.1277,0.144204,0.1311,0.144,0.143904,0.143904,0.144204,0.1417,0.144204,0.1394,0.144204,0.131504,0.144204,0.1693909999999999,0.188891,0.1694,0.1704,0.1716,0.1693909999999999,0.1778,0.1693909999999999,0.1818,0.1693909999999999,0.1886,0.1693909999999999,0.195008,0.2393,0.196,0.1975,0.200608,0.195008,0.2112,0.195008,0.219508,0.195008,0.237808,0.1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.095064,0.130732,0.1368,0.1373,0.1101,0.116796,0.1268,0.1289,0.1456,0.132112,0.145212,0.1452,0.145,0.1456,0.1428,0.1456,0.1402,0.1456,0.132512,0.1456,0.1704,0.189798,0.1706,0.1718,0.173196,0.1704,0.1784,0.1704,0.182398,0.1704,0.189698,0.1704,0.196824,0.2398,0.1974,0.1988,0.202024,0.196824,0.212248,0.196824,0.2208,0.196824,0.2385,0.196824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.09727,0.13574,0.1387,0.1392,0.11197,0.1192,0.12777,0.13017,0.14672,0.13302,0.14662,0.14644,0.1464,0.14672,0.14392,0.14672,0.1410199999999999,0.14672,0.1336,0.14672,0.1715,0.190405,0.172105,0.173305,0.175105,0.1715,0.179405,0.1715,0.1832,0.1715,0.1904,0.171505,0.1977,0.2406,0.1986399999999999,0.2003,0.20304,0.1977,0.21334,0.1977,0.2219,0.1977,0.2394,0.19774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0991,0.138408,0.140108,0.14,0.113008,0.120916,0.128808,0.1314,0.147728,0.1342,0.147528,0.1475,0.147528,0.147728,0.1451,0.147728,0.142,0.147728,0.134928,0.147728,0.173,0.191,0.173712,0.1744,0.177,0.173,0.1804,0.173,0.184,0.173,0.191,0.173012,0.1993,0.241256,0.200156,0.2015,0.204,0.1993,0.214556,0.1993,0.2234,0.1993,0.2401,0.1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.101546,0.140492,0.1412,0.141392,0.114646,0.123292,0.130638,0.1327,0.1493,0.135236,0.148836,0.148736,0.1486,0.1493,0.146036,0.1493,0.142636,0.1493,0.1358,0.1493,0.1752,0.1916,0.175219,0.1764,0.178219,0.1752,0.1814,0.1752,0.1848,0.1752,0.1917,0.175119,0.2012,0.2419,0.2017,0.2025,0.205072,0.2012,0.215672,0.2012,0.2247,0.2012,0.240872,0.2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.103584,0.143084,0.141884,0.1421,0.1158,0.1254,0.132984,0.1347,0.1504,0.1363,0.1502,0.149988,0.149844,0.1504,0.1469,0.1504,0.1435,0.1504,0.1367,0.1504,0.177226,0.1922,0.1773,0.177826,0.1791,0.177226,0.182326,0.177226,0.1856,0.177226,0.1924,0.1772,0.2024,0.2426,0.202976,0.2038,0.2059,0.2024,0.2168,0.2024,0.225676,0.202488,0.2415,0.2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1055,0.145144,0.142922,0.1426,0.117322,0.1271,0.1353,0.1379,0.1516,0.1373,0.1514,0.151252,0.150952,0.1516,0.1478,0.1516,0.144252,0.1516,0.138104,0.1516,0.1785,0.193,0.178633,0.179,0.18,0.1785,0.183266,0.1785,0.1864,0.1785,0.193033,0.1785,0.2035,0.2434,0.2039,0.205,0.207208,0.2035,0.2174,0.2035,0.2265,0.203504,0.2428,0.203504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1077,0.146,0.1439,0.1434,0.11876,0.1287,0.13686,0.14166,0.15236,0.13836,0.1522,0.15216,0.15206,0.15236,0.1486,0.15236,0.1453,0.15236,0.13916,0.15236,0.17954,0.1934,0.1797,0.18,0.18064,0.17954,0.1845399999999999,0.17954,0.1871,0.1795,0.1934,0.1795,0.20442,0.24422,0.20504,0.2064,0.20822,0.20442,0.21842,0.20442,0.2274,0.20442,0.24352,0.2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1092,0.1466,0.145,0.1442,0.119998,0.129798,0.1388,0.143498,0.1532,0.1395,0.153068,0.1528,0.1526,0.1532,0.1495,0.1532,0.1463,0.1532,0.1402,0.1532,0.1804,0.194,0.1805,0.181,0.182,0.1804,0.185447,0.1804,0.1879,0.1804,0.194,0.1804,0.2056,0.2449,0.206936,0.2076,0.2091,0.2056,0.219636,0.2056,0.228136,0.2056,0.2444,0.2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1107,0.1471,0.146,0.1454,0.121836,0.131172,0.140272,0.146036,0.154076,0.1407,0.153776,0.1536,0.1534,0.154076,0.1507,0.154076,0.1472,0.154076,0.1413,0.154076,0.1813,0.1946,0.1816,0.182254,0.1832,0.1813,0.186354,0.1813,0.1888,0.181254,0.1946,0.181254,0.2072,0.245552,0.208,0.2088,0.2105,0.2072,0.2206,0.2072,0.2288,0.2072,0.2451,0.2074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.112222,0.1481,0.146974,0.1461,0.1233,0.133074,0.141974,0.1479,0.154984,0.1419,0.1547,0.154584,0.1543,0.154984,0.1515,0.154984,0.148084,0.154984,0.142484,0.154984,0.182561,0.1954,0.183061,0.1834,0.184,0.182561,0.1872,0.182561,0.189561,0.182561,0.195161,0.1826,0.2083,0.2464,0.209268,0.210168,0.211968,0.2083,0.2214,0.2083,0.2295,0.2083,0.2457,0.208368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.1134,0.1488,0.1477,0.1478,0.1253,0.1344,0.1435,0.1496,0.1557,0.142892,0.1556,0.1555919999999999,0.1554,0.1557,0.152592,0.1557,0.1492,0.1557,0.1437,0.1557919999999999,0.1836,0.1959,0.1839,0.1841,0.185,0.1836,0.1879,0.1836,0.1904,0.1836,0.1958,0.1836,0.209284,0.2473,0.2104,0.2116,0.213484,0.209284,0.2224,0.209284,0.2301,0.209284,0.2467,0.209684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1146,0.1497,0.14845,0.1507,0.127,0.1362499999999999,0.14485,0.1509,0.1569,0.1441,0.1568,0.1565,0.1561,0.1569,0.1536,0.1569,0.1502,0.1569,0.1449,0.1569,0.1845,0.1968,0.185,0.1852,0.186175,0.1845,0.1887,0.1845,0.1912,0.1845,0.1966,0.1845,0.2104,0.248,0.2118,0.2132,0.2145,0.2104,0.2236,0.2104,0.2308,0.2104,0.2478,0.2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.115988,0.1503,0.1491,0.1517879999999999,0.128876,0.1375,0.1461,0.1514,0.1579,0.145108,0.157808,0.157408,0.1571,0.1579,0.1543,0.1579,0.1515,0.1579,0.1457,0.1579,0.185482,0.1974,0.1861,0.1864,0.187082,0.185482,0.189482,0.185482,0.1923,0.185482,0.1972,0.1855,0.2116,0.249016,0.2133,0.2143,0.2159,0.2116,0.2245,0.2116,0.2312159999999999,0.2115159999999999,0.248416,0.2118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
