percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.078556,0.17393,0.177911,0.182592,0.1078819999999999,0.124146,0.1545399999999999,0.1668,0.180918,0.198236,0.197454,0.199054,0.198344,0.1810719999999999,0.198236,0.1823179999999999,0.198236,0.188436,0.198236,0.1939,0.19464,0.2015,0.201076,0.2015,0.201676,0.194816,0.2015,0.195276,0.2015,0.196564,0.2015,0.2003879999999999,0.189504,0.193808,0.197016,0.1967,0.195404,0.190408,0.193808,0.191124,0.193808,0.193204,0.193808,0.197312,0.110346,0.1598,0.160612,0.162793,0.1258,0.131464,0.1455,0.15775
1,0.093892,0.1793,0.182422,0.185484,0.122028,0.1395,0.16194,0.1717,0.193436,0.207316,0.2061079999999999,0.207736,0.207936,0.1936,0.207316,0.193816,0.207316,0.197336,0.207316,0.202036,0.203776,0.205276,0.207152,0.207952,0.207176,0.203876,0.205276,0.204676,0.205276,0.205028,0.205276,0.207452,0.2007,0.2025,0.206924,0.206208,0.204,0.2007159999999999,0.2025,0.2016,0.2025,0.203308,0.2025,0.207,0.125748,0.1616,0.1651,0.1679,0.1351,0.140628,0.156026,0.1618
2,0.1041,0.1841,0.187133,0.1895,0.132684,0.147892,0.1682,0.179847,0.201608,0.214654,0.210554,0.212854,0.214754,0.2017,0.214654,0.202254,0.214654,0.205308,0.214654,0.207354,0.209,0.211528,0.2146,0.215028,0.2136,0.209164,0.211528,0.2092,0.211528,0.2107639999999999,0.211528,0.212792,0.2075,0.210512,0.2118,0.211124,0.2112,0.207736,0.210512,0.2082,0.210512,0.210024,0.210512,0.2111,0.1355,0.1638,0.168172,0.173479,0.142146,0.1477,0.161152,0.1658
3,0.112356,0.1868,0.1906,0.194668,0.142512,0.156328,0.17518,0.1847,0.20886,0.219744,0.2163,0.218844,0.2196,0.209272,0.219744,0.209672,0.219744,0.2114,0.219744,0.2138,0.213252,0.2186519999999999,0.2191519999999999,0.2196,0.219504,0.2133519999999999,0.2186519999999999,0.2132,0.2186519999999999,0.215052,0.2186519999999999,0.2169,0.2134,0.217016,0.216216,0.2176,0.217916,0.213632,0.217016,0.213816,0.217016,0.2137,0.217016,0.2143,0.140528,0.16794,0.172348,0.1767,0.149368,0.153028,0.1656,0.1682
4,0.11941,0.1909,0.194355,0.20346,0.1498,0.1623,0.17965,0.188845,0.21309,0.223,0.2209,0.22339,0.22348,0.21348,0.223,0.21418,0.223,0.2166,0.223,0.2196,0.21708,0.22522,0.2229,0.22404,0.225,0.21662,0.22522,0.21674,0.22522,0.2192,0.22522,0.2209,0.21822,0.2221,0.2206199999999999,0.2221199999999999,0.22222,0.21842,0.2221,0.21852,0.2221,0.2189,0.2221,0.2196,0.1465,0.174,0.1769,0.1799,0.15321,0.1582,0.169455,0.17015
5,0.1243919999999999,0.19518,0.1973,0.2056,0.1582,0.1701,0.184,0.192188,0.2178,0.227408,0.226108,0.227208,0.2275,0.2181,0.227408,0.2183159999999999,0.227408,0.221108,0.227408,0.2233,0.222056,0.2303,0.226756,0.2288,0.229328,0.222,0.2303,0.2216,0.2303,0.222428,0.2303,0.224656,0.2227,0.226424,0.2249479999999999,0.225824,0.226648,0.223,0.226424,0.2231,0.226424,0.2238,0.226424,0.2236,0.150392,0.17888,0.180472,0.1825,0.157684,0.161792,0.1723,0.175
6,0.129874,0.19771,0.2051,0.208,0.165374,0.1744,0.1879,0.1949,0.221252,0.230226,0.229,0.2304,0.2309,0.221626,0.230226,0.222226,0.230226,0.225826,0.230226,0.2276,0.226516,0.233716,0.229616,0.2313,0.232732,0.226616,0.233716,0.226116,0.233716,0.2276,0.233716,0.2287,0.2279,0.2314,0.229228,0.230928,0.231328,0.2279,0.2314,0.228484,0.2314,0.2274,0.2314,0.227228,0.1541,0.183,0.185,0.188051,0.161374,0.166174,0.1746,0.1823
7,0.136512,0.20104,0.208888,0.210736,0.1695,0.179712,0.19246,0.2004,0.225544,0.2339,0.2321,0.2333,0.233988,0.225844,0.2339,0.2264,0.2339,0.229544,0.2339,0.2309,0.231508,0.2358,0.233104,0.2345,0.2355,0.231504,0.2358,0.2307,0.2358,0.2321,0.2358,0.232504,0.232232,0.235,0.234032,0.235032,0.2348,0.2323,0.235,0.233,0.235,0.232432,0.235,0.233032,0.157912,0.1862,0.1871,0.189844,0.165156,0.1704,0.1775,0.1853
8,0.140538,0.20837,0.2119,0.213,0.174538,0.182838,0.19623,0.2038,0.230362,0.236562,0.235162,0.236762,0.2367,0.230962,0.236562,0.231162,0.236562,0.232762,0.236562,0.2335,0.2352,0.238392,0.2364,0.2376,0.2387,0.234792,0.238392,0.234392,0.238392,0.2357,0.238392,0.2352,0.236672,0.240672,0.2389,0.239836,0.239672,0.236472,0.240672,0.2369359999999999,0.240672,0.2366,0.240672,0.2368,0.1606,0.18857,0.1905,0.1914,0.1688,0.174676,0.1809,0.1871499999999999
9,0.14574,0.2145,0.21401,0.2148,0.17832,0.18762,0.2,0.20709,0.2344,0.2393,0.23786,0.2393,0.23998,0.23498,0.2393,0.23468,0.2393,0.23556,0.2393,0.23708,0.24008,0.24336,0.24018,0.24218,0.24256,0.2399,0.24336,0.2395,0.24336,0.23858,0.24336,0.2381,0.241,0.24674,0.2428,0.24384,0.2453,0.241,0.24674,0.2413799999999999,0.24674,0.2404,0.24674,0.241,0.1643,0.1915,0.1931,0.1927,0.17202,0.1789,0.1841,0.1897
10,0.151102,0.21743,0.2164,0.216512,0.182404,0.1907,0.20284,0.210639,0.238098,0.2422979999999999,0.240698,0.2426,0.243,0.2384,0.2422979999999999,0.238398,0.2422979999999999,0.2396,0.2422979999999999,0.239598,0.244668,0.2480679999999999,0.2441,0.2456,0.247468,0.2442,0.2480679999999999,0.2442,0.2480679999999999,0.242868,0.2480679999999999,0.2411,0.244844,0.2518,0.245744,0.249244,0.250444,0.2449,0.2518,0.244944,0.2518,0.2448,0.2518,0.2441,0.167404,0.19333,0.1951,0.1947,0.1757,0.1825,0.1867,0.19235
11,0.1567,0.219,0.2187319999999999,0.2185,0.186184,0.1940839999999999,0.2060799999999999,0.215188,0.2420159999999999,0.2457,0.2442,0.245632,0.2459,0.242616,0.2457,0.243,0.2457,0.243448,0.2457,0.2424,0.2493679999999999,0.252556,0.247656,0.250156,0.2518,0.2489,0.252556,0.2486,0.252556,0.2468,0.252556,0.2451,0.2489,0.255644,0.25,0.252748,0.254396,0.2489,0.255644,0.2491,0.255644,0.248548,0.255644,0.246948,0.1701,0.1958,0.197,0.1972,0.1793,0.1849839999999999,0.1903,0.1951
12,0.1606,0.2205,0.2217,0.220596,0.189298,0.197,0.20991,0.219,0.245804,0.2491,0.2473,0.2486,0.248968,0.246334,0.2491,0.246734,0.2491,0.247534,0.2491,0.245368,0.2532,0.255744,0.2509,0.253632,0.2548,0.2532,0.255744,0.252944,0.255744,0.250488,0.255744,0.2488,0.253204,0.258952,0.254,0.2569039999999999,0.258304,0.253452,0.258952,0.2536,0.258952,0.253056,0.258952,0.251656,0.1727,0.198,0.1984,0.1988,0.182766,0.188066,0.1941,0.1965
13,0.163748,0.2226,0.2243,0.2234,0.1926,0.2001,0.213,0.222972,0.249952,0.2521,0.250752,0.2516,0.2518,0.2502,0.2521,0.251152,0.2521,0.251256,0.2521,0.249552,0.2581,0.2587,0.2551319999999999,0.257532,0.2581,0.258464,0.2587,0.2577,0.2587,0.2549,0.2587,0.253332,0.2575,0.262956,0.2585,0.260456,0.261556,0.257956,0.262956,0.2579,0.262956,0.2574,0.262956,0.256456,0.1754,0.19952,0.2003,0.201002,0.185948,0.1905,0.1971939999999999,0.1986
14,0.1681,0.2257,0.227065,0.2282799999999999,0.19503,0.20313,0.2158,0.226235,0.2534,0.2545699999999999,0.2536,0.25447,0.2543,0.25387,0.2545699999999999,0.2548,0.2545699999999999,0.2545,0.2545699999999999,0.2533,0.2625,0.2611199999999999,0.2596,0.26032,0.26064,0.2626,0.2611199999999999,0.26194,0.2611199999999999,0.2592199999999999,0.2611199999999999,0.2582,0.26216,0.2659,0.26236,0.2643,0.2657,0.26256,0.2659,0.26126,0.2659,0.261,0.2659,0.26054,0.1776,0.2014,0.2025,0.2033,0.1893,0.19303,0.1997,0.2012
15,0.171524,0.22876,0.229476,0.231272,0.197912,0.2066,0.21872,0.2292,0.258264,0.257388,0.2572,0.257688,0.257588,0.2587,0.257388,0.259076,0.257388,0.2586759999999999,0.257388,0.256588,0.266708,0.2637,0.262424,0.2638,0.263908,0.267016,0.2637,0.266816,0.2637,0.263808,0.2637,0.2618,0.266164,0.2686,0.2676,0.268064,0.268,0.2665,0.2686,0.266264,0.2686,0.2651,0.2686,0.2658,0.1802,0.2033,0.2042,0.2054,0.191612,0.196012,0.201336,0.2032
