percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.091738,0.17734,0.1829,0.1847,0.12021,0.132082,0.1617,0.1729,0.180831,0.208277,0.206154,0.209477,0.2109,0.186931,0.210554,0.191531,0.209054,0.1968,0.2086,0.201531,0.184362,0.238177,0.218277,0.2215,0.223677,0.191677,0.2281,0.1953,0.231,0.205977,0.237977,0.213177,0.1802079999999999,0.242877,0.2199,0.224077,0.227277,0.189577,0.234,0.194377,0.2391,0.205554,0.242877,0.213754,0.13,0.16823,0.1708,0.1746,0.140182,0.147582,0.157884,0.1648
1,0.104028,0.18876,0.1889,0.193182,0.135192,0.142928,0.1701399999999999,0.1814,0.193154,0.211654,0.216,0.215678,0.215254,0.1974,0.215254,0.202116,0.2148,0.213,0.2121,0.216108,0.1961699999999999,0.241454,0.224262,0.226754,0.2283,0.1998,0.232208,0.203654,0.2349,0.213654,0.2409079999999999,0.219354,0.192654,0.2488,0.2247,0.229554,0.231908,0.198154,0.2378,0.2023,0.2422,0.214108,0.2488,0.22,0.137628,0.172,0.1746,0.1761,0.1481,0.1539,0.166184,0.1709
2,0.1127919999999999,0.19198,0.194866,0.199273,0.1431,0.150146,0.1770199999999999,0.188941,0.200493,0.2161,0.220431,0.221,0.220331,0.204531,0.2197,0.208431,0.218362,0.219531,0.2161,0.220131,0.203431,0.243531,0.2274,0.230231,0.231831,0.205562,0.2355,0.2097,0.2382,0.2208,0.243431,0.2249,0.201931,0.2523,0.2292,0.2332,0.2354,0.204662,0.2405,0.209131,0.244431,0.2197,0.2523,0.224831,0.144046,0.17568,0.177508,0.177676,0.156038,0.1613,0.1724129999999999,0.1749
3,0.119428,0.19582,0.200332,0.203364,0.149984,0.1566,0.18088,0.1935,0.206816,0.220408,0.224508,0.2255,0.225808,0.2104,0.2255,0.215216,0.224408,0.224,0.2211,0.223608,0.209608,0.245808,0.230008,0.2327,0.2343,0.2116,0.2379,0.214916,0.2402,0.224208,0.2458,0.227708,0.2085,0.2551,0.2331,0.236008,0.2383,0.210716,0.2431,0.2146,0.2465,0.2238,0.2548,0.229008,0.149728,0.1780199999999999,0.1798,0.1803,0.160556,0.1661,0.1756,0.1777
4,0.12631,0.19915,0.2081,0.2103,0.15511,0.16452,0.18625,0.1973,0.2111,0.225085,0.2274,0.228785,0.22937,0.2145,0.2317,0.21937,0.232585,0.2273,0.226185,0.226685,0.213,0.2474,0.2323,0.2344,0.236,0.215285,0.2394,0.2185,0.241985,0.229185,0.2474,0.230385,0.2118,0.257,0.2358,0.2381,0.2404,0.214285,0.245,0.218,0.248885,0.2281699999999999,0.2568,0.2321,0.1542,0.18295,0.1828,0.18466,0.1648,0.17081,0.1783549999999999,0.1798
5,0.1326,0.2052,0.2113,0.216,0.159692,0.1731,0.19082,0.2,0.214462,0.2314,0.2299,0.2318,0.232862,0.217962,0.235262,0.222862,0.2369,0.231586,0.2317,0.228824,0.2151,0.2492,0.2344,0.236262,0.2377,0.218662,0.240962,0.222162,0.2435,0.2326,0.249162,0.2327,0.215562,0.259162,0.2376,0.240062,0.2421,0.2184,0.247062,0.222662,0.2511,0.2328,0.258824,0.2348,0.1588,0.1849,0.185172,0.1867,0.1685,0.175,0.1813,0.1833
6,0.1384,0.21321,0.215731,0.2186,0.164222,0.1794,0.1942,0.204386,0.217839,0.2344,0.2324,0.2343,0.2356,0.221939,0.2383,0.227278,0.2394,0.235139,0.2348,0.232,0.2183,0.2508,0.2364,0.2379,0.239439,0.2218,0.2428,0.226739,0.2451,0.2365,0.2507,0.2349,0.219,0.2608,0.239339,0.2423,0.244339,0.222139,0.2498,0.226478,0.2534,0.236217,0.260639,0.237239,0.163074,0.1864,0.187184,0.188544,0.1723,0.1789,0.184097,0.1856
7,0.143556,0.21624,0.2191,0.2217,0.168756,0.1841,0.19902,0.2075,0.2207,0.238016,0.2351,0.236816,0.238116,0.2251,0.2406,0.230116,0.241516,0.2374,0.238416,0.2347,0.221716,0.252616,0.2382,0.24,0.240916,0.225316,0.2441,0.231016,0.2468,0.2389,0.2524,0.237,0.221932,0.262316,0.241516,0.244,0.2469,0.226548,0.252,0.231532,0.2553,0.2396,0.2621,0.2391,0.166256,0.1884,0.189796,0.192436,0.1761,0.182,0.185768,0.1871
8,0.147938,0.2197,0.222099,0.223819,0.1732759999999999,0.187438,0.20393,0.212641,0.223993,0.240893,0.238,0.239593,0.2405,0.2282,0.2432,0.2336859999999999,0.2439,0.239193,0.2411,0.2369,0.2245,0.2544,0.2404,0.242,0.2433,0.229993,0.2463,0.2346,0.248693,0.2408,0.2542,0.2386,0.225793,0.2641,0.2435,0.2463,0.248793,0.230393,0.253993,0.2352,0.2575,0.242093,0.264,0.241193,0.1696,0.19107,0.193816,0.196,0.178538,0.183938,0.1874,0.18935
9,0.15234,0.2217,0.225,0.2264,0.1789,0.19104,0.2071,0.2151,0.22727,0.24314,0.2401,0.2417,0.243,0.23084,0.2451,0.2368,0.2457,0.24137,0.24367,0.2397,0.2291699999999999,0.25634,0.2422,0.244,0.24597,0.23317,0.2493,0.23817,0.25134,0.24317,0.25597,0.2413,0.2291699999999999,0.26704,0.2459,0.2486,0.2512,0.23377,0.2565,0.2388,0.2596,0.24467,0.26684,0.24327,0.1727,0.1947,0.1966,0.199,0.18182,0.1864,0.18911,0.1915
10,0.158004,0.2234,0.2272,0.2297,0.184702,0.194902,0.2109,0.2181,0.23,0.245147,0.2424,0.2441,0.2453,0.2346,0.248,0.239547,0.2473,0.2434,0.2454,0.2415,0.2324,0.2581,0.244047,0.2461,0.247994,0.236547,0.2522,0.241747,0.253547,0.2457,0.257547,0.2432,0.232847,0.2697,0.247547,0.2504,0.253,0.237347,0.258147,0.2423,0.2616,0.2472,0.269247,0.245447,0.1763,0.1968,0.1991,0.202,0.185402,0.1889,0.191781,0.19425
11,0.1626,0.226,0.229732,0.233892,0.1881,0.1993,0.2135,0.221988,0.234124,0.2468,0.2443,0.246124,0.2475,0.237424,0.2497,0.242124,0.2492,0.245,0.2471239999999999,0.2437,0.235624,0.2599,0.2459,0.248024,0.250324,0.239348,0.254,0.2448239999999999,0.255824,0.2475,0.2592,0.2452,0.2364,0.2721,0.249224,0.252,0.2547,0.2408,0.2601,0.245824,0.2638,0.2493,0.271824,0.247424,0.1796,0.19906,0.2015,0.203804,0.1885839999999999,0.1912839999999999,0.194352,0.1966
12,0.1671,0.2278,0.232843,0.237,0.192566,0.203466,0.2159,0.2247,0.2375,0.248001,0.246801,0.2481,0.249101,0.240201,0.2512,0.2451,0.2509,0.2468,0.2488,0.245401,0.239203,0.2622009999999999,0.2481,0.25,0.251901,0.242802,0.2559,0.247401,0.258001,0.249401,0.2618,0.2469,0.240201,0.274702,0.2513,0.2538,0.2564,0.244101,0.2616,0.248801,0.2658,0.2517,0.2745,0.2497,0.183,0.2012,0.2039,0.2059,0.1916,0.1942,0.197323,0.1997499999999999
13,0.170648,0.2314,0.235308,0.2398,0.197148,0.2071,0.21818,0.228772,0.2403,0.2495,0.2489,0.250078,0.251178,0.2434,0.2528,0.2476,0.2525,0.2486,0.2504,0.247578,0.242578,0.2645,0.2502,0.252278,0.2539,0.2465,0.257678,0.2509,0.2601,0.2512,0.2642,0.248878,0.243156,0.2777,0.2538,0.2556,0.258,0.247478,0.2634,0.251556,0.2678,0.2542,0.2774,0.2522,0.1861,0.20352,0.2074,0.2073,0.1947,0.1967,0.2005,0.2031
14,0.1748,0.2344,0.2378,0.2422649999999999,0.2004,0.21113,0.22125,0.2321,0.243255,0.251,0.2507,0.252055,0.2529,0.246655,0.2544,0.251,0.254,0.2511,0.2518,0.2492,0.2463,0.2669,0.2525,0.2544,0.2557,0.2503,0.259555,0.2531,0.2617549999999999,0.253,0.2667,0.251,0.246655,0.2802,0.256055,0.2581,0.259955,0.250855,0.2651,0.2543,0.2699,0.2564,0.2799,0.254355,0.1893,0.20775,0.2096,0.20898,0.19733,0.1997,0.202765,0.20575
15,0.1786,0.2364,0.2405,0.244512,0.2035,0.214712,0.225,0.234884,0.246432,0.2523,0.2528,0.2541319999999999,0.254932,0.250232,0.2561,0.2534,0.2555,0.2534,0.2531,0.2515,0.249532,0.2697319999999999,0.2549,0.2566,0.257832,0.2531,0.261,0.2561,0.2639,0.2552,0.269132,0.2528,0.2497,0.2823,0.258,0.2602319999999999,0.2617319999999999,0.254032,0.267132,0.257464,0.271632,0.2583,0.2819,0.2559,0.191612,0.2104,0.2109,0.211372,0.1999,0.2019,0.2051,0.2083
