percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0527029999999999,0.0,0.0,0.0,0.0782,0.100003,0.1209089999999999,0.131903,0.308828,0.3141319999999999,0.3130239999999999,0.313844,0.3146,0.30964,0.3141319999999999,0.30964,0.3141319999999999,0.310188,0.3141319999999999,0.310932,0.311812,0.331626,0.331326,0.336004,0.339036,0.31187,0.331626,0.312044,0.331626,0.317246,0.331626,0.3247,0.0996069999999999,0.0,0.0,0.0,0.126805,0.138603,0.154908,0.181637
1,0.066904,0.154602,0.1558119999999999,0.0,0.0951,0.111504,0.129406,0.145308,0.3227879999999999,0.328196,0.326556,0.329396,0.328584,0.3232799999999999,0.328196,0.3232799999999999,0.328196,0.326016,0.328196,0.326868,0.3315,0.346084,0.342936,0.347168,0.3468,0.3315,0.346084,0.331404,0.346084,0.33496,0.346084,0.33742,0.116702,0.188602,0.1851,0.0,0.138702,0.148902,0.166706,0.189402
2,0.074712,0.161109,0.167327,0.165815,0.103812,0.1189,0.1382,0.1577,0.332632,0.336544,0.334644,0.337332,0.336676,0.332632,0.336544,0.332888,0.336544,0.333132,0.336544,0.333972,0.338304,0.351652,0.3487,0.352982,0.352356,0.338304,0.351652,0.33883,0.351652,0.343252,0.351652,0.345286,0.124403,0.192806,0.2001,0.202903,0.147306,0.1559,0.179612,0.194503
3,0.0812,0.167504,0.172704,0.1840399999999999,0.108804,0.1256,0.142904,0.162208,0.343468,0.3468839999999999,0.3435,0.3468839999999999,0.3469,0.343468,0.3468839999999999,0.3435,0.3468839999999999,0.343684,0.3468839999999999,0.343684,0.345812,0.356972,0.3533,0.3568,0.357404,0.346576,0.356972,0.3469,0.356972,0.3479359999999999,0.356972,0.350872,0.132504,0.1992159999999999,0.205,0.205404,0.152804,0.161204,0.1886,0.1989
4,0.086005,0.1725199999999999,0.17571,0.194705,0.117425,0.13083,0.14821,0.1655,0.3498,0.35164,0.35044,0.35072,0.3517,0.3498,0.35164,0.35014,0.35164,0.35062,0.35164,0.34984,0.35194,0.35882,0.35795,0.35901,0.3596,0.35232,0.35882,0.35232,0.35882,0.35491,0.35882,0.3567,0.140915,0.20662,0.2077,0.2098,0.157405,0.16801,0.194005,0.201405
5,0.091006,0.175812,0.181912,0.1977,0.1234,0.136206,0.155106,0.167206,0.3559759999999999,0.35624,0.356064,0.355788,0.355888,0.3559759999999999,0.35624,0.355788,0.35624,0.357188,0.35624,0.356,0.356752,0.361604,0.361452,0.3616,0.362752,0.356752,0.361604,0.356752,0.361604,0.3579,0.361604,0.359552,0.145806,0.2116,0.210906,0.213606,0.161412,0.173512,0.197506,0.2041
6,0.0978,0.1784,0.194175,0.1992,0.126814,0.1412,0.160407,0.169307,0.359772,0.359572,0.359936,0.359136,0.358736,0.359772,0.359572,0.359772,0.359572,0.3600359999999999,0.359572,0.359772,0.3599,0.3641,0.3636,0.3646,0.365294,0.3599,0.3641,0.359994,0.3641,0.361276,0.3641,0.3620939999999999,0.150207,0.213907,0.214,0.217228,0.166028,0.179514,0.201607,0.206807
7,0.101,0.181524,0.201508,0.202608,0.130724,0.144324,0.1628,0.172208,0.362484,0.362,0.3621,0.362,0.362,0.362484,0.362,0.362484,0.362,0.362884,0.362,0.362436,0.3630359999999999,0.3663,0.366172,0.366436,0.3672,0.3630359999999999,0.3663,0.36328,0.3663,0.364236,0.3663,0.364836,0.1558159999999999,0.216008,0.2160159999999999,0.221224,0.172708,0.184408,0.203908,0.209
8,0.1068269999999999,0.186809,0.204009,0.2055179999999999,0.135109,0.1481,0.1674359999999999,0.177909,0.364864,0.3640319999999999,0.3648,0.363832,0.3648,0.3648,0.3640319999999999,0.364864,0.3640319999999999,0.3652,0.3640319999999999,0.364528,0.3660779999999999,0.3680779999999999,0.368778,0.368878,0.3686,0.3660779999999999,0.3680779999999999,0.3660779999999999,0.3680779999999999,0.3671,0.3680779999999999,0.367256,0.161009,0.217809,0.217509,0.2249,0.1788,0.190009,0.209127,0.212509
9,0.1105,0.19272,0.2056,0.2078,0.1386,0.15241,0.1725199999999999,0.18602,0.36726,0.3659799999999999,0.36726,0.36628,0.36698,0.3671,0.3659799999999999,0.3671,0.3659799999999999,0.36774,0.3659799999999999,0.36726,0.36942,0.37002,0.3706399999999999,0.37082,0.37044,0.36942,0.37002,0.36932,0.37002,0.37046,0.37002,0.37082,0.1659199999999999,0.2197,0.21961,0.2276,0.18393,0.19622,0.2133199999999999,0.21552
