percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.039508,0.317168,0.315868,0.3397,0.0386,0.0433,0.182028,0.308352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0745639999999999,0.322304,0.341408,0.346404,0.12908,0.148448,0.202708,0.315624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.105624,0.332612,0.3436,0.3479,0.155028,0.1905,0.237724,0.3241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1243079999999999,0.338508,0.3463,0.3517,0.173612,0.205416,0.256304,0.32744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13816,0.3428,0.3483,0.35536,0.18428,0.21396,0.28458,0.33156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1498239999999999,0.346112,0.349724,0.358124,0.19852,0.219312,0.296384,0.337512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.161992,0.3485,0.3524,0.3599279999999999,0.209932,0.227412,0.305712,0.343364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.170548,0.3531,0.356216,0.362416,0.219816,0.239716,0.3135,0.348216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.178668,0.355468,0.360568,0.365868,0.229768,0.2522479999999999,0.319668,0.3514359999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18592,0.3574,0.366,0.36832,0.23704,0.26054,0.32342,0.35522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.19136,0.360872,0.368644,0.370816,0.242516,0.272472,0.331072,0.358072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.199244,0.3629,0.372272,0.376568,0.2479,0.276872,0.335348,0.359524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
