percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.07973,0.0,0.0,0.0,0.104235,0.118445,0.128215,0.126305,0.119335,0.0,0.0,0.0,0.1226,0.12276,0.14246,0.136405
1,0.08953,0.14086,0.0,0.0,0.11479,0.12656,0.14026,0.14442,0.13053,0.14743,0.0,0.0,0.1447,0.1606,0.15162,0.14538
2,0.097045,0.152825,0.15369,0.15188,0.120215,0.1331,0.14858,0.14957,0.14118,0.172435,0.172545,0.173545,0.16168,0.1662,0.172845,0.174445
3,0.10244,0.15722,0.1617,0.17406,0.1272,0.13902,0.1538,0.15526,0.1484,0.17894,0.1778,0.1856,0.1662,0.17196,0.1787,0.17716
4,0.1072999999999999,0.1639,0.1783,0.1844,0.1339,0.14965,0.158175,0.16185,0.154325,0.18495,0.18995,0.1923,0.1706,0.1747,0.1808,0.18045
5,0.11198,0.18925,0.1907,0.1926,0.1424899999999999,0.15539,0.16318,0.17434,0.15898,0.19867,0.20016,0.20036,0.17479,0.1774899999999999,0.18558,0.19847
6,0.11771,0.197505,0.19671,0.1987,0.148205,0.15961,0.1691,0.188905,0.163705,0.207115,0.2108199999999999,0.210125,0.1775,0.179605,0.194325,0.202505
7,0.12222,0.20174,0.20544,0.20334,0.15184,0.16432,0.17814,0.19452,0.168,0.2147,0.2197,0.21864,0.1799,0.18384,0.19962,0.2069
8,0.125905,0.2061,0.207835,0.2066,0.156435,0.1684,0.1852349999999999,0.2002,0.1705,0.22,0.224,0.222435,0.1828,0.1885349999999999,0.2027699999999999,0.209835
9,0.1301,0.20855,0.2104,0.2105,0.1607,0.1713,0.191,0.2039,0.17395,0.22275,0.2255,0.22425,0.1865,0.1924,0.2067999999999999,0.21685
10,0.1331,0.2116,0.2132649999999999,0.2142649999999999,0.1663299999999999,0.1742,0.195195,0.206,0.176765,0.22506,0.2266,0.22643,0.189265,0.1961,0.2097,0.220465
11,0.13588,0.2129,0.2158,0.218,0.1693,0.17852,0.19768,0.20818,0.17918,0.22708,0.22768,0.2281,0.1915599999999999,0.19888,0.21218,0.22198
12,0.13939,0.2152,0.2175,0.2189,0.172785,0.180995,0.1998,0.2094,0.1813,0.2283,0.228895,0.2292,0.19448,0.20279,0.2155,0.2237
13,0.1429,0.21761,0.2193,0.22041,0.1757,0.18352,0.20201,0.2106,0.1838,0.2294,0.23031,0.2301,0.19681,0.20441,0.2172,0.2256
14,0.147225,0.219725,0.220725,0.2235,0.177325,0.186725,0.2037,0.2116,0.186025,0.230025,0.2312,0.230925,0.1983,0.206525,0.2184,0.226925
15,0.15014,0.22074,0.2229,0.2247,0.17896,0.18984,0.20524,0.2136,0.1878,0.2309,0.23184,0.23228,0.2006,0.20844,0.2202,0.22824
16,0.1533,0.2222,0.225375,0.227,0.180955,0.1916,0.2064,0.21541,0.1899,0.231855,0.233,0.233855,0.2027,0.2096,0.2222,0.2293
17,0.15647,0.223,0.2269,0.2286699999999999,0.18377,0.19417,0.20807,0.2175699999999999,0.19167,0.23277,0.2338,0.23477,0.20474,0.2115,0.224,0.2303
18,0.159285,0.2245,0.228185,0.230185,0.1862,0.197355,0.2103,0.219985,0.1936,0.2342,0.234985,0.2356,0.2062,0.2134,0.2251,0.231385
19,0.1619,0.2259,0.2294,0.2312,0.1888,0.1992,0.2118,0.2215,0.1955,0.2357,0.2364,0.2366,0.2077,0.2153,0.2264,0.2327
20,0.164215,0.227315,0.231,0.233,0.19053,0.20213,0.213445,0.2227,0.19743,0.2371,0.238,0.237615,0.2100149999999999,0.2172,0.2276149999999999,0.2342
21,0.16729,0.2287,0.2321,0.23553,0.1919,0.2047,0.21543,0.2246,0.1996,0.238,0.23903,0.2387,0.21233,0.2187,0.2294,0.23513
22,0.171245,0.230045,0.2331,0.2366,0.193845,0.206645,0.217745,0.225645,0.201545,0.239,0.239845,0.24,0.2135,0.220845,0.2308,0.2358
23,0.17322,0.2313,0.23416,0.2378,0.19556,0.20826,0.21956,0.22646,0.203,0.24006,0.2409,0.2426,0.2155,0.22332,0.232,0.2368
24,0.17585,0.2325,0.235275,0.2384,0.1985,0.209575,0.221375,0.2276,0.2048,0.241,0.2419,0.243975,0.217475,0.225175,0.2334,0.2379
25,0.1786,0.2341,0.2363,0.2389,0.20059,0.2113,0.2235,0.22879,0.20639,0.2422899999999999,0.2427,0.2455,0.21949,0.2267,0.2346,0.23959
26,0.18162,0.2347,0.2376,0.239405,0.202505,0.2142,0.2257,0.23071,0.20841,0.243205,0.2438,0.2476,0.221805,0.228405,0.235605,0.2414
27,0.1854,0.2357,0.2385,0.23982,0.2053,0.21702,0.2277,0.2321,0.21012,0.24422,0.24544,0.2489,0.22352,0.23032,0.23692,0.24282
28,0.1887349999999999,0.2371,0.24,0.2404,0.2074,0.2195,0.2294,0.233735,0.2116,0.245,0.2468,0.25,0.2259,0.23167,0.2384,0.244335
29,0.1908,0.2376,0.2411,0.2409,0.20995,0.2211,0.23075,0.2354,0.2137,0.24595,0.24845,0.25115,0.2272,0.233,0.2393,0.2457
30,0.194,0.2386,0.2418,0.2414,0.2128,0.2229,0.232365,0.2366,0.2155,0.2465,0.2495,0.252765,0.2286649999999999,0.234565,0.2408,0.246565
31,0.1964,0.23958,0.2429,0.2423,0.2144,0.22538,0.23468,0.2379,0.2173,0.2471,0.25048,0.2537,0.2301,0.2359,0.24218,0.24778
32,0.1986,0.241095,0.2437,0.2429,0.21719,0.227095,0.2363,0.2393,0.2195,0.2476,0.2512,0.2543,0.232,0.2369949999999999,0.2433,0.2488
33,0.20101,0.2423,0.2448,0.24381,0.2193,0.2291,0.23781,0.2406,0.22131,0.2487,0.2519,0.2551,0.23411,0.238,0.2443,0.2501
34,0.2032499999999999,0.2433,0.246025,0.245,0.221725,0.230425,0.239325,0.2413,0.223325,0.250525,0.252725,0.2559,0.2355249999999999,0.2391,0.245225,0.251
35,0.2061,0.24414,0.2476399999999999,0.2464,0.2235,0.2321,0.2402399999999999,0.2423399999999999,0.2254,0.2522399999999999,0.2535,0.2568399999999999,0.2375399999999999,0.2401,0.2468399999999999,0.252
