percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.12068,0.0,0.0,0.0,0.18784,0.2173999999999999,0.23648,0.0,0.333683,0.379253,0.379589,0.3807,0.3803,0.335653,0.379253,0.3357529999999999,0.379253,0.347465,0.379253,0.3722299999999999,0.3406,0.38372,0.38054,0.381716,0.385016,0.340644,0.38372,0.341716,0.38372,0.35142,0.38372,0.370908,0.33055,0.3892,0.37945,0.3841,0.3878,0.33145,0.3892,0.33445,0.3892,0.34675,0.3892,0.36785,0.21104,0.0,0.0,0.0,0.24424,0.26422,0.28056,0.1675200000000004
1,0.1425199999999999,0.27682,0.0,0.0,0.20146,0.23112,0.24658,0.25486,0.35263,0.3906,0.387006,0.388206,0.3895,0.353912,0.3906,0.353912,0.3906,0.36076,0.3906,0.3795,0.355708,0.395,0.386024,0.389216,0.3934,0.3560879999999999,0.395,0.359524,0.395,0.364024,0.395,0.379908,0.3445,0.395,0.3852,0.3886,0.3917,0.3445,0.395,0.3472,0.395,0.3615,0.395,0.3794,0.22452,0.297,0.0,0.0,0.257,0.27926,0.2925,0.30288
2,0.1604,0.29318,0.29644,0.3010799999999999,0.211,0.24402,0.2607,0.29386,0.364231,0.3954,0.3898,0.392918,0.394818,0.364936,0.3954,0.368595,0.3954,0.372836,0.3954,0.3848,0.368612,0.3984,0.3902,0.3944,0.396812,0.368248,0.3984,0.371,0.3984,0.372836,0.3984,0.3848959999999999,0.3569,0.4004,0.39105,0.394,0.39685,0.3571,0.4004,0.35975,0.4004,0.3753999999999999,0.4004,0.38525,0.23946,0.315,0.31526,0.30864,0.2689,0.2878,0.30462,0.3145
3,0.17032,0.30464,0.30564,0.313,0.22292,0.25598,0.28518,0.30772,0.3747,0.39846,0.393884,0.3954,0.397,0.375496,0.39846,0.380524,0.39846,0.382024,0.39846,0.389524,0.3776,0.401516,0.393232,0.397316,0.399616,0.3776,0.401516,0.37768,0.401516,0.38528,0.401516,0.389848,0.3692,0.4039,0.3974,0.3999,0.4016,0.3705,0.4039,0.3737,0.4039,0.3846,0.4039,0.393,0.24884,0.3243,0.32478,0.32134,0.27894,0.2937,0.31154,0.3218
4,0.1812,0.3216,0.3198,0.3202,0.233,0.263,0.3009,0.3159,0.382565,0.402165,0.397795,0.399565,0.4013299999999999,0.38353,0.402165,0.386755,0.402165,0.389025,0.402165,0.395695,0.38592,0.40346,0.39866,0.40058,0.40272,0.3873999999999999,0.40346,0.3888,0.40346,0.39126,0.40346,0.3944399999999999,0.38265,0.4075,0.4022,0.4055,0.4062,0.38325,0.4075,0.38475,0.4075,0.39375,0.4075,0.3984499999999999,0.2558,0.3274,0.3293,0.3301,0.2853,0.299,0.3217,0.3262
5,0.18876,0.32926,0.3305599999999999,0.32422,0.24086,0.26742,0.3085799999999999,0.32058,0.3906,0.405218,0.4021,0.4033,0.404018,0.391936,0.405218,0.393372,0.405218,0.3953359999999999,0.405218,0.3999359999999999,0.393024,0.4071,0.4048,0.4054,0.406024,0.3946,0.4071,0.394696,0.4071,0.396324,0.4071,0.400896,0.3894,0.4109,0.408,0.41,0.4111,0.3902,0.4109,0.3941,0.4109,0.4012,0.4109,0.4044,0.26216,0.3331,0.3333,0.3404,0.29018,0.30586,0.32724,0.32916
6,0.19682,0.33402,0.33432,0.33616,0.24992,0.2721,0.3162,0.32516,0.395442,0.407684,0.4058,0.4062,0.406871,0.3959,0.407684,0.398184,0.407684,0.402,0.407684,0.402871,0.402528,0.412028,0.4104,0.409568,0.4110399999999999,0.403224,0.412028,0.403996,0.412028,0.4023,0.412028,0.407756,0.39815,0.4138,0.4139,0.41395,0.4141,0.39955,0.4138,0.40375,0.4138,0.4084,0.4138,0.41095,0.27042,0.33712,0.338,0.3452,0.29612,0.3105,0.33252,0.33242
7,0.20524,0.3373,0.3377199999999999,0.34298,0.25582,0.27668,0.3219,0.33154,0.401248,0.4106,0.4097,0.4096,0.410524,0.402548,0.4106,0.4053,0.4106,0.405424,0.4106,0.406924,0.4069,0.416332,0.415132,0.4156,0.41536,0.4074319999999999,0.416332,0.408528,0.416332,0.410264,0.416332,0.412224,0.4079,0.4201,0.418,0.418,0.4197,0.4084,0.4201,0.4105,0.4201,0.4154,0.4201,0.4162,0.2765,0.3392799999999999,0.3452,0.3478,0.30124,0.3145,0.3359,0.33726
8,0.21058,0.34134,0.34102,0.3485,0.2621199999999999,0.28418,0.3258,0.3366,0.406631,0.4142,0.412477,0.412277,0.413577,0.408431,0.4142,0.410177,0.4142,0.410177,0.4142,0.410577,0.4128,0.419472,0.417636,0.4186,0.419136,0.4133,0.419472,0.413408,0.419472,0.414236,0.419472,0.415472,0.41425,0.4237,0.42135,0.42195,0.4231,0.41455,0.4237,0.41635,0.4237,0.42025,0.4237,0.4212,0.28184,0.3434,0.3501,0.3511,0.30584,0.32004,0.33914,0.34042
9,0.2174,0.344,0.3465,0.3538,0.2692,0.2941,0.3296,0.3391,0.4122,0.41746,0.4156,0.4156,0.41699,0.41283,0.41746,0.41473,0.41746,0.41399,0.41746,0.4146,0.41804,0.42234,0.42068,0.42074,0.4215,0.4189,0.42234,0.41932,0.42234,0.4208,0.42234,0.4192,0.4195,0.426,0.4241,0.4247,0.425,0.4197,0.426,0.421,0.426,0.4249,0.426,0.4243,0.2877,0.3475,0.3517,0.354,0.3116,0.3251,0.3426,0.3435
10,0.22352,0.346,0.3498,0.35686,0.2755,0.3004,0.33456,0.34228,0.417149,0.4203,0.4203,0.420166,0.420383,0.4185,0.4203,0.4198,0.4203,0.417832,0.4203,0.4168,0.425576,0.4244,0.4234,0.423088,0.4239,0.425888,0.4244,0.427044,0.4244,0.424444,0.4244,0.422,0.42395,0.42855,0.42695,0.4272,0.4281,0.4254,0.42855,0.42605,0.42855,0.4297,0.42855,0.4276,0.29322,0.35116,0.3547,0.35662,0.3159,0.32976,0.34556,0.3494
11,0.23054,0.3485,0.3552,0.3594,0.28042,0.3053,0.339,0.3484399999999999,0.42276,0.422436,0.4234,0.422972,0.4227,0.4236,0.422436,0.4252,0.422436,0.421136,0.422436,0.419772,0.430948,0.4266,0.426348,0.4256,0.426044,0.431096,0.4266,0.431492,0.4266,0.428444,0.4266,0.426096,0.4278,0.4309,0.4298,0.429,0.4302,0.4294,0.4309,0.4317,0.4309,0.4329,0.4309,0.4299,0.29912,0.35742,0.35762,0.3604,0.32044,0.33442,0.3481,0.35428
12,0.2363,0.35198,0.35808,0.36416,0.2856,0.3097,0.3415,0.35296,0.427189,0.4252,0.4270779999999999,0.425289,0.425389,0.427889,0.4252,0.4289779999999999,0.4252,0.425967,0.4252,0.424989,0.435104,0.428904,0.428856,0.427952,0.428304,0.435652,0.428904,0.435752,0.428904,0.4344,0.428904,0.4306,0.433,0.43315,0.433,0.4317,0.43215,0.4347999999999999,0.43315,0.4367999999999999,0.43315,0.43685,0.43315,0.4337499999999999,0.30378,0.3618,0.3607,0.36588,0.3242,0.3379,0.35068,0.35818
13,0.24028,0.35594,0.36184,0.372,0.29038,0.31474,0.34464,0.356,0.4318,0.427784,0.4302,0.4279,0.427642,0.432068,0.427784,0.433152,0.427784,0.430426,0.427784,0.427942,0.438956,0.431624,0.433256,0.431712,0.431156,0.44038,0.431624,0.440356,0.431624,0.439112,0.431624,0.434356,0.4383,0.4365,0.4362,0.4357,0.4363,0.4391,0.4365,0.4404,0.4365,0.4406,0.4365,0.4394,0.3089,0.3638,0.36454,0.3691399999999999,0.32744,0.34224,0.3543,0.36164
