percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.06098,0.1239,0.1277,0.1309,0.0860399999999999,0.09564,0.111128,0.1202,0.140235,0.1654,0.159735,0.1624,0.164135,0.14207,0.1654,0.143835,0.1654,0.15187,0.1654,0.15647,0.14647,0.17417,0.1625,0.166735,0.169635,0.1472,0.17287,0.14887,0.17417,0.15354,0.17417,0.158635,0.144205,0.175435,0.1631,0.1672,0.170535,0.14527,0.17364,0.1469099999999999,0.175435,0.15348,0.175435,0.1585,0.0933,0.124288,0.125,0.1264,0.10524,0.10974,0.114929,0.123608
1,0.07,0.130428,0.134538,0.140896,0.09208,0.1030799999999999,0.114756,0.1242,0.14607,0.1702,0.163,0.1664,0.16777,0.14817,0.16977,0.15057,0.1702,0.1569,0.1702,0.1598699999999999,0.15224,0.1774,0.1649,0.16927,0.1719699999999999,0.1534,0.17647,0.1550699999999999,0.1774,0.1595,0.1774,0.1616,0.15127,0.17884,0.16624,0.17031,0.1734099999999999,0.1523,0.1782,0.1546,0.17884,0.15997,0.17884,0.1623399999999999,0.0983,0.127152,0.13102,0.136,0.1083799999999999,0.1124,0.119116,0.1255
2,0.07602,0.135628,0.141007,0.143047,0.0974599999999999,0.10712,0.1182,0.1293,0.150505,0.172205,0.1654,0.168205,0.169705,0.1523,0.1718,0.154505,0.172205,0.159505,0.172205,0.1623,0.1556,0.178705,0.169405,0.173105,0.1754,0.156905,0.177905,0.158005,0.178705,0.162,0.178705,0.1656,0.1546149999999999,0.182,0.17051,0.175205,0.177905,0.156805,0.180905,0.157805,0.182,0.1622,0.182,0.16591,0.10294,0.1329,0.13891,0.13985,0.11162,0.1162,0.122774,0.128124
3,0.0813,0.139652,0.1454,0.144796,0.1009,0.10976,0.1221,0.134828,0.1536,0.1735,0.16854,0.1709,0.17154,0.155,0.173,0.15724,0.1735,0.1619,0.1735,0.1648,0.1582,0.18,0.17268,0.1761,0.1779,0.15924,0.1795,0.1603399999999999,0.18,0.1641,0.18,0.16834,0.1577,0.1845,0.1735,0.17768,0.18114,0.159,0.18374,0.1605,0.1845,0.1642,0.1845,0.1688,0.10568,0.138104,0.14118,0.1431,0.11386,0.11796,0.125316,0.132164
4,0.0855,0.14354,0.1477,0.149145,0.1049,0.1127,0.1276,0.1373,0.1565,0.1745,0.170275,0.1723,0.1732,0.157775,0.1741,0.1595,0.1745,0.163875,0.1745,0.167075,0.160275,0.1813,0.1746,0.1775,0.1794,0.1613,0.1809,0.162675,0.1813,0.166075,0.1813,0.1707,0.1595,0.186275,0.1764,0.1806,0.183,0.1612,0.185975,0.1627,0.186275,0.1664,0.186275,0.171375,0.1082,0.14124,0.1427,0.1448,0.1161,0.1202,0.128645,0.1359
5,0.08844,0.1458,0.1493,0.1509,0.1081,0.1168,0.1311,0.139542,0.1585,0.1757,0.1717,0.1734,0.1744,0.1598099999999999,0.1752,0.1617,0.1757,0.16541,0.1757,0.16931,0.162,0.1826,0.17611,0.1789,0.1807099999999999,0.16271,0.1821,0.1646,0.1826,0.1682,0.1826,0.1723,0.1617,0.1876,0.1789,0.1826,0.1851,0.1629,0.1872,0.16451,0.1876,0.16831,0.1876,0.17361,0.11024,0.142928,0.144,0.1464,0.11844,0.1216,0.1299,0.138448
6,0.0919,0.147416,0.1506,0.152,0.11094,0.1198,0.133896,0.143049,0.1602,0.1767,0.1733,0.1747,0.175445,0.1613,0.176345,0.1633,0.1767,0.167345,0.1767,0.1706,0.163445,0.1839,0.1778,0.180645,0.1821,0.1642,0.183445,0.1659,0.1839,0.1698,0.1839,0.1737,0.163445,0.1891,0.1811,0.184645,0.1867,0.164445,0.188745,0.1664,0.1891,0.1711,0.1891,0.176245,0.1122799999999999,0.1442,0.1451,0.1477,0.11988,0.1231,0.131403,0.140656
7,0.09404,0.1503,0.1518,0.1539,0.114,0.1221,0.1372239999999999,0.144956,0.1615,0.1775,0.17448,0.1759,0.1768,0.1626,0.1772,0.1645,0.1775,0.16898,0.1775,0.17198,0.1647,0.1851,0.1792,0.1823,0.1835,0.16578,0.18498,0.16728,0.1851,0.17128,0.1851,0.17568,0.16468,0.1909,0.1823,0.1861,0.1879,0.1661,0.1906,0.16768,0.1909,0.17318,0.1909,0.1782,0.1146,0.1453,0.1463,0.149,0.12122,0.12482,0.133,0.1423
8,0.0969,0.1514,0.1539,0.1556,0.1158,0.12436,0.1399,0.146763,0.1626149999999999,0.1782149999999999,0.1753,0.1771,0.1777,0.1639149999999999,0.1779,0.165815,0.1782149999999999,0.1706,0.1782149999999999,0.1734,0.1659,0.1864,0.1804,0.1835149999999999,0.1849,0.1673,0.1861,0.169,0.1864,0.1733,0.1864,0.176815,0.1666,0.1932,0.1839,0.1875,0.189915,0.1676,0.1924,0.1694149999999999,0.1932,0.175115,0.1932,0.1796,0.1164,0.1462,0.1481,0.14975,0.1228,0.12736,0.134961,0.143972
9,0.0997,0.15268,0.1551,0.1565,0.1179,0.127,0.1423,0.148,0.1641,0.179,0.1764,0.1781,0.1786,0.1654499999999999,0.1789,0.1675,0.179,0.17225,0.179,0.1748,0.16745,0.1879,0.1817,0.1848,0.186,0.1685,0.1876,0.1704,0.1879,0.1752,0.1879,0.1784,0.1677,0.1946999999999999,0.1849,0.1891,0.1916999999999999,0.16895,0.1942,0.1713,0.1946999999999999,0.1770499999999999,0.1946999999999999,0.181,0.1178,0.1473,0.1491,0.1504,0.1242,0.1286,0.13766,0.1453
