percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.026115,0.173641,0.1884,0.198396,0.025015,0.032185,0.049077,0.164246,0.170348,0.197528,0.201756,0.200828,0.19924,0.174712,0.197528,0.177984,0.197528,0.18944,0.197528,0.199068,0.188242,0.217821,0.212484,0.215563,0.217942,0.189642,0.217821,0.19,0.217821,0.198863,0.217821,0.2090209999999999,0.088504,0.092678,0.09309,0.093324,0.092856,0.088504,0.092678,0.08929,0.092678,0.09057,0.092678,0.090878,0.029675,0.1683,0.169245,0.1752,0.03206,0.038685,0.076312,0.162181
1,0.07145,0.1866519999999999,0.195716,0.209,0.10843,0.1279799999999999,0.157436,0.177592,0.183336,0.203956,0.209712,0.208756,0.207956,0.187268,0.205056,0.1883,0.204856,0.202956,0.203956,0.2094,0.196684,0.222242,0.219084,0.220342,0.2218,0.198884,0.222242,0.1997,0.222242,0.208684,0.222242,0.2166,0.18258,0.2172,0.21208,0.214556,0.215468,0.1844,0.2172,0.186492,0.2172,0.199612,0.2172,0.208592,0.10346,0.1779,0.18075,0.1837,0.12166,0.1389,0.160316,0.171632
2,0.0869,0.190678,0.200664,0.212944,0.12568,0.142645,0.168536,0.183046,0.190936,0.2063,0.213,0.2126,0.211084,0.1935,0.2088,0.1965,0.208,0.2078,0.2063,0.213884,0.2,0.225126,0.2230629999999999,0.2243629999999999,0.2250629999999999,0.202,0.225126,0.2042,0.225126,0.213326,0.225126,0.2205629999999999,0.192234,0.2236,0.219334,0.2216,0.222634,0.196168,0.2236,0.199034,0.2236,0.208402,0.2236,0.216634,0.12688,0.181,0.184335,0.185175,0.13819,0.1492699999999999,0.167524,0.1762
3,0.09906,0.1984,0.207228,0.2146,0.1321,0.14956,0.175312,0.187628,0.195112,0.2086,0.2166,0.2149,0.213412,0.1975,0.2114,0.200112,0.2103,0.2106,0.2086,0.2168,0.202968,0.227584,0.225184,0.226684,0.2276,0.205084,0.227584,0.208384,0.227584,0.2164,0.227584,0.2231,0.199124,0.226312,0.223312,0.224912,0.2263,0.200436,0.226312,0.2046,0.226312,0.2121,0.226312,0.221512,0.13426,0.183,0.18668,0.187,0.1454,0.15386,0.171516,0.182232
4,0.107625,0.202615,0.2123,0.2164,0.13745,0.15525,0.1797149999999999,0.19582,0.19774,0.2101,0.21864,0.21724,0.21624,0.20044,0.2132,0.2047,0.2122399999999999,0.2137399999999999,0.2101,0.2192,0.20521,0.229605,0.2271,0.228305,0.2298,0.2082,0.229905,0.21111,0.2299,0.219205,0.229605,0.2252,0.20199,0.2299,0.2262,0.2278899999999999,0.22948,0.2048,0.2299,0.2077,0.2299,0.21689,0.2299,0.2235899999999999,0.1387499999999999,0.1849,0.188325,0.192025,0.15175,0.1594,0.1752,0.1843
5,0.11289,0.2067,0.215228,0.217844,0.1424899999999999,0.1593,0.1876179999999999,0.1992,0.200736,0.2118,0.2203,0.2193,0.2177,0.203768,0.2153,0.207968,0.2137679999999999,0.2165,0.2118,0.221568,0.207726,0.231852,0.2288,0.230126,0.2317,0.2106,0.2318,0.214026,0.232,0.2216,0.231852,0.227026,0.205268,0.232068,0.2283,0.230368,0.2316,0.2081,0.232068,0.2109,0.232068,0.220336,0.232068,0.226,0.142,0.1874,0.1899,0.194,0.1555899999999999,0.16379,0.178248,0.1855979999999999
6,0.11891,0.208841,0.217608,0.219268,0.1476,0.16391,0.191021,0.202374,0.203696,0.2133,0.2219,0.220996,0.219696,0.206896,0.217,0.2102,0.215796,0.2185959999999999,0.2133,0.2232,0.2098,0.233,0.2305,0.232,0.2331,0.213347,0.2331,0.2158,0.233047,0.2237,0.233,0.228847,0.2076,0.2341,0.2313,0.232946,0.2341,0.210746,0.2341,0.2134,0.2341,0.2231,0.2341,0.2283,0.144705,0.1899,0.1915,0.195,0.158805,0.167005,0.1806,0.1865
7,0.1239,0.210504,0.2195,0.2213,0.15272,0.1685,0.194648,0.204856,0.206224,0.215148,0.2236,0.2224,0.2213,0.2089,0.2188,0.212024,0.217324,0.2202,0.215148,0.2247,0.2128,0.2344,0.2324,0.233,0.2344,0.215068,0.2344,0.2180679999999999,0.2344679999999999,0.226,0.2344,0.2305,0.2105,0.236224,0.2339,0.235624,0.236424,0.2126,0.236224,0.215948,0.236224,0.2259239999999999,0.236224,0.2306,0.14742,0.191304,0.1938,0.1957,0.1608,0.1699,0.1825,0.1878
8,0.1274,0.2135,0.2207,0.2231159999999999,0.15627,0.172535,0.198027,0.2076,0.2087,0.217252,0.2253,0.2238,0.2229519999999999,0.2113519999999999,0.2204,0.214052,0.219,0.2222,0.217252,0.2257,0.2146,0.2359,0.2336889999999999,0.234589,0.235589,0.2165889999999999,0.235889,0.2198,0.235889,0.228,0.2359,0.231789,0.2124,0.2384,0.2358,0.2375,0.238402,0.215202,0.2384,0.218802,0.2384,0.227602,0.2384,0.232402,0.1502349999999999,0.1928,0.1959,0.1972,0.162935,0.1723,0.1846,0.1895
9,0.132,0.2153,0.22314,0.225,0.16065,0.17585,0.20073,0.21022,0.21108,0.21918,0.22668,0.2251,0.22418,0.21348,0.222,0.2157,0.22068,0.2241,0.21918,0.2272,0.2164,0.2372,0.23491,0.23581,0.2369,0.21861,0.2371,0.22171,0.2372,0.2296,0.2372,0.2328,0.2142,0.23988,0.23756,0.239,0.2399,0.2174,0.23988,0.2206,0.23988,0.2294,0.23988,0.2343,0.1525,0.19413,0.1972499999999999,0.19885,0.1652,0.1742,0.1863,0.1914
