percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.049671,0.1433,0.153971,0.161584,0.08641,0.0986,0.114688,0.122739,0.175054,0.188295,0.1889,0.190118,0.189385,0.175218,0.188295,0.175654,0.188295,0.184377,0.188295,0.18679,0.182728,0.1907279999999999,0.18947,0.190699,0.1909,0.182728,0.1907279999999999,0.182728,0.1907279999999999,0.183399,0.1907279999999999,0.187071,0.175557,0.188414,0.187171,0.189171,0.189014,0.176314,0.188414,0.176314,0.188414,0.182085,0.188414,0.1865,0.1081839999999999,0.1678,0.172142,0.176065,0.121513,0.131571,0.143771,0.162884
1,0.061252,0.147484,0.158342,0.16781,0.094852,0.106352,0.122542,0.139442,0.1868179999999999,0.1959179999999999,0.1969179999999999,0.197836,0.197,0.18729,0.1959179999999999,0.190736,0.1959179999999999,0.193536,0.1959179999999999,0.198372,0.1971139999999999,0.198014,0.197414,0.198384,0.199014,0.197014,0.198014,0.197542,0.198014,0.196042,0.198014,0.195484,0.183814,0.196014,0.195928,0.19634,0.196314,0.185656,0.196014,0.18797,0.196014,0.190756,0.196014,0.195114,0.119342,0.171642,0.1781,0.18341,0.1284,0.137542,0.1594,0.167042
2,0.073313,0.150913,0.163013,0.1719,0.1022,0.115978,0.1293,0.1431,0.197039,0.2026309999999999,0.2068,0.205354,0.204177,0.197877,0.2026309999999999,0.198708,0.2026309999999999,0.201731,0.2026309999999999,0.2048,0.202271,0.2052,0.207,0.2072,0.206671,0.202342,0.2052,0.2017,0.2052,0.203226,0.2052,0.206171,0.192113,0.201342,0.202642,0.2031,0.202113,0.193455,0.201342,0.194984,0.201342,0.199271,0.201342,0.201671,0.126591,0.175013,0.180526,0.1859,0.140439,0.148013,0.165126,0.1705
3,0.08022,0.1565679999999999,0.1669,0.174884,0.1059,0.119768,0.137768,0.148352,0.201736,0.207636,0.210136,0.209636,0.2088,0.201836,0.207636,0.203036,0.207636,0.204936,0.207636,0.208536,0.2061,0.208428,0.2132,0.211628,0.210056,0.2061,0.208428,0.206528,0.208428,0.208528,0.208428,0.211656,0.197156,0.206428,0.2084,0.2066,0.206528,0.197528,0.206428,0.199056,0.206428,0.2045,0.206428,0.207956,0.132252,0.1785,0.184284,0.187184,0.146668,0.155152,0.170468,0.173084
4,0.084665,0.159155,0.169555,0.177,0.109965,0.122955,0.1428,0.151855,0.2047,0.210895,0.2131,0.212995,0.21279,0.2055,0.210895,0.20659,0.210895,0.207895,0.210895,0.21179,0.2084,0.21167,0.21577,0.214585,0.213,0.208485,0.21167,0.2085,0.21167,0.211485,0.21167,0.2141,0.2021,0.2096,0.211185,0.210525,0.2106,0.202285,0.2096,0.20337,0.2096,0.207455,0.2096,0.210685,0.137195,0.1832,0.185755,0.187755,0.154165,0.16131,0.175555,0.176255
5,0.088452,0.163126,0.172726,0.179452,0.113726,0.1291,0.1476,0.155252,0.2082,0.214254,0.216062,0.215954,0.215454,0.2084,0.214254,0.209254,0.214254,0.210154,0.214254,0.2138,0.211,0.215242,0.2182,0.2177,0.2164,0.211084,0.215242,0.2117,0.215242,0.213242,0.215242,0.215942,0.2052,0.213,0.214226,0.213684,0.213442,0.2054419999999999,0.213,0.206584,0.213,0.2098,0.213,0.2134,0.140926,0.1856259999999999,0.187126,0.189426,0.159252,0.1675299999999999,0.178526,0.180552
6,0.0922969999999999,0.166597,0.175097,0.181897,0.118694,0.133497,0.153994,0.158794,0.2104,0.216939,0.217613,0.218326,0.218513,0.2107,0.216939,0.2118,0.216939,0.212413,0.216939,0.215913,0.213999,0.2176,0.219599,0.219598,0.2183,0.213997,0.2176,0.214398,0.2176,0.2144,0.2176,0.2178,0.208499,0.2160989999999999,0.217099,0.2175,0.2166,0.2092,0.2160989999999999,0.2103,0.2160989999999999,0.211599,0.2160989999999999,0.214799,0.144997,0.1877,0.189297,0.1906,0.162,0.1703,0.1802,0.182797
7,0.096836,0.1699,0.177,0.1837,0.1238679999999999,0.1376679999999999,0.156668,0.161936,0.2126,0.219272,0.219372,0.2203,0.2202,0.213172,0.219272,0.213572,0.219272,0.214272,0.219272,0.2174,0.2164,0.2202,0.2211,0.221,0.220512,0.216456,0.2202,0.2164,0.2202,0.216,0.2202,0.220056,0.212156,0.219156,0.218612,0.2195,0.219656,0.212356,0.219156,0.212812,0.219156,0.2136,0.219156,0.217256,0.1479359999999999,0.1889,0.190168,0.192768,0.164768,0.1721,0.1823,0.186168
8,0.1015,0.1716,0.1792,0.1849,0.126778,0.139739,0.1590389999999999,0.1658,0.215331,0.220931,0.220431,0.221731,0.221762,0.215731,0.220931,0.2162,0.220931,0.216831,0.220931,0.218831,0.218313,0.221913,0.2228,0.222913,0.2224,0.2184,0.221913,0.218226,0.221913,0.2177,0.221913,0.2213,0.2146,0.221013,0.220413,0.2212,0.2214,0.215226,0.221013,0.215426,0.221013,0.2155,0.221013,0.2182,0.151539,0.1903,0.1913,0.1936,0.167539,0.1748,0.183639,0.1875389999999999
9,0.10582,0.17642,0.18393,0.1859,0.1294,0.14331,0.16161,0.16842,0.21769,0.2224,0.222,0.22308,0.22289,0.21827,0.2224,0.2189,0.2224,0.21899,0.2224,0.2206,0.22007,0.2241,0.22427,0.2244,0.224,0.2204,0.2241,0.2205399999999999,0.2241,0.21937,0.2241,0.2224,0.2168,0.2229,0.2221,0.22277,0.22297,0.21741,0.2229,0.21788,0.2229,0.21817,0.2229,0.21987,0.15391,0.192,0.193,0.1957,0.17051,0.17792,0.1856,0.18911
