percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.1141959999999999,0.291584,0.308596,0.313548,0.161556,0.1935599999999999,0.23046,0.2644,0.314285,0.37514,0.36087,0.3748,0.375705,0.315035,0.37514,0.31787,0.37514,0.32572,0.37514,0.34365,0.328774,0.385387,0.369561,0.380387,0.384374,0.3286,0.385387,0.328948,0.385387,0.337383,0.385387,0.352287,0.32349,0.382995,0.365585,0.3779,0.3817649999999999,0.32407,0.382995,0.3242649999999999,0.382995,0.330295,0.382995,0.347095,0.2001,0.284288,0.2884879999999999,0.3031,0.216696,0.2248679999999999,0.245584,0.2786
1,0.1309,0.305236,0.3197,0.3392,0.187392,0.210668,0.242692,0.280492,0.33047,0.38438,0.37286,0.38207,0.3831,0.33217,0.38438,0.33287,0.38438,0.34473,0.38438,0.36158,0.344244,0.391896,0.381522,0.388,0.389974,0.342996,0.391896,0.343906,0.391896,0.353174,0.391896,0.369674,0.33679,0.38757,0.37541,0.38599,0.38799,0.33819,0.38757,0.33926,0.38757,0.34658,0.38757,0.36456,0.209892,0.289092,0.3004,0.3101,0.225776,0.239384,0.266472,0.2855
2,0.144252,0.3175,0.325664,0.347252,0.197376,0.2287,0.25598,0.294852,0.3412,0.3897,0.3807149999999999,0.3873049999999999,0.389715,0.3444049999999999,0.3897,0.34651,0.3897,0.3555,0.3897,0.37171,0.353722,0.397061,0.389722,0.394522,0.396161,0.353561,0.397061,0.3544,0.397061,0.361722,0.397061,0.379,0.34857,0.39327,0.3857549999999999,0.392455,0.3926,0.34941,0.39327,0.350685,0.39327,0.358385,0.39327,0.373885,0.217164,0.300488,0.307588,0.315888,0.2349879999999999,0.248276,0.2769,0.2924879999999999
3,0.154484,0.3227839999999999,0.3378839999999999,0.350784,0.206404,0.234752,0.267552,0.304436,0.35072,0.3941,0.38598,0.39164,0.3939,0.35492,0.3941,0.3563,0.3941,0.3642999999999999,0.3941,0.37684,0.3599,0.4006,0.3929,0.3988,0.400148,0.3604839999999999,0.4006,0.3637,0.4006,0.372796,0.4006,0.383696,0.35684,0.39944,0.39268,0.39706,0.39886,0.3584,0.39944,0.36018,0.39944,0.36788,0.39944,0.38198,0.2229,0.306868,0.313652,0.327668,0.242984,0.2558,0.282284,0.298884
4,0.16584,0.3276799999999999,0.34628,0.35354,0.21802,0.24126,0.2788,0.31348,0.358275,0.3979,0.389975,0.3959,0.3973,0.36005,0.3979,0.362575,0.3979,0.3716,0.3979,0.381475,0.369035,0.405135,0.396,0.402305,0.403835,0.370135,0.405135,0.37197,0.405135,0.37967,0.405135,0.388205,0.362825,0.403625,0.395775,0.402175,0.403175,0.364175,0.403625,0.366675,0.403625,0.37625,0.403625,0.387375,0.22948,0.3121,0.3214,0.3331,0.24884,0.26174,0.2863,0.3030799999999999
5,0.172652,0.3352759999999999,0.351352,0.358176,0.2274,0.2505759999999999,0.2848,0.3182,0.36551,0.40331,0.39401,0.4006,0.40172,0.36741,0.40331,0.37082,0.40331,0.37811,0.40331,0.38682,0.374,0.4084,0.3992,0.405822,0.408,0.374144,0.4084,0.378966,0.4084,0.385122,0.4084,0.392822,0.36907,0.40804,0.3999,0.40567,0.407,0.3705199999999999,0.40804,0.3738,0.40804,0.38491,0.40804,0.39274,0.2335,0.3157,0.3266,0.3349,0.2531759999999999,0.2657759999999999,0.291176,0.3069759999999999
6,0.182616,0.341272,0.356972,0.363272,0.234688,0.255116,0.291788,0.321372,0.3713349999999999,0.4065,0.3980349999999999,0.403145,0.404945,0.373445,0.4065,0.376,0.4065,0.3834349999999999,0.4065,0.391445,0.380509,0.412218,0.4028,0.4085,0.4104089999999999,0.381918,0.412218,0.383036,0.412218,0.391336,0.412218,0.3983089999999999,0.373965,0.4116,0.403,0.4089,0.4102,0.375765,0.4116,0.380265,0.4116,0.39096,0.4116,0.398165,0.237872,0.3179,0.331,0.336172,0.2584,0.2699,0.295044,0.311572
7,0.19044,0.346504,0.362268,0.3674,0.2406,0.26314,0.2970359999999999,0.326172,0.37596,0.40978,0.40198,0.40758,0.40896,0.37762,0.40978,0.38078,0.40978,0.38866,0.40978,0.396,0.386196,0.414696,0.4064959999999999,0.411396,0.413592,0.38738,0.414696,0.388396,0.414696,0.3968919999999999,0.414696,0.4019,0.37966,0.41442,0.40706,0.4115,0.41298,0.3827,0.41442,0.389,0.41442,0.39676,0.41442,0.40322,0.2424,0.321968,0.3338,0.3373,0.2626,0.2736,0.2993,0.314368
8,0.19632,0.353164,0.3657,0.3703,0.2479559999999999,0.267464,0.3028,0.3322199999999999,0.380415,0.412815,0.405715,0.4101,0.4119,0.3816299999999999,0.412815,0.384715,0.412815,0.39546,0.412815,0.4014299999999999,0.391983,0.417183,0.4099,0.4146,0.416083,0.3936,0.417183,0.395083,0.417183,0.402283,0.417183,0.405583,0.388655,0.416855,0.41001,0.4145,0.415755,0.3901,0.416855,0.3945099999999999,0.416855,0.4034,0.416855,0.40751,0.2469,0.3268,0.3366,0.3387,0.266964,0.2769,0.3025,0.317
9,0.20466,0.3579,0.36826,0.37506,0.25406,0.2722,0.309,0.3362,0.3835,0.41525,0.4095,0.4134,0.41435,0.386,0.41525,0.39095,0.41525,0.40075,0.41525,0.4065499999999999,0.397,0.41917,0.41434,0.41787,0.4186,0.3986,0.41917,0.40027,0.41917,0.40667,0.41917,0.41074,0.39425,0.4201,0.4135,0.41735,0.418,0.39615,0.4201,0.40115,0.4201,0.40895,0.4201,0.4109,0.25122,0.32976,0.33866,0.33956,0.27066,0.28046,0.3055,0.31996
